Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-03-17 18:55:00,2024-03-17 20:28:00,DFW,LAX,Spirit,3 hr 33 min,193.0,0,,2024-03-15,147,-16
2024-03-17 11:25:00,2024-03-17 12:58:00,DFW,LAX,Spirit,3 hr 33 min,233.0,0,,2024-03-15,147,-16
2024-03-17 16:55:00,2024-03-17 18:28:00,DFW,LAX,Spirit,3 hr 33 min,233.0,0,,2024-03-15,147,-16
2024-03-17 09:30:00,2024-03-17 11:03:00,DFW,LAX,American,3 hr 33 min,409.0,0,,2024-03-15,144,-18
2024-03-17 16:11:00,2024-03-17 17:44:00,DAL,LAX,Delta,3 hr 33 min,409.0,0,,2024-03-15,201,15
2024-03-17 11:35:00,2024-03-17 13:05:00,DAL,LAX,Price unavailable,3 hr 30 min,,0,,2024-03-15,140,-20
2024-03-17 22:47:00,2024-03-18 10:58:00,DFW,LAX,"Frontier, Alaska",14 hr 11 min,141.0,1,9 hr 41 min LAS,2024-03-15,200,14
2024-03-17 22:47:00,2024-03-18 07:21:00,DFW,LAX,"Frontier, Spirit",10 hr 34 min,166.0,1,6 hr 6 min LAS,2024-03-15,184,0
2024-03-17 19:37:00,2024-03-18 07:32:00,DFW,LAX,United,13 hr 55 min,334.0,1,8 hr 21 min SFO,2024-03-15,301,72
2024-03-17 22:42:00,2024-03-18 12:07:00,DFW,LAX,American,15 hr 25 min,334.0,1,9 hr 49 min SFO,2024-03-15,306,75
2024-03-17 06:00:00,2024-03-17 07:35:00,DFW,LAX,Delta,3 hr 35 min,409.0,0,,2024-03-15,178,0
2024-03-17 07:15:00,2024-03-17 08:50:00,DAL,LAX,Delta,3 hr 35 min,409.0,0,,2024-03-15,201,15
2024-03-17 07:15:00,2024-03-17 08:55:00,DFW,LAX,American,3 hr 40 min,409.0,0,,2024-03-15,175,0
2024-03-17 08:30:00,2024-03-17 10:07:00,DFW,LAX,American,3 hr 37 min,409.0,0,,2024-03-15,175,0
2024-03-17 10:30:00,2024-03-17 12:18:00,DFW,LAX,American,3 hr 48 min,409.0,0,,2024-03-15,175,0
2024-03-17 12:30:00,2024-03-17 14:11:00,DFW,LAX,American,3 hr 41 min,409.0,0,,2024-03-15,144,-18
2024-03-17 14:00:00,2024-03-17 15:32:00,DFW,LAX,American,3 hr 32 min,409.0,0,,2024-03-15,175,0
2024-03-17 15:00:00,2024-03-17 16:32:00,DFW,LAX,American,3 hr 32 min,409.0,0,,2024-03-15,164,-6
2024-03-17 17:00:00,2024-03-17 18:32:00,DFW,LAX,American,3 hr 32 min,409.0,0,,2024-03-15,175,0
2024-03-17 18:30:00,2024-03-17 20:05:00,DFW,LAX,American,3 hr 35 min,409.0,0,,2024-03-15,175,0
2024-03-17 18:57:00,2024-03-17 20:33:00,DFW,LAX,Delta,3 hr 36 min,409.0,0,,2024-03-15,178,0
2024-03-17 19:35:00,2024-03-17 21:00:00,DFW,LAX,American,3 hr 25 min,409.0,0,,2024-03-15,181,0
2024-03-17 20:45:00,2024-03-17 22:17:00,DFW,LAX,American,3 hr 32 min,409.0,0,,2024-03-15,175,0
2024-03-17 21:45:00,2024-03-17 23:18:00,DFW,LAX,American,3 hr 33 min,409.0,0,,2024-03-15,164,-6
2024-03-17 22:45:00,2024-03-18 00:20:00,DFW,LAX,American,3 hr 35 min,409.0,0,,2024-03-15,164,-6
2024-03-17 07:10:00,2024-03-17 08:40:00,DAL,LAX,Price unavailable,3 hr 30 min,,0,,2024-03-15,166,0
2024-03-17 17:00:00,2024-03-17 18:35:00,DAL,LAX,Price unavailable,3 hr 35 min,,0,,2024-03-15,140,-20
2024-03-19 09:00:00,2024-03-19 10:36:00,DFW,LAX,Spirit,3 hr 36 min,158.0,0,,2024-03-15,147,-16
2024-03-19 11:17:00,2024-03-19 12:50:00,DFW,LAX,Spirit,3 hr 33 min,158.0,0,,2024-03-15,147,-16
2024-03-19 12:55:00,2024-03-19 14:27:00,DFW,LAX,"Avoids as much CO2e as 1,705 trees absorb in a day",3 hr 32 min,158.0,0,,2024-03-15,147,-16
2024-03-19 11:10:00,2024-03-19 12:40:00,DAL,LAX,Price unavailable,3 hr 30 min,,0,,2024-03-15,166,0
2024-03-19 13:08:00,2024-03-19 20:47:00,DFW,LAX,"Frontier, Spirit",9 hr 39 min,121.0,1,5 hr 6 min LAS,2024-03-15,167,0
2024-03-19 18:58:00,2024-03-20 01:17:00,DFW,LAX,"Frontier, Spirit",8 hr 19 min,121.0,1,3 hr 46 min LAS,2024-03-15,159,-9
2024-03-19 21:53:00,2024-03-20 01:17:00,DFW,LAX,50 min LAS,5 hr 24 min,177.0,1,,2024-03-15,179,0
2024-03-19 21:01:00,2024-03-20 12:07:00,DFW,LAX,American,17 hr 6 min,334.0,1,11 hr 33 min SFO,2024-03-15,292,67
2024-03-19 14:30:00,2024-03-20 07:32:00,DAL,LAX,Alaska,19 hr 2 min,400.0,2,"SEA, SFO",2024-03-15,458,162
2024-03-19 06:00:00,2024-03-19 07:35:00,DFW,LAX,Delta,3 hr 35 min,409.0,0,,2024-03-15,178,0
2024-03-19 07:15:00,2024-03-19 08:50:00,DAL,LAX,Delta,3 hr 35 min,409.0,0,,2024-03-15,201,15
2024-03-19 07:15:00,2024-03-19 08:55:00,DFW,LAX,American,3 hr 40 min,409.0,0,,2024-03-15,175,0
2024-03-19 08:30:00,2024-03-19 10:07:00,DFW,LAX,American,3 hr 37 min,409.0,0,,2024-03-15,175,0
2024-03-19 09:30:00,2024-03-19 11:03:00,DFW,LAX,American,3 hr 33 min,409.0,0,,2024-03-15,144,-18
2024-03-19 10:30:00,2024-03-19 12:18:00,DFW,LAX,American,3 hr 48 min,409.0,0,,2024-03-15,175,0
2024-03-19 12:30:00,2024-03-19 14:11:00,DFW,LAX,American,3 hr 41 min,409.0,0,,2024-03-15,144,-18
2024-03-19 14:00:00,2024-03-19 15:32:00,DFW,LAX,American,3 hr 32 min,409.0,0,,2024-03-15,175,0
2024-03-19 15:00:00,2024-03-19 16:30:00,DFW,LAX,American,3 hr 30 min,409.0,0,,2024-03-15,175,0
2024-03-19 16:11:00,2024-03-19 17:44:00,DAL,LAX,Delta,3 hr 33 min,409.0,0,,2024-03-15,201,15
2024-03-19 17:00:00,2024-03-19 18:32:00,DFW,LAX,American,3 hr 32 min,409.0,0,,2024-03-15,175,0
2024-03-19 18:30:00,2024-03-19 20:05:00,DFW,LAX,American,3 hr 35 min,409.0,0,,2024-03-15,175,0
2024-03-19 18:57:00,2024-03-19 20:33:00,DFW,LAX,Delta,3 hr 36 min,409.0,0,,2024-03-15,178,0
2024-03-19 19:35:00,2024-03-19 21:00:00,DFW,LAX,American,3 hr 25 min,409.0,0,,2024-03-15,181,0
