Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-03-17 09:00:00,2024-03-17 18:36:00,LAX,ATL,United,6 hr 36 min,369.0,1,1 hr 16 min DEN,2024-03-15,322.0,21.0
2024-03-17 23:49:00,2024-03-18 07:00:00,LAX,ATL,"Avoids as much CO2e as 5,114 trees absorb in a day",4 hr 11 min,379.0,0,,2024-03-15,183.0,-31.0
2024-03-17 09:30:00,2024-03-17 16:31:00,LAX,ATL,Delta,4 hr 1 min,599.0,0,,2024-03-15,191.0,-28.0
2024-03-17 21:59:00,2024-03-18 21:49:00,LAX,ATL,"Spirit, Frontier",20 hr 50 min,297.0,3,"OAK, LAS, PHX",2024-03-15,349.0,31.0
2024-03-17 05:05:00,2024-03-17 15:23:00,LAX,ATL,United,7 hr 18 min,369.0,1,1 hr 57 min DEN,2024-03-15,285.0,7.0
2024-03-17 06:00:00,2024-03-17 18:18:00,LAX,ATL,Alaska,9 hr 18 min,369.0,1,1 hr 34 min SEA,2024-03-15,431.0,61.0
2024-03-17 11:55:00,2024-03-17 23:59:00,LAX,ATL,Alaska,9 hr 4 min,414.0,1,1 hr 21 min SEA,2024-03-15,431.0,61.0
2024-03-17 23:59:00,2024-03-18 10:44:00,LAX,ATL,Spirit,7 hr 45 min,430.0,1,1 hr 23 min DTW,2024-03-15,291.0,9.0
2024-03-17 06:00:00,2024-03-17 13:15:00,LAX,ATL,Spirit,4 hr 15 min,469.0,0,,2024-03-15,183.0,-31.0
2024-03-17 00:21:00,2024-03-17 10:24:00,LAX,ATL,American,7 hr 3 min,538.0,1,1 hr 9 min CLT,2024-03-15,300.0,12.0
2024-03-17 08:00:00,2024-03-17 15:04:00,LAX,ATL,Delta,4 hr 4 min,599.0,0,,2024-03-15,194.0,-27.0
2024-03-17 06:30:00,2024-03-17 13:38:00,LAX,ATL,Delta,4 hr 8 min,609.0,0,,2024-03-15,210.0,-21.0
2024-03-17 11:00:00,2024-03-17 18:15:00,LAX,ATL,Delta,4 hr 15 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-17 13:25:00,2024-03-17 20:32:00,LAX,ATL,Delta,4 hr 7 min,609.0,0,,2024-03-15,200.0,-25.0
2024-03-17 14:40:00,2024-03-17 21:46:00,LAX,ATL,Delta,4 hr 6 min,609.0,0,,2024-03-15,313.0,17.0
2024-03-17 17:05:00,2024-03-18 00:13:00,LAX,ATL,Delta,4 hr 8 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-17 21:45:00,2024-03-18 05:00:00,LAX,ATL,Delta,4 hr 15 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-17 22:45:00,2024-03-18 06:00:00,LAX,ATL,Delta,4 hr 15 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-17 23:45:00,2024-03-18 07:00:00,LAX,ATL,Delta,4 hr 15 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-18 23:49:00,2024-03-19 07:00:00,LAX,ATL,"Avoids as much CO2e as 5,114 trees absorb in a day",4 hr 11 min,299.0,0,,2024-03-15,183.0,-31.0
2024-03-18 09:55:00,2024-03-18 17:10:00,LAX,ATL,AmericanAlaska,4 hr 15 min,459.0,0,,2024-03-15,260.0,0.0
2024-03-18 09:30:00,2024-03-18 16:31:00,LAX,ATL,Delta,4 hr 1 min,599.0,0,,2024-03-15,191.0,-28.0
2024-03-18 23:59:00,2024-03-19 18:45:00,LAX,ATL,"Spirit, Frontier",15 hr 46 min,326.0,2,"DTW, MSY",2024-03-15,378.0,42.0
2024-03-18 06:00:00,2024-03-18 18:18:00,LAX,ATL,Alaska,9 hr 18 min,369.0,1,1 hr 34 min SEA,2024-03-15,393.0,47.0
2024-03-18 13:10:00,2024-03-18 22:56:00,LAX,ATL,United,6 hr 46 min,369.0,1,1 hr 26 min DEN,2024-03-15,332.0,24.0
2024-03-18 08:18:00,2024-03-18 15:32:00,LAX,ATL,Spirit,4 hr 14 min,379.0,0,,2024-03-15,214.0,-20.0
2024-03-18 21:50:00,2024-03-19 06:52:00,LAX,ATL,53 min LAS,6 hr 2 min,430.0,1,,2024-03-15,245.0,-8.0
2024-03-18 08:00:00,2024-03-18 15:04:00,LAX,ATL,Delta,4 hr 4 min,599.0,0,,2024-03-15,194.0,-27.0
2024-03-18 06:30:00,2024-03-18 13:38:00,LAX,ATL,Delta,4 hr 8 min,609.0,0,,2024-03-15,210.0,-21.0
2024-03-18 11:00:00,2024-03-18 18:15:00,LAX,ATL,Delta,4 hr 15 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-18 13:25:00,2024-03-18 20:32:00,LAX,ATL,Delta,4 hr 7 min,609.0,0,,2024-03-15,200.0,-25.0
2024-03-18 14:40:00,2024-03-18 21:46:00,LAX,ATL,Delta,4 hr 6 min,609.0,0,,2024-03-15,313.0,17.0
2024-03-18 17:05:00,2024-03-19 00:13:00,LAX,ATL,Delta,4 hr 8 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-18 21:45:00,2024-03-19 05:00:00,LAX,ATL,Delta,4 hr 15 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-18 22:45:00,2024-03-19 06:00:00,LAX,ATL,Delta,4 hr 15 min,609.0,0,,2024-03-15,250.0,-6.0
2024-03-19 09:55:00,2024-03-19 17:10:00,LAX,ATL,AmericanAlaska,4 hr 15 min,326.0,0,,2024-03-15,260.0,0.0
2024-03-19 16:45:00,2024-03-19 23:59:00,LAX,ATL,Spirit,4 hr 14 min,339.0,0,,2024-03-15,214.0,-20.0
2024-03-19 09:30:00,2024-03-19 16:31:00,LAX,ATL,Delta,4 hr 1 min,599.0,0,,2024-03-15,191.0,-28.0
2024-03-19 14:36:00,2024-03-20 06:52:00,LAX,ATL,Spirit,13 hr 16 min,265.0,1,8 hr 9 min LAS,2024-03-15,245.0,-8.0
2024-03-19 17:25:00,2024-03-20 06:52:00,LAX,ATL,"Alaska, Spirit",10 hr 27 min,274.0,1,5 hr 20 min LAS,2024-03-15,253.0,0.0
2024-03-19 06:00:00,2024-03-19 15:03:00,LAX,ATL,43 min IAH,6 hr 3 min,369.0,1,,2024-03-15,304.0,14.0
2024-03-19 11:27:00,2024-03-19 20:11:00,LAX,ATL,35 min DFW,5 hr 44 min,407.0,1,,2024-03-15,258.0,0.0
2024-03-19 11:05:00,2024-03-19 18:21:00,LAX,ATL,Spirit,4 hr 16 min,469.0,0,,2024-03-15,214.0,-20.0
2024-03-19 08:00:00,2024-03-19 15:04:00,LAX,ATL,Delta,4 hr 4 min,599.0,0,,2024-03-15,194.0,-27.0
2024-03-19 06:30:00,2024-03-19 13:38:00,LAX,ATL,Delta,4 hr 8 min,609.0,0,,2024-03-15,210.0,-21.0
