Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-03-18 08:45:00,2024-03-18 12:13:00,LAX,DEN,AmericanAlaska,2 hr 28 min,384.0,0,,2024-03-15,165,16
2024-03-18 09:00:00,2024-03-18 12:24:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,132,-7
2024-03-18 15:29:00,2024-03-18 18:49:00,LAX,DEN,Delta,2 hr 20 min,384.0,0,,2024-03-15,147,0
2024-03-18 13:55:00,2024-03-18 17:10:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-18 19:56:00,2024-03-19 11:19:00,LAX,DEN,American,14 hr 23 min,311.0,2,"LAS, PHX",2024-03-15,224,58
2024-03-18 18:00:00,2024-03-19 10:31:00,LAX,DEN,"Sun Country Airlines, Frontier",15 hr 31 min,314.0,1,9 hr 34 min MSP,2024-03-15,290,104
2024-03-18 05:15:00,2024-03-18 08:38:00,LAX,DEN,United,2 hr 23 min,384.0,0,,2024-03-15,126,-11
2024-03-18 12:40:00,2024-03-18 16:04:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,126,-11
2024-03-18 13:10:00,2024-03-18 16:34:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,142,0
2024-03-18 14:37:00,2024-03-18 18:00:00,LAX,DEN,United,2 hr 23 min,384.0,0,,2024-03-15,109,-23
2024-03-18 16:16:00,2024-03-18 19:40:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,132,-7
2024-03-18 18:30:00,2024-03-18 21:53:00,LAX,DEN,AmericanAlaska,2 hr 23 min,384.0,0,,2024-03-15,165,16
2024-03-18 20:10:00,2024-03-18 23:34:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,126,-11
2024-03-18 20:25:00,2024-03-18 23:48:00,LAX,DEN,Delta,2 hr 23 min,384.0,0,,2024-03-15,147,0
2024-03-18 06:00:00,2024-03-18 11:19:00,LAX,DEN,59 min PHX,4 hr 19 min,393.0,1,,2024-03-15,184,30
2024-03-18 08:40:00,2024-03-18 12:06:00,LAX,DEN,Delta,2 hr 26 min,439.0,0,,2024-03-15,147,0
2024-03-18 07:00:00,2024-03-18 10:24:00,LAX,DEN,United,2 hr 24 min,449.0,0,,2024-03-15,109,-23
2024-03-18 11:00:00,2024-03-18 14:19:00,LAX,DEN,United,2 hr 19 min,449.0,0,,2024-03-15,110,-23
2024-03-18 06:15:00,2024-03-18 09:40:00,LAX,DEN,Price unavailable,2 hr 25 min,,0,,2024-03-15,151,6
2024-03-18 08:25:00,2024-03-18 11:45:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,151,6
2024-03-18 09:40:00,2024-03-18 12:55:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,112,-21
2024-03-18 17:55:00,2024-03-18 21:10:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,133,-6
2024-03-18 20:30:00,2024-03-18 23:45:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-19 08:45:00,2024-03-19 12:13:00,LAX,DEN,AmericanAlaska,2 hr 28 min,380.0,0,,2024-03-15,165,16
2024-03-19 08:40:00,2024-03-19 12:06:00,LAX,DEN,Delta,2 hr 26 min,384.0,0,,2024-03-15,147,0
2024-03-19 09:00:00,2024-03-19 12:24:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,132,-7
2024-03-19 11:30:00,2024-03-19 14:45:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-19 17:25:00,2024-03-20 07:58:00,LAX,DEN,"Alaska, Frontier",13 hr 33 min,229.0,1,10 hr 22 min LAS,2024-03-15,144,0
2024-03-19 19:56:00,2024-03-20 11:19:00,LAX,DEN,American,14 hr 23 min,264.0,2,"LAS, PHX",2024-03-15,224,58
2024-03-19 07:46:00,2024-03-19 14:01:00,LAX,DEN,"Spirit, Frontier",5 hr 15 min,284.0,1,1 hr 59 min LAS,2024-03-15,128,-10
2024-03-19 14:36:00,2024-03-19 22:26:00,LAX,DEN,"Spirit, Frontier",6 hr 50 min,305.0,1,3 hr 36 min LAS,2024-03-15,136,0
2024-03-19 19:15:00,2024-03-20 08:44:00,LAX,DEN,United,12 hr 29 min,332.0,1,6 hr 53 min SEA,2024-03-15,278,96
2024-03-19 18:30:00,2024-03-19 21:53:00,LAX,DEN,AmericanAlaska,2 hr 23 min,380.0,0,,2024-03-15,165,16
2024-03-19 05:15:00,2024-03-19 08:38:00,LAX,DEN,United,2 hr 23 min,384.0,0,,2024-03-15,126,-11
2024-03-19 07:00:00,2024-03-19 10:24:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,109,-23
2024-03-19 11:00:00,2024-03-19 14:19:00,LAX,DEN,United,2 hr 19 min,384.0,0,,2024-03-15,110,-23
2024-03-19 12:40:00,2024-03-19 16:04:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,126,-11
2024-03-19 13:10:00,2024-03-19 16:34:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,142,0
2024-03-19 14:37:00,2024-03-19 18:00:00,LAX,DEN,United,2 hr 23 min,384.0,0,,2024-03-15,109,-23
2024-03-19 15:29:00,2024-03-19 18:49:00,LAX,DEN,Delta,2 hr 20 min,384.0,0,,2024-03-15,147,0
2024-03-19 16:16:00,2024-03-19 19:40:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,132,-7
2024-03-19 20:10:00,2024-03-19 23:34:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,126,-11
2024-03-19 20:25:00,2024-03-19 23:48:00,LAX,DEN,Delta,2 hr 23 min,384.0,0,,2024-03-15,147,0
2024-03-19 06:20:00,2024-03-19 09:40:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,151,6
2024-03-19 08:45:00,2024-03-19 12:05:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,112,-21
2024-03-19 14:45:00,2024-03-19 18:00:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,133,-6
2024-03-19 17:15:00,2024-03-19 20:30:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,112,-21
2024-03-20 08:45:00,2024-03-20 12:13:00,LAX,DEN,AmericanAlaska,2 hr 28 min,380.0,0,,2024-03-15,165,16
2024-03-20 08:40:00,2024-03-20 12:06:00,LAX,DEN,Delta,2 hr 26 min,384.0,0,,2024-03-15,147,0
2024-03-20 09:00:00,2024-03-20 12:24:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,132,-7
2024-03-20 11:30:00,2024-03-20 14:45:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-20 13:30:00,2024-03-21 10:22:00,LAX,DEN,"Spirit, Frontier",19 hr 52 min,229.0,2,"LAS, DFW",2024-03-15,239,68
2024-03-20 13:30:00,2024-03-20 19:33:00,LAX,DEN,"Spirit, Frontier",5 hr 3 min,232.0,1,1 hr 48 min LAS,2024-03-15,128,-10
2024-03-20 17:25:00,2024-03-21 00:27:00,LAX,DEN,"Alaska, Frontier",6 hr 2 min,254.0,1,2 hr 51 min LAS,2024-03-15,148,0
2024-03-20 06:45:00,2024-03-20 13:28:00,LAX,DEN,"Spirit, Frontier",5 hr 43 min,263.0,1,2 hr 27 min LAS,2024-03-15,128,-10
2024-03-20 14:36:00,2024-03-20 22:30:00,LAX,DEN,"Spirit, Frontier",6 hr 54 min,263.0,1,3 hr 40 min LAS,2024-03-15,136,0
2024-03-20 19:56:00,2024-03-21 11:19:00,LAX,DEN,American,14 hr 23 min,311.0,2,"LAS, PHX",2024-03-15,224,58
2024-03-20 18:30:00,2024-03-20 21:53:00,LAX,DEN,AmericanAlaska,2 hr 23 min,380.0,0,,2024-03-15,165,16
2024-03-20 05:15:00,2024-03-20 08:38:00,LAX,DEN,United,2 hr 23 min,384.0,0,,2024-03-15,126,-11
2024-03-20 07:00:00,2024-03-20 10:24:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,109,-23
2024-03-20 11:00:00,2024-03-20 14:19:00,LAX,DEN,United,2 hr 19 min,384.0,0,,2024-03-15,110,-23
2024-03-20 12:40:00,2024-03-20 16:04:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,126,-11
2024-03-20 13:10:00,2024-03-20 16:34:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,142,0
2024-03-20 14:37:00,2024-03-20 18:00:00,LAX,DEN,United,2 hr 23 min,384.0,0,,2024-03-15,109,-23
2024-03-20 15:29:00,2024-03-20 18:49:00,LAX,DEN,Delta,2 hr 20 min,384.0,0,,2024-03-15,147,0
2024-03-20 16:16:00,2024-03-20 19:40:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,132,-7
2024-03-20 20:10:00,2024-03-20 23:34:00,LAX,DEN,United,2 hr 24 min,384.0,0,,2024-03-15,126,-11
2024-03-20 20:25:00,2024-03-20 23:48:00,LAX,DEN,Delta,2 hr 23 min,384.0,0,,2024-03-15,147,0
2024-03-20 16:20:00,2024-03-20 21:52:00,LAX,DEN,American,4 hr 32 min,393.0,1,1 hr 17 min PHX,2024-03-15,184,30
2024-03-20 06:20:00,2024-03-20 09:40:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,151,6
2024-03-20 08:45:00,2024-03-20 12:05:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,112,-21
2024-03-20 14:45:00,2024-03-20 18:00:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,133,-6
2024-03-20 17:15:00,2024-03-20 20:30:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,112,-21
2024-03-24 14:37:00,2024-03-24 18:00:00,LAX,DEN,United,2 hr 23 min,264.0,0,,2024-03-15,109,-23
2024-03-24 15:29:00,2024-03-24 18:49:00,LAX,DEN,Delta,2 hr 20 min,264.0,0,,2024-03-15,147,0
2024-03-24 16:16:00,2024-03-24 19:40:00,LAX,DEN,United,2 hr 24 min,264.0,0,,2024-03-15,132,-7
2024-03-24 20:25:00,2024-03-24 23:48:00,LAX,DEN,Delta,2 hr 23 min,264.0,0,,2024-03-15,147,0
2024-03-24 12:15:00,2024-03-24 15:30:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-24 07:20:00,2024-03-24 13:52:00,LAX,DEN,"Alaska, Frontier",5 hr 32 min,212.0,1,2 hr 15 min LAS,2024-03-15,144,0
2024-03-24 06:45:00,2024-03-24 13:52:00,LAX,DEN,"Spirit, Frontier",6 hr 7 min,227.0,1,2 hr 51 min LAS,2024-03-15,128,-10
2024-03-24 19:30:00,2024-03-25 08:57:00,LAX,DEN,United,12 hr 27 min,258.0,1,9 hr 17 min LAS,2024-03-15,151,6
2024-03-24 05:05:00,2024-03-24 08:28:00,LAX,DEN,United,2 hr 23 min,264.0,0,,2024-03-15,109,-23
2024-03-24 08:40:00,2024-03-24 12:06:00,LAX,DEN,Delta,2 hr 26 min,264.0,0,,2024-03-15,147,0
2024-03-24 09:00:00,2024-03-24 12:24:00,LAX,DEN,United,2 hr 24 min,264.0,0,,2024-03-15,132,-7
2024-03-24 20:10:00,2024-03-24 23:34:00,LAX,DEN,United,2 hr 24 min,264.0,0,,2024-03-15,126,-11
2024-03-24 06:00:00,2024-03-24 11:19:00,LAX,DEN,59 min PHX,4 hr 19 min,273.0,1,,2024-03-15,184,30
2024-03-24 07:00:00,2024-03-24 10:24:00,LAX,DEN,United,2 hr 24 min,288.0,0,,2024-03-15,109,-23
2024-03-24 21:36:00,2024-03-25 02:45:00,LAX,DEN,53 min PHX,4 hr 9 min,300.0,1,,2024-03-15,170,20
2024-03-24 11:00:00,2024-03-24 14:19:00,LAX,DEN,United,2 hr 19 min,307.0,0,,2024-03-15,110,-23
2024-03-24 12:40:00,2024-03-24 16:04:00,LAX,DEN,United,2 hr 24 min,343.0,0,,2024-03-15,126,-11
2024-03-24 13:10:00,2024-03-24 16:34:00,LAX,DEN,United,2 hr 24 min,355.0,0,,2024-03-15,142,0
2024-03-24 08:45:00,2024-03-24 12:13:00,LAX,DEN,AmericanAlaska,2 hr 28 min,369.0,0,,2024-03-15,165,16
2024-03-24 18:30:00,2024-03-24 21:53:00,LAX,DEN,AmericanAlaska,2 hr 23 min,439.0,0,,2024-03-15,165,16
2024-03-24 05:00:00,2024-03-24 08:25:00,LAX,DEN,Price unavailable,2 hr 25 min,,0,,2024-03-15,151,6
2024-03-24 08:15:00,2024-03-24 11:35:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,112,-21
2024-03-24 14:05:00,2024-03-24 17:20:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-27 14:36:00,2024-03-27 22:30:00,LAX,DEN,"Spirit, Frontier",6 hr 54 min,96.0,1,3 hr 40 min LAS,2024-03-15,136,0
2024-03-27 09:00:00,2024-03-27 12:24:00,LAX,DEN,United,2 hr 24 min,227.0,0,,2024-03-15,132,-7
2024-03-27 15:29:00,2024-03-27 18:49:00,LAX,DEN,Delta,2 hr 20 min,227.0,0,,2024-03-15,147,0
2024-03-27 11:30:00,2024-03-27 14:45:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-27 16:20:00,2024-03-28 00:43:00,LAX,DEN,"Spirit, Frontier",7 hr 23 min,117.0,1,2 hr 10 min DFW,2024-03-15,243,71
2024-03-27 06:45:00,2024-03-27 17:05:00,LAX,DEN,"Spirit, Frontier",9 hr 20 min,136.0,1,6 hr 4 min LAS,2024-03-15,128,-10
2024-03-27 16:00:00,2024-03-27 22:30:00,LAX,DEN,"Spirit, Frontier",5 hr 30 min,136.0,1,2 hr 16 min LAS,2024-03-15,128,-10
2024-03-27 06:45:00,2024-03-27 13:28:00,LAX,DEN,"Spirit, Frontier",5 hr 43 min,170.0,1,2 hr 27 min LAS,2024-03-15,128,-10
2024-03-27 10:03:00,2024-03-27 21:52:00,LAX,DEN,American,10 hr 49 min,221.0,2,"LAS, PHX",2024-03-15,233,64
2024-03-27 08:35:00,2024-03-27 18:02:00,LAX,DEN,United,8 hr 27 min,224.0,1,5 hr 17 min LAS,2024-03-15,166,17
2024-03-27 07:00:00,2024-03-27 10:24:00,LAX,DEN,United,2 hr 24 min,227.0,0,,2024-03-15,109,-23
2024-03-27 08:40:00,2024-03-27 12:06:00,LAX,DEN,Delta,2 hr 26 min,227.0,0,,2024-03-15,147,0
2024-03-27 12:40:00,2024-03-27 16:04:00,LAX,DEN,United,2 hr 24 min,227.0,0,,2024-03-15,126,-11
2024-03-27 14:37:00,2024-03-27 18:00:00,LAX,DEN,United,2 hr 23 min,227.0,0,,2024-03-15,109,-23
2024-03-27 16:16:00,2024-03-27 19:40:00,LAX,DEN,United,2 hr 24 min,227.0,0,,2024-03-15,132,-7
2024-03-27 20:10:00,2024-03-27 23:34:00,LAX,DEN,United,2 hr 24 min,227.0,0,,2024-03-15,126,-11
2024-03-27 20:25:00,2024-03-27 23:48:00,LAX,DEN,Delta,2 hr 23 min,227.0,0,,2024-03-15,147,0
2024-03-27 16:20:00,2024-03-27 21:52:00,LAX,DEN,American,4 hr 32 min,236.0,1,1 hr 17 min PHX,2024-03-15,184,30
2024-03-27 13:10:00,2024-03-27 16:36:00,LAX,DEN,United,2 hr 26 min,243.0,0,,2024-03-15,132,-7
2024-03-27 11:00:00,2024-03-27 14:19:00,LAX,DEN,United,2 hr 19 min,252.0,0,,2024-03-15,110,-23
2024-03-27 05:15:00,2024-03-27 08:38:00,LAX,DEN,United,2 hr 23 min,298.0,0,,2024-03-15,126,-11
2024-03-27 08:45:00,2024-03-27 12:13:00,LAX,DEN,AmericanAlaska,2 hr 28 min,369.0,0,,2024-03-15,165,16
2024-03-27 18:30:00,2024-03-27 21:53:00,LAX,DEN,AmericanAlaska,2 hr 23 min,369.0,0,,2024-03-15,165,16
2024-03-27 06:20:00,2024-03-27 09:40:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,151,6
2024-03-27 08:45:00,2024-03-27 12:05:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,112,-21
2024-03-27 14:45:00,2024-03-27 18:00:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,133,-6
2024-03-27 17:15:00,2024-03-27 20:30:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,112,-21
2024-03-28 20:25:00,2024-03-28 23:48:00,LAX,DEN,Delta,2 hr 23 min,227.0,0,,2024-03-15,147,0
2024-03-28 13:10:00,2024-03-28 16:34:00,LAX,DEN,United,2 hr 24 min,243.0,0,,2024-03-15,142,0
2024-03-28 15:29:00,2024-03-28 18:49:00,LAX,DEN,Delta,2 hr 20 min,264.0,0,,2024-03-15,147,0
2024-03-28 13:55:00,2024-03-28 17:10:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-28 13:44:00,2024-03-29 09:30:00,LAX,DEN,"Spirit, Frontier",18 hr 46 min,82.0,1,15 hr 28 min LAS,2024-03-15,136,0
2024-03-28 11:58:00,2024-03-28 22:47:00,LAX,DEN,"Spirit, Frontier",9 hr 49 min,131.0,1,6 hr 24 min SLC,2024-03-15,138,0
2024-03-28 19:36:00,2024-03-29 09:30:00,LAX,DEN,"Spirit, Frontier",12 hr 54 min,132.0,1,9 hr 34 min LAS,2024-03-15,136,0
2024-03-28 13:44:00,2024-03-28 22:45:00,LAX,DEN,"Spirit, Frontier",8 hr 1 min,156.0,1,4 hr 47 min LAS,2024-03-15,136,0
2024-03-28 06:45:00,2024-03-28 13:28:00,LAX,DEN,"Spirit, Frontier",5 hr 43 min,157.0,1,2 hr 27 min LAS,2024-03-15,128,-10
2024-03-28 07:20:00,2024-03-28 13:28:00,LAX,DEN,"Alaska, Frontier",5 hr 8 min,162.0,1,1 hr 51 min LAS,2024-03-15,148,0
2024-03-28 19:30:00,2024-03-29 10:12:00,LAX,DEN,United,13 hr 42 min,184.0,1,10 hr 32 min LAS,2024-03-15,158,11
2024-03-28 05:15:00,2024-03-28 08:38:00,LAX,DEN,United,2 hr 23 min,243.0,0,,2024-03-15,126,-11
2024-03-28 07:00:00,2024-03-28 10:24:00,LAX,DEN,United,2 hr 24 min,243.0,0,,2024-03-15,109,-23
2024-03-28 12:40:00,2024-03-28 16:04:00,LAX,DEN,United,2 hr 24 min,243.0,0,,2024-03-15,126,-11
2024-03-28 14:37:00,2024-03-28 18:00:00,LAX,DEN,United,2 hr 23 min,243.0,0,,2024-03-15,109,-23
2024-03-28 09:00:00,2024-03-28 12:24:00,LAX,DEN,United,2 hr 24 min,252.0,0,,2024-03-15,132,-7
2024-03-28 11:00:00,2024-03-28 14:19:00,LAX,DEN,United,2 hr 19 min,252.0,0,,2024-03-15,110,-23
2024-03-28 20:10:00,2024-03-28 23:34:00,LAX,DEN,United,2 hr 24 min,252.0,0,,2024-03-15,126,-11
2024-03-28 08:40:00,2024-03-28 12:06:00,LAX,DEN,Delta,2 hr 26 min,264.0,0,,2024-03-15,147,0
2024-03-28 16:16:00,2024-03-28 19:40:00,LAX,DEN,United,2 hr 24 min,288.0,0,,2024-03-15,132,-7
2024-03-28 18:30:00,2024-03-28 21:53:00,LAX,DEN,AmericanAlaska,2 hr 23 min,369.0,0,,2024-03-15,165,16
2024-03-28 08:45:00,2024-03-28 12:13:00,LAX,DEN,AmericanAlaska,2 hr 28 min,519.0,0,,2024-03-15,165,16
2024-03-28 06:15:00,2024-03-28 09:40:00,LAX,DEN,Price unavailable,2 hr 25 min,,0,,2024-03-15,151,6
2024-03-28 08:25:00,2024-03-28 11:45:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-03-15,151,6
2024-03-28 09:40:00,2024-03-28 12:55:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,112,-21
2024-03-28 17:55:00,2024-03-28 21:10:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,133,-6
2024-03-28 20:30:00,2024-03-28 23:45:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,151,6
2024-03-30 18:06:00,2024-03-31 00:18:00,LAX,DEN,"Spirit, Frontier",5 hr 12 min,113.0,1,2 hr LAS,2024-03-15,154,8
2024-03-30 20:25:00,2024-03-30 23:48:00,LAX,DEN,Delta,2 hr 23 min,170.0,0,,2024-03-15,147,0
2024-03-30 07:00:00,2024-03-30 10:24:00,LAX,DEN,United,2 hr 24 min,195.0,0,,2024-03-15,109,-23
2024-03-30 09:00:00,2024-03-30 12:24:00,LAX,DEN,United,2 hr 24 min,223.0,0,,2024-03-15,132,-7
2024-03-30 11:00:00,2024-03-30 14:19:00,LAX,DEN,United,2 hr 19 min,223.0,0,,2024-03-15,110,-23
2024-03-30 09:00:00,2024-03-30 12:15:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-03-15,133,-6
2024-03-30 17:25:00,2024-03-31 00:18:00,LAX,DEN,"Alaska, Frontier",5 hr 53 min,129.0,1,2 hr 42 min LAS,2024-03-15,166,17
