Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-03-17 14:28:00,2024-03-17 21:40:00,LAX,DFW,American,5 hr 12 min,498.0,1,1 hr 7 min AUS,2024-03-15,231.0,33.0
2024-03-17 17:21:00,2024-03-18 00:44:00,LAX,DFW,Delta,5 hr 23 min,498.0,1,1 hr SLC,2024-03-15,264.0,52.0
2024-03-17 07:40:00,2024-03-17 12:38:00,LAX,DAL,Delta,2 hr 58 min,729.0,0,,2024-03-15,201.0,16.0
2024-03-17 10:00:00,2024-03-17 15:00:00,LAX,DFW,American,3 hr,975.0,0,,2024-03-15,181.0,0.0
2024-03-17 13:55:00,2024-03-17 18:50:00,LAX,DAL,Price unavailable,2 hr 55 min,,0,,2024-03-15,137.0,-21.0
2024-03-17 21:59:00,2024-03-19 08:04:00,LAX,DFW,"Spirit, Frontier",32 hr 5 min,308.0,2,,2024-03-15,258.0,48.0
2024-03-17 15:07:00,2024-03-18 01:18:00,LAX,DFW,Spirit,8 hr 11 min,404.0,1,4 hr 20 min LAS,2024-03-15,191.0,10.0
2024-03-17 00:40:00,2024-03-17 09:46:00,LAX,DFW,35 min MSP,7 hr 6 min,418.0,1,,2024-03-15,340.0,95.0
2024-03-17 19:56:00,2024-03-18 05:31:00,LAX,DFW,American,7 hr 35 min,498.0,1,3 hr 38 min LAS,2024-03-15,216.0,24.0
2024-03-17 05:50:00,2024-03-17 13:36:00,LAX,DFW,Delta,5 hr 46 min,588.0,1,1 hr 9 min SLC,2024-03-15,222.0,28.0
2024-03-17 16:16:00,2024-03-17 23:59:00,LAX,DFW,United,5 hr 43 min,688.0,1,1 hr 19 min DEN,2024-03-15,260.0,49.0
2024-03-17 07:00:00,2024-03-17 14:40:00,LAX,DFW,American,5 hr 40 min,703.0,1,1 hr 23 min AUS,2024-03-15,241.0,39.0
2024-03-17 18:45:00,2024-03-17 23:39:00,LAX,DAL,Delta,2 hr 54 min,729.0,0,,2024-03-15,201.0,16.0
2024-03-17 10:20:00,2024-03-17 17:36:00,LAX,DFW,49 min SLC,5 hr 16 min,738.0,1,,2024-03-15,243.0,40.0
2024-03-17 10:23:00,2024-03-17 17:59:00,LAX,DFW,American,5 hr 36 min,738.0,1,1 hr 39 min SAT,2024-03-15,328.0,89.0
2024-03-17 13:15:00,2024-03-17 21:21:00,LAX,DFW,Delta,6 hr 6 min,738.0,1,1 hr 38 min SLC,2024-03-15,238.0,37.0
2024-03-17 08:15:00,2024-03-17 15:57:00,LAX,DFW,United,5 hr 42 min,775.0,1,1 hr 4 min IAH,2024-03-15,212.0,22.0
2024-03-17 00:45:00,2024-03-17 05:43:00,LAX,DFW,American,2 hr 58 min,975.0,0,,2024-03-15,164.0,-6.0
2024-03-17 15:00:00,2024-03-17 20:00:00,LAX,DFW,American,3 hr,975.0,0,,2024-03-15,144.0,-17.0
2024-03-17 23:59:00,2024-03-18 05:00:00,LAX,DFW,American,3 hr 1 min,975.0,0,,2024-03-15,175.0,0.0
2024-03-17 08:40:00,2024-03-17 13:42:00,LAX,DFW,Delta,3 hr 2 min,1099.0,0,,2024-03-15,179.0,0.0
2024-03-17 17:45:00,2024-03-17 22:37:00,LAX,DFW,Delta,2 hr 52 min,1099.0,0,,2024-03-15,179.0,0.0
2024-03-17 01:25:00,2024-03-17 06:23:00,LAX,DFW,American,2 hr 58 min,2501.0,0,,2024-03-15,246.0,41.0
2024-03-17 09:25:00,2024-03-17 14:20:00,LAX,DAL,Price unavailable,2 hr 55 min,,0,,2024-03-15,162.0,-7.0
2024-03-18 23:09:00,2024-03-19 04:10:00,LAX,DFW,"Avoids as much CO2e as 1,583 trees absorb in a day",3 hr 1 min,273.0,0,,2024-03-15,148.0,-15.0
2024-03-18 01:25:00,2024-03-18 06:23:00,LAX,DFW,American,2 hr 58 min,489.0,0,,2024-03-15,164.0,-6.0
2024-03-18 07:40:00,2024-03-18 12:38:00,LAX,DAL,Delta,2 hr 58 min,489.0,0,,2024-03-15,201.0,16.0
2024-03-18 11:05:00,2024-03-18 16:00:00,LAX,DAL,Price unavailable,2 hr 55 min,,0,,2024-03-15,184.0,6.0
2024-03-18 08:00:00,2024-03-18 23:42:00,LAX,DFW,"Southern Airways Express, Frontier",13 hr 42 min,337.0,2,"IPL, PHX",2024-03-15,520.0,199.0
2024-03-18 18:00:00,2024-03-18 23:00:00,LAX,DFW,Spirit,3 hr,403.0,0,,2024-03-15,148.0,-15.0
2024-03-18 06:45:00,2024-03-18 13:10:00,LAX,DFW,31 min LAS,4 hr 25 min,404.0,1,,2024-03-15,162.0,-7.0
2024-03-18 07:00:00,2024-03-18 14:40:00,LAX,DFW,American,5 hr 40 min,418.0,1,1 hr 23 min AUS,2024-03-15,241.0,39.0
2024-03-18 10:23:00,2024-03-18 17:59:00,LAX,DFW,American,5 hr 36 min,418.0,1,1 hr 39 min SAT,2024-03-15,328.0,89.0
2024-03-18 11:59:00,2024-03-18 18:45:00,LAX,DFW,49 min LAS,4 hr 46 min,418.0,1,,2024-03-15,213.0,22.0
2024-03-18 14:28:00,2024-03-18 21:40:00,LAX,DFW,American,5 hr 12 min,418.0,1,1 hr 7 min AUS,2024-03-15,231.0,33.0
2024-03-18 17:21:00,2024-03-19 00:44:00,LAX,DFW,Delta,5 hr 23 min,418.0,1,1 hr SLC,2024-03-15,264.0,52.0
2024-03-18 17:29:00,2024-03-18 22:24:00,LAX,DFW,Spirit,2 hr 55 min,443.0,0,,2024-03-15,126.0,-28.0
2024-03-18 00:45:00,2024-03-18 05:43:00,LAX,DFW,American,2 hr 58 min,489.0,0,,2024-03-15,164.0,-6.0
2024-03-18 08:40:00,2024-03-18 13:42:00,LAX,DFW,Delta,3 hr 2 min,489.0,0,,2024-03-15,179.0,0.0
