Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-03-17 23:05:00,2024-03-18 07:30:00,LAX,JFK,American,5 hr 25 min,472,0,,2024-03-14,545,54
2024-03-17 05:40:00,2024-03-17 14:04:00,LAX,JFK,JetBlue,5 hr 24 min,484,0,,2024-03-14,398,13
2024-03-17 13:20:00,2024-03-17 21:40:00,LAX,JFK,"Avoids as much CO2e as 5,174 trees absorb in a day",5 hr 20 min,539,0,,2024-03-14,268,-24
2024-03-17 19:00:00,2024-03-18 07:06:00,LAX,JFK,American,9 hr 6 min,393,1,2 hr 2 min SFO,2024-03-14,716,103
2024-03-17 19:32:00,2024-03-18 07:54:00,LAX,JFK,JetBlue,9 hr 22 min,455,1,3 hr 12 min LAS,2024-03-14,428,21
2024-03-17 21:55:00,2024-03-18 06:05:00,LAX,JFK,Delta,5 hr 10 min,462,0,,2024-03-14,268,-24
2024-03-17 23:57:00,2024-03-18 08:15:00,LAX,JFK,Delta,5 hr 18 min,462,0,,2024-03-14,268,-24
2024-03-17 06:36:00,2024-03-17 14:59:00,LAX,JFK,JetBlue,5 hr 23 min,544,0,,2024-03-14,398,13
2024-03-17 22:37:00,2024-03-18 07:01:00,LAX,JFK,JetBlue,5 hr 24 min,544,0,,2024-03-14,398,13
2024-03-17 22:03:00,2024-03-18 06:30:00,LAX,JFK,American,5 hr 27 min,574,0,,2024-03-14,545,54
2024-03-17 10:09:00,2024-03-17 18:29:00,LAX,JFK,JetBlue,5 hr 20 min,619,0,,2024-03-14,396,12
2024-03-17 10:33:00,2024-03-17 18:50:00,LAX,JFK,JetBlue,5 hr 17 min,619,0,,2024-03-14,398,13
2024-03-17 12:27:00,2024-03-17 20:47:00,LAX,JFK,JetBlue,5 hr 20 min,619,0,,2024-03-14,398,13
2024-03-17 13:31:00,2024-03-17 21:59:00,LAX,JFK,JetBlue,5 hr 28 min,619,0,,2024-03-14,398,13
2024-03-17 15:00:00,2024-03-17 23:24:00,LAX,JFK,JetBlue,5 hr 24 min,619,0,,2024-03-14,398,13
2024-03-17 16:35:00,2024-03-18 00:52:00,LAX,JFK,JetBlue,5 hr 17 min,619,0,,2024-03-14,398,13
2024-03-17 06:00:00,2024-03-17 14:24:00,LAX,JFK,Delta,5 hr 24 min,639,0,,2024-03-14,268,-24
2024-03-17 07:00:00,2024-03-17 15:20:00,LAX,JFK,Delta,5 hr 20 min,639,0,,2024-03-14,210,-41
2024-03-17 09:35:00,2024-03-17 17:55:00,LAX,JFK,Delta,5 hr 20 min,639,0,,2024-03-14,308,-13
2024-03-17 11:35:00,2024-03-17 19:59:00,LAX,JFK,Delta,5 hr 24 min,639,0,,2024-03-14,308,-13
2024-03-17 14:55:00,2024-03-17 23:12:00,LAX,JFK,Delta,5 hr 17 min,639,0,,2024-03-14,308,-13
2024-03-17 16:45:00,2024-03-18 00:59:00,LAX,JFK,Delta,5 hr 14 min,639,0,,2024-03-14,308,-13
2024-03-17 06:01:00,2024-03-17 14:30:00,LAX,JFK,American,5 hr 29 min,824,0,,2024-03-14,817,131
2024-03-17 12:30:00,2024-03-17 20:57:00,LAX,JFK,American,5 hr 27 min,1616,0,,2024-03-14,545,54
2024-03-19 07:05:00,2024-03-19 15:30:00,LAX,JFK,American,5 hr 25 min,384,0,,2024-03-14,545,54
2024-03-19 09:35:00,2024-03-19 17:55:00,LAX,JFK,"Avoids as much CO2e as 2,739 trees absorb in a day",5 hr 20 min,384,0,,2024-03-14,308,-13
2024-03-19 10:09:00,2024-03-19 18:29:00,LAX,JFK,JetBlue,5 hr 20 min,384,0,,2024-03-14,396,12
2024-03-19 19:56:00,2024-03-20 15:30:00,LAX,JFK,American,16 hr 34 min,285,2,"LAS, CLT",2024-03-14,418,18
2024-03-19 19:32:00,2024-03-20 07:54:00,LAX,JFK,JetBlue,9 hr 22 min,327,1,3 hr 12 min LAS,2024-03-14,428,21
2024-03-19 05:40:00,2024-03-19 14:04:00,LAX,JFK,JetBlue,5 hr 24 min,384,0,,2024-03-14,398,13
