Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-03-17 06:00:00,2024-03-17 12:05:00,LAX,ORD,"Avoids as much CO2e as 2,435 trees absorb in a day",4 hr 5 min,429.0,0,,2024-03-15,181.0,-18.0
2024-03-17 23:59:00,2024-03-18 06:04:00,LAX,ORD,United,4 hr 5 min,429.0,0,,2024-03-15,221.0,0.0
2024-03-17 10:03:00,2024-03-17 17:45:00,LAX,ORD,50 min LAS,5 hr 42 min,438.0,1,,2024-03-15,248.0,12.0
2024-03-17 10:20:00,2024-03-17 18:02:00,LAX,ORD,43 min SLC,5 hr 42 min,438.0,1,,2024-03-15,279.0,26.0
2024-03-17 13:35:00,2024-03-17 19:40:00,LAX,ORD,American,4 hr 5 min,658.0,0,,2024-03-15,212.0,0.0
2024-03-17 20:30:00,2024-03-19 01:15:00,LAX,ORD,"Southern Airways Express, Frontier",26 hr 45 min,409.0,2,"IPL, PHX",2024-03-15,558.0,152.0
2024-03-17 22:10:00,2024-03-18 21:46:00,LAX,ORD,Spirit,21 hr 36 min,425.0,2,,2024-03-15,384.0,74.0
2024-03-17 00:40:00,2024-03-17 08:57:00,LAX,ORD,45 min MSP,6 hr 17 min,438.0,1,,2024-03-15,298.0,35.0
2024-03-17 14:40:00,2024-03-17 23:37:00,LAX,ORD,49 min ATL,6 hr 57 min,438.0,1,,2024-03-15,446.0,102.0
2024-03-17 16:16:00,2024-03-17 23:58:00,LAX,ORD,55 min DEN,5 hr 42 min,495.0,1,,2024-03-15,243.0,10.0
2024-03-17 13:10:00,2024-03-17 21:07:00,LAX,ORD,United,5 hr 57 min,496.0,1,1 hr 10 min DEN,2024-03-15,287.0,30.0
2024-03-17 23:05:00,2024-03-18 05:00:00,LAX,ORD,United,3 hr 55 min,522.0,0,,2024-03-15,239.0,8.0
2024-03-17 10:18:00,2024-03-17 18:23:00,LAX,ORD,American,6 hr 5 min,547.0,1,1 hr 10 min TUS,2024-03-15,297.0,34.0
2024-03-17 11:59:00,2024-03-17 19:44:00,LAX,ORD,50 min LAS,5 hr 45 min,547.0,1,,2024-03-15,248.0,12.0
2024-03-17 07:00:00,2024-03-17 13:03:00,LAX,ORD,United,4 hr 3 min,627.0,0,,2024-03-15,243.0,10.0
2024-03-17 12:42:00,2024-03-17 18:50:00,LAX,ORD,United,4 hr 8 min,627.0,0,,2024-03-15,185.0,-16.0
2024-03-17 06:02:00,2024-03-17 12:10:00,LAX,ORD,American,4 hr 8 min,658.0,0,,2024-03-15,212.0,0.0
2024-03-17 17:32:00,2024-03-17 23:37:00,LAX,ORD,American,4 hr 5 min,658.0,0,,2024-03-15,212.0,0.0
2024-03-17 22:59:00,2024-03-18 05:04:00,LAX,ORD,American,4 hr 5 min,658.0,0,,2024-03-15,212.0,0.0
2024-03-17 23:59:00,2024-03-18 06:03:00,LAX,ORD,American,4 hr 4 min,658.0,0,,2024-03-15,212.0,0.0
2024-03-17 11:03:00,2024-03-17 17:10:00,LAX,ORD,United,4 hr 7 min,690.0,0,,2024-03-15,243.0,10.0
2024-03-17 08:44:00,2024-03-17 14:55:00,LAX,ORD,United,4 hr 11 min,822.0,0,,2024-03-15,213.0,0.0
2024-03-17 07:50:00,2024-03-17 14:01:00,LAX,ORD,American,4 hr 11 min,1278.0,0,,2024-03-15,212.0,0.0
2024-03-17 09:50:00,2024-03-17 15:59:00,LAX,ORD,American,4 hr 9 min,1278.0,0,,2024-03-15,212.0,0.0
2024-03-17 11:28:00,2024-03-17 17:35:00,LAX,ORD,American,4 hr 7 min,1278.0,0,,2024-03-15,212.0,0.0
2024-03-19 23:42:00,2024-03-20 05:46:00,LAX,ORD,Spirit,4 hr 4 min,385.0,0,,2024-03-15,165.0,-25.0
2024-03-19 08:44:00,2024-03-19 14:55:00,LAX,ORD,United,4 hr 11 min,429.0,0,,2024-03-15,213.0,0.0
2024-03-19 11:28:00,2024-03-19 17:35:00,LAX,ORD,American,4 hr 7 min,429.0,0,,2024-03-15,212.0,0.0
2024-03-19 14:36:00,2024-03-20 06:30:00,LAX,ORD,Spirit,13 hr 54 min,256.0,1,9 hr 8 min LAS,2024-03-15,198.0,-10.0
2024-03-19 07:46:00,2024-03-19 22:05:00,LAX,ORD,"Spirit, Frontier",12 hr 19 min,263.0,2,"LAS, PHX",2024-03-15,269.0,22.0
2024-03-19 06:00:00,2024-03-19 12:05:00,LAX,ORD,United,4 hr 5 min,429.0,0,,2024-03-15,213.0,0.0
2024-03-19 07:00:00,2024-03-19 13:03:00,LAX,ORD,United,4 hr 3 min,429.0,0,,2024-03-15,243.0,10.0
2024-03-19 07:50:00,2024-03-19 14:01:00,LAX,ORD,American,4 hr 11 min,429.0,0,,2024-03-15,212.0,0.0
2024-03-19 11:03:00,2024-03-19 17:10:00,LAX,ORD,United,4 hr 7 min,429.0,0,,2024-03-15,243.0,10.0
2024-03-19 12:42:00,2024-03-19 18:50:00,LAX,ORD,United,4 hr 8 min,429.0,0,,2024-03-15,213.0,0.0
2024-03-19 12:50:00,2024-03-19 18:58:00,LAX,ORD,American,4 hr 8 min,429.0,0,,2024-03-15,212.0,0.0
2024-03-19 14:25:00,2024-03-19 20:25:00,LAX,ORD,United,4 hr,429.0,0,,2024-03-15,185.0,-16.0
2024-03-19 17:31:00,2024-03-19 23:34:00,LAX,ORD,American,4 hr 3 min,429.0,0,,2024-03-15,227.0,0.0
2024-03-19 17:55:00,2024-03-19 23:56:00,LAX,ORD,United,4 hr 1 min,429.0,0,,2024-03-15,243.0,10.0
2024-03-19 22:59:00,2024-03-20 05:04:00,LAX,ORD,American,4 hr 5 min,429.0,0,,2024-03-15,212.0,0.0
2024-03-19 23:05:00,2024-03-20 05:00:00,LAX,ORD,United,3 hr 55 min,429.0,0,,2024-03-15,239.0,8.0
