Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour,Access Day of Year
1,5,0,351,0,5.97,1,4,116,0,115
1,4,0,254,0,5.05,2,4,116,0,114
1,4,0,254,0,5.05,2,4,116,1,114
0,1,1,394,0,3.07,3,4,116,5,113
1,2,6,299,0,3.35,2,4,116,5,114
1,0,0,452,0,8.52,2,4,116,6,114
1,0,2,462,0,8.42,2,4,116,6,114
1,0,1,452,0,8.42,2,4,116,6,114
0,1,0,394,0,3.3,3,4,116,6,113
1,5,6,311,0,6.08,1,4,116,6,115
1,5,0,351,0,6.17,1,4,116,6,115
1,3,3,314,0,7.25,2,4,116,6,114
1,3,2,599,0,7.3,2,4,116,6,114
1,4,0,254,0,5.15,2,4,116,6,114
0,3,2,319,0,2.4,2,4,116,6,114
1,0,0,452,0,8.52,2,4,116,7,114
1,0,2,462,0,8.47,2,4,116,7,114
0,1,0,394,0,3.32,3,4,116,7,113
0,1,1,394,0,3.17,3,4,116,7,113
1,0,1,452,0,8.38,2,4,116,7,114
1,5,6,311,0,6.18,1,4,116,7,115
1,5,0,351,0,6.15,1,4,116,7,115
1,2,6,299,0,3.42,2,4,116,7,114
0,5,1,240,0,1.83,2,4,116,7,114
0,1,2,404,0,3.15,3,4,116,7,113
1,4,0,254,0,5.12,2,4,116,7,114
1,5,6,311,0,6.17,1,4,116,8,115
0,4,0,240,0,3.35,2,4,116,8,114
0,4,2,240,0,3.12,2,4,116,8,114
0,2,2,224,0,2.67,3,4,116,8,113
1,2,0,299,0,3.42,2,4,116,8,114
1,2,2,299,0,3.5,2,4,116,8,114
1,3,2,320,0,7.17,2,4,116,8,114
0,1,2,404,0,3.25,3,4,116,8,113
1,4,3,203,0,5.12,2,4,116,8,114
1,4,0,254,0,5.17,2,4,116,8,114
0,3,2,319,0,2.5,2,4,116,8,114
0,1,0,394,0,3.48,3,4,116,9,113
0,1,0,289,2,11.53,3,4,116,9,113
1,5,0,351,0,6.08,1,4,116,9,115
0,1,1,394,0,3.12,3,4,116,9,113
1,0,1,494,0,8.58,2,4,116,9,114
0,4,0,249,1,5.62,2,4,116,9,114
1,2,6,299,0,3.4,2,4,116,9,114
1,3,0,320,0,7.22,2,4,116,9,114
1,3,2,399,0,7.32,2,4,116,9,114
1,4,0,254,0,5,2,4,116,9,114
0,1,2,404,0,3.25,3,4,116,9,113
1,4,2,254,0,5.03,2,4,116,9,114
0,5,0,240,0,2.02,2,4,116,9,114
1,0,1,403,1,11.35,2,4,116,10,114
1,0,0,452,0,8.55,2,4,116,10,114
1,5,6,311,0,6.17,1,4,116,10,115
0,1,1,394,0,3.1,3,4,116,10,113
1,2,6,299,0,3.4,2,4,116,10,114
1,4,0,254,0,5.12,2,4,116,10,114
0,3,2,319,0,2.53,2,4,116,10,114
1,0,1,452,0,8.6,2,4,116,11,114
1,0,0,452,0,8.57,2,4,116,11,114
1,0,2,462,0,8.52,2,4,116,11,114
0,4,0,248,1,5.55,2,4,116,11,114
0,2,0,203,1,7.27,3,4,116,11,113
0,5,2,250,0,1.83,2,4,116,11,114
1,3,2,599,0,7.05,2,4,116,11,114
1,5,0,351,0,6.08,1,4,116,11,115
0,1,4,403,1,6.93,3,4,116,11,113
1,4,0,254,0,5.15,2,4,116,11,114
0,3,0,219,1,4.77,2,4,116,11,114
0,3,1,330,0,2.4,2,4,116,11,114
0,3,0,160,1,6.17,2,4,116,11,114
1,0,0,452,0,8.48,2,4,116,12,114
0,1,1,394,0,3.03,3,4,116,12,113
1,0,2,462,0,8.45,2,4,116,12,114
1,5,6,311,0,6.17,1,4,116,12,115
1,2,6,299,0,3.4,2,4,116,12,114
0,5,2,259,1,3.6,2,4,116,12,114
1,3,2,599,0,7.27,2,4,116,12,114
1,4,0,254,0,5.07,2,4,116,12,114
1,0,1,452,0,8.52,2,4,116,13,114
1,5,0,351,0,6.05,1,4,116,13,115
1,5,3,254,1,16.73,1,4,116,13,115
1,2,6,299,0,3.37,2,4,116,13,114
1,3,2,599,0,7.27,2,4,116,13,114
1,4,0,254,0,5.08,2,4,116,13,114
0,3,2,319,0,2.42,2,4,116,13,114
0,3,0,160,1,4.67,2,4,116,14,114
1,0,1,452,0,8.53,2,4,116,14,114
1,0,2,462,0,8.38,2,4,116,14,114
1,5,6,311,0,6.13,1,4,116,14,115
0,4,0,240,0,3.08,2,4,116,14,114
0,2,0,204,1,5.75,3,4,116,14,113
0,2,0,203,1,6.07,3,4,116,14,113
1,2,0,299,0,3.32,2,4,116,14,114
1,2,6,299,0,3.4,2,4,116,14,114
1,3,2,599,0,7.2,2,4,116,14,114
0,1,2,404,0,3.2,3,4,116,14,113
1,4,0,254,0,5.07,2,4,116,14,114
1,0,1,452,0,8.5,2,4,116,15,114
1,0,0,452,0,8.48,2,4,116,15,114
0,5,0,240,0,1.85,2,4,116,15,114
0,1,0,394,0,3.45,3,4,116,15,113
0,1,1,394,0,3.12,3,4,116,15,113
1,2,2,299,0,3.35,2,4,116,15,114
0,1,2,404,0,3.23,3,4,116,15,113
0,3,2,319,0,2.55,2,4,116,15,114
1,0,1,452,0,8.32,2,4,116,16,114
0,1,0,394,0,3.35,3,4,116,16,113
1,0,2,462,0,8.38,2,4,116,16,114
0,4,0,240,0,3.08,2,4,116,16,114
0,2,0,204,1,5.85,3,4,116,16,113
1,2,6,299,0,3.4,2,4,116,16,114
0,5,2,250,0,1.92,2,4,116,16,114
1,4,0,254,0,5.08,2,4,116,16,114
0,3,1,259,0,2.48,2,4,116,16,114
0,1,1,333,1,5.78,3,4,116,17,113
1,5,6,311,0,6.13,1,4,116,17,115
0,4,2,489,0,3.13,2,4,116,17,114
1,3,2,599,0,7.2,2,4,116,17,114
0,1,2,404,0,3.42,3,4,116,17,113
0,1,0,394,0,3.38,3,4,116,17,113
0,1,1,394,0,3.3,3,4,116,17,113
1,4,3,203,0,5.08,2,4,116,17,114
1,4,2,254,0,4.95,2,4,116,17,114
1,4,0,254,0,5.07,2,4,116,17,114
1,5,0,351,0,6.05,1,4,116,17,115
0,3,2,319,0,2.57,2,4,116,17,114
1,0,7,414,1,40.32,2,4,116,18,114
1,2,0,299,0,3.33,2,4,116,18,114
0,1,2,404,0,3.47,3,4,116,18,113
0,3,0,160,1,4.67,2,4,116,18,114
1,0,0,312,2,21.7,2,4,116,19,114
1,0,0,312,2,21.7,2,4,116,19,114
1,0,0,312,2,21.7,2,4,116,19,114
0,2,2,224,0,2.78,3,4,116,19,113
1,2,6,299,0,3.38,2,4,116,19,114
0,5,2,250,0,1.98,2,4,116,19,114
0,1,2,404,0,3.43,3,4,116,19,113
0,3,2,319,0,2.75,2,4,116,19,114
0,2,1,214,0,2.5,3,4,116,20,113
