Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 12:00:00,2024-04-25 15:02:00,JFK,LAX,JetBlue,6 hr 2 min,394,0,,2024-04-22,400,11
2024-04-25 16:30:00,2024-04-25 19:51:00,JFK,LAX,American,6 hr 21 min,394,0,,2024-04-22,548,52
2024-04-25 11:59:00,2024-04-25 15:11:00,JFK,LAX,"Avoids as much CO2e as 3,226 trees absorb in a day",6 hr 12 min,404,0,,2024-04-22,307,-15
2024-04-25 09:00:00,2024-04-25 20:32:00,JFK,LAX,American,14 hr 32 min,289,2,"PHX, LAS",2024-04-22,398,11
2024-04-25 17:00:00,2024-04-25 22:47:00,JFK,LAX,JetBlue,8 hr 47 min,333,1,1 hr 37 min LAS,2024-04-22,428,19
2024-04-25 05:29:00,2024-04-25 08:33:00,JFK,LAX,JetBlue,6 hr 4 min,394,0,,2024-04-22,402,12
2024-04-25 06:30:00,2024-04-25 09:48:00,JFK,LAX,American,6 hr 18 min,394,0,,2024-04-22,548,52
2024-04-25 07:30:00,2024-04-25 10:40:00,JFK,LAX,JetBlue,6 hr 10 min,394,0,,2024-04-22,402,12
2024-04-25 07:30:00,2024-04-25 10:49:00,JFK,LAX,American,6 hr 19 min,394,0,,2024-04-22,548,52
2024-04-25 09:00:00,2024-04-25 12:29:00,JFK,LAX,American,6 hr 29 min,394,0,,2024-04-22,548,52
2024-04-25 09:30:00,2024-04-25 12:37:00,JFK,LAX,JetBlue,6 hr 7 min,394,0,,2024-04-22,402,12
2024-04-25 10:30:00,2024-04-25 13:36:00,JFK,LAX,JetBlue,6 hr 6 min,394,0,,2024-04-22,402,12
2024-04-25 15:30:00,2024-04-25 18:57:00,JFK,LAX,American,6 hr 27 min,394,0,,2024-04-22,548,52
2024-04-25 15:50:00,2024-04-25 18:57:00,JFK,LAX,JetBlue,6 hr 7 min,394,0,,2024-04-22,402,12
2024-04-25 17:17:00,2024-04-25 20:35:00,JFK,LAX,JetBlue,6 hr 18 min,394,0,,2024-04-22,402,12
2024-04-25 17:24:00,2024-04-25 20:47:00,JFK,LAX,American,6 hr 23 min,394,0,,2024-04-22,548,52
2024-04-25 20:05:00,2024-04-25 23:27:00,JFK,LAX,JetBlue,6 hr 22 min,394,0,,2024-04-22,402,12
2024-04-25 20:10:00,2024-04-25 23:38:00,JFK,LAX,American,6 hr 28 min,394,0,,2024-04-22,548,52
2024-04-25 21:15:00,2024-04-26 00:36:00,JFK,LAX,American,6 hr 21 min,394,0,,2024-04-22,548,52
2024-04-25 21:29:00,2024-04-26 00:49:00,JFK,LAX,JetBlue,6 hr 20 min,394,0,,2024-04-22,402,12
2024-04-25 11:45:00,2024-04-25 18:41:00,JFK,LAX,Alaska,9 hr 56 min,403,1,1 hr 4 min SEA,2024-04-22,409,14
2024-04-25 07:15:00,2024-04-25 10:24:00,JFK,LAX,Delta,6 hr 9 min,404,0,,2024-04-22,307,-15
2024-04-25 08:15:00,2024-04-25 11:30:00,JFK,LAX,Delta,6 hr 15 min,404,0,,2024-04-22,267,-26
2024-04-25 09:45:00,2024-04-25 13:00:00,JFK,LAX,Delta,6 hr 15 min,404,0,,2024-04-22,307,-15
2024-04-25 14:30:00,2024-04-25 17:42:00,JFK,LAX,Delta,6 hr 12 min,404,0,,2024-04-22,267,-26
2024-04-25 15:55:00,2024-04-25 19:09:00,JFK,LAX,Delta,6 hr 14 min,404,0,,2024-04-22,307,-15
2024-04-25 17:00:00,2024-04-25 20:25:00,JFK,LAX,Delta,6 hr 25 min,404,0,,2024-04-22,307,-15
2024-04-25 18:05:00,2024-04-25 21:33:00,JFK,LAX,Delta,6 hr 28 min,404,0,,2024-04-22,256,-29
2024-04-25 19:15:00,2024-04-25 22:41:00,JFK,LAX,Delta,6 hr 26 min,404,0,,2024-04-22,307,-15
2024-04-25 21:29:00,2024-04-26 00:49:00,JFK,LAX,Delta,6 hr 20 min,404,0,,2024-04-22,307,-15
2024-04-26 12:00:00,2024-04-26 15:02:00,JFK,LAX,JetBlue,6 hr 2 min,394,0,,2024-04-22,400,11
2024-04-26 16:30:00,2024-04-26 19:51:00,JFK,LAX,American,6 hr 21 min,394,0,,2024-04-22,548,52
2024-04-26 11:59:00,2024-04-26 15:11:00,JFK,LAX,"Avoids as much CO2e as 3,226 trees absorb in a day",6 hr 12 min,404,0,,2024-04-22,307,-15
2024-04-26 08:00:00,2024-04-26 20:32:00,JFK,LAX,American,15 hr 32 min,311,2,"CLT, LAS",2024-04-22,404,12
2024-04-26 16:59:00,2024-04-26 23:58:00,JFK,LAX,50 min FLL,9 hr 59 min,335,1,,2024-04-22,530,47
2024-04-26 05:29:00,2024-04-26 08:33:00,JFK,LAX,JetBlue,6 hr 4 min,394,0,,2024-04-22,402,12
2024-04-26 06:00:00,2024-04-26 09:15:00,JFK,LAX,American,6 hr 15 min,394,0,,2024-04-22,548,52
2024-04-26 07:00:00,2024-04-26 10:14:00,JFK,LAX,American,6 hr 14 min,394,0,,2024-04-22,548,52
2024-04-26 07:30:00,2024-04-26 10:40:00,JFK,LAX,JetBlue,6 hr 10 min,394,0,,2024-04-22,402,12
2024-04-26 09:00:00,2024-04-26 12:29:00,JFK,LAX,American,6 hr 29 min,394,0,,2024-04-22,548,52
2024-04-26 09:30:00,2024-04-26 12:37:00,JFK,LAX,JetBlue,6 hr 7 min,394,0,,2024-04-22,402,12
2024-04-26 10:30:00,2024-04-26 13:36:00,JFK,LAX,JetBlue,6 hr 6 min,394,0,,2024-04-22,402,12
2024-04-26 11:00:00,2024-04-26 14:19:00,JFK,LAX,American,6 hr 19 min,394,0,,2024-04-22,548,52
2024-04-26 15:30:00,2024-04-26 18:57:00,JFK,LAX,American,6 hr 27 min,394,0,,2024-04-22,548,52
2024-04-26 15:50:00,2024-04-26 18:57:00,JFK,LAX,JetBlue,6 hr 7 min,394,0,,2024-04-22,402,12
2024-04-26 17:17:00,2024-04-26 20:35:00,JFK,LAX,JetBlue,6 hr 18 min,394,0,,2024-04-22,402,12
2024-04-26 17:24:00,2024-04-26 20:47:00,JFK,LAX,American,6 hr 23 min,394,0,,2024-04-22,548,52
2024-04-26 20:00:00,2024-04-26 23:27:00,JFK,LAX,American,6 hr 27 min,394,0,,2024-04-22,548,52
2024-04-26 20:05:00,2024-04-26 23:27:00,JFK,LAX,JetBlue,6 hr 22 min,394,0,,2024-04-22,402,12
2024-04-26 21:00:00,2024-04-27 00:19:00,JFK,LAX,American,6 hr 19 min,394,0,,2024-04-22,548,52
2024-04-26 21:29:00,2024-04-27 00:49:00,JFK,LAX,JetBlue,6 hr 20 min,394,0,,2024-04-22,402,12
2024-04-26 11:45:00,2024-04-26 18:41:00,JFK,LAX,Alaska,9 hr 56 min,403,1,1 hr 4 min SEA,2024-04-22,391,9
2024-04-26 07:15:00,2024-04-26 10:24:00,JFK,LAX,Delta,6 hr 9 min,404,0,,2024-04-22,307,-15
2024-04-26 08:15:00,2024-04-26 11:30:00,JFK,LAX,Delta,6 hr 15 min,404,0,,2024-04-22,267,-26
2024-04-26 09:45:00,2024-04-26 13:00:00,JFK,LAX,Delta,6 hr 15 min,404,0,,2024-04-22,307,-15
2024-04-26 14:30:00,2024-04-26 17:42:00,JFK,LAX,Delta,6 hr 12 min,404,0,,2024-04-22,267,-26
2024-04-26 15:55:00,2024-04-26 19:09:00,JFK,LAX,Delta,6 hr 14 min,404,0,,2024-04-22,307,-15
2024-04-26 17:00:00,2024-04-26 20:25:00,JFK,LAX,Delta,6 hr 25 min,404,0,,2024-04-22,307,-15
2024-04-26 18:05:00,2024-04-26 21:33:00,JFK,LAX,Delta,6 hr 28 min,404,0,,2024-04-22,256,-29
2024-04-26 19:15:00,2024-04-26 22:41:00,JFK,LAX,Delta,6 hr 26 min,404,0,,2024-04-22,307,-15
2024-04-27 11:30:00,2024-04-27 17:08:00,JFK,LAX,Sun Country Airlines,8 hr 38 min,223,1,1 hr 39 min MSP,2024-04-22,344,0
2024-04-27 13:00:00,2024-04-27 16:08:00,JFK,LAX,JetBlue,6 hr 8 min,394,0,,2024-04-22,400,11
2024-04-27 16:30:00,2024-04-27 19:51:00,JFK,LAX,American,6 hr 21 min,394,0,,2024-04-22,548,52
2024-04-27 14:30:00,2024-04-27 17:42:00,JFK,LAX,Delta,6 hr 12 min,404,0,,2024-04-22,267,-26
2024-04-27 07:59:00,2024-04-27 20:32:00,JFK,LAX,American,15 hr 33 min,310,2,"CLT, LAS",2024-04-22,404,12
2024-04-27 17:51:00,2024-04-27 23:39:00,JFK,LAX,57 min BOS,8 hr 48 min,335,1,,2024-04-22,497,38
2024-04-27 06:30:00,2024-04-27 09:48:00,JFK,LAX,American,6 hr 18 min,394,0,,2024-04-22,548,52
2024-04-27 07:30:00,2024-04-27 10:49:00,JFK,LAX,American,6 hr 19 min,394,0,,2024-04-22,548,52
2024-04-27 09:00:00,2024-04-27 12:29:00,JFK,LAX,American,6 hr 29 min,394,0,,2024-04-22,548,52
2024-04-27 10:00:00,2024-04-27 13:07:00,JFK,LAX,JetBlue,6 hr 7 min,394,0,,2024-04-22,402,12
2024-04-27 11:00:00,2024-04-27 14:19:00,JFK,LAX,American,6 hr 19 min,394,0,,2024-04-22,548,52
2024-04-27 15:30:00,2024-04-27 18:57:00,JFK,LAX,American,6 hr 27 min,394,0,,2024-04-22,548,52
2024-04-27 17:20:00,2024-04-27 20:34:00,JFK,LAX,JetBlue,6 hr 14 min,394,0,,2024-04-22,402,12
2024-04-27 17:24:00,2024-04-27 20:47:00,JFK,LAX,American,6 hr 23 min,394,0,,2024-04-22,548,52
2024-04-27 20:10:00,2024-04-27 23:38:00,JFK,LAX,American,6 hr 28 min,394,0,,2024-04-22,548,52
2024-04-27 20:52:00,2024-04-28 00:13:00,JFK,LAX,JetBlue,6 hr 21 min,394,0,,2024-04-22,402,12
2024-04-27 21:15:00,2024-04-28 00:36:00,JFK,LAX,American,6 hr 21 min,394,0,,2024-04-22,548,52
2024-04-27 21:52:00,2024-04-28 01:09:00,JFK,LAX,JetBlue,6 hr 17 min,394,0,,2024-04-22,402,12
2024-04-27 07:15:00,2024-04-27 10:24:00,JFK,LAX,Delta,6 hr 9 min,404,0,,2024-04-22,307,-15
2024-04-27 09:45:00,2024-04-27 13:00:00,JFK,LAX,Delta,6 hr 15 min,404,0,,2024-04-22,307,-15
2024-04-27 11:59:00,2024-04-27 15:11:00,JFK,LAX,Delta,6 hr 12 min,404,0,,2024-04-22,307,-15
2024-04-27 15:55:00,2024-04-27 19:09:00,JFK,LAX,Delta,6 hr 14 min,404,0,,2024-04-22,322,-11
2024-04-27 17:00:00,2024-04-27 20:25:00,JFK,LAX,Delta,6 hr 25 min,404,0,,2024-04-22,307,-15
2024-04-28 12:00:00,2024-04-28 15:02:00,JFK,LAX,JetBlue,6 hr 2 min,394,0,,2024-04-22,400,11
2024-04-28 16:30:00,2024-04-28 19:51:00,JFK,LAX,American,6 hr 21 min,394,0,,2024-04-22,548,52
2024-04-28 11:59:00,2024-04-28 15:11:00,JFK,LAX,"Avoids as much CO2e as 3,226 trees absorb in a day",6 hr 12 min,404,0,,2024-04-22,307,-15
2024-04-28 09:00:00,2024-04-28 20:32:00,JFK,LAX,American,14 hr 32 min,342,2,"PHX, LAS",2024-04-22,398,11
2024-04-28 11:25:00,2024-04-28 22:48:00,JFK,LAX,Sun Country Airlines,14 hr 23 min,353,1,7 hr 24 min MSP,2024-04-22,344,0
2024-04-28 05:29:00,2024-04-28 08:33:00,JFK,LAX,JetBlue,6 hr 4 min,394,0,,2024-04-22,402,12
2024-04-28 06:00:00,2024-04-28 09:15:00,JFK,LAX,American,6 hr 15 min,394,0,,2024-04-22,548,52
2024-04-28 07:00:00,2024-04-28 10:14:00,JFK,LAX,American,6 hr 14 min,394,0,,2024-04-22,548,52
2024-04-28 07:30:00,2024-04-28 10:40:00,JFK,LAX,JetBlue,6 hr 10 min,394,0,,2024-04-22,402,12
2024-04-28 09:00:00,2024-04-28 12:29:00,JFK,LAX,American,6 hr 29 min,394,0,,2024-04-22,548,52
2024-04-28 09:30:00,2024-04-28 12:37:00,JFK,LAX,JetBlue,6 hr 7 min,394,0,,2024-04-22,402,12
2024-04-28 10:30:00,2024-04-28 13:36:00,JFK,LAX,JetBlue,6 hr 6 min,394,0,,2024-04-22,402,12
2024-04-28 11:00:00,2024-04-28 14:19:00,JFK,LAX,American,6 hr 19 min,394,0,,2024-04-22,548,52
2024-04-28 15:30:00,2024-04-28 18:57:00,JFK,LAX,American,6 hr 27 min,394,0,,2024-04-22,548,52
2024-04-28 15:50:00,2024-04-28 18:57:00,JFK,LAX,JetBlue,6 hr 7 min,394,0,,2024-04-22,402,12
2024-04-28 17:17:00,2024-04-28 20:35:00,JFK,LAX,JetBlue,6 hr 18 min,394,0,,2024-04-22,402,12
2024-04-28 17:24:00,2024-04-28 20:47:00,JFK,LAX,American,6 hr 23 min,394,0,,2024-04-22,548,52
2024-04-28 20:00:00,2024-04-28 23:27:00,JFK,LAX,American,6 hr 27 min,394,0,,2024-04-22,548,52
