Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 09:00:00,2024-04-25 11:01:00,JFK,ORD,American,3 hr 1 min,240,0,,2024-04-23,131,18
2024-04-25 15:40:00,2024-04-25 17:31:00,JFK,ORD,American,2 hr 51 min,240,0,,2024-04-23,107,0
2024-04-25 11:30:00,2024-04-25 13:20:00,JFK,ORD,Delta,2 hr 50 min,250,0,,2024-04-23,142,28
2024-04-25 16:00:00,2024-04-25 17:55:00,JFK,ORD,Delta,2 hr 55 min,250,0,,2024-04-23,142,28
2024-04-25 07:05:00,2024-04-25 08:55:00,JFK,ORD,JetBlue,2 hr 50 min,240,0,,2024-04-23,170,53
2024-04-25 19:35:00,2024-04-25 21:34:00,JFK,ORD,Delta,2 hr 59 min,250,0,,2024-04-23,142,28
2024-04-25 12:59:00,2024-04-25 16:35:00,JFK,ORD,Delta,4 hr 36 min,259,1,1 hr 10 min DTW,2024-04-23,202,82
2024-04-26 07:05:00,2024-04-26 08:55:00,JFK,ORD,JetBlue,2 hr 50 min,214,0,,2024-04-23,170,53
2024-04-26 09:00:00,2024-04-26 11:01:00,JFK,ORD,American,3 hr 1 min,214,0,,2024-04-23,131,18
2024-04-26 11:30:00,2024-04-26 13:20:00,JFK,ORD,Delta,2 hr 50 min,224,0,,2024-04-23,142,28
2024-04-26 15:40:00,2024-04-26 17:31:00,JFK,ORD,American,2 hr 51 min,214,0,,2024-04-23,107,0
2024-04-26 08:30:00,2024-04-26 10:19:00,JFK,ORD,Delta,2 hr 49 min,224,0,,2024-04-23,151,36
2024-04-26 19:35:00,2024-04-26 21:34:00,JFK,ORD,Delta,2 hr 59 min,224,0,,2024-04-23,142,28
2024-04-26 12:59:00,2024-04-26 16:35:00,JFK,ORD,Delta,4 hr 36 min,233,1,1 hr 10 min DTW,2024-04-23,202,82
2024-04-27 07:05:00,2024-04-27 08:51:00,JFK,ORD,JetBlue,2 hr 46 min,214,0,,2024-04-23,170,53
2024-04-27 09:00:00,2024-04-27 11:01:00,JFK,ORD,American,3 hr 1 min,214,0,,2024-04-23,131,18
2024-04-27 11:30:00,2024-04-27 13:20:00,JFK,ORD,Delta,2 hr 50 min,224,0,,2024-04-23,142,28
2024-04-27 15:40:00,2024-04-27 17:31:00,JFK,ORD,American,2 hr 51 min,214,0,,2024-04-23,107,0
2024-04-27 08:30:00,2024-04-27 10:19:00,JFK,ORD,Delta,2 hr 49 min,224,0,,2024-04-23,151,36
2024-04-27 16:00:00,2024-04-27 17:55:00,JFK,ORD,Delta,2 hr 55 min,224,0,,2024-04-23,142,28
2024-04-27 19:35:00,2024-04-27 21:34:00,JFK,ORD,Delta,2 hr 59 min,224,0,,2024-04-23,142,28
2024-04-28 15:40:00,2024-04-28 17:31:00,JFK,ORD,American,2 hr 51 min,214,0,,2024-04-23,107,0
