Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 23:59:00,2024-04-26 06:03:00,LAX,ORD,Spirit,4 hr 4 min,267,0,,2024-04-24,161,-27
2024-04-25 10:15:00,2024-04-25 16:25:00,LAX,ORD,United,4 hr 10 min,311,0,,2024-04-24,240,9
2024-04-25 13:35:00,2024-04-25 19:38:00,LAX,ORD,American,4 hr 3 min,351,0,,2024-04-24,208,-6
2024-04-25 13:45:00,2024-04-26 06:29:00,LAX,ORD,Spirit,14 hr 44 min,254,1,9 hr 55 min LAS,2024-04-24,195,-12
2024-04-25 20:51:00,2024-04-26 06:29:00,LAX,ORD,"Alaska, Spirit",7 hr 38 min,263,1,2 hr 48 min LAS,2024-04-24,193,-13
2024-04-25 06:00:00,2024-04-25 12:05:00,LAX,ORD,United,4 hr 5 min,311,0,,2024-04-24,183,-17
2024-04-25 07:00:00,2024-04-25 13:11:00,LAX,ORD,United,4 hr 11 min,311,0,,2024-04-24,240,9
2024-04-25 08:42:00,2024-04-25 14:52:00,LAX,ORD,United,4 hr 10 min,311,0,,2024-04-24,211,0
2024-04-25 12:45:00,2024-04-25 18:55:00,LAX,ORD,United,4 hr 10 min,311,0,,2024-04-24,240,9
2024-04-25 14:17:00,2024-04-25 20:25:00,LAX,ORD,United,4 hr 8 min,311,0,,2024-04-24,183,-17
2024-04-25 17:51:00,2024-04-25 23:59:00,LAX,ORD,United,4 hr 8 min,311,0,,2024-04-24,240,9
2024-04-25 22:59:00,2024-04-26 05:04:00,LAX,ORD,United,4 hr 5 min,311,0,,2024-04-24,298,35
2024-04-25 23:59:00,2024-04-26 05:59:00,LAX,ORD,United,4 hr,311,0,,2024-04-24,236,7
2024-04-25 00:15:00,2024-04-25 06:13:00,LAX,ORD,American,3 hr 58 min,351,0,,2024-04-24,193,-13
2024-04-25 06:00:00,2024-04-25 12:10:00,LAX,ORD,American,4 hr 10 min,351,0,,2024-04-24,208,-6
2024-04-25 07:59:00,2024-04-25 14:08:00,LAX,ORD,American,4 hr 9 min,351,0,,2024-04-24,208,-6
2024-04-25 09:45:00,2024-04-25 15:50:00,LAX,ORD,American,4 hr 5 min,351,0,,2024-04-24,208,-6
2024-04-25 11:27:00,2024-04-25 17:32:00,LAX,ORD,American,4 hr 5 min,351,0,,2024-04-24,208,-6
2024-04-25 17:31:00,2024-04-25 23:34:00,LAX,ORD,American,4 hr 3 min,351,0,,2024-04-24,223,0
2024-04-26 09:45:00,2024-04-26 15:50:00,LAX,ORD,American,4 hr 5 min,429,0,,2024-04-24,208,-6
2024-04-26 11:27:00,2024-04-26 17:32:00,LAX,ORD,American,4 hr 5 min,429,0,,2024-04-24,208,-6
2024-04-26 12:45:00,2024-04-26 18:50:00,LAX,ORD,United,4 hr 5 min,429,0,,2024-04-24,240,9
2024-04-26 13:35:00,2024-04-26 19:38:00,LAX,ORD,Avoids as much CO2e as 791 trees absorb in a day,4 hr 3 min,429,0,,2024-04-24,208,-6
2024-04-26 19:36:00,2024-04-27 06:29:00,LAX,ORD,Spirit,8 hr 53 min,174,1,4 hr 4 min LAS,2024-04-24,195,-12
2024-04-26 20:51:00,2024-04-27 06:29:00,LAX,ORD,"Alaska, Spirit",7 hr 38 min,227,1,2 hr 48 min LAS,2024-04-24,201,-9
2024-04-26 21:30:00,2024-04-27 11:51:00,LAX,ORD,United,12 hr 21 min,314,1,6 hr 28 min SFO,2024-04-24,294,33
2024-04-26 23:59:00,2024-04-27 06:03:00,LAX,ORD,Spirit,4 hr 4 min,407,0,,2024-04-24,161,-27
2024-04-26 00:15:00,2024-04-26 06:13:00,LAX,ORD,American,3 hr 58 min,429,0,,2024-04-24,193,-13
2024-04-26 06:00:00,2024-04-26 12:05:00,LAX,ORD,United,4 hr 5 min,429,0,,2024-04-24,183,-17
2024-04-26 06:00:00,2024-04-26 12:10:00,LAX,ORD,American,4 hr 10 min,429,0,,2024-04-24,208,-6
2024-04-26 06:45:00,2024-04-26 12:50:00,LAX,ORD,United,4 hr 5 min,429,0,,2024-04-24,211,0
