Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 11:00:00,2024-04-25 15:37:00,ATL,DEN,Frontier,6 hr 37 min,159.0,1,1 hr 37 min DFW,2024-04-23,187,13
2024-04-25 22:25:00,2024-04-25 23:56:00,ATL,DEN,Frontier,3 hr 31 min,300.0,0,,2024-04-23,122,-27
2024-04-25 13:43:00,2024-04-25 14:59:00,ATL,DEN,Delta,3 hr 16 min,409.0,0,,2024-04-23,165,0
2024-04-25 12:50:00,2024-04-25 14:10:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,179,8
2024-04-25 05:30:00,2024-04-25 11:12:00,ATL,DEN,Frontier,7 hr 42 min,159.0,1,2 hr 27 min IAH,2024-04-23,182,10
2024-04-25 16:08:00,2024-04-25 20:22:00,ATL,DEN,Frontier,6 hr 14 min,159.0,1,1 hr ORD,2024-04-23,216,30
2024-04-25 16:59:00,2024-04-25 23:58:00,ATL,DEN,Frontier,8 hr 59 min,159.0,1,3 hr 44 min IAH,2024-04-23,206,24
2024-04-25 20:25:00,2024-04-26 00:41:00,ATL,DEN,Frontier,6 hr 16 min,159.0,1,1 hr 26 min MDW,2024-04-23,184,11
2024-04-25 05:02:00,2024-04-25 09:13:00,ATL,DEN,American,6 hr 11 min,338.0,1,1 hr 16 min CLT,2024-04-23,268,61
2024-04-25 06:30:00,2024-04-25 14:43:00,ATL,DEN,United,10 hr 13 min,406.0,1,5 hr 12 min ORD,2024-04-23,237,43
2024-04-25 07:30:00,2024-04-25 08:55:00,ATL,DEN,United,3 hr 25 min,409.0,0,,2024-04-23,189,14
2024-04-25 07:55:00,2024-04-25 09:13:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-25 09:40:00,2024-04-25 10:57:00,ATL,DEN,Delta,3 hr 17 min,409.0,0,,2024-04-23,165,0
2024-04-25 11:10:00,2024-04-25 12:37:00,ATL,DEN,United,3 hr 27 min,409.0,0,,2024-04-23,175,0
2024-04-25 11:30:00,2024-04-25 12:48:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-25 15:15:00,2024-04-25 16:34:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,165,0
2024-04-25 16:15:00,2024-04-25 17:43:00,ATL,DEN,United,3 hr 28 min,409.0,0,,2024-04-23,175,0
2024-04-25 17:59:00,2024-04-25 19:17:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-25 19:59:00,2024-04-25 21:19:00,ATL,DEN,Delta,3 hr 20 min,409.0,0,,2024-04-23,165,0
2024-04-25 21:10:00,2024-04-25 22:29:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,165,0
2024-04-25 22:29:00,2024-04-25 23:48:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,161,0
2024-04-25 06:00:00,2024-04-25 07:20:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,179,8
2024-04-25 09:40:00,2024-04-25 11:00:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,158,0
2024-04-25 15:40:00,2024-04-25 17:00:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,179,8
2024-04-26 16:08:00,2024-04-26 20:22:00,ATL,DEN,Frontier,6 hr 14 min,169.0,1,1 hr ORD,2024-04-23,216,30
2024-04-26 12:42:00,2024-04-26 14:11:00,ATL,DEN,"Avoids as much CO2e as 2,739 trees absorb in a day",3 hr 29 min,269.0,0,,2024-04-23,121,-27
2024-04-26 13:43:00,2024-04-26 14:59:00,ATL,DEN,Delta,3 hr 16 min,409.0,0,,2024-04-23,165,0
2024-04-26 12:50:00,2024-04-26 14:10:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,179,8
2024-04-26 17:30:00,2024-04-26 23:16:00,ATL,DEN,Frontier,7 hr 46 min,169.0,1,1 hr 15 min PHL,2024-04-23,237,43
2024-04-26 19:54:00,2024-04-27 00:42:00,ATL,DEN,Frontier,6 hr 48 min,169.0,1,1 hr 46 min DFW,2024-04-23,169,0
2024-04-26 11:00:00,2024-04-26 16:54:00,ATL,DEN,Frontier,7 hr 54 min,189.0,1,2 hr 53 min DFW,2024-04-23,169,0
2024-04-26 22:21:00,2024-04-26 23:52:00,ATL,DEN,Frontier,3 hr 31 min,269.0,0,,2024-04-23,122,-27
2024-04-26 05:02:00,2024-04-26 09:13:00,ATL,DEN,American,6 hr 11 min,338.0,1,1 hr 16 min CLT,2024-04-23,268,61
2024-04-26 07:30:00,2024-04-26 08:55:00,ATL,DEN,United,3 hr 25 min,409.0,0,,2024-04-23,189,14
2024-04-26 07:55:00,2024-04-26 09:13:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-26 09:40:00,2024-04-26 10:57:00,ATL,DEN,Delta,3 hr 17 min,409.0,0,,2024-04-23,165,0
2024-04-26 11:10:00,2024-04-26 12:37:00,ATL,DEN,United,3 hr 27 min,409.0,0,,2024-04-23,175,0
2024-04-26 11:30:00,2024-04-26 12:48:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-26 15:15:00,2024-04-26 16:34:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,165,0
2024-04-26 16:15:00,2024-04-26 17:43:00,ATL,DEN,United,3 hr 28 min,409.0,0,,2024-04-23,175,0
2024-04-26 17:59:00,2024-04-26 19:17:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-26 19:59:00,2024-04-26 21:19:00,ATL,DEN,Delta,3 hr 20 min,409.0,0,,2024-04-23,165,0
2024-04-26 21:10:00,2024-04-26 22:29:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,165,0
2024-04-26 22:29:00,2024-04-26 23:48:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,161,0
2024-04-26 06:00:00,2024-04-26 07:20:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,179,8
2024-04-26 09:40:00,2024-04-26 11:00:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,158,0
2024-04-26 15:40:00,2024-04-26 17:00:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,179,8
2024-04-27 16:08:00,2024-04-27 20:22:00,ATL,DEN,Frontier,6 hr 14 min,129.0,1,1 hr ORD,2024-04-23,216,30
2024-04-27 12:42:00,2024-04-27 14:11:00,ATL,DEN,Frontier,3 hr 29 min,269.0,0,,2024-04-23,121,-27
2024-04-27 13:43:00,2024-04-27 14:59:00,ATL,DEN,Delta,3 hr 16 min,409.0,0,,2024-04-23,165,0
2024-04-27 11:00:00,2024-04-27 12:20:00,ATL,DEN,Price unavailable,3 hr 20 min,,0,,2024-04-23,179,8
2024-04-27 17:40:00,2024-04-27 23:06:00,ATL,DEN,55 min PHL,7 hr 26 min,129.0,1,,2024-04-23,237,43
2024-04-27 18:15:00,2024-04-27 23:26:00,ATL,DEN,55 min MCO,7 hr 11 min,129.0,1,,2024-04-23,205,23
2024-04-27 06:00:00,2024-04-27 11:16:00,ATL,DEN,Frontier,7 hr 16 min,159.0,1,2 hr 2 min IAH,2024-04-23,183,10
2024-04-27 10:45:00,2024-04-27 16:19:00,ATL,DEN,Frontier,7 hr 34 min,210.0,1,2 hr 31 min DFW,2024-04-23,170,0
2024-04-27 22:12:00,2024-04-27 23:43:00,ATL,DEN,Frontier,3 hr 31 min,269.0,0,,2024-04-23,122,-27
2024-04-27 14:43:00,2024-04-27 21:57:00,ATL,DEN,United,9 hr 14 min,271.0,1,4 hr 8 min ORD,2024-04-23,232,40
2024-04-27 11:00:00,2024-04-27 15:15:00,ATL,DEN,American,6 hr 15 min,338.0,1,1 hr 6 min CLT,2024-04-23,277,67
2024-04-27 07:55:00,2024-04-27 09:13:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-27 09:00:00,2024-04-27 10:27:00,ATL,DEN,United,3 hr 27 min,409.0,0,,2024-04-23,189,14
2024-04-27 09:40:00,2024-04-27 10:57:00,ATL,DEN,Delta,3 hr 17 min,409.0,0,,2024-04-23,165,0
2024-04-27 11:10:00,2024-04-27 12:37:00,ATL,DEN,United,3 hr 27 min,409.0,0,,2024-04-23,175,0
2024-04-27 11:30:00,2024-04-27 12:48:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-27 15:15:00,2024-04-27 16:34:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,165,0
2024-04-27 16:15:00,2024-04-27 17:43:00,ATL,DEN,United,3 hr 28 min,409.0,0,,2024-04-23,189,14
2024-04-27 17:59:00,2024-04-27 19:17:00,ATL,DEN,Delta,3 hr 18 min,409.0,0,,2024-04-23,165,0
2024-04-27 19:59:00,2024-04-27 21:19:00,ATL,DEN,Delta,3 hr 20 min,409.0,0,,2024-04-23,165,0
2024-04-27 21:10:00,2024-04-27 22:29:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,165,0
2024-04-27 06:50:00,2024-04-27 08:05:00,ATL,DEN,Price unavailable,3 hr 15 min,,0,,2024-04-23,158,0
2024-04-28 22:24:00,2024-04-28 23:55:00,ATL,DEN,"Avoids as much CO2e as 2,679 trees absorb in a day",3 hr 31 min,269.0,0,,2024-04-23,122,-27
2024-04-28 11:10:00,2024-04-28 12:37:00,ATL,DEN,United,3 hr 27 min,409.0,0,,2024-04-23,175,0
2024-04-28 15:15:00,2024-04-28 16:34:00,ATL,DEN,Delta,3 hr 19 min,409.0,0,,2024-04-23,165,0
