Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 11:00:00,2024-04-25 12:42:00,ATL,DFW,Frontier,2 hr 42 min,105.0,0,,2024-04-23,91,-26
2024-04-25 20:50:00,2024-04-25 22:09:00,ATL,DFW,Spirit,2 hr 19 min,114.0,0,,2024-04-23,88,-28
2024-04-25 12:57:00,2024-04-25 14:27:00,ATL,DFW,American,2 hr 30 min,186.0,0,,2024-04-23,121,0
2024-04-25 16:29:00,2024-04-25 17:44:00,ATL,DAL,Delta,2 hr 15 min,221.0,0,,2024-04-23,144,17
2024-04-25 09:10:00,2024-04-25 10:30:00,ATL,DAL,Price unavailable,2 hr 20 min,,0,,2024-04-23,117,0
2024-04-25 06:00:00,2024-04-25 07:31:00,ATL,DFW,American,2 hr 31 min,186.0,0,,2024-04-23,121,0
2024-04-25 07:30:00,2024-04-25 09:01:00,ATL,DFW,American,2 hr 31 min,186.0,0,,2024-04-23,121,0
2024-04-25 11:25:00,2024-04-25 13:04:00,ATL,DFW,American,2 hr 39 min,186.0,0,,2024-04-23,121,0
2024-04-25 18:28:00,2024-04-25 19:58:00,ATL,DFW,American,2 hr 30 min,186.0,0,,2024-04-23,115,-7
2024-04-25 22:37:00,2024-04-25 23:59:00,ATL,DFW,Delta,2 hr 22 min,186.0,0,,2024-04-23,118,0
2024-04-25 18:53:00,2024-04-25 20:44:00,ATL,DFW,Frontier,2 hr 51 min,188.0,0,,2024-04-23,90,-27
2024-04-25 21:00:00,2024-04-25 22:22:00,ATL,DFW,Delta,2 hr 22 min,221.0,0,,2024-04-23,120,0
2024-04-25 07:10:00,2024-04-25 08:32:00,ATL,DFW,Delta,2 hr 22 min,269.0,0,,2024-04-23,118,0
2024-04-25 11:15:00,2024-04-25 12:37:00,ATL,DFW,Delta,2 hr 22 min,269.0,0,,2024-04-23,120,0
2024-04-25 16:28:00,2024-04-25 17:59:00,ATL,DFW,American,2 hr 31 min,292.0,0,,2024-04-23,121,0
2024-04-25 20:19:00,2024-04-25 21:49:00,ATL,DFW,American,2 hr 30 min,292.0,0,,2024-04-23,121,0
2024-04-25 09:00:00,2024-04-25 10:22:00,ATL,DFW,Delta,2 hr 22 min,359.0,0,,2024-04-23,120,0
2024-04-25 09:15:00,2024-04-25 10:30:00,ATL,DAL,Delta,2 hr 15 min,359.0,0,,2024-04-23,144,17
2024-04-25 13:41:00,2024-04-25 15:00:00,ATL,DFW,Delta,2 hr 19 min,359.0,0,,2024-04-23,120,0
2024-04-25 14:00:00,2024-04-25 15:15:00,ATL,DAL,Delta,2 hr 15 min,359.0,0,,2024-04-23,130,6
2024-04-25 16:07:00,2024-04-25 17:29:00,ATL,DFW,Delta,2 hr 22 min,359.0,0,,2024-04-23,118,0
2024-04-25 18:40:00,2024-04-25 20:00:00,ATL,DFW,Delta,2 hr 20 min,359.0,0,,2024-04-23,120,0
2024-04-25 22:35:00,2024-04-25 23:50:00,ATL,DAL,Delta,2 hr 15 min,439.0,0,,2024-04-23,144,17
2024-04-25 07:00:00,2024-04-25 08:10:00,ATL,DAL,Price unavailable,2 hr 10 min,,0,,2024-04-23,117,0
2024-04-25 15:00:00,2024-04-25 16:10:00,ATL,DAL,Price unavailable,2 hr 10 min,,0,,2024-04-23,98,-20
2024-04-25 18:10:00,2024-04-25 19:20:00,ATL,DAL,Price unavailable,2 hr 10 min,,0,,2024-04-23,98,-20
2024-04-26 11:00:00,2024-04-26 12:42:00,ATL,DFW,Frontier,2 hr 42 min,183.0,0,,2024-04-23,91,-26
2024-04-26 16:00:00,2024-04-26 17:20:00,ATL,DFW,Spirit,2 hr 20 min,184.0,0,,2024-04-23,88,-28
2024-04-26 14:00:00,2024-04-26 15:15:00,ATL,DAL,Delta,2 hr 15 min,292.0,0,,2024-04-23,130,6
2024-04-26 09:10:00,2024-04-26 10:30:00,ATL,DAL,Price unavailable,2 hr 20 min,,0,,2024-04-23,117,0
2024-04-26 12:30:00,2024-04-27 01:15:00,ATL,DFW,Frontier,13 hr 45 min,145.0,1,9 hr 3 min RDU,2024-04-23,175,42
2024-04-26 22:21:00,2024-04-27 08:00:00,ATL,DFW,Frontier,10 hr 39 min,145.0,1,5 hr 9 min DEN,2024-04-23,199,62
2024-04-26 19:54:00,2024-04-26 21:43:00,ATL,DFW,Frontier,2 hr 49 min,183.0,0,,2024-04-23,91,-26
2024-04-26 06:00:00,2024-04-26 07:31:00,ATL,DFW,American,2 hr 31 min,292.0,0,,2024-04-23,121,0
2024-04-26 07:10:00,2024-04-26 08:32:00,ATL,DFW,Delta,2 hr 22 min,292.0,0,,2024-04-23,118,0
2024-04-26 07:30:00,2024-04-26 09:01:00,ATL,DFW,American,2 hr 31 min,292.0,0,,2024-04-23,121,0
2024-04-26 09:00:00,2024-04-26 10:22:00,ATL,DFW,Delta,2 hr 22 min,292.0,0,,2024-04-23,120,0
2024-04-26 11:15:00,2024-04-26 12:37:00,ATL,DFW,Delta,2 hr 22 min,292.0,0,,2024-04-23,120,0
