Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 14:16:00,2024-04-25 16:38:00,ATL,JFK,JetBlue,2 hr 22 min,259,0,,2024-04-23,121,0
2024-04-25 10:05:00,2024-04-25 12:24:00,ATL,JFK,Delta,2 hr 19 min,319,0,,2024-04-23,116,0
2024-04-25 12:15:00,2024-04-25 14:33:00,ATL,JFK,Delta,2 hr 18 min,319,0,,2024-04-23,162,33
2024-04-25 05:02:00,2024-04-25 09:30:00,ATL,JFK,American,4 hr 28 min,160,1,1 hr 14 min CLT,2024-04-23,188,54
2024-04-25 05:26:00,2024-04-25 12:31:00,ATL,JFK,American,7 hr 5 min,161,1,2 hr 5 min MIA,2024-04-23,224,84
2024-04-25 08:57:00,2024-04-25 15:30:00,ATL,JFK,American,6 hr 33 min,194,1,3 hr 10 min CLT,2024-04-23,183,50
2024-04-25 14:04:00,2024-04-25 20:59:00,ATL,JFK,American,6 hr 55 min,195,1,1 hr 48 min MIA,2024-04-23,232,90
2024-04-25 19:28:00,2024-04-25 22:02:00,ATL,JFK,JetBlue,2 hr 34 min,294,0,,2024-04-23,144,18
2024-04-25 07:05:00,2024-04-25 09:22:00,ATL,JFK,Delta,2 hr 17 min,319,0,,2024-04-23,116,0
2024-04-25 08:10:00,2024-04-25 10:29:00,ATL,JFK,Delta,2 hr 19 min,319,0,,2024-04-23,104,-15
2024-04-25 15:01:00,2024-04-25 17:30:00,ATL,JFK,Delta,2 hr 29 min,319,0,,2024-04-23,116,0
2024-04-25 19:59:00,2024-04-25 22:27:00,ATL,JFK,Delta,2 hr 28 min,319,0,,2024-04-23,116,0
2024-04-25 21:20:00,2024-04-25 23:47:00,ATL,JFK,Delta,2 hr 27 min,319,0,,2024-04-23,116,0
2024-04-26 10:05:00,2024-04-26 12:24:00,ATL,JFK,Delta,2 hr 19 min,319,0,,2024-04-23,116,0
2024-04-26 12:15:00,2024-04-26 14:33:00,ATL,JFK,Delta,2 hr 18 min,319,0,,2024-04-23,162,33
2024-04-26 14:16:00,2024-04-26 16:38:00,ATL,JFK,JetBlue,2 hr 22 min,324,0,,2024-04-23,121,0
