Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-26 21:30:00,2024-04-27 00:53:00,ATL,LAX,30 min LAS,6 hr 23 min,304.0,1,,2024-04-23,250,0
2024-04-26 16:35:00,2024-04-26 18:33:00,ATL,LAX,Spirit,4 hr 58 min,324.0,0,,2024-04-23,211,-16
2024-04-26 17:00:00,2024-04-26 18:54:00,ATL,LAX,AmericanAlaska,4 hr 54 min,326.0,0,,2024-04-23,257,0
2024-04-26 08:00:00,2024-04-26 10:00:00,ATL,LAX,Spirit,5 hr,354.0,0,,2024-04-23,180,-29
2024-04-26 16:40:00,2024-04-26 18:38:00,ATL,LAX,Delta,4 hr 58 min,540.0,0,,2024-04-23,247,0
2024-04-26 18:40:00,2024-04-27 16:05:00,ATL,LAX,Frontier,24 hr 25 min,205.0,1,17 hr 20 min SFO,2024-04-23,252,0
2024-04-26 22:21:00,2024-04-27 20:40:00,ATL,LAX,Frontier,25 hr 19 min,205.0,1,19 hr 11 min DEN,2024-04-23,216,-14
2024-04-26 12:55:00,2024-04-26 18:31:00,ATL,LAX,Spirit,8 hr 36 min,245.0,1,2 hr 37 min MSY,2024-04-23,225,-11
2024-04-26 07:05:00,2024-04-26 09:00:00,ATL,LAX,Delta,4 hr 55 min,599.0,0,,2024-04-23,229,-9
2024-04-26 08:10:00,2024-04-26 09:53:00,ATL,LAX,Delta,4 hr 43 min,599.0,0,,2024-04-23,189,-25
2024-04-26 10:05:00,2024-04-26 12:04:00,ATL,LAX,Delta,4 hr 59 min,599.0,0,,2024-04-23,247,0
2024-04-26 12:20:00,2024-04-26 14:19:00,ATL,LAX,Delta,4 hr 59 min,599.0,0,,2024-04-23,207,-18
2024-04-26 13:20:00,2024-04-26 15:01:00,ATL,LAX,Delta,4 hr 41 min,599.0,0,,2024-04-23,189,-25
2024-04-26 15:10:00,2024-04-26 17:10:00,ATL,LAX,Delta,5 hr,599.0,0,,2024-04-23,247,0
2024-04-26 20:15:00,2024-04-26 22:14:00,ATL,LAX,Delta,4 hr 59 min,599.0,0,,2024-04-23,309,23
2024-04-26 21:25:00,2024-04-26 23:27:00,ATL,LAX,Delta,5 hr 2 min,599.0,0,,2024-04-23,229,-9
2024-04-26 22:55:00,2024-04-27 00:58:00,ATL,LAX,Delta,5 hr 3 min,599.0,0,,2024-04-23,247,0
2024-04-27 08:10:00,2024-04-27 10:10:00,ATL,LAX,"Avoids as much CO2e as 4,383 trees absorb in a day",5 hr,194.0,0,,2024-04-23,180,-29
2024-04-27 18:13:00,2024-04-27 20:12:00,ATL,LAX,Spirit,4 hr 59 min,194.0,0,,2024-04-23,211,-16
2024-04-27 16:40:00,2024-04-27 18:38:00,ATL,LAX,Delta,4 hr 58 min,270.0,0,,2024-04-23,247,0
2024-04-27 17:00:00,2024-04-27 19:01:00,ATL,LAX,AmericanAlaska,5 hr 1 min,270.0,0,,2024-04-23,239,0
2024-04-27 18:30:00,2024-04-27 20:30:00,ATL,LAX,Delta,5 hr,270.0,0,,2024-04-23,229,-9
2024-04-27 12:42:00,2024-04-27 20:40:00,ATL,LAX,Frontier,10 hr 58 min,195.0,1,4 hr 52 min DEN,2024-04-23,215,-15
2024-04-27 06:05:00,2024-04-27 10:02:00,ATL,LAX,50 min IAH,6 hr 57 min,245.0,1,,2024-04-23,217,-14
2024-04-27 07:05:00,2024-04-27 09:00:00,ATL,LAX,Delta,4 hr 55 min,599.0,0,,2024-04-23,229,-9
2024-04-27 08:10:00,2024-04-27 09:53:00,ATL,LAX,Delta,4 hr 43 min,599.0,0,,2024-04-23,189,-25
2024-04-27 10:05:00,2024-04-27 12:04:00,ATL,LAX,Delta,4 hr 59 min,599.0,0,,2024-04-23,247,0
2024-04-27 12:20:00,2024-04-27 14:19:00,ATL,LAX,Delta,4 hr 59 min,599.0,0,,2024-04-23,207,-18
2024-04-27 13:20:00,2024-04-27 15:01:00,ATL,LAX,Delta,4 hr 41 min,599.0,0,,2024-04-23,193,-23
2024-04-27 15:10:00,2024-04-27 17:10:00,ATL,LAX,Delta,5 hr,599.0,0,,2024-04-23,247,0
