Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 16:08:00,2024-04-25 17:27:00,ATL,ORD,"Avoids as much CO2e as 1,278 trees absorb in a day",2 hr 19 min,89,0,,2024-04-24,98,-18
2024-04-25 14:43:00,2024-04-25 15:57:00,ATL,ORD,United,2 hr 14 min,186,0,,2024-04-24,104,-13
2024-04-25 11:33:00,2024-04-25 12:50:00,ATL,ORD,American,2 hr 17 min,216,0,,2024-04-24,151,27
2024-04-25 10:50:00,2024-04-25 16:33:00,ATL,ORD,Spirit,6 hr 43 min,153,1,1 hr 11 min MIA,2024-04-24,224,88
2024-04-25 06:30:00,2024-04-25 07:43:00,ATL,ORD,United,2 hr 13 min,186,0,,2024-04-24,109,-8
2024-04-25 10:05:00,2024-04-25 11:20:00,ATL,ORD,United,2 hr 15 min,186,0,,2024-04-24,121,0
2024-04-25 06:08:00,2024-04-25 07:19:00,ATL,ORD,American,2 hr 11 min,216,0,,2024-04-24,126,6
2024-04-25 19:55:00,2024-04-25 21:05:00,ATL,ORD,Spirit,2 hr 10 min,292,0,,2024-04-24,75,-37
2024-04-25 18:59:00,2024-04-25 20:13:00,ATL,ORD,United,2 hr 14 min,409,0,,2024-04-24,127,7
2024-04-25 07:15:00,2024-04-25 08:19:00,ATL,ORD,Delta,2 hr 4 min,464,0,,2024-04-24,127,7
2024-04-25 10:20:00,2024-04-25 11:22:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,120,0
2024-04-25 13:15:00,2024-04-25 14:15:00,ATL,ORD,Delta,2 hr,464,0,,2024-04-24,127,7
2024-04-25 15:45:00,2024-04-25 16:47:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,127,7
2024-04-25 18:15:00,2024-04-25 19:18:00,ATL,ORD,Delta,2 hr 3 min,464,0,,2024-04-24,127,7
2024-04-25 22:50:00,2024-04-25 23:52:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,127,7
2024-04-25 20:20:00,2024-04-25 21:21:00,ATL,ORD,Delta,2 hr 1 min,499,0,,2024-04-24,127,7
2024-04-26 16:08:00,2024-04-26 17:27:00,ATL,ORD,Frontier,2 hr 19 min,104,0,,2024-04-24,98,-18
2024-04-26 19:55:00,2024-04-26 21:05:00,ATL,ORD,Spirit,2 hr 10 min,152,0,,2024-04-24,75,-37
2024-04-26 13:15:00,2024-04-26 14:15:00,ATL,ORD,Delta,2 hr,464,0,,2024-04-24,127,7
2024-04-26 06:08:00,2024-04-26 07:19:00,ATL,ORD,American,2 hr 11 min,444,0,,2024-04-24,126,6
2024-04-26 06:30:00,2024-04-26 07:43:00,ATL,ORD,United,2 hr 13 min,444,0,,2024-04-24,109,-8
2024-04-26 10:05:00,2024-04-26 11:20:00,ATL,ORD,United,2 hr 15 min,444,0,,2024-04-24,121,0
2024-04-26 11:33:00,2024-04-26 12:50:00,ATL,ORD,American,2 hr 17 min,444,0,,2024-04-24,151,27
2024-04-26 14:43:00,2024-04-26 15:57:00,ATL,ORD,United,2 hr 14 min,444,0,,2024-04-24,104,-13
2024-04-26 17:43:00,2024-04-26 19:00:00,ATL,ORD,American,2 hr 17 min,444,0,,2024-04-24,131,10
2024-04-26 18:59:00,2024-04-26 20:13:00,ATL,ORD,United,2 hr 14 min,444,0,,2024-04-24,109,-8
2024-04-26 07:15:00,2024-04-26 08:19:00,ATL,ORD,Delta,2 hr 4 min,464,0,,2024-04-24,127,7
2024-04-26 10:20:00,2024-04-26 11:22:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,120,0
2024-04-26 15:45:00,2024-04-26 16:47:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,127,7
2024-04-26 20:20:00,2024-04-26 21:21:00,ATL,ORD,Delta,2 hr 1 min,464,0,,2024-04-24,127,7
2024-04-26 22:50:00,2024-04-26 23:52:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,127,7
2024-04-27 16:08:00,2024-04-27 17:27:00,ATL,ORD,Frontier,2 hr 19 min,81,0,,2024-04-24,98,-18
2024-04-27 19:55:00,2024-04-27 21:05:00,ATL,ORD,Spirit,2 hr 10 min,82,0,,2024-04-24,75,-37
2024-04-27 14:43:00,2024-04-27 15:57:00,ATL,ORD,United,2 hr 14 min,136,0,,2024-04-24,104,-13
2024-04-27 06:30:00,2024-04-27 07:43:00,ATL,ORD,United,2 hr 13 min,136,0,,2024-04-24,109,-8
2024-04-27 10:05:00,2024-04-27 11:20:00,ATL,ORD,United,2 hr 15 min,136,0,,2024-04-24,121,0
2024-04-27 19:10:00,2024-04-27 20:24:00,ATL,ORD,United,2 hr 14 min,136,0,,2024-04-24,121,0
2024-04-27 06:08:00,2024-04-27 07:19:00,ATL,ORD,American,2 hr 11 min,216,0,,2024-04-24,126,6
2024-04-27 17:43:00,2024-04-27 19:00:00,ATL,ORD,American,2 hr 17 min,216,0,,2024-04-24,131,10
2024-04-27 11:33:00,2024-04-27 12:50:00,ATL,ORD,American,2 hr 17 min,444,0,,2024-04-24,151,27
2024-04-27 07:15:00,2024-04-27 08:19:00,ATL,ORD,Delta,2 hr 4 min,464,0,,2024-04-24,120,0
2024-04-27 10:20:00,2024-04-27 11:22:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,120,0
2024-04-27 13:15:00,2024-04-27 14:15:00,ATL,ORD,Delta,2 hr,464,0,,2024-04-24,127,7
2024-04-27 15:45:00,2024-04-27 16:47:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,127,7
2024-04-27 18:30:00,2024-04-27 19:31:00,ATL,ORD,Delta,2 hr 1 min,464,0,,2024-04-24,127,7
2024-04-28 16:08:00,2024-04-28 17:27:00,ATL,ORD,Frontier,2 hr 19 min,181,0,,2024-04-24,98,-18
2024-04-28 19:55:00,2024-04-28 21:05:00,ATL,ORD,Spirit,2 hr 10 min,292,0,,2024-04-24,75,-37
2024-04-28 14:43:00,2024-04-28 15:57:00,ATL,ORD,United,2 hr 14 min,444,0,,2024-04-24,104,-13
2024-04-28 17:43:00,2024-04-28 19:00:00,ATL,ORD,American,2 hr 17 min,444,0,,2024-04-24,131,10
2024-04-28 15:45:00,2024-04-28 16:47:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,127,7
2024-04-28 21:42:00,2024-04-29 23:43:00,ATL,ORD,Frontier,27 hr 1 min,162,1,22 hr 6 min MCO,2024-04-24,185,55
2024-04-28 18:54:00,2024-04-29 01:26:00,ATL,ORD,Spirit,7 hr 32 min,168,1,2 hr 51 min MCO,2024-04-24,173,45
2024-04-28 06:08:00,2024-04-28 07:19:00,ATL,ORD,American,2 hr 11 min,444,0,,2024-04-24,126,6
2024-04-28 06:30:00,2024-04-28 07:43:00,ATL,ORD,United,2 hr 13 min,444,0,,2024-04-24,121,0
2024-04-28 10:05:00,2024-04-28 11:20:00,ATL,ORD,United,2 hr 15 min,444,0,,2024-04-24,121,0
2024-04-28 11:33:00,2024-04-28 12:50:00,ATL,ORD,American,2 hr 17 min,444,0,,2024-04-24,151,27
2024-04-28 18:50:00,2024-04-28 20:10:00,ATL,ORD,United,2 hr 20 min,444,0,,2024-04-24,118,0
2024-04-28 07:15:00,2024-04-28 08:19:00,ATL,ORD,Delta,2 hr 4 min,464,0,,2024-04-24,127,7
2024-04-28 10:20:00,2024-04-28 11:22:00,ATL,ORD,Delta,2 hr 2 min,464,0,,2024-04-24,120,0
2024-04-28 13:15:00,2024-04-28 14:15:00,ATL,ORD,Delta,2 hr,464,0,,2024-04-24,127,7
2024-04-28 18:15:00,2024-04-28 19:18:00,ATL,ORD,Delta,2 hr 3 min,464,0,,2024-04-24,127,7
2024-04-28 20:20:00,2024-04-28 21:21:00,ATL,ORD,Delta,2 hr 1 min,464,0,,2024-04-24,127,7
2024-04-29 16:08:00,2024-04-29 17:27:00,ATL,ORD,"Avoids as much CO2e as 1,278 trees absorb in a day",2 hr 19 min,81,0,,2024-04-24,98,-18
2024-04-29 14:43:00,2024-04-29 15:57:00,ATL,ORD,United,2 hr 14 min,186,0,,2024-04-24,104,-13
2024-04-29 17:43:00,2024-04-29 19:00:00,ATL,ORD,American,2 hr 17 min,216,0,,2024-04-24,131,10
