Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 12:58:00,2024-04-25 22:29:00,DEN,ATL,Frontier,7 hr 31 min,159.0,1,2 hr 58 min IAH,2024-04-24,205.0,22.0
2024-04-25 00:53:00,2024-04-25 05:55:00,DEN,ATL,Frontier,3 hr 2 min,300.0,0,,2024-04-24,121.0,-28.0
2024-04-25 12:02:00,2024-04-25 16:54:00,DEN,ATL,Delta,2 hr 52 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-25 12:15:00,2024-04-25 17:05:00,DEN,ATL,Price unavailable,2 hr 50 min,,0,,2024-04-24,136.0,-19.0
2024-04-25 05:11:00,2024-04-25 17:48:00,DEN,ATL,Frontier,10 hr 37 min,165.0,1,6 hr 20 min DFW,2024-04-24,169.0,0.0
2024-04-25 16:10:00,2024-04-25 23:39:00,DEN,ATL,American,5 hr 29 min,338.0,1,1 hr 7 min CLT,2024-04-24,270.0,61.0
2024-04-25 10:38:00,2024-04-25 17:34:00,DEN,ATL,47 min DFW,4 hr 56 min,339.0,1,,2024-04-24,227.0,35.0
2024-04-25 23:55:00,2024-04-26 11:03:00,DEN,ATL,JetBlue,9 hr 8 min,366.0,1,2 hr 25 min BOS,2024-04-24,390.0,132.0
2024-04-25 00:45:00,2024-04-25 05:35:00,DEN,ATL,Delta,2 hr 50 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-25 06:00:00,2024-04-25 10:54:00,DEN,ATL,Delta,2 hr 54 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-25 07:05:00,2024-04-25 11:56:00,DEN,ATL,Delta,2 hr 51 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-25 08:05:00,2024-04-25 13:03:00,DEN,ATL,Delta,2 hr 58 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-25 10:40:00,2024-04-25 15:35:00,DEN,ATL,Delta,2 hr 55 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-25 13:53:00,2024-04-25 18:45:00,DEN,ATL,Delta,2 hr 52 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-25 16:55:00,2024-04-25 21:50:00,DEN,ATL,Delta,2 hr 55 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-25 17:48:00,2024-04-25 22:49:00,DEN,ATL,United,3 hr 1 min,409.0,0,,2024-04-24,187.0,11.0
2024-04-25 18:30:00,2024-04-25 23:24:00,DEN,ATL,Delta,2 hr 54 min,409.0,0,,2024-04-24,161.0,0.0
2024-04-25 13:26:00,2024-04-25 18:27:00,DEN,ATL,United,3 hr 1 min,519.0,0,,2024-04-24,187.0,11.0
2024-04-25 05:05:00,2024-04-25 10:00:00,DEN,ATL,Price unavailable,2 hr 55 min,,0,,2024-04-24,183.0,9.0
2024-04-25 08:20:00,2024-04-25 13:10:00,DEN,ATL,Price unavailable,2 hr 50 min,,0,,2024-04-24,183.0,9.0
2024-04-25 15:20:00,2024-04-25 20:10:00,DEN,ATL,Price unavailable,2 hr 50 min,,0,,2024-04-24,136.0,-19.0
2024-04-26 05:11:00,2024-04-26 16:10:00,DEN,ATL,Frontier,8 hr 59 min,175.0,1,4 hr 39 min CVG,2024-04-24,175.0,0.0
2024-04-26 00:51:00,2024-04-26 05:53:00,DEN,ATL,Frontier,3 hr 2 min,269.0,0,,2024-04-24,121.0,-28.0
2024-04-26 06:31:00,2024-04-26 11:37:00,DEN,ATL,"Avoids as much CO2e as 2,922 trees absorb in a day",3 hr 6 min,269.0,0,,2024-04-24,120.0,-29.0
2024-04-26 12:02:00,2024-04-26 16:54:00,DEN,ATL,Delta,2 hr 52 min,409.0,0,,2024-04-24,166.0,0.0
2024-04-26 13:26:00,2024-04-26 18:27:00,DEN,ATL,United,3 hr 1 min,409.0,0,,2024-04-24,187.0,11.0
2024-04-26 12:15:00,2024-04-26 17:05:00,DEN,ATL,Price unavailable,2 hr 50 min,,0,,2024-04-24,136.0,-19.0
