Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 12:52:00,2024-04-25 21:29:00,DEN,JFK,56 min DFW,6 hr 37 min,204,1,,2024-04-24,284,30
2024-04-25 06:30:00,2024-04-25 12:19:00,DEN,JFK,Delta,3 hr 49 min,254,0,,2024-04-24,207,0
2024-04-25 12:44:00,2024-04-25 18:45:00,DEN,JFK,"Avoids as much CO2e as 2,009 trees absorb in a day",4 hr 1 min,254,0,,2024-04-24,186,-15
2024-04-25 23:59:00,2024-04-26 05:48:00,DEN,JFK,Delta,3 hr 49 min,254,0,,2024-04-24,186,-15
2024-04-25 23:59:00,2024-04-26 05:47:00,DEN,JFK,JetBlue,3 hr 48 min,254,0,,2024-04-24,227,0
2024-04-25 10:07:00,2024-04-25 19:59:00,DEN,JFK,American,7 hr 52 min,203,1,2 hr 26 min CLT,2024-04-24,263,20
2024-04-25 05:00:00,2024-04-25 13:30:00,DEN,JFK,52 min DFW,6 hr 30 min,204,1,,2024-04-24,290,32
2024-04-25 10:50:00,2024-04-25 20:29:00,DEN,JFK,American,7 hr 39 min,204,1,2 hr 56 min ORD,2024-04-24,275,26
2024-04-26 06:30:00,2024-04-26 12:19:00,DEN,JFK,Delta,3 hr 49 min,254,0,,2024-04-24,207,0
2024-04-26 12:44:00,2024-04-26 18:45:00,DEN,JFK,"Avoids as much CO2e as 2,009 trees absorb in a day",4 hr 1 min,254,0,,2024-04-24,186,-15
2024-04-26 23:59:00,2024-04-27 05:47:00,DEN,JFK,JetBlue,3 hr 48 min,254,0,,2024-04-24,227,0
2024-04-26 23:59:00,2024-04-27 09:30:00,DEN,JFK,American,7 hr 31 min,203,1,2 hr 20 min CLT,2024-04-24,286,31
2024-04-26 05:00:00,2024-04-26 13:29:00,DEN,JFK,51 min DFW,6 hr 29 min,204,1,,2024-04-24,290,32
2024-04-26 10:50:00,2024-04-26 20:29:00,DEN,JFK,American,7 hr 39 min,204,1,2 hr 56 min ORD,2024-04-24,275,26
2024-04-26 12:52:00,2024-04-26 21:29:00,DEN,JFK,56 min DFW,6 hr 37 min,204,1,,2024-04-24,284,30
2024-04-26 23:59:00,2024-04-27 05:48:00,DEN,JFK,Delta,3 hr 49 min,254,0,,2024-04-24,186,-15
2024-04-26 16:04:00,2024-04-26 23:15:00,DEN,JFK,30 min DTW,5 hr 11 min,263,1,,2024-04-24,272,24
2024-04-27 06:30:00,2024-04-27 12:19:00,DEN,JFK,Delta,3 hr 49 min,214,0,,2024-04-24,207,0
2024-04-27 12:44:00,2024-04-27 18:45:00,DEN,JFK,"Avoids as much CO2e as 2,009 trees absorb in a day",4 hr 1 min,214,0,,2024-04-24,186,-15
2024-04-27 23:59:00,2024-04-28 05:47:00,DEN,JFK,JetBlue,3 hr 48 min,214,0,,2024-04-24,227,0
2024-04-27 06:44:00,2024-04-27 15:30:00,DEN,JFK,American,6 hr 46 min,203,1,1 hr 32 min CLT,2024-04-24,281,28
2024-04-27 23:59:00,2024-04-28 09:29:00,DEN,JFK,American,7 hr 30 min,203,1,2 hr 19 min CLT,2024-04-24,286,31
2024-04-27 05:00:00,2024-04-27 13:30:00,DEN,JFK,52 min DFW,6 hr 30 min,204,1,,2024-04-24,290,32
2024-04-27 05:45:00,2024-04-27 14:45:00,DEN,JFK,American,7 hr,204,1,2 hr 17 min ORD,2024-04-24,229,0
2024-04-27 12:52:00,2024-04-27 21:29:00,DEN,JFK,56 min DFW,6 hr 37 min,204,1,,2024-04-24,284,30
2024-04-28 12:52:00,2024-04-28 21:29:00,DEN,JFK,56 min DFW,6 hr 37 min,204,1,,2024-04-24,284,30
2024-04-28 06:30:00,2024-04-28 12:19:00,DEN,JFK,Delta,3 hr 49 min,214,0,,2024-04-24,207,0
