Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 19:03:00,2024-04-25 20:40:00,DEN,LAX,"Avoids as much CO2e as 2,679 trees absorb in a day",2 hr 37 min,198.0,0,,2024-04-24,94,-32
2024-04-25 13:00:00,2024-04-25 14:30:00,DEN,LAX,Delta,2 hr 30 min,299.0,0,,2024-04-24,142,0
2024-04-25 17:20:00,2024-04-25 18:52:00,DEN,LAX,United,2 hr 32 min,299.0,0,,2024-04-24,105,-24
2024-04-25 18:00:00,2024-04-25 19:47:00,DEN,LAX,AmericanAlaska,2 hr 47 min,299.0,0,,2024-04-24,168,22
2024-04-25 10:55:00,2024-04-25 12:30:00,DEN,LAX,Price unavailable,2 hr 35 min,,0,,2024-04-24,107,-22
2024-04-25 21:52:00,2024-04-26 16:05:00,DEN,LAX,Frontier,19 hr 13 min,185.0,1,14 hr 56 min SFO,2024-04-24,158,14
2024-04-25 12:15:00,2024-04-25 20:32:00,DEN,LAX,American,9 hr 17 min,264.0,2,"PHX, LAS",2024-04-24,223,62
2024-04-25 06:00:00,2024-04-25 07:32:00,DEN,LAX,United,2 hr 32 min,299.0,0,,2024-04-24,128,-7
2024-04-25 06:05:00,2024-04-25 07:39:00,DEN,LAX,Delta,2 hr 34 min,299.0,0,,2024-04-24,142,0
2024-04-25 07:00:00,2024-04-25 08:36:00,DEN,LAX,AmericanAlaska,2 hr 36 min,299.0,0,,2024-04-24,168,22
2024-04-25 07:50:00,2024-04-25 09:22:00,DEN,LAX,United,2 hr 32 min,299.0,0,,2024-04-24,170,23
2024-04-25 09:59:00,2024-04-25 11:31:00,DEN,LAX,United,2 hr 32 min,299.0,0,,2024-04-24,105,-24
2024-04-25 12:40:00,2024-04-25 14:19:00,DEN,LAX,AmericanAlaska,2 hr 39 min,299.0,0,,2024-04-24,168,22
2024-04-25 16:00:00,2024-04-25 17:32:00,DEN,LAX,United,2 hr 32 min,299.0,0,,2024-04-24,105,-24
2024-04-25 19:45:00,2024-04-25 21:20:00,DEN,LAX,Delta,2 hr 35 min,299.0,0,,2024-04-24,142,0
