Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 21:27:00,2024-04-26 00:56:00,DEN,ORD,Frontier,2 hr 29 min,89.0,0,,2024-04-23,117,-14
2024-04-25 10:50:00,2024-04-25 14:16:00,DEN,ORD,American,2 hr 26 min,186.0,0,,2024-04-23,150,10
2024-04-25 13:25:00,2024-04-25 16:55:00,DEN,ORD,United,2 hr 30 min,186.0,0,,2024-04-23,142,0
2024-04-25 12:10:00,2024-04-25 15:35:00,DEN,ORD,Price unavailable,2 hr 25 min,,0,,2024-04-23,159,17
2024-04-25 05:45:00,2024-04-25 09:14:00,DEN,ORD,American,2 hr 29 min,186.0,0,,2024-04-23,126,-7
2024-04-25 06:00:00,2024-04-25 09:32:00,DEN,ORD,United,2 hr 32 min,186.0,0,,2024-04-23,126,-7
2024-04-25 07:50:00,2024-04-25 11:20:00,DEN,ORD,United,2 hr 30 min,186.0,0,,2024-04-23,139,0
2024-04-25 14:12:00,2024-04-25 17:45:00,DEN,ORD,American,2 hr 33 min,186.0,0,,2024-04-23,126,-7
2024-04-25 15:35:00,2024-04-25 19:05:00,DEN,ORD,United,2 hr 30 min,186.0,0,,2024-04-23,142,0
2024-04-25 16:32:00,2024-04-25 20:02:00,DEN,ORD,United,2 hr 30 min,186.0,0,,2024-04-23,126,-7
2024-04-25 17:40:00,2024-04-25 21:12:00,DEN,ORD,United,2 hr 32 min,186.0,0,,2024-04-23,142,0
2024-04-25 19:26:00,2024-04-25 22:52:00,DEN,ORD,United,2 hr 26 min,186.0,0,,2024-04-23,126,-7
2024-04-25 20:50:00,2024-04-26 00:16:00,DEN,ORD,United,2 hr 26 min,186.0,0,,2024-04-23,110,-19
2024-04-25 11:20:00,2024-04-25 14:52:00,DEN,ORD,United,2 hr 32 min,330.0,0,,2024-04-23,126,-7
2024-04-25 09:43:00,2024-04-25 13:15:00,DEN,ORD,United,2 hr 32 min,449.0,0,,2024-04-23,110,-19
2024-04-25 06:00:00,2024-04-25 09:25:00,DEN,ORD,Price unavailable,2 hr 25 min,,0,,2024-04-23,140,0
