Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 14:30:00,2024-04-25 17:48:00,DFW,ATL,Frontier,2 hr 18 min,125.0,0,,2024-04-24,90,-28
2024-04-25 16:54:00,2024-04-25 20:00:00,DFW,ATL,Spirit,2 hr 6 min,184.0,0,,2024-04-24,90,-28
2024-04-25 08:54:00,2024-04-25 12:02:00,DFW,ATL,American,2 hr 8 min,186.0,0,,2024-04-24,122,0
2024-04-25 11:05:00,2024-04-25 14:05:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,133,6
2024-04-25 14:51:00,2024-04-25 22:47:00,DFW,ATL,Spirit,6 hr 56 min,165.0,1,2 hr 23 min MCO,2024-04-24,190,52
2024-04-25 07:22:00,2024-04-25 10:29:00,DFW,ATL,American,2 hr 7 min,186.0,0,,2024-04-24,122,0
2024-04-25 16:20:00,2024-04-25 19:27:00,DFW,ATL,American,2 hr 7 min,186.0,0,,2024-04-24,122,0
2024-04-25 19:19:00,2024-04-25 22:27:00,DFW,ATL,American,2 hr 8 min,186.0,0,,2024-04-24,122,0
2024-04-25 20:51:00,2024-04-25 23:58:00,DFW,ATL,American,2 hr 7 min,186.0,0,,2024-04-24,122,0
2024-04-25 14:26:00,2024-04-25 17:34:00,DFW,ATL,American,2 hr 8 min,221.0,0,,2024-04-24,116,-7
2024-04-25 05:56:00,2024-04-25 09:05:00,DFW,ATL,Delta,2 hr 9 min,292.0,0,,2024-04-24,120,0
2024-04-25 07:05:00,2024-04-25 10:14:00,DFW,ATL,Delta,2 hr 9 min,292.0,0,,2024-04-24,120,0
2024-04-25 06:00:00,2024-04-25 09:01:00,DAL,ATL,Delta,2 hr 1 min,369.0,0,,2024-04-24,145,16
2024-04-25 08:13:00,2024-04-25 11:17:00,DFW,ATL,Delta,2 hr 4 min,369.0,0,,2024-04-24,117,-6
2024-04-25 09:27:00,2024-04-25 12:35:00,DFW,ATL,Delta,2 hr 8 min,369.0,0,,2024-04-24,117,-6
2024-04-25 11:20:00,2024-04-25 14:21:00,DAL,ATL,Delta,2 hr 1 min,369.0,0,,2024-04-24,145,16
2024-04-25 13:18:00,2024-04-25 16:22:00,DAL,ATL,Delta,2 hr 4 min,459.0,0,,2024-04-24,132,6
2024-04-25 11:27:00,2024-04-25 14:35:00,DFW,ATL,Delta,2 hr 8 min,509.0,0,,2024-04-24,120,0
2024-04-25 16:05:00,2024-04-25 19:13:00,DFW,ATL,Delta,2 hr 8 min,559.0,0,,2024-04-24,120,0
2024-04-25 18:35:00,2024-04-25 21:39:00,DAL,ATL,Delta,2 hr 4 min,559.0,0,,2024-04-24,145,16
2024-04-25 13:42:00,2024-04-25 16:49:00,DFW,ATL,Delta,2 hr 7 min,849.0,0,,2024-04-24,120,0
2024-04-25 18:24:00,2024-04-25 21:34:00,DFW,ATL,Delta,2 hr 10 min,849.0,0,,2024-04-24,117,-6
2024-04-25 06:00:00,2024-04-25 09:05:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,133,6
2024-04-25 13:55:00,2024-04-25 17:00:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,99,-21
2024-04-25 17:20:00,2024-04-25 20:20:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,99,-21
2024-04-26 09:25:00,2024-04-26 12:46:00,DFW,ATL,"Avoids as much CO2e as 2,070 trees absorb in a day",2 hr 21 min,163.0,0,,2024-04-24,91,-27
2024-04-26 22:38:00,2024-04-27 01:55:00,DFW,ATL,Frontier,2 hr 17 min,163.0,0,,2024-04-24,91,-27
2024-04-26 08:54:00,2024-04-26 12:02:00,DFW,ATL,American,2 hr 8 min,292.0,0,,2024-04-24,122,0
2024-04-26 11:20:00,2024-04-26 14:21:00,DAL,ATL,Delta,2 hr 1 min,292.0,0,,2024-04-24,145,16
2024-04-26 11:05:00,2024-04-26 14:05:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,133,6
2024-04-26 14:50:00,2024-04-26 20:51:00,DFW,ATL,Frontier,5 hr 1 min,169.0,1,1 hr 43 min IAH,2024-04-24,132,6
2024-04-26 15:47:00,2024-04-27 00:46:00,DFW,ATL,Spirit,7 hr 59 min,205.0,1,3 hr 16 min DTW,2024-04-24,204,63
2024-04-26 19:53:00,2024-04-26 23:05:00,DFW,ATL,Spirit,2 hr 12 min,224.0,0,,2024-04-24,90,-28
2024-04-26 05:56:00,2024-04-26 09:05:00,DFW,ATL,Delta,2 hr 9 min,292.0,0,,2024-04-24,120,0
2024-04-26 06:00:00,2024-04-26 09:01:00,DAL,ATL,Delta,2 hr 1 min,292.0,0,,2024-04-24,145,16
2024-04-26 07:05:00,2024-04-26 10:14:00,DFW,ATL,Delta,2 hr 9 min,292.0,0,,2024-04-24,120,0
2024-04-26 07:22:00,2024-04-26 10:29:00,DFW,ATL,American,2 hr 7 min,292.0,0,,2024-04-24,122,0
2024-04-26 09:27:00,2024-04-26 12:35:00,DFW,ATL,Delta,2 hr 8 min,292.0,0,,2024-04-24,117,-6
2024-04-26 12:21:00,2024-04-26 15:28:00,DFW,ATL,American,2 hr 7 min,292.0,0,,2024-04-24,122,0
2024-04-26 13:18:00,2024-04-26 16:22:00,DAL,ATL,Delta,2 hr 4 min,292.0,0,,2024-04-24,132,6
2024-04-26 13:42:00,2024-04-26 16:49:00,DFW,ATL,Delta,2 hr 7 min,292.0,0,,2024-04-24,120,0
2024-04-26 14:26:00,2024-04-26 17:34:00,DFW,ATL,American,2 hr 8 min,292.0,0,,2024-04-24,116,-7
2024-04-26 16:20:00,2024-04-26 19:27:00,DFW,ATL,American,2 hr 7 min,292.0,0,,2024-04-24,122,0
2024-04-26 19:19:00,2024-04-26 22:27:00,DFW,ATL,American,2 hr 8 min,292.0,0,,2024-04-24,122,0
2024-04-26 20:51:00,2024-04-26 23:58:00,DFW,ATL,American,2 hr 7 min,292.0,0,,2024-04-24,122,0
2024-04-26 08:13:00,2024-04-26 11:17:00,DFW,ATL,Delta,2 hr 4 min,369.0,0,,2024-04-24,117,-6
2024-04-26 11:27:00,2024-04-26 14:35:00,DFW,ATL,Delta,2 hr 8 min,369.0,0,,2024-04-24,120,0
2024-04-26 16:05:00,2024-04-26 19:13:00,DFW,ATL,Delta,2 hr 8 min,369.0,0,,2024-04-24,120,0
2024-04-26 18:35:00,2024-04-26 21:39:00,DAL,ATL,Delta,2 hr 4 min,369.0,0,,2024-04-24,145,16
2024-04-26 18:24:00,2024-04-26 21:34:00,DFW,ATL,Delta,2 hr 10 min,459.0,0,,2024-04-24,117,-6
2024-04-26 06:00:00,2024-04-26 09:05:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,133,6
2024-04-26 13:55:00,2024-04-26 17:00:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,99,-21
2024-04-26 17:20:00,2024-04-26 20:20:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,99,-21
2024-04-27 09:25:00,2024-04-27 12:46:00,DFW,ATL,Frontier,2 hr 21 min,89.0,0,,2024-04-24,91,-27
2024-04-27 16:42:00,2024-04-27 19:59:00,DFW,ATL,Frontier,2 hr 17 min,89.0,0,,2024-04-24,91,-27
2024-04-27 15:22:00,2024-04-27 18:33:00,DFW,ATL,Spirit,2 hr 11 min,114.0,0,,2024-04-24,90,-28
2024-04-27 08:54:00,2024-04-27 12:02:00,DFW,ATL,American,2 hr 8 min,136.0,0,,2024-04-24,122,0
2024-04-27 10:25:00,2024-04-27 13:30:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,99,-21
2024-04-27 15:34:00,2024-04-27 23:29:00,DFW,ATL,Spirit,6 hr 55 min,71.0,1,2 hr 6 min FLL,2024-04-24,227,82
2024-04-27 06:20:00,2024-04-27 11:57:00,DFW,ATL,Spirit,4 hr 37 min,88.0,1,1 hr 52 min MSY,2024-04-24,133,6
2024-04-27 07:22:00,2024-04-27 10:29:00,DFW,ATL,American,2 hr 7 min,136.0,0,,2024-04-24,122,0
2024-04-27 16:20:00,2024-04-27 19:27:00,DFW,ATL,American,2 hr 7 min,136.0,0,,2024-04-24,122,0
2024-04-27 19:19:00,2024-04-27 22:27:00,DFW,ATL,American,2 hr 8 min,136.0,0,,2024-04-24,122,0
2024-04-27 20:51:00,2024-04-27 23:58:00,DFW,ATL,American,2 hr 7 min,136.0,0,,2024-04-24,122,0
2024-04-27 05:56:00,2024-04-27 09:05:00,DFW,ATL,Delta,2 hr 9 min,273.0,0,,2024-04-24,120,0
2024-04-27 06:00:00,2024-04-27 09:01:00,DAL,ATL,Delta,2 hr 1 min,273.0,0,,2024-04-24,145,16
2024-04-27 07:05:00,2024-04-27 10:14:00,DFW,ATL,Delta,2 hr 9 min,273.0,0,,2024-04-24,120,0
2024-04-27 08:13:00,2024-04-27 11:17:00,DFW,ATL,Delta,2 hr 4 min,273.0,0,,2024-04-24,117,-6
2024-04-27 10:41:00,2024-04-27 13:49:00,DFW,ATL,Delta,2 hr 8 min,273.0,0,,2024-04-24,120,0
2024-04-27 11:20:00,2024-04-27 14:21:00,DAL,ATL,Delta,2 hr 1 min,273.0,0,,2024-04-24,145,16
2024-04-27 12:30:00,2024-04-27 15:47:00,DFW,ATL,American,2 hr 17 min,273.0,0,,2024-04-24,146,17
2024-04-27 13:42:00,2024-04-27 16:49:00,DFW,ATL,Delta,2 hr 7 min,273.0,0,,2024-04-24,120,0
2024-04-27 15:00:00,2024-04-27 18:04:00,DAL,ATL,Delta,2 hr 4 min,273.0,0,,2024-04-24,132,6
2024-04-27 16:05:00,2024-04-27 19:13:00,DFW,ATL,Delta,2 hr 8 min,273.0,0,,2024-04-24,120,0
2024-04-27 18:24:00,2024-04-27 21:34:00,DFW,ATL,Delta,2 hr 10 min,273.0,0,,2024-04-24,117,-6
2024-04-27 06:40:00,2024-04-27 09:40:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,117,-6
2024-04-27 14:20:00,2024-04-27 17:30:00,DAL,ATL,Price unavailable,2 hr 10 min,,0,,2024-04-24,133,6
2024-04-28 08:41:00,2024-04-28 12:01:00,DFW,ATL,"Avoids as much CO2e as 2,070 trees absorb in a day",2 hr 20 min,231.0,0,,2024-04-24,91,-27
2024-04-28 08:13:00,2024-04-28 11:17:00,DFW,ATL,Delta,2 hr 4 min,292.0,0,,2024-04-24,117,-6
2024-04-28 08:54:00,2024-04-28 12:02:00,DFW,ATL,American,2 hr 8 min,292.0,0,,2024-04-24,122,0
2024-04-28 11:15:00,2024-04-28 14:15:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,117,-6
2024-04-28 14:27:00,2024-04-29 08:25:00,DFW,ATL,Frontier,16 hr 58 min,145.0,1,12 hr 43 min TPA,2024-04-24,170,36
2024-04-28 14:16:00,2024-04-28 17:34:00,DFW,ATL,Frontier,2 hr 18 min,231.0,0,,2024-04-24,90,-28
2024-04-28 12:25:00,2024-04-28 20:34:00,DFW,ATL,Spirit,7 hr 9 min,275.0,1,2 hr 18 min FLL,2024-04-24,226,81
2024-04-28 05:56:00,2024-04-28 09:05:00,DFW,ATL,Delta,2 hr 9 min,292.0,0,,2024-04-24,120,0
2024-04-28 06:00:00,2024-04-28 09:01:00,DAL,ATL,Delta,2 hr 1 min,292.0,0,,2024-04-24,145,16
2024-04-28 07:05:00,2024-04-28 10:14:00,DFW,ATL,Delta,2 hr 9 min,292.0,0,,2024-04-24,120,0
2024-04-28 07:22:00,2024-04-28 10:29:00,DFW,ATL,American,2 hr 7 min,292.0,0,,2024-04-24,122,0
2024-04-28 14:26:00,2024-04-28 17:34:00,DFW,ATL,American,2 hr 8 min,292.0,0,,2024-04-24,116,-7
2024-04-28 16:20:00,2024-04-28 19:27:00,DFW,ATL,American,2 hr 7 min,292.0,0,,2024-04-24,122,0
2024-04-28 18:24:00,2024-04-28 21:34:00,DFW,ATL,Delta,2 hr 10 min,292.0,0,,2024-04-24,117,-6
2024-04-28 19:19:00,2024-04-28 22:27:00,DFW,ATL,American,2 hr 8 min,292.0,0,,2024-04-24,122,0
2024-04-28 20:51:00,2024-04-28 23:58:00,DFW,ATL,American,2 hr 7 min,292.0,0,,2024-04-24,122,0
2024-04-28 14:28:00,2024-04-28 17:39:00,DFW,ATL,Spirit,2 hr 11 min,310.0,0,,2024-04-24,105,-16
2024-04-28 09:27:00,2024-04-28 12:35:00,DFW,ATL,Delta,2 hr 8 min,369.0,0,,2024-04-24,117,-6
2024-04-28 11:20:00,2024-04-28 14:21:00,DAL,ATL,Delta,2 hr 1 min,369.0,0,,2024-04-24,145,16
2024-04-28 16:05:00,2024-04-28 19:13:00,DFW,ATL,Delta,2 hr 8 min,369.0,0,,2024-04-24,120,0
2024-04-28 18:35:00,2024-04-28 21:39:00,DAL,ATL,Delta,2 hr 4 min,369.0,0,,2024-04-24,145,16
2024-04-28 11:27:00,2024-04-28 14:35:00,DFW,ATL,Delta,2 hr 8 min,459.0,0,,2024-04-24,120,0
2024-04-28 12:21:00,2024-04-28 15:28:00,DFW,ATL,American,2 hr 7 min,459.0,0,,2024-04-24,122,0
2024-04-28 13:18:00,2024-04-28 16:22:00,DAL,ATL,Delta,2 hr 4 min,459.0,0,,2024-04-24,132,6
2024-04-28 13:42:00,2024-04-28 16:49:00,DFW,ATL,Delta,2 hr 7 min,459.0,0,,2024-04-24,120,0
2024-04-28 06:00:00,2024-04-28 09:00:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,99,-21
2024-04-28 08:05:00,2024-04-28 11:05:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,99,-21
2024-04-28 14:05:00,2024-04-28 17:10:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,99,-21
2024-04-28 16:55:00,2024-04-28 20:00:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,117,-6
2024-04-29 21:44:00,2024-04-30 00:55:00,DFW,ATL,"Avoids as much CO2e as 2,131 trees absorb in a day",2 hr 11 min,56.0,0,,2024-04-24,90,-28
2024-04-29 09:25:00,2024-04-29 12:46:00,DFW,ATL,Frontier,2 hr 21 min,115.0,0,,2024-04-24,91,-27
2024-04-29 14:14:00,2024-04-29 17:32:00,DFW,ATL,Frontier,2 hr 18 min,115.0,0,,2024-04-24,90,-28
2024-04-29 16:20:00,2024-04-29 19:27:00,DFW,ATL,American,2 hr 7 min,186.0,0,,2024-04-24,122,0
2024-04-29 11:05:00,2024-04-29 14:05:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,133,6
2024-04-29 19:19:00,2024-04-29 22:27:00,DFW,ATL,American,2 hr 8 min,186.0,0,,2024-04-24,122,0
2024-04-29 20:51:00,2024-04-29 23:58:00,DFW,ATL,American,2 hr 7 min,186.0,0,,2024-04-24,122,0
2024-04-29 12:21:00,2024-04-29 15:28:00,DFW,ATL,American,2 hr 7 min,221.0,0,,2024-04-24,122,0
2024-04-29 14:26:00,2024-04-29 17:34:00,DFW,ATL,American,2 hr 8 min,221.0,0,,2024-04-24,116,-7
2024-04-29 05:56:00,2024-04-29 09:05:00,DFW,ATL,Delta,2 hr 9 min,292.0,0,,2024-04-24,120,0
2024-04-29 07:05:00,2024-04-29 10:14:00,DFW,ATL,Delta,2 hr 9 min,292.0,0,,2024-04-24,120,0
2024-04-29 07:22:00,2024-04-29 10:26:00,DFW,ATL,American,2 hr 4 min,292.0,0,,2024-04-24,125,0
2024-04-29 08:13:00,2024-04-29 11:17:00,DFW,ATL,Delta,2 hr 4 min,292.0,0,,2024-04-24,117,-6
2024-04-29 08:54:00,2024-04-29 12:02:00,DFW,ATL,American,2 hr 8 min,292.0,0,,2024-04-24,122,0
2024-04-29 09:27:00,2024-04-29 12:35:00,DFW,ATL,Delta,2 hr 8 min,292.0,0,,2024-04-24,117,-6
2024-04-29 11:20:00,2024-04-29 14:21:00,DAL,ATL,Delta,2 hr 1 min,292.0,0,,2024-04-24,145,16
2024-04-29 11:27:00,2024-04-29 14:35:00,DFW,ATL,Delta,2 hr 8 min,292.0,0,,2024-04-24,120,0
2024-04-29 13:18:00,2024-04-29 16:22:00,DAL,ATL,Delta,2 hr 4 min,292.0,0,,2024-04-24,132,6
2024-04-29 13:42:00,2024-04-29 16:49:00,DFW,ATL,Delta,2 hr 7 min,292.0,0,,2024-04-24,120,0
2024-04-29 16:05:00,2024-04-29 19:13:00,DFW,ATL,Delta,2 hr 8 min,292.0,0,,2024-04-24,120,0
2024-04-29 18:24:00,2024-04-29 21:34:00,DFW,ATL,Delta,2 hr 10 min,292.0,0,,2024-04-24,117,-6
2024-04-29 18:35:00,2024-04-29 21:39:00,DAL,ATL,Delta,2 hr 4 min,292.0,0,,2024-04-24,145,16
2024-04-29 06:00:00,2024-04-29 09:01:00,DAL,ATL,Delta,2 hr 1 min,369.0,0,,2024-04-24,145,16
2024-04-29 06:00:00,2024-04-29 09:05:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,133,6
2024-04-29 13:55:00,2024-04-29 17:00:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,99,-21
2024-04-29 17:20:00,2024-04-29 20:20:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,99,-21
2024-04-30 20:22:00,2024-04-30 23:29:00,DFW,ATL,"Avoids as much CO2e as 2,131 trees absorb in a day",2 hr 7 min,56.0,0,,2024-04-24,90,-28
2024-04-30 08:41:00,2024-04-30 12:01:00,DFW,ATL,Frontier,2 hr 20 min,89.0,0,,2024-04-24,91,-27
2024-04-30 08:54:00,2024-04-30 12:02:00,DFW,ATL,American,2 hr 8 min,136.0,0,,2024-04-24,122,0
2024-04-30 13:35:00,2024-04-30 16:40:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,99,-21
2024-04-30 07:22:00,2024-04-30 10:29:00,DFW,ATL,American,2 hr 7 min,136.0,0,,2024-04-24,122,0
2024-04-30 14:26:00,2024-04-30 17:34:00,DFW,ATL,American,2 hr 8 min,136.0,0,,2024-04-24,116,-7
2024-04-30 16:20:00,2024-04-30 19:27:00,DFW,ATL,American,2 hr 7 min,136.0,0,,2024-04-24,122,0
2024-04-30 19:19:00,2024-04-30 22:27:00,DFW,ATL,American,2 hr 8 min,136.0,0,,2024-04-24,122,0
2024-04-30 20:51:00,2024-04-30 23:58:00,DFW,ATL,American,2 hr 7 min,136.0,0,,2024-04-24,122,0
2024-04-30 12:21:00,2024-04-30 15:28:00,DFW,ATL,American,2 hr 7 min,221.0,0,,2024-04-24,122,0
2024-04-30 05:56:00,2024-04-30 09:05:00,DFW,ATL,Delta,2 hr 9 min,273.0,0,,2024-04-24,120,0
2024-04-30 06:00:00,2024-04-30 09:01:00,DAL,ATL,Delta,2 hr 1 min,273.0,0,,2024-04-24,145,16
2024-04-30 07:05:00,2024-04-30 10:14:00,DFW,ATL,Delta,2 hr 9 min,273.0,0,,2024-04-24,120,0
2024-04-30 08:13:00,2024-04-30 11:17:00,DFW,ATL,Delta,2 hr 4 min,273.0,0,,2024-04-24,117,-6
2024-04-30 09:27:00,2024-04-30 12:35:00,DFW,ATL,Delta,2 hr 8 min,273.0,0,,2024-04-24,117,-6
2024-04-30 11:20:00,2024-04-30 14:21:00,DAL,ATL,Delta,2 hr 1 min,273.0,0,,2024-04-24,145,16
2024-04-30 11:27:00,2024-04-30 14:35:00,DFW,ATL,Delta,2 hr 8 min,273.0,0,,2024-04-24,120,0
2024-04-30 13:18:00,2024-04-30 16:22:00,DAL,ATL,Delta,2 hr 4 min,273.0,0,,2024-04-24,132,6
2024-04-30 13:42:00,2024-04-30 16:49:00,DFW,ATL,Delta,2 hr 7 min,273.0,0,,2024-04-24,120,0
2024-04-30 18:24:00,2024-04-30 21:34:00,DFW,ATL,Delta,2 hr 10 min,273.0,0,,2024-04-24,117,-6
2024-04-30 18:35:00,2024-04-30 21:39:00,DAL,ATL,Delta,2 hr 4 min,273.0,0,,2024-04-24,145,16
2024-04-30 16:05:00,2024-04-30 19:13:00,DFW,ATL,Delta,2 hr 8 min,439.0,0,,2024-04-24,120,0
2024-04-30 06:40:00,2024-04-30 09:40:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,117,-6
2024-04-30 10:10:00,2024-04-30 13:05:00,DAL,ATL,Price unavailable,1 hr 55 min,,0,,2024-04-24,133,6
2024-04-30 16:35:00,2024-04-30 19:35:00,DAL,ATL,Price unavailable,2 hr,,0,,2024-04-24,117,-6
2024-05-01 20:22:00,2024-05-01 23:29:00,DFW,ATL,"Avoids as much CO2e as 2,313 trees absorb in a day",2 hr 7 min,31.0,0,,2024-04-24,87,-30
2024-05-01 09:25:00,2024-05-01 12:46:00,DFW,ATL,Frontier,2 hr 21 min,83.0,0,,2024-04-24,90,-28
2024-05-01 16:20:00,2024-05-01 19:27:00,DFW,ATL,American,2 hr 7 min,90.0,0,,2024-04-24,122,0
2024-05-01 13:35:00,2024-05-01 16:40:00,DAL,ATL,Price unavailable,2 hr 5 min,,0,,2024-04-24,98,-22
2024-05-01 15:44:00,2024-05-01 19:02:00,DFW,ATL,Frontier,2 hr 18 min,83.0,0,,2024-04-24,90,-28
2024-05-01 07:22:00,2024-05-01 10:29:00,DFW,ATL,American,2 hr 7 min,90.0,0,,2024-04-24,122,0
2024-05-01 14:26:00,2024-05-01 17:34:00,DFW,ATL,American,2 hr 8 min,90.0,0,,2024-04-24,116,-7
