Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 05:50:00,2024-04-25 07:04:00,DFW,DEN,Frontier,2 hr 14 min,89.0,0,,2024-04-24,79,-28
2024-04-25 09:05:00,2024-04-25 10:24:00,DFW,DEN,Frontier,2 hr 19 min,89.0,0,,2024-04-24,79,-28
2024-04-25 22:59:00,2024-04-26 00:17:00,DFW,DEN,Frontier,2 hr 18 min,89.0,0,,2024-04-24,79,-28
2024-04-25 12:53:00,2024-04-25 13:58:00,DFW,DEN,American,2 hr 5 min,186.0,0,,2024-04-24,89,-19
2024-04-25 13:25:00,2024-04-25 14:30:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,92,-16
2024-04-25 14:19:00,2024-04-25 15:37:00,DFW,DEN,Frontier,2 hr 18 min,176.0,0,,2024-04-24,96,-13
2024-04-25 07:07:00,2024-04-25 08:18:00,DFW,DEN,American,2 hr 11 min,186.0,0,,2024-04-24,103,-6
2024-04-25 08:30:00,2024-04-25 09:40:00,DFW,DEN,American,2 hr 10 min,186.0,0,,2024-04-24,108,0
2024-04-25 10:47:00,2024-04-25 11:55:00,DFW,DEN,American,2 hr 8 min,186.0,0,,2024-04-24,103,-6
2024-04-25 14:58:00,2024-04-25 16:03:00,DFW,DEN,American,2 hr 5 min,186.0,0,,2024-04-24,103,-6
2024-04-25 16:40:00,2024-04-25 17:48:00,DFW,DEN,American,2 hr 8 min,186.0,0,,2024-04-24,108,0
2024-04-25 19:08:00,2024-04-25 20:15:00,DFW,DEN,American,2 hr 7 min,186.0,0,,2024-04-24,108,0
2024-04-25 21:10:00,2024-04-25 22:16:00,DFW,DEN,American,2 hr 6 min,186.0,0,,2024-04-24,108,0
2024-04-25 22:49:00,2024-04-25 23:54:00,DFW,DEN,American,2 hr 5 min,186.0,0,,2024-04-24,108,0
2024-04-25 05:40:00,2024-04-25 06:57:00,DFW,DEN,United,2 hr 17 min,289.0,0,,2024-04-24,143,30
2024-04-25 13:45:00,2024-04-25 14:55:00,DFW,DEN,United,2 hr 10 min,289.0,0,,2024-04-24,126,15
2024-04-25 09:05:00,2024-04-25 10:18:00,DFW,DEN,United,2 hr 13 min,379.0,0,,2024-04-24,114,0
2024-04-25 11:15:00,2024-04-25 12:28:00,DFW,DEN,United,2 hr 13 min,379.0,0,,2024-04-24,126,15
2024-04-25 14:39:00,2024-04-25 23:56:00,DAL,DEN,Alaska,10 hr 17 min,463.0,1,3 hr 15 min SEA,2024-04-24,345,214
2024-04-25 16:47:00,2024-04-25 18:00:00,DFW,DEN,United,2 hr 13 min,469.0,0,,2024-04-24,126,15
2024-04-25 06:30:00,2024-04-25 07:30:00,DAL,DEN,Price unavailable,2 hr,,0,,2024-04-24,92,-16
2024-04-25 08:25:00,2024-04-25 09:30:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,109,0
2024-04-25 10:25:00,2024-04-25 11:30:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,109,0
2024-04-25 16:55:00,2024-04-25 18:05:00,DAL,DEN,Price unavailable,2 hr 10 min,,0,,2024-04-24,109,0
2024-04-25 18:30:00,2024-04-25 19:35:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,92,-16
2024-04-25 19:45:00,2024-04-25 20:50:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,92,-16
2024-04-26 15:35:00,2024-04-26 16:54:00,DFW,DEN,"Avoids as much CO2e as 1,948 trees absorb in a day",2 hr 19 min,188.0,0,,2024-04-24,78,-29
2024-04-26 12:53:00,2024-04-26 13:58:00,DFW,DEN,American,2 hr 5 min,289.0,0,,2024-04-24,89,-19
2024-04-26 13:45:00,2024-04-26 14:55:00,DFW,DEN,United,2 hr 10 min,289.0,0,,2024-04-24,126,15
2024-04-26 13:25:00,2024-04-26 14:30:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,92,-16
2024-04-26 06:15:00,2024-04-26 14:40:00,DFW,DEN,Frontier,9 hr 25 min,169.0,1,2 hr 18 min BWI,2024-04-24,291,165
2024-04-26 18:09:00,2024-04-27 00:32:00,DFW,DEN,Frontier,7 hr 23 min,169.0,1,3 hr 29 min IAH,2024-04-24,163,48
2024-04-26 05:50:00,2024-04-26 07:04:00,DFW,DEN,Frontier,2 hr 14 min,188.0,0,,2024-04-24,79,-28
2024-04-26 09:05:00,2024-04-26 10:24:00,DFW,DEN,Frontier,2 hr 19 min,188.0,0,,2024-04-24,78,-29
2024-04-26 23:29:00,2024-04-27 00:42:00,DFW,DEN,Frontier,2 hr 13 min,188.0,0,,2024-04-24,78,-29
2024-04-26 19:35:00,2024-04-27 09:05:00,DFW,DEN,Sun Country Airlines,14 hr 30 min,243.0,1,9 hr 58 min MSP,2024-04-24,229,108
2024-04-26 05:40:00,2024-04-26 06:57:00,DFW,DEN,United,2 hr 17 min,289.0,0,,2024-04-24,143,30
2024-04-26 07:07:00,2024-04-26 08:18:00,DFW,DEN,American,2 hr 11 min,289.0,0,,2024-04-24,103,-6
2024-04-26 08:30:00,2024-04-26 09:40:00,DFW,DEN,American,2 hr 10 min,289.0,0,,2024-04-24,108,0
2024-04-26 09:05:00,2024-04-26 10:18:00,DFW,DEN,United,2 hr 13 min,289.0,0,,2024-04-24,114,0
2024-04-26 10:47:00,2024-04-26 11:55:00,DFW,DEN,American,2 hr 8 min,289.0,0,,2024-04-24,103,-6
2024-04-26 11:15:00,2024-04-26 12:28:00,DFW,DEN,United,2 hr 13 min,289.0,0,,2024-04-24,126,15
2024-04-26 14:58:00,2024-04-26 16:03:00,DFW,DEN,American,2 hr 5 min,289.0,0,,2024-04-24,103,-6
2024-04-26 16:40:00,2024-04-26 17:48:00,DFW,DEN,American,2 hr 8 min,289.0,0,,2024-04-24,108,0
2024-04-26 19:08:00,2024-04-26 20:15:00,DFW,DEN,American,2 hr 7 min,289.0,0,,2024-04-24,108,0
2024-04-26 20:00:00,2024-04-26 21:17:00,DFW,DEN,United,2 hr 17 min,289.0,0,,2024-04-24,126,15
2024-04-26 21:10:00,2024-04-26 22:16:00,DFW,DEN,American,2 hr 6 min,289.0,0,,2024-04-24,108,0
2024-04-26 22:49:00,2024-04-26 23:54:00,DFW,DEN,American,2 hr 5 min,289.0,0,,2024-04-24,108,0
2024-04-26 06:00:00,2024-04-26 10:57:00,DAL,DEN,39 min ATL,5 hr 57 min,298.0,1,,2024-04-24,310,182
2024-04-26 16:47:00,2024-04-26 18:00:00,DFW,DEN,United,2 hr 13 min,379.0,0,,2024-04-24,126,15
2024-04-26 06:30:00,2024-04-26 07:30:00,DAL,DEN,Price unavailable,2 hr,,0,,2024-04-24,92,-16
2024-04-26 07:35:00,2024-04-26 08:35:00,DAL,DEN,Price unavailable,2 hr,,0,,2024-04-24,109,0
2024-04-26 08:25:00,2024-04-26 09:30:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,109,0
2024-04-26 10:25:00,2024-04-26 11:30:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,109,0
2024-04-26 16:55:00,2024-04-26 18:05:00,DAL,DEN,Price unavailable,2 hr 10 min,,0,,2024-04-24,109,0
2024-04-26 18:30:00,2024-04-26 19:35:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,92,-16
2024-04-26 19:45:00,2024-04-26 20:50:00,DAL,DEN,Price unavailable,2 hr 5 min,,0,,2024-04-24,92,-16
2024-04-27 09:05:00,2024-04-27 10:24:00,DFW,DEN,Frontier,2 hr 19 min,105.0,0,,2024-04-24,78,-29
2024-04-27 12:53:00,2024-04-27 13:58:00,DFW,DEN,American,2 hr 5 min,136.0,0,,2024-04-24,89,-19
2024-04-27 14:58:00,2024-04-27 16:03:00,DFW,DEN,American,2 hr 5 min,136.0,0,,2024-04-24,103,-6
2024-04-27 10:55:00,2024-04-27 11:55:00,DAL,DEN,Price unavailable,2 hr,,0,,2024-04-24,92,-16
2024-04-27 22:59:00,2024-04-28 00:17:00,DFW,DEN,Frontier,2 hr 18 min,89.0,0,,2024-04-24,79,-28
2024-04-27 05:50:00,2024-04-27 07:04:00,DFW,DEN,Frontier,2 hr 14 min,105.0,0,,2024-04-24,79,-28
2024-04-27 15:00:00,2024-04-27 16:19:00,DFW,DEN,Frontier,2 hr 19 min,128.0,0,,2024-04-24,79,-28
2024-04-27 07:07:00,2024-04-27 08:18:00,DFW,DEN,American,2 hr 11 min,136.0,0,,2024-04-24,103,-6
2024-04-27 08:30:00,2024-04-27 09:40:00,DFW,DEN,American,2 hr 10 min,136.0,0,,2024-04-24,108,0
2024-04-27 10:47:00,2024-04-27 11:55:00,DFW,DEN,American,2 hr 8 min,136.0,0,,2024-04-24,103,-6
2024-04-27 16:40:00,2024-04-27 17:48:00,DFW,DEN,American,2 hr 8 min,136.0,0,,2024-04-24,108,0
2024-04-27 19:08:00,2024-04-27 20:15:00,DFW,DEN,American,2 hr 7 min,136.0,0,,2024-04-24,108,0
2024-04-27 22:49:00,2024-04-27 23:54:00,DFW,DEN,American,2 hr 5 min,136.0,0,,2024-04-24,108,0
2024-04-27 05:40:00,2024-04-27 06:57:00,DFW,DEN,United,2 hr 17 min,289.0,0,,2024-04-24,143,30
2024-04-27 09:05:00,2024-04-27 10:18:00,DFW,DEN,United,2 hr 13 min,289.0,0,,2024-04-24,114,0
2024-04-27 13:45:00,2024-04-27 14:55:00,DFW,DEN,United,2 hr 10 min,289.0,0,,2024-04-24,126,15
2024-04-27 16:42:00,2024-04-27 17:55:00,DFW,DEN,United,2 hr 13 min,289.0,0,,2024-04-24,126,15
