Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 08:51:00,2024-04-25 13:30:00,DFW,JFK,American,3 hr 39 min,240,0,,2024-04-24,178,0
2024-04-25 15:48:00,2024-04-25 22:29:00,DFW,JFK,American,5 hr 41 min,248,1,1 hr 9 min CLT,2024-04-24,224,27
2024-04-25 07:35:00,2024-04-25 12:07:00,DFW,JFK,Delta,3 hr 32 min,319,0,,2024-04-24,199,12
2024-04-25 12:17:00,2024-04-25 17:00:00,DFW,JFK,Delta,3 hr 43 min,319,0,,2024-04-24,199,12
2024-04-25 16:49:00,2024-04-25 21:29:00,DFW,JFK,American,3 hr 40 min,319,0,,2024-04-24,178,0
2024-04-25 06:00:00,2024-04-25 14:33:00,DAL,JFK,Delta,7 hr 33 min,408,1,3 hr 14 min ATL,2024-04-24,307,73
2024-04-25 13:40:00,2024-04-25 19:59:00,DFW,JFK,50 min CLT,5 hr 19 min,497,1,,2024-04-24,224,27
2024-04-25 07:30:00,2024-04-25 22:59:00,DFW,JFK,Alaska,14 hr 29 min,546,1,4 hr 59 min PDX,2024-04-24,476,169
2024-04-25 10:12:00,2024-04-25 16:36:00,DFW,JFK,58 min IND,5 hr 24 min,673,1,,2024-04-24,257,45
2024-04-25 17:57:00,2024-04-26 06:09:00,DFW,JFK,Alaska,11 hr 12 min,683,1,1 hr 30 min SEA,2024-04-24,469,165
2024-04-26 07:35:00,2024-04-26 12:07:00,DFW,JFK,Delta,3 hr 32 min,319,0,,2024-04-24,199,12
2024-04-26 08:50:00,2024-04-26 13:29:00,DFW,JFK,American,3 hr 39 min,319,0,,2024-04-24,178,0
2024-04-26 12:17:00,2024-04-26 17:00:00,DFW,JFK,Delta,3 hr 43 min,319,0,,2024-04-24,199,12
2024-04-26 12:49:00,2024-04-26 17:29:00,DFW,JFK,American,3 hr 40 min,319,0,,2024-04-24,146,-18
2024-04-26 16:49:00,2024-04-26 21:29:00,DFW,JFK,American,3 hr 40 min,319,0,,2024-04-24,178,0
2024-04-26 06:00:00,2024-04-26 14:33:00,DAL,JFK,Delta,7 hr 33 min,328,1,3 hr 14 min ATL,2024-04-24,307,73
2024-04-26 13:14:00,2024-04-26 20:29:00,DFW,JFK,American,6 hr 15 min,328,1,1 hr 52 min CLE,2024-04-24,253,43
2024-04-26 19:35:00,2024-04-27 10:34:00,DFW,JFK,Sun Country Airlines,13 hr 59 min,343,1,8 hr 53 min MSP,2024-04-24,273,54
2024-04-26 13:40:00,2024-04-26 19:59:00,DFW,JFK,50 min CLT,5 hr 19 min,497,1,,2024-04-24,224,27
2024-04-26 15:01:00,2024-04-26 21:07:00,DFW,JFK,51 min DCA,5 hr 6 min,498,1,,2024-04-24,237,34
2024-04-27 16:49:00,2024-04-27 21:29:00,DFW,JFK,American,3 hr 40 min,210,0,,2024-04-24,178,0
2024-04-27 08:26:00,2024-04-27 14:49:00,DFW,JFK,59 min CMH,5 hr 23 min,219,1,,2024-04-24,251,42
2024-04-27 07:35:00,2024-04-27 12:07:00,DFW,JFK,Delta,3 hr 32 min,319,0,,2024-04-24,199,12
2024-04-27 07:10:00,2024-04-27 13:55:00,DFW,JFK,American,5 hr 45 min,219,1,1 hr 16 min BNA,2024-04-24,259,46
2024-04-27 12:34:00,2024-04-27 19:29:00,DFW,JFK,40 min BOS,5 hr 55 min,219,1,,2024-04-24,294,66
2024-04-27 08:51:00,2024-04-27 13:30:00,DFW,JFK,American,3 hr 39 min,319,0,,2024-04-24,178,0
