Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 15:10:00,2024-04-25 16:36:00,DFW,LAX,Spirit,3 hr 26 min,203.0,0,,2024-04-24,143,-18
2024-04-25 10:35:00,2024-04-25 12:02:00,DFW,LAX,American,3 hr 27 min,254.0,0,,2024-04-24,172,0
2024-04-25 12:20:00,2024-04-25 13:52:00,DFW,LAX,American,3 hr 32 min,254.0,0,,2024-04-24,142,-19
2024-04-25 14:00:00,2024-04-25 15:23:00,DFW,LAX,American,3 hr 23 min,254.0,0,,2024-04-24,172,0
2024-04-25 15:00:00,2024-04-25 16:21:00,DFW,LAX,American,3 hr 21 min,254.0,0,,2024-04-24,172,0
2024-04-25 13:50:00,2024-04-25 15:15:00,DAL,LAX,Price unavailable,3 hr 25 min,,0,,2024-04-24,162,-7
2024-04-25 18:19:00,2024-04-26 07:21:00,DFW,LAX,Frontier,15 hr 2 min,165.0,1,10 hr 35 min LAS,2024-04-24,179,0
2024-04-25 06:20:00,2024-04-25 12:46:00,DFW,LAX,Spirit,8 hr 26 min,193.0,1,4 hr 3 min LAS,2024-04-24,164,-6
2024-04-25 18:35:00,2024-04-25 20:01:00,DFW,LAX,Spirit,3 hr 26 min,203.0,0,,2024-04-24,143,-18
2024-04-25 11:31:00,2024-04-25 12:55:00,DFW,LAX,Spirit,3 hr 24 min,243.0,0,,2024-04-24,143,-18
2024-04-25 06:20:00,2024-04-25 14:38:00,DFW,LAX,"Spirit, Alaska",10 hr 18 min,246.0,1,5 hr 53 min LAS,2024-04-24,172,0
2024-04-25 06:00:00,2024-04-25 07:22:00,DFW,LAX,American,3 hr 22 min,254.0,0,,2024-04-24,172,0
2024-04-25 07:05:00,2024-04-25 08:30:00,DFW,LAX,American,3 hr 25 min,254.0,0,,2024-04-24,172,0
2024-04-25 09:30:00,2024-04-25 10:52:00,DFW,LAX,American,3 hr 22 min,254.0,0,,2024-04-24,142,-19
2024-04-25 16:35:00,2024-04-25 18:00:00,DFW,LAX,American,3 hr 25 min,254.0,0,,2024-04-24,172,0
2024-04-25 18:30:00,2024-04-25 19:53:00,DFW,LAX,American,3 hr 23 min,254.0,0,,2024-04-24,177,0
