Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 22:29:00,2024-04-26 00:52:00,DFW,ORD,Frontier,2 hr 23 min,148.0,0,,2024-04-24,96,-25
2024-04-25 06:10:00,2024-04-25 08:34:00,DFW,ORD,Spirit,2 hr 24 min,149.0,0,,2024-04-24,90,-30
2024-04-25 06:10:00,2024-04-25 08:33:00,DFW,ORD,American,2 hr 23 min,186.0,0,,2024-04-24,119,-7
2024-04-25 12:35:00,2024-04-25 15:00:00,DAL,ORD,Price unavailable,2 hr 25 min,,0,,2024-04-24,130,0
2024-04-25 05:00:00,2024-04-25 07:24:00,DFW,ORD,American,2 hr 24 min,186.0,0,,2024-04-24,119,-7
2024-04-25 07:03:00,2024-04-25 09:33:00,DFW,ORD,American,2 hr 30 min,186.0,0,,2024-04-24,97,-24
2024-04-25 08:18:00,2024-04-25 12:44:00,DFW,ORD,"American, Envoy Air as American Eagle",4 hr 26 min,195.0,1,1 hr 14 min XNA,2024-04-24,248,94
2024-04-25 07:00:00,2024-04-25 09:26:00,DFW,ORD,United,2 hr 26 min,294.0,0,,2024-04-24,124,0
2024-04-25 08:35:00,2024-04-25 11:03:00,DFW,ORD,American,2 hr 28 min,294.0,0,,2024-04-24,125,0
2024-04-25 17:57:00,2024-04-25 20:25:00,DFW,ORD,United,2 hr 28 min,294.0,0,,2024-04-24,130,0
2024-04-25 18:30:00,2024-04-25 20:45:00,DFW,ORD,American,2 hr 15 min,294.0,0,,2024-04-24,109,-15
2024-04-25 10:09:00,2024-04-25 12:35:00,DFW,ORD,American,2 hr 26 min,350.0,0,,2024-04-24,119,-7
2024-04-25 13:30:00,2024-04-25 15:53:00,DFW,ORD,American,2 hr 23 min,350.0,0,,2024-04-24,119,-7
2024-04-25 16:50:00,2024-04-25 19:16:00,DFW,ORD,American,2 hr 26 min,350.0,0,,2024-04-24,119,-7
2024-04-25 14:24:00,2024-04-25 16:50:00,DFW,ORD,United,2 hr 26 min,359.0,0,,2024-04-24,124,0
2024-04-25 16:26:00,2024-04-25 18:54:00,DFW,ORD,United,2 hr 28 min,359.0,0,,2024-04-24,142,11
2024-04-25 14:39:00,2024-04-26 04:45:00,DAL,ORD,Alaska,14 hr 6 min,512.0,2,"SEA, PDX",2024-04-24,504,294
2024-04-25 10:48:00,2024-04-25 13:15:00,DFW,ORD,United,2 hr 27 min,519.0,0,,2024-04-24,130,0
2024-04-25 15:35:00,2024-04-25 18:02:00,DFW,ORD,American,2 hr 27 min,2251.0,0,,2024-04-24,178,39
2024-04-25 20:45:00,2024-04-25 23:08:00,DFW,ORD,American,2 hr 23 min,2251.0,0,,2024-04-24,178,39
2024-04-25 06:00:00,2024-04-25 08:25:00,DAL,ORD,Price unavailable,2 hr 25 min,,0,,2024-04-24,148,16
2024-04-25 09:10:00,2024-04-25 11:30:00,DAL,ORD,Price unavailable,2 hr 20 min,,0,,2024-04-24,130,0
2024-04-25 15:45:00,2024-04-25 18:10:00,DAL,ORD,Price unavailable,2 hr 25 min,,0,,2024-04-24,130,0
2024-04-26 22:49:00,2024-04-27 01:12:00,DFW,ORD,Frontier,2 hr 23 min,229.0,0,,2024-04-24,96,-25
2024-04-26 10:09:00,2024-04-26 12:35:00,DFW,ORD,American,2 hr 26 min,294.0,0,,2024-04-24,119,-7
2024-04-26 10:48:00,2024-04-26 13:15:00,DFW,ORD,United,2 hr 27 min,294.0,0,,2024-04-24,130,0
2024-04-26 12:35:00,2024-04-26 15:00:00,DAL,ORD,Price unavailable,2 hr 25 min,,0,,2024-04-24,130,0
2024-04-26 15:35:00,2024-04-27 00:56:00,DFW,ORD,Frontier,9 hr 21 min,175.0,1,4 hr 33 min DEN,2024-04-24,195,52
2024-04-26 05:15:00,2024-04-26 16:45:00,DFW,ORD,Spirit,11 hr 30 min,235.0,1,5 hr 17 min FLL,2024-04-24,258,102
2024-04-26 10:04:00,2024-04-26 14:19:00,DFW,ORD,"American, Air Wisconsin as American Eagle",4 hr 15 min,293.0,1,1 hr 9 min COU,2024-04-24,288,125
2024-04-26 07:00:00,2024-04-26 09:24:00,DFW,ORD,Spirit,2 hr 24 min,294.0,0,,2024-04-24,90,-30
2024-04-26 05:00:00,2024-04-26 07:24:00,DFW,ORD,American,2 hr 24 min,294.0,0,,2024-04-24,119,-7
2024-04-26 06:10:00,2024-04-26 08:33:00,DFW,ORD,American,2 hr 23 min,294.0,0,,2024-04-24,119,-7
2024-04-26 07:00:00,2024-04-26 09:26:00,DFW,ORD,United,2 hr 26 min,294.0,0,,2024-04-24,124,0
2024-04-26 07:03:00,2024-04-26 09:33:00,DFW,ORD,American,2 hr 30 min,294.0,0,,2024-04-24,97,-24
2024-04-26 08:35:00,2024-04-26 11:03:00,DFW,ORD,American,2 hr 28 min,294.0,0,,2024-04-24,125,0
2024-04-26 14:24:00,2024-04-26 16:50:00,DFW,ORD,United,2 hr 26 min,294.0,0,,2024-04-24,124,0
