Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-17 16:14:00,2024-04-17 18:43:00,JFK,ATL,JetBlue,2 hr 29 min,94,0,,2024-04-05,181,45
2024-04-17 15:25:00,2024-04-17 17:58:00,JFK,ATL,Delta,2 hr 33 min,134,0,,2024-04-05,120,0
2024-04-17 17:40:00,2024-04-17 20:14:00,JFK,ATL,Delta,2 hr 34 min,134,0,,2024-04-05,120,0
2024-04-17 11:35:00,2024-04-17 16:21:00,JFK,ATL,American,4 hr 46 min,92,1,1 hr 21 min CLT,2024-04-05,205,64
2024-04-17 14:50:00,2024-04-17 21:44:00,JFK,ATL,American,6 hr 54 min,92,1,3 hr 34 min CLT,2024-04-05,172,38
2024-04-17 08:30:00,2024-04-17 14:57:00,JFK,ATL,"American, PSA Airlines as American Eagle",6 hr 27 min,93,1,2 hr 36 min DCA,2024-04-05,215,72
2024-04-17 14:45:00,2024-04-17 19:38:00,JFK,ATL,"American, Republic Airways as American Eagle",4 hr 53 min,93,1,1 hr 26 min DCA,2024-04-05,207,66
2024-04-17 06:00:00,2024-04-17 08:24:00,JFK,ATL,Delta,2 hr 24 min,134,0,,2024-04-05,108,-14
2024-04-17 08:05:00,2024-04-17 10:35:00,JFK,ATL,Delta,2 hr 30 min,134,0,,2024-04-05,168,34
2024-04-17 19:45:00,2024-04-17 22:30:00,JFK,ATL,Delta,2 hr 45 min,134,0,,2024-04-05,120,0
2024-04-17 05:59:00,2024-04-17 10:28:00,JFK,ATL,American,4 hr 29 min,142,1,1 hr 6 min CLT,2024-04-05,200,60
2024-04-17 11:00:00,2024-04-17 13:24:00,JFK,ATL,JetBlue,2 hr 24 min,174,0,,2024-04-05,126,0
2024-04-18 08:05:00,2024-04-18 10:35:00,JFK,ATL,Delta,2 hr 30 min,134,0,,2024-04-05,168,34
2024-04-18 11:00:00,2024-04-18 13:24:00,JFK,ATL,JetBlue,2 hr 24 min,174,0,,2024-04-05,126,0
2024-04-18 06:00:00,2024-04-18 08:24:00,JFK,ATL,Delta,2 hr 24 min,179,0,,2024-04-05,108,-14
2024-04-18 13:29:00,2024-04-18 15:54:00,JFK,ATL,Delta,2 hr 25 min,239,0,,2024-04-05,120,0
2024-04-18 15:25:00,2024-04-18 17:58:00,JFK,ATL,Delta,2 hr 33 min,239,0,,2024-04-05,120,0
2024-04-18 11:25:00,2024-04-20 05:56:00,JFK,ATL,"Sun Country Airlines, Frontier",42 hr 31 min,170,2,"MSP, DEN",2024-04-05,353,182
2024-04-18 06:00:00,2024-04-18 10:28:00,JFK,ATL,American,4 hr 28 min,276,1,1 hr 3 min CLT,2024-04-05,200,60
2024-04-18 16:14:00,2024-04-18 18:43:00,JFK,ATL,JetBlue,2 hr 29 min,284,0,,2024-04-05,181,45
2024-04-18 17:40:00,2024-04-18 20:14:00,JFK,ATL,Delta,2 hr 34 min,299,0,,2024-04-05,120,0
2024-04-19 19:45:00,2024-04-19 22:30:00,JFK,ATL,Delta,2 hr 45 min,179,0,,2024-04-05,120,0
2024-04-19 11:00:00,2024-04-19 13:24:00,JFK,ATL,JetBlue,2 hr 24 min,239,0,,2024-04-05,126,0
2024-04-19 16:14:00,2024-04-19 18:43:00,JFK,ATL,JetBlue,2 hr 29 min,284,0,,2024-04-05,181,45
2024-04-19 15:25:00,2024-04-19 17:58:00,JFK,ATL,Delta,2 hr 33 min,289,0,,2024-04-05,120,0
2024-04-19 11:25:00,2024-04-19 23:44:00,JFK,ATL,"Sun Country Airlines, Frontier",12 hr 19 min,214,1,6 hr 54 min MSP,2024-04-05,258,106
2024-04-19 06:00:00,2024-04-19 08:24:00,JFK,ATL,Delta,2 hr 24 min,329,0,,2024-04-05,108,-14
2024-04-19 08:05:00,2024-04-19 10:35:00,JFK,ATL,Delta,2 hr 30 min,329,0,,2024-04-05,168,34
2024-04-19 13:29:00,2024-04-19 15:54:00,JFK,ATL,Delta,2 hr 25 min,329,0,,2024-04-05,120,0
2024-04-19 17:40:00,2024-04-19 20:14:00,JFK,ATL,Delta,2 hr 34 min,329,0,,2024-04-05,120,0
2024-04-20 19:45:00,2024-04-20 22:30:00,JFK,ATL,Delta,2 hr 45 min,229,0,,2024-04-05,120,0
2024-04-20 11:00:00,2024-04-20 13:24:00,JFK,ATL,JetBlue,2 hr 24 min,239,0,,2024-04-05,126,0
2024-04-20 16:13:00,2024-04-20 18:43:00,JFK,ATL,JetBlue,2 hr 30 min,239,0,,2024-04-05,181,45
2024-04-20 11:25:00,2024-04-20 22:24:00,JFK,ATL,"Sun Country Airlines, Spirit",10 hr 59 min,202,1,5 hr 19 min MSP,2024-04-05,279,123
2024-04-20 15:59:00,2024-04-21 00:30:00,JFK,ATL,American,8 hr 31 min,220,1,3 hr 12 min MIA,2024-04-05,232,86
2024-04-20 06:00:00,2024-04-20 08:24:00,JFK,ATL,Delta,2 hr 24 min,289,0,,2024-04-05,108,-14
2024-04-20 08:05:00,2024-04-20 10:35:00,JFK,ATL,Delta,2 hr 30 min,289,0,,2024-04-05,168,34
2024-04-20 14:55:00,2024-04-20 17:27:00,JFK,ATL,Delta,2 hr 32 min,289,0,,2024-04-05,120,0
