Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 14:50:00,2024-04-25 19:30:00,JFK,ATL,American,4 hr 40 min,160,1,1 hr 12 min CLT,2024-04-23,199,60
2024-04-25 16:14:00,2024-04-25 18:43:00,JFK,ATL,JetBlue,2 hr 29 min,259,0,,2024-04-23,151,22
2024-04-25 13:29:00,2024-04-25 15:54:00,JFK,ATL,Delta,2 hr 25 min,319,0,,2024-04-23,120,0
2024-04-25 11:35:00,2024-04-25 17:45:00,JFK,ATL,American,6 hr 10 min,160,1,2 hr 48 min CLT,2024-04-23,205,65
2024-04-25 18:59:00,2024-04-25 23:39:00,JFK,ATL,American,4 hr 40 min,160,1,1 hr 30 min CLT,2024-04-23,211,70
2024-04-25 06:30:00,2024-04-25 13:12:00,JFK,ATL,American,6 hr 42 min,161,1,1 hr 14 min MIA,2024-04-23,214,73
2024-04-25 08:30:00,2024-04-25 14:57:00,JFK,ATL,"American, PSA Airlines as American Eagle",6 hr 27 min,161,1,2 hr 36 min DCA,2024-04-23,215,73
2024-04-25 11:35:00,2024-04-25 16:21:00,JFK,ATL,American,4 hr 46 min,194,1,1 hr 21 min CLT,2024-04-23,205,65
2024-04-25 06:00:00,2024-04-25 10:28:00,JFK,ATL,American,4 hr 28 min,219,1,1 hr 3 min CLT,2024-04-23,200,61
2024-04-25 06:00:00,2024-04-25 08:24:00,JFK,ATL,Delta,2 hr 24 min,319,0,,2024-04-23,108,-13
2024-04-25 08:05:00,2024-04-25 10:35:00,JFK,ATL,Delta,2 hr 30 min,319,0,,2024-04-23,168,35
2024-04-25 10:10:00,2024-04-25 12:42:00,JFK,ATL,Delta,2 hr 32 min,319,0,,2024-04-23,120,0
2024-04-25 15:25:00,2024-04-25 17:58:00,JFK,ATL,Delta,2 hr 33 min,319,0,,2024-04-23,120,0
2024-04-25 17:40:00,2024-04-25 20:14:00,JFK,ATL,Delta,2 hr 34 min,319,0,,2024-04-23,120,0
2024-04-25 19:45:00,2024-04-25 22:30:00,JFK,ATL,Delta,2 hr 45 min,319,0,,2024-04-23,120,0
2024-04-26 11:00:00,2024-04-26 13:24:00,JFK,ATL,JetBlue,2 hr 24 min,259,0,,2024-04-23,126,0
2024-04-26 16:14:00,2024-04-26 18:43:00,JFK,ATL,JetBlue,2 hr 29 min,259,0,,2024-04-23,181,46
2024-04-26 13:29:00,2024-04-26 15:54:00,JFK,ATL,Delta,2 hr 25 min,319,0,,2024-04-23,120,0
2024-04-26 05:59:00,2024-04-26 10:28:00,JFK,ATL,American,4 hr 29 min,160,1,1 hr 6 min CLT,2024-04-23,200,61
2024-04-26 11:35:00,2024-04-26 16:21:00,JFK,ATL,American,4 hr 46 min,160,1,1 hr 21 min CLT,2024-04-23,205,65
2024-04-26 14:50:00,2024-04-26 19:30:00,JFK,ATL,American,4 hr 40 min,160,1,1 hr 12 min CLT,2024-04-23,199,60
2024-04-26 18:59:00,2024-04-26 23:45:00,JFK,ATL,American,4 hr 46 min,160,1,1 hr 32 min CLT,2024-04-23,211,70
2024-04-26 06:30:00,2024-04-26 13:02:00,JFK,ATL,American,6 hr 32 min,161,1,1 hr MIA,2024-04-23,214,73
2024-04-26 12:00:00,2024-04-26 18:35:00,JFK,ATL,American,6 hr 35 min,161,1,1 hr 22 min MIA,2024-04-23,261,110
2024-04-26 06:00:00,2024-04-26 08:24:00,JFK,ATL,Delta,2 hr 24 min,319,0,,2024-04-23,108,-13
2024-04-26 08:05:00,2024-04-26 10:35:00,JFK,ATL,Delta,2 hr 30 min,319,0,,2024-04-23,168,35
2024-04-26 10:10:00,2024-04-26 12:42:00,JFK,ATL,Delta,2 hr 32 min,319,0,,2024-04-23,120,0
2024-04-26 15:25:00,2024-04-26 17:58:00,JFK,ATL,Delta,2 hr 33 min,319,0,,2024-04-23,120,0
