Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 09:00:00,2024-04-25 13:22:00,JFK,DEN,44 min ORD,6 hr 22 min,204,1,,2024-04-22,260,16
2024-04-25 20:19:00,2024-04-25 22:49:00,JFK,DEN,JetBlue,4 hr 30 min,254,0,,2024-04-22,238,6
2024-04-25 08:05:00,2024-04-25 10:45:00,JFK,DEN,Delta,4 hr 40 min,264,0,,2024-04-22,192,-14
2024-04-25 15:10:00,2024-04-25 17:53:00,JFK,DEN,"Avoids as much CO2e as 1,948 trees absorb in a day",4 hr 43 min,264,0,,2024-04-22,192,-14
2024-04-25 19:59:00,2024-04-25 22:46:00,JFK,DEN,Delta,4 hr 47 min,264,0,,2024-04-22,213,0
2024-04-25 11:35:00,2024-04-25 18:51:00,JFK,DEN,American,9 hr 16 min,203,1,3 hr 39 min CLT,2024-04-22,291,30
2024-04-25 14:50:00,2024-04-25 20:54:00,JFK,DEN,American,8 hr 4 min,203,1,2 hr 20 min CLT,2024-04-22,268,20
2024-04-25 14:30:00,2024-04-25 20:15:00,JFK,DEN,American,7 hr 45 min,204,1,1 hr 33 min DFW,2024-04-22,295,32
2024-04-25 16:25:00,2024-04-25 22:16:00,JFK,DEN,American,7 hr 51 min,204,1,1 hr 40 min DFW,2024-04-22,295,32
2024-04-25 10:10:00,2024-04-25 14:59:00,JFK,DEN,Delta,6 hr 49 min,273,1,1 hr 1 min ATL,2024-04-22,286,28
2024-04-26 09:00:00,2024-04-26 13:22:00,JFK,DEN,44 min ORD,6 hr 22 min,204,1,,2024-04-22,260,16
2024-04-26 20:19:00,2024-04-26 22:49:00,JFK,DEN,JetBlue,4 hr 30 min,214,0,,2024-04-22,238,6
2024-04-26 08:05:00,2024-04-26 10:45:00,JFK,DEN,Delta,4 hr 40 min,224,0,,2024-04-22,192,-14
2024-04-26 15:10:00,2024-04-26 17:53:00,JFK,DEN,"Avoids as much CO2e as 1,948 trees absorb in a day",4 hr 43 min,224,0,,2024-04-22,192,-14
2024-04-26 19:59:00,2024-04-26 22:46:00,JFK,DEN,Delta,4 hr 47 min,224,0,,2024-04-22,213,0
2024-04-26 08:00:00,2024-04-26 15:15:00,JFK,DEN,American,9 hr 15 min,203,1,3 hr 30 min CLT,2024-04-22,286,28
2024-04-26 11:35:00,2024-04-26 18:51:00,JFK,DEN,American,9 hr 16 min,203,1,3 hr 39 min CLT,2024-04-22,291,30
2024-04-26 14:50:00,2024-04-26 20:54:00,JFK,DEN,American,8 hr 4 min,203,1,2 hr 20 min CLT,2024-04-22,268,20
2024-04-26 14:29:00,2024-04-26 20:15:00,JFK,DEN,American,7 hr 46 min,204,1,1 hr 34 min DFW,2024-04-22,295,32
2024-04-27 11:30:00,2024-04-27 17:20:00,JFK,DEN,Sun Country Airlines,7 hr 50 min,133,1,2 hr 39 min MSP,2024-04-22,260,16
2024-04-27 09:00:00,2024-04-27 13:36:00,JFK,DEN,58 min ORD,6 hr 36 min,204,1,,2024-04-22,285,27
2024-04-27 20:19:00,2024-04-27 22:49:00,JFK,DEN,JetBlue,4 hr 30 min,214,0,,2024-04-22,238,6
2024-04-27 08:05:00,2024-04-27 10:45:00,JFK,DEN,"Avoids as much CO2e as 1,948 trees absorb in a day",4 hr 40 min,224,0,,2024-04-22,192,-14
2024-04-27 19:59:00,2024-04-27 22:46:00,JFK,DEN,Delta,4 hr 47 min,224,0,,2024-04-22,213,0
2024-04-27 14:50:00,2024-04-27 20:54:00,JFK,DEN,American,8 hr 4 min,203,1,2 hr 20 min CLT,2024-04-22,268,20
2024-04-27 14:29:00,2024-04-27 20:15:00,JFK,DEN,American,7 hr 46 min,204,1,1 hr 34 min DFW,2024-04-22,295,32
2024-04-27 10:10:00,2024-04-27 14:59:00,JFK,DEN,Delta,6 hr 49 min,233,1,1 hr 1 min ATL,2024-04-22,286,28
2024-04-28 09:00:00,2024-04-28 13:22:00,JFK,DEN,44 min ORD,6 hr 22 min,204,1,,2024-04-22,260,16
2024-04-28 20:19:00,2024-04-28 22:49:00,JFK,DEN,JetBlue,4 hr 30 min,214,0,,2024-04-22,238,6
2024-04-28 08:05:00,2024-04-28 10:45:00,JFK,DEN,Delta,4 hr 40 min,224,0,,2024-04-22,192,-14
2024-04-28 19:59:00,2024-04-28 22:46:00,JFK,DEN,Delta,4 hr 47 min,224,0,,2024-04-22,213,0
2024-04-28 15:10:00,2024-04-28 17:53:00,JFK,DEN,Delta,4 hr 43 min,264,0,,2024-04-22,192,-14
2024-04-28 16:24:00,2024-04-28 22:16:00,JFK,DEN,American,7 hr 52 min,204,1,1 hr 41 min DFW,2024-04-22,295,32
2024-04-28 14:29:00,2024-04-28 20:15:00,JFK,DEN,American,7 hr 46 min,248,1,1 hr 34 min DFW,2024-04-22,295,32
2024-04-29 20:19:00,2024-04-29 22:49:00,JFK,DEN,JetBlue,4 hr 30 min,214,0,,2024-04-22,238,6
2024-04-29 08:05:00,2024-04-29 10:45:00,JFK,DEN,Delta,4 hr 40 min,224,0,,2024-04-22,192,-14
2024-04-29 15:10:00,2024-04-29 17:53:00,JFK,DEN,"Avoids as much CO2e as 1,948 trees absorb in a day",4 hr 43 min,224,0,,2024-04-22,192,-14
2024-04-29 19:59:00,2024-04-29 22:46:00,JFK,DEN,Delta,4 hr 47 min,224,0,,2024-04-22,213,0
2024-04-29 11:25:00,2024-04-29 17:00:00,JFK,DEN,Sun Country Airlines,7 hr 35 min,183,1,2 hr 24 min MSP,2024-04-22,260,16
2024-04-29 14:50:00,2024-04-29 20:54:00,JFK,DEN,American,8 hr 4 min,203,1,2 hr 20 min CLT,2024-04-22,268,20
2024-04-29 09:00:00,2024-04-29 13:22:00,JFK,DEN,44 min ORD,6 hr 22 min,204,1,,2024-04-22,260,16
2024-04-30 11:25:00,2024-04-30 16:45:00,JFK,DEN,Sun Country Airlines,7 hr 20 min,123,1,2 hr 9 min MSP,2024-04-22,260,16
2024-04-30 20:19:00,2024-04-30 22:49:00,JFK,DEN,JetBlue,4 hr 30 min,164,0,,2024-04-22,238,6
2024-04-30 08:05:00,2024-04-30 10:45:00,JFK,DEN,"Avoids as much CO2e as 1,948 trees absorb in a day",4 hr 40 min,174,0,,2024-04-22,192,-14
2024-04-30 19:59:00,2024-04-30 22:46:00,JFK,DEN,Delta,4 hr 47 min,174,0,,2024-04-22,213,0
2024-04-30 11:35:00,2024-04-30 17:52:00,JFK,DEN,American,8 hr 17 min,142,1,2 hr 40 min CLT,2024-04-22,291,30
2024-04-30 08:10:00,2024-04-30 13:58:00,JFK,DEN,American,7 hr 48 min,143,1,1 hr 22 min DFW,2024-04-22,243,8
2024-04-30 14:30:00,2024-04-30 20:15:00,JFK,DEN,American,7 hr 45 min,143,1,1 hr 33 min DFW,2024-04-22,295,32
2024-05-01 09:00:00,2024-05-01 13:22:00,JFK,DEN,44 min ORD,6 hr 22 min,143,1,,2024-04-22,248,11
2024-05-01 09:52:00,2024-05-01 12:14:00,JFK,DEN,JetBlue,4 hr 22 min,164,0,,2024-04-22,227,0
2024-05-01 08:05:00,2024-05-01 10:45:00,JFK,DEN,Delta,4 hr 40 min,174,0,,2024-04-22,185,-17
2024-05-01 19:59:00,2024-05-01 22:46:00,JFK,DEN,Delta,4 hr 47 min,174,0,,2024-04-22,205,-8
2024-05-01 11:35:00,2024-05-01 18:51:00,JFK,DEN,American,9 hr 16 min,142,1,3 hr 39 min CLT,2024-04-22,286,28
2024-05-01 14:50:00,2024-05-01 20:54:00,JFK,DEN,American,8 hr 4 min,142,1,2 hr 20 min CLT,2024-04-22,263,17
2024-05-01 14:29:00,2024-05-01 20:15:00,JFK,DEN,American,7 hr 46 min,143,1,1 hr 34 min DFW,2024-04-22,291,30
2024-05-02 09:52:00,2024-05-02 12:14:00,JFK,DEN,JetBlue,4 hr 22 min,164,0,,2024-04-22,227,0
2024-05-02 08:05:00,2024-05-02 10:45:00,JFK,DEN,Delta,4 hr 40 min,174,0,,2024-04-22,185,-17
2024-05-02 15:10:00,2024-05-02 17:53:00,JFK,DEN,"Avoids as much CO2e as 2,374 trees absorb in a day",4 hr 43 min,174,0,,2024-04-22,185,-17
2024-05-02 19:59:00,2024-05-02 22:46:00,JFK,DEN,Delta,4 hr 47 min,174,0,,2024-04-22,205,-8
2024-05-02 11:35:00,2024-05-02 18:51:00,JFK,DEN,American,9 hr 16 min,142,1,3 hr 39 min CLT,2024-04-22,286,28
2024-05-02 14:50:00,2024-05-02 20:54:00,JFK,DEN,American,8 hr 4 min,142,1,2 hr 20 min CLT,2024-04-22,263,17
2024-05-02 08:10:00,2024-05-02 13:58:00,JFK,DEN,American,7 hr 48 min,143,1,1 hr 22 min DFW,2024-04-22,239,7
2024-05-02 16:25:00,2024-05-02 22:16:00,JFK,DEN,American,7 hr 51 min,143,1,1 hr 40 min DFW,2024-04-22,291,30
2024-05-03 09:00:00,2024-05-03 13:22:00,JFK,DEN,44 min ORD,6 hr 22 min,143,1,,2024-04-22,248,11
2024-05-03 09:52:00,2024-05-03 12:14:00,JFK,DEN,JetBlue,4 hr 22 min,164,0,,2024-04-22,227,0
2024-05-03 08:05:00,2024-05-03 10:45:00,JFK,DEN,Delta,4 hr 40 min,174,0,,2024-04-22,185,-17
2024-05-03 15:10:00,2024-05-03 17:53:00,JFK,DEN,"Avoids as much CO2e as 2,374 trees absorb in a day",4 hr 43 min,174,0,,2024-04-22,185,-17
2024-05-03 19:59:00,2024-05-03 22:46:00,JFK,DEN,Delta,4 hr 47 min,174,0,,2024-04-22,205,-8
2024-05-03 11:35:00,2024-05-03 18:51:00,JFK,DEN,American,9 hr 16 min,142,1,3 hr 39 min CLT,2024-04-22,286,28
2024-05-03 14:50:00,2024-05-03 20:54:00,JFK,DEN,American,8 hr 4 min,142,1,2 hr 20 min CLT,2024-04-22,263,17
2024-05-03 14:29:00,2024-05-03 20:15:00,JFK,DEN,American,7 hr 46 min,143,1,1 hr 34 min DFW,2024-04-22,291,30
2024-05-03 16:24:00,2024-05-03 22:16:00,JFK,DEN,American,7 hr 52 min,143,1,1 hr 41 min DFW,2024-04-22,291,30
2024-05-04 09:00:00,2024-05-04 13:36:00,JFK,DEN,58 min ORD,6 hr 36 min,143,1,,2024-04-22,272,21
2024-05-04 09:52:00,2024-05-04 12:14:00,JFK,DEN,JetBlue,4 hr 22 min,164,0,,2024-04-22,227,0
2024-05-04 08:05:00,2024-05-04 10:45:00,JFK,DEN,Delta,4 hr 40 min,174,0,,2024-04-22,185,-17
2024-05-04 19:59:00,2024-05-04 22:46:00,JFK,DEN,Delta,4 hr 47 min,174,0,,2024-04-22,205,-8
2024-05-04 07:59:00,2024-05-04 15:15:00,JFK,DEN,American,9 hr 16 min,142,1,3 hr 32 min CLT,2024-04-22,281,25
2024-05-04 11:35:00,2024-05-04 18:51:00,JFK,DEN,American,9 hr 16 min,142,1,3 hr 39 min CLT,2024-04-22,286,28
2024-05-04 14:50:00,2024-05-04 20:54:00,JFK,DEN,American,8 hr 4 min,142,1,2 hr 20 min CLT,2024-04-22,263,17
2024-05-04 14:29:00,2024-05-04 20:15:00,JFK,DEN,American,7 hr 46 min,143,1,1 hr 34 min DFW,2024-04-22,291,30
2024-05-05 14:50:00,2024-05-05 20:54:00,JFK,DEN,American,8 hr 4 min,172,1,2 hr 20 min CLT,2024-04-22,263,17
2024-05-05 09:52:00,2024-05-05 12:14:00,JFK,DEN,JetBlue,4 hr 22 min,184,0,,2024-04-22,227,0
2024-05-05 15:10:00,2024-05-05 17:53:00,JFK,DEN,Delta,4 hr 43 min,264,0,,2024-04-22,185,-17
2024-05-05 08:05:00,2024-05-05 10:45:00,JFK,DEN,Delta,4 hr 40 min,289,0,,2024-04-22,185,-17
2024-05-05 19:59:00,2024-05-05 22:46:00,JFK,DEN,Delta,4 hr 47 min,289,0,,2024-04-22,205,-8
2024-05-05 08:10:00,2024-05-05 16:03:00,JFK,DEN,American,9 hr 53 min,173,1,3 hr 27 min DFW,2024-04-22,253,13
2024-05-05 15:40:00,2024-05-05 22:19:00,JFK,DEN,American,8 hr 39 min,193,1,3 hr 8 min ORD,2024-04-22,227,0
2024-05-05 06:40:00,2024-05-05 11:59:00,JFK,DEN,35 min SLC,7 hr 19 min,228,1,,2024-04-22,306,37
2024-05-05 09:00:00,2024-05-05 13:22:00,JFK,DEN,44 min ORD,6 hr 22 min,248,1,,2024-04-22,272,21
2024-05-06 08:05:00,2024-05-06 10:45:00,JFK,DEN,Delta,4 hr 40 min,174,0,,2024-04-22,185,-17
2024-05-06 15:10:00,2024-05-06 17:53:00,JFK,DEN,"Avoids as much CO2e as 2,374 trees absorb in a day",4 hr 43 min,174,0,,2024-04-22,185,-17
2024-05-06 19:59:00,2024-05-06 22:46:00,JFK,DEN,Delta,4 hr 47 min,174,0,,2024-04-22,185,-17
2024-05-06 09:52:00,2024-05-06 12:14:00,JFK,DEN,JetBlue,4 hr 22 min,184,0,,2024-04-22,227,0
2024-05-06 14:50:00,2024-05-06 21:05:00,JFK,DEN,American,8 hr 15 min,142,1,2 hr 41 min CLT,2024-04-22,263,17
2024-05-06 15:45:00,2024-05-06 22:38:00,JFK,DEN,American,8 hr 53 min,143,1,3 hr 19 min ORD,2024-04-22,204,-9
2024-05-06 18:33:00,2024-05-06 23:06:00,JFK,DEN,57 min CLT,6 hr 33 min,172,1,,2024-04-22,301,34
2024-05-07 09:52:00,2024-05-07 12:14:00,JFK,DEN,JetBlue,4 hr 22 min,144,0,,2024-04-22,227,0
2024-05-07 08:00:00,2024-05-07 10:28:00,JFK,DEN,Delta,4 hr 28 min,154,0,,2024-04-22,185,-17
2024-05-07 19:20:00,2024-05-07 22:01:00,JFK,DEN,Delta,4 hr 41 min,154,0,,2024-04-22,185,-17
2024-05-07 08:00:00,2024-05-07 15:08:00,JFK,DEN,American,9 hr 8 min,142,1,3 hr 24 min CLT,2024-04-22,281,25
2024-05-07 11:30:00,2024-05-07 18:46:00,JFK,DEN,American,9 hr 16 min,142,1,3 hr 44 min CLT,2024-04-22,281,25
2024-05-07 14:50:00,2024-05-07 21:05:00,JFK,DEN,American,8 hr 15 min,142,1,2 hr 41 min CLT,2024-04-22,263,17
2024-05-07 18:33:00,2024-05-07 23:06:00,JFK,DEN,57 min CLT,6 hr 33 min,142,1,,2024-04-22,301,34
2024-05-07 08:47:00,2024-05-07 13:47:00,JFK,DEN,American,7 hr,143,1,1 hr 16 min ORD,2024-04-22,225,0
2024-05-08 18:33:00,2024-05-08 23:06:00,JFK,DEN,57 min CLT,6 hr 33 min,142,1,,2024-04-22,301,34
2024-05-08 19:20:00,2024-05-08 22:01:00,JFK,DEN,"Avoids as much CO2e as 2,374 trees absorb in a day",4 hr 41 min,174,0,,2024-04-22,185,-17
