Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 08:05:00,2024-04-25 11:12:00,JFK,DFW,Delta,4 hr 7 min,240,0,,2024-04-23,212,12
2024-04-25 14:30:00,2024-04-25 17:35:00,JFK,DFW,American,4 hr 5 min,240,0,,2024-04-23,187,0
2024-04-25 16:25:00,2024-04-25 19:30:00,JFK,DFW,American,4 hr 5 min,240,0,,2024-04-23,187,0
2024-04-25 08:10:00,2024-04-25 11:31:00,JFK,DFW,American,4 hr 21 min,240,0,,2024-04-23,154,-19
2024-04-25 11:35:00,2024-04-25 17:08:00,JFK,DFW,American,6 hr 33 min,248,1,1 hr 39 min CLT,2024-04-23,252,33
2024-04-25 09:00:00,2024-04-25 14:37:00,JFK,DFW,American,6 hr 37 min,249,1,1 hr 1 min ORD,2024-04-23,253,33
2024-04-25 11:30:00,2024-04-25 16:38:00,JFK,DFW,42 min AUS,6 hr 8 min,249,1,,2024-04-23,241,27
2024-04-25 17:40:00,2024-04-25 22:22:00,JFK,DFW,46 min ATL,5 hr 42 min,249,1,,2024-04-23,240,26
2024-04-25 06:00:00,2024-04-25 10:30:00,JFK,DAL,51 min ATL,5 hr 30 min,328,1,,2024-04-23,251,32
2024-04-25 17:59:00,2024-04-25 21:07:00,JFK,DFW,Delta,4 hr 8 min,489,0,,2024-04-23,212,12
2024-04-26 08:05:00,2024-04-26 11:12:00,JFK,DFW,Delta,4 hr 7 min,319,0,,2024-04-23,212,12
2024-04-26 08:10:00,2024-04-26 11:31:00,JFK,DFW,American,4 hr 21 min,319,0,,2024-04-23,154,-19
2024-04-26 14:29:00,2024-04-26 17:34:00,JFK,DFW,American,4 hr 5 min,319,0,,2024-04-23,187,0
2024-04-26 16:24:00,2024-04-26 19:29:00,JFK,DFW,American,4 hr 5 min,319,0,,2024-04-23,187,0
2024-04-26 18:00:00,2024-04-26 21:08:00,JFK,DFW,Delta,4 hr 8 min,319,0,,2024-04-23,212,12
2024-04-26 06:00:00,2024-04-26 10:22:00,JFK,DFW,36 min ATL,5 hr 22 min,328,1,,2024-04-23,228,20
2024-04-26 09:30:00,2024-04-26 15:01:00,JFK,DFW,American,6 hr 31 min,328,1,1 hr 27 min CLE,2024-04-23,257,35
2024-04-26 11:30:00,2024-04-26 16:38:00,JFK,DFW,42 min AUS,6 hr 8 min,328,1,,2024-04-23,241,27
2024-04-26 13:29:00,2024-04-26 17:44:00,JFK,DAL,35 min ATL,5 hr 15 min,328,1,,2024-04-23,264,39
2024-04-27 08:05:00,2024-04-27 11:12:00,JFK,DFW,Delta,4 hr 7 min,181,0,,2024-04-23,212,12
2024-04-27 18:00:00,2024-04-27 21:08:00,JFK,DFW,Delta,4 hr 8 min,181,0,,2024-04-23,212,12
2024-04-27 08:10:00,2024-04-27 11:31:00,JFK,DFW,American,4 hr 21 min,210,0,,2024-04-23,154,-19
2024-04-27 14:29:00,2024-04-27 17:34:00,JFK,DFW,American,4 hr 5 min,210,0,,2024-04-23,187,0
2024-04-27 16:25:00,2024-04-27 19:30:00,JFK,DFW,American,4 hr 5 min,210,0,,2024-04-23,187,0
2024-04-27 11:30:00,2024-04-27 20:59:00,JFK,DFW,Sun Country Airlines,10 hr 29 min,203,1,4 hr 59 min MSP,2024-04-23,290,53
2024-04-27 06:00:00,2024-04-27 10:30:00,JFK,DAL,51 min ATL,5 hr 30 min,219,1,,2024-04-23,251,32
2024-04-27 09:59:00,2024-04-27 14:41:00,JFK,DFW,46 min CMH,5 hr 42 min,219,1,,2024-04-23,254,34
2024-04-28 08:05:00,2024-04-28 11:12:00,JFK,DFW,Delta,4 hr 7 min,319,0,,2024-04-23,212,12
2024-04-28 08:10:00,2024-04-28 11:31:00,JFK,DFW,American,4 hr 21 min,319,0,,2024-04-23,154,-19
2024-04-28 14:29:00,2024-04-28 17:34:00,JFK,DFW,American,4 hr 5 min,319,0,,2024-04-23,187,0
2024-04-28 16:24:00,2024-04-28 19:29:00,JFK,DFW,American,4 hr 5 min,319,0,,2024-04-23,187,0
2024-04-28 17:59:00,2024-04-28 21:07:00,JFK,DFW,Delta,4 hr 8 min,319,0,,2024-04-23,212,12
2024-04-28 06:00:00,2024-04-28 10:22:00,JFK,DFW,36 min ATL,5 hr 22 min,328,1,,2024-04-23,228,20
2024-04-28 06:00:00,2024-04-28 10:30:00,JFK,DAL,51 min ATL,5 hr 30 min,328,1,,2024-04-23,251,32
2024-04-28 09:00:00,2024-04-28 14:37:00,JFK,DFW,American,6 hr 37 min,328,1,1 hr 1 min ORD,2024-04-23,253,33
2024-04-28 11:30:00,2024-04-28 16:38:00,JFK,DFW,42 min AUS,6 hr 8 min,328,1,,2024-04-23,241,27
2024-04-29 08:05:00,2024-04-29 11:12:00,JFK,DFW,Delta,4 hr 7 min,240,0,,2024-04-23,212,12
2024-04-29 14:29:00,2024-04-29 17:34:00,JFK,DFW,American,4 hr 5 min,240,0,,2024-04-23,187,0
2024-04-29 11:30:00,2024-04-29 16:38:00,JFK,DFW,42 min AUS,6 hr 8 min,249,1,,2024-04-23,241,27
