Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-17 14:30:00,2024-04-17 17:42:00,JFK,LAX,"Avoids as much CO2e as 5,540 trees absorb in a day",6 hr 12 min,274,0,,2024-04-05,267,-25
2024-04-17 15:50:00,2024-04-17 18:57:00,JFK,LAX,JetBlue,6 hr 7 min,274,0,,2024-04-05,402,12
2024-04-17 16:30:00,2024-04-17 19:51:00,JFK,LAX,American,6 hr 21 min,274,0,,2024-04-05,548,53
2024-04-17 11:25:00,2024-04-18 07:21:00,JFK,LAX,"Sun Country Airlines, Frontier",22 hr 56 min,171,3,"MSP, DEN, LAS",2024-04-05,355,0
2024-04-17 07:30:00,2024-04-17 18:51:00,JFK,LAX,American,14 hr 21 min,216,1,5 hr 32 min MIA,2024-04-05,397,11
2024-04-17 13:45:00,2024-04-17 23:58:00,JFK,LAX,JetBlue,13 hr 13 min,250,1,4 hr 12 min FLL,2024-04-05,530,48
2024-04-17 05:29:00,2024-04-17 08:33:00,JFK,LAX,JetBlue,6 hr 4 min,274,0,,2024-04-05,402,12
2024-04-17 06:00:00,2024-04-17 09:15:00,JFK,LAX,American,6 hr 15 min,274,0,,2024-04-05,548,53
2024-04-17 07:00:00,2024-04-17 10:14:00,JFK,LAX,American,6 hr 14 min,274,0,,2024-04-05,548,53
2024-04-17 07:15:00,2024-04-17 10:24:00,JFK,LAX,Delta,6 hr 9 min,274,0,,2024-04-05,307,-14
2024-04-17 07:30:00,2024-04-17 10:40:00,JFK,LAX,JetBlue,6 hr 10 min,274,0,,2024-04-05,402,12
2024-04-17 08:15:00,2024-04-17 11:30:00,JFK,LAX,Delta,6 hr 15 min,274,0,,2024-04-05,307,-14
2024-04-17 09:30:00,2024-04-17 12:37:00,JFK,LAX,JetBlue,6 hr 7 min,274,0,,2024-04-05,402,12
2024-04-17 09:45:00,2024-04-17 13:00:00,JFK,LAX,Delta,6 hr 15 min,274,0,,2024-04-05,307,-14
2024-04-17 10:30:00,2024-04-17 13:36:00,JFK,LAX,JetBlue,6 hr 6 min,274,0,,2024-04-05,402,12
2024-04-17 11:59:00,2024-04-17 15:11:00,JFK,LAX,Delta,6 hr 12 min,274,0,,2024-04-05,307,-14
2024-04-17 15:30:00,2024-04-17 18:57:00,JFK,LAX,American,6 hr 27 min,274,0,,2024-04-05,548,53
2024-04-17 15:55:00,2024-04-17 19:09:00,JFK,LAX,Delta,6 hr 14 min,274,0,,2024-04-05,307,-14
2024-04-17 17:00:00,2024-04-17 20:25:00,JFK,LAX,Delta,6 hr 25 min,274,0,,2024-04-05,307,-14
2024-04-17 17:17:00,2024-04-17 20:35:00,JFK,LAX,JetBlue,6 hr 18 min,274,0,,2024-04-05,402,12
2024-04-17 18:05:00,2024-04-17 21:33:00,JFK,LAX,Delta,6 hr 28 min,274,0,,2024-04-05,256,-28
2024-04-17 19:15:00,2024-04-17 22:41:00,JFK,LAX,Delta,6 hr 26 min,274,0,,2024-04-05,307,-14
2024-04-17 20:00:00,2024-04-17 23:27:00,JFK,LAX,American,6 hr 27 min,274,0,,2024-04-05,548,53
2024-04-17 21:00:00,2024-04-18 00:19:00,JFK,LAX,American,6 hr 19 min,274,0,,2024-04-05,548,53
2024-04-17 12:00:00,2024-04-17 15:02:00,JFK,LAX,JetBlue,6 hr 2 min,299,0,,2024-04-05,400,12
2024-04-17 20:05:00,2024-04-17 23:27:00,JFK,LAX,JetBlue,6 hr 22 min,299,0,,2024-04-05,402,12
2024-04-17 11:00:00,2024-04-17 14:19:00,JFK,LAX,American,6 hr 19 min,319,0,,2024-04-05,548,53
2024-04-17 17:24:00,2024-04-17 20:47:00,JFK,LAX,American,6 hr 23 min,319,0,,2024-04-05,548,53
2024-04-18 11:25:00,2024-04-18 16:43:00,JFK,LAX,Sun Country Airlines,8 hr 18 min,223,1,1 hr 19 min MSP,2024-04-05,344,0
2024-04-18 09:30:00,2024-04-18 12:37:00,JFK,LAX,JetBlue,6 hr 7 min,274,0,,2024-04-05,402,12
2024-04-18 09:45:00,2024-04-18 13:00:00,JFK,LAX,Delta,6 hr 15 min,274,0,,2024-04-05,307,-14
2024-04-18 16:30:00,2024-04-18 19:51:00,JFK,LAX,American,6 hr 21 min,274,0,,2024-04-05,548,53
2024-04-18 11:25:00,2024-04-19 08:40:00,JFK,LAX,"Sun Country Airlines, Allegiant, Frontier",24 hr 15 min,216,2,,2024-04-05,370,0
2024-04-18 21:29:00,2024-04-19 00:49:00,JFK,LAX,JetBlue,6 hr 20 min,274,0,,2024-04-05,402,12
2024-04-18 05:29:00,2024-04-18 08:33:00,JFK,LAX,JetBlue,6 hr 4 min,299,0,,2024-04-05,402,12
2024-04-18 07:30:00,2024-04-18 10:40:00,JFK,LAX,JetBlue,6 hr 10 min,299,0,,2024-04-05,402,12
2024-04-18 20:05:00,2024-04-18 23:27:00,JFK,LAX,JetBlue,6 hr 22 min,299,0,,2024-04-05,402,12
2024-04-18 07:30:00,2024-04-18 10:49:00,JFK,LAX,American,6 hr 19 min,319,0,,2024-04-05,548,53
2024-04-18 15:50:00,2024-04-18 18:57:00,JFK,LAX,JetBlue,6 hr 7 min,334,0,,2024-04-05,402,12
2024-04-18 17:17:00,2024-04-18 20:35:00,JFK,LAX,JetBlue,6 hr 18 min,334,0,,2024-04-05,402,12
2024-04-18 07:15:00,2024-04-18 10:24:00,JFK,LAX,Delta,6 hr 9 min,357,0,,2024-04-05,307,-14
2024-04-18 08:15:00,2024-04-18 11:30:00,JFK,LAX,Delta,6 hr 15 min,357,0,,2024-04-05,307,-14
2024-04-18 11:59:00,2024-04-18 15:11:00,JFK,LAX,Delta,6 hr 12 min,357,0,,2024-04-05,307,-14
2024-04-18 14:30:00,2024-04-18 17:42:00,JFK,LAX,Delta,6 hr 12 min,357,0,,2024-04-05,267,-25
2024-04-18 15:55:00,2024-04-18 19:09:00,JFK,LAX,Delta,6 hr 14 min,357,0,,2024-04-05,307,-14
2024-04-18 17:00:00,2024-04-18 20:25:00,JFK,LAX,Delta,6 hr 25 min,357,0,,2024-04-05,307,-14
2024-04-18 18:05:00,2024-04-18 21:33:00,JFK,LAX,Delta,6 hr 28 min,357,0,,2024-04-05,256,-28
2024-04-18 21:29:00,2024-04-19 00:49:00,JFK,LAX,Delta,6 hr 20 min,357,0,,2024-04-05,307,-14
2024-04-18 06:30:00,2024-04-18 09:48:00,JFK,LAX,American,6 hr 18 min,379,0,,2024-04-05,548,53
2024-04-18 09:00:00,2024-04-18 12:29:00,JFK,LAX,American,6 hr 29 min,379,0,,2024-04-05,548,53
2024-04-18 15:30:00,2024-04-18 18:57:00,JFK,LAX,American,6 hr 27 min,379,0,,2024-04-05,548,53
2024-04-18 17:24:00,2024-04-18 20:47:00,JFK,LAX,American,6 hr 23 min,379,0,,2024-04-05,548,53
2024-04-18 20:10:00,2024-04-18 23:38:00,JFK,LAX,American,6 hr 28 min,379,0,,2024-04-05,548,53
2024-04-18 10:30:00,2024-04-18 13:36:00,JFK,LAX,JetBlue,6 hr 6 min,394,0,,2024-04-05,402,12
2024-04-18 12:00:00,2024-04-18 15:02:00,JFK,LAX,JetBlue,6 hr 2 min,394,0,,2024-04-05,400,12
2024-04-18 19:15:00,2024-04-18 22:41:00,JFK,LAX,Delta,6 hr 26 min,439,0,,2024-04-05,307,-14
2024-04-18 11:00:00,2024-04-18 14:19:00,JFK,LAX,American,6 hr 19 min,469,0,,2024-04-05,548,53
2024-04-19 11:26:00,2024-04-19 18:43:00,JFK,LAX,American,10 hr 17 min,213,1,3 hr 16 min IND,2024-04-05,369,0
2024-04-19 11:25:00,2024-04-19 16:33:00,JFK,LAX,Sun Country Airlines,8 hr 8 min,244,1,1 hr 9 min MSP,2024-04-05,344,0
2024-04-19 05:29:00,2024-04-19 08:33:00,JFK,LAX,JetBlue,6 hr 4 min,254,0,,2024-04-05,402,12
2024-04-19 16:30:00,2024-04-19 19:51:00,JFK,LAX,American,6 hr 21 min,319,0,,2024-04-05,548,53
2024-04-19 14:30:00,2024-04-19 17:42:00,JFK,LAX,Delta,6 hr 12 min,357,0,,2024-04-05,267,-25
2024-04-19 11:25:00,2024-04-20 10:43:00,JFK,LAX,Sun Country Airlines,26 hr 18 min,216,1,19 hr 19 min MSP,2024-04-05,344,0
2024-04-19 11:25:00,2024-04-20 07:14:00,JFK,LAX,"Sun Country Airlines, Spirit",22 hr 49 min,220,2,"MSP, LAS",2024-04-05,363,0
2024-04-19 14:50:00,2024-04-19 20:49:00,JFK,LAX,American,8 hr 59 min,257,1,1 hr 33 min CLT,2024-04-05,360,0
2024-04-19 15:40:00,2024-04-19 21:30:00,JFK,LAX,American,8 hr 50 min,258,1,1 hr 14 min ORD,2024-04-05,335,-6
2024-04-19 15:30:00,2024-04-19 18:57:00,JFK,LAX,American,6 hr 27 min,319,0,,2024-04-05,548,53
2024-04-19 07:30:00,2024-04-19 10:40:00,JFK,LAX,JetBlue,6 hr 10 min,334,0,,2024-04-05,402,12
