Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 23:52:00,2024-04-26 07:10:00,LAX,ATL,Spirit,4 hr 18 min,269.0,0,,2024-04-23,182,-28
2024-04-25 08:15:00,2024-04-25 15:25:00,LAX,ATL,Delta,4 hr 10 min,320.0,0,,2024-04-23,194,-24
2024-04-25 09:45:00,2024-04-25 16:58:00,LAX,ATL,AmericanAlaska,4 hr 13 min,320.0,0,,2024-04-23,260,0
2024-04-25 21:30:00,2024-04-26 08:00:00,LAX,ATL,Frontier,7 hr 30 min,189.0,1,2 hr 10 min LAS,2024-04-23,210,-17
2024-04-25 20:51:00,2024-04-26 06:53:00,LAX,ATL,"Alaska, Spirit",7 hr 2 min,286.0,1,1 hr 49 min LAS,2024-04-23,243,0
2024-04-25 06:00:00,2024-04-25 13:15:00,LAX,ATL,Spirit,4 hr 15 min,314.0,0,,2024-04-23,182,-28
2024-04-25 09:30:00,2024-04-25 16:49:00,LAX,ATL,Delta,4 hr 19 min,489.0,0,,2024-04-23,249,0
2024-04-25 06:20:00,2024-04-25 13:38:00,LAX,ATL,Delta,4 hr 18 min,599.0,0,,2024-04-23,208,-18
2024-04-25 11:15:00,2024-04-25 18:18:00,LAX,ATL,Delta,4 hr 3 min,599.0,0,,2024-04-23,190,-25
2024-04-25 12:20:00,2024-04-25 19:36:00,LAX,ATL,Delta,4 hr 16 min,599.0,0,,2024-04-23,249,0
2024-04-25 13:25:00,2024-04-25 20:41:00,LAX,ATL,Delta,4 hr 16 min,599.0,0,,2024-04-23,231,-9
2024-04-25 14:30:00,2024-04-25 21:42:00,LAX,ATL,Delta,4 hr 12 min,599.0,0,,2024-04-23,311,22
2024-04-25 17:05:00,2024-04-26 00:17:00,LAX,ATL,Delta,4 hr 12 min,599.0,0,,2024-04-23,231,-9
2024-04-25 21:45:00,2024-04-26 05:01:00,LAX,ATL,Delta,4 hr 16 min,599.0,0,,2024-04-23,249,0
2024-04-25 22:50:00,2024-04-26 06:04:00,LAX,ATL,Delta,4 hr 14 min,599.0,0,,2024-04-23,249,0
2024-04-26 23:52:00,2024-04-27 07:10:00,LAX,ATL,Spirit,4 hr 18 min,269.0,0,,2024-04-23,182,-28
2024-04-26 09:45:00,2024-04-26 16:58:00,LAX,ATL,AmericanAlaska,4 hr 13 min,326.0,0,,2024-04-23,260,0
2024-04-26 08:15:00,2024-04-26 15:25:00,LAX,ATL,Delta,4 hr 10 min,540.0,0,,2024-04-23,190,-25
2024-04-26 22:30:00,2024-04-27 12:46:00,LAX,ATL,Frontier,11 hr 16 min,175.0,1,5 hr 53 min DFW,2024-04-23,225,-11
2024-04-26 21:00:00,2024-04-27 10:58:00,LAX,ATL,Spirit,10 hr 58 min,245.0,1,4 hr 8 min FLL,2024-04-23,301,19
2024-04-26 20:51:00,2024-04-27 06:53:00,LAX,ATL,"Alaska, Spirit",7 hr 2 min,281.0,1,1 hr 49 min LAS,2024-04-23,250,0
2024-04-26 08:24:00,2024-04-26 15:40:00,LAX,ATL,Spirit,4 hr 16 min,394.0,0,,2024-04-23,213,-16
2024-04-26 09:30:00,2024-04-26 16:49:00,LAX,ATL,Delta,4 hr 19 min,540.0,0,,2024-04-23,249,0
