Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 08:11:00,2024-04-25 11:36:00,LAX,DEN,"Avoids as much CO2e as 2,800 trees absorb in a day",2 hr 25 min,198.0,0,,2024-04-23,95,-33
2024-04-25 08:30:00,2024-04-25 11:55:00,LAX,DEN,AmericanAlaska,2 hr 25 min,299.0,0,,2024-04-23,170,21
2024-04-25 08:30:00,2024-04-25 12:00:00,LAX,DEN,Delta,2 hr 30 min,299.0,0,,2024-04-23,144,0
2024-04-25 09:05:00,2024-04-25 12:29:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,130,-8
2024-04-25 12:20:00,2024-04-25 15:40:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-04-23,145,0
2024-04-25 21:30:00,2024-04-26 09:00:00,LAX,DEN,Frontier,10 hr 30 min,185.0,1,7 hr 11 min LAS,2024-04-23,125,-11
2024-04-25 05:15:00,2024-04-25 08:36:00,LAX,DEN,United,2 hr 21 min,299.0,0,,2024-04-23,108,-23
2024-04-25 07:05:00,2024-04-25 10:30:00,LAX,DEN,United,2 hr 25 min,299.0,0,,2024-04-23,174,23
2024-04-25 10:56:00,2024-04-25 14:20:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,141,0
2024-04-25 12:44:00,2024-04-25 16:08:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,107,-24
2024-04-25 13:14:00,2024-04-25 16:36:00,LAX,DEN,United,2 hr 22 min,299.0,0,,2024-04-23,108,-23
2024-04-25 14:11:00,2024-04-25 17:30:00,LAX,DEN,AmericanAlaska,2 hr 19 min,299.0,0,,2024-04-23,170,21
2024-04-25 14:56:00,2024-04-25 18:20:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,125,-11
2024-04-25 15:29:00,2024-04-25 18:50:00,LAX,DEN,Delta,2 hr 21 min,299.0,0,,2024-04-23,144,0
2024-04-25 16:15:00,2024-04-25 19:39:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,130,-8
2024-04-25 18:34:00,2024-04-25 21:54:00,LAX,DEN,AmericanAlaska,2 hr 20 min,299.0,0,,2024-04-23,170,21
2024-04-25 19:22:00,2024-04-25 22:45:00,LAX,DEN,United,2 hr 23 min,299.0,0,,2024-04-23,107,-24
2024-04-25 20:35:00,2024-04-25 23:57:00,LAX,DEN,Delta,2 hr 22 min,299.0,0,,2024-04-23,144,0
2024-04-25 05:40:00,2024-04-25 09:05:00,LAX,DEN,Price unavailable,2 hr 25 min,,0,,2024-04-23,128,-9
2024-04-25 09:55:00,2024-04-25 13:10:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-04-23,108,-23
2024-04-25 15:00:00,2024-04-25 18:15:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-04-23,145,0
2024-04-25 17:45:00,2024-04-25 21:00:00,LAX,DEN,Price unavailable,2 hr 15 min,,0,,2024-04-23,145,0
2024-04-26 08:11:00,2024-04-26 11:36:00,LAX,DEN,Frontier,2 hr 25 min,289.0,0,,2024-04-23,95,-33
2024-04-26 08:30:00,2024-04-26 11:55:00,LAX,DEN,AmericanAlaska,2 hr 25 min,299.0,0,,2024-04-23,170,21
2024-04-26 08:30:00,2024-04-26 12:00:00,LAX,DEN,Delta,2 hr 30 min,299.0,0,,2024-04-23,144,0
2024-04-26 09:05:00,2024-04-26 12:29:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,130,-8
2024-04-26 12:20:00,2024-04-26 15:40:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-04-23,145,0
2024-04-26 22:30:00,2024-04-27 07:04:00,LAX,DEN,Frontier,7 hr 34 min,159.0,1,2 hr 18 min DFW,2024-04-23,213,51
2024-04-26 05:15:00,2024-04-26 08:36:00,LAX,DEN,United,2 hr 21 min,299.0,0,,2024-04-23,108,-23
2024-04-26 07:05:00,2024-04-26 10:30:00,LAX,DEN,United,2 hr 25 min,299.0,0,,2024-04-23,174,23
2024-04-26 10:56:00,2024-04-26 14:20:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,141,0
2024-04-26 12:44:00,2024-04-26 16:08:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,107,-24
2024-04-26 13:14:00,2024-04-26 16:36:00,LAX,DEN,United,2 hr 22 min,299.0,0,,2024-04-23,108,-23
2024-04-26 14:11:00,2024-04-26 17:30:00,LAX,DEN,AmericanAlaska,2 hr 19 min,299.0,0,,2024-04-23,170,21
2024-04-26 14:56:00,2024-04-26 18:20:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,125,-11
2024-04-26 15:29:00,2024-04-26 18:50:00,LAX,DEN,Delta,2 hr 21 min,299.0,0,,2024-04-23,144,0
2024-04-26 16:15:00,2024-04-26 19:39:00,LAX,DEN,United,2 hr 24 min,299.0,0,,2024-04-23,130,-8
2024-04-26 18:34:00,2024-04-26 21:54:00,LAX,DEN,AmericanAlaska,2 hr 20 min,299.0,0,,2024-04-23,170,21
