Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 22:30:00,2024-04-26 03:32:00,LAX,DFW,Frontier,3 hr 2 min,202.0,0,,2024-04-23,134,-21
2024-04-25 17:31:00,2024-04-25 22:36:00,LAX,DFW,Spirit,3 hr 5 min,203.0,0,,2024-04-23,148,-13
2024-04-25 17:20:00,2024-04-25 22:16:00,LAX,DAL,Delta,2 hr 56 min,254.0,0,,2024-04-23,197,16
2024-04-25 09:00:00,2024-04-25 14:00:00,LAX,DFW,American,3 hr,254.0,0,,2024-04-23,180,6
2024-04-25 11:35:00,2024-04-25 16:35:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-23,136,-20
2024-04-25 20:51:00,2024-04-26 13:14:00,LAX,DFW,"Alaska, Spirit",14 hr 23 min,149.0,1,10 hr 25 min LAS,2024-04-23,167,0
2024-04-25 21:30:00,2024-04-26 04:45:00,LAX,DFW,Frontier,5 hr 15 min,179.0,1,1 hr 10 min LAS,2024-04-23,156,-8
2024-04-25 23:15:00,2024-04-26 04:19:00,LAX,DFW,Spirit,3 hr 4 min,203.0,0,,2024-04-23,148,-13
2024-04-25 08:30:00,2024-04-25 13:37:00,LAX,DFW,Spirit,3 hr 7 min,243.0,0,,2024-04-23,148,-13
2024-04-25 07:25:00,2024-04-25 12:23:00,LAX,DAL,Delta,2 hr 58 min,254.0,0,,2024-04-23,197,16
2024-04-25 09:55:00,2024-04-25 14:57:00,LAX,DFW,Delta,3 hr 2 min,254.0,0,,2024-04-23,172,0
2024-04-25 17:45:00,2024-04-25 22:42:00,LAX,DFW,Delta,2 hr 57 min,254.0,0,,2024-04-23,172,0
2024-04-25 06:00:00,2024-04-25 11:09:00,LAX,DFW,American,3 hr 9 min,254.0,0,,2024-04-23,143,-16
2024-04-25 07:00:00,2024-04-25 12:07:00,LAX,DFW,American,3 hr 7 min,254.0,0,,2024-04-23,143,-16
2024-04-25 08:00:00,2024-04-25 13:10:00,LAX,DFW,American,3 hr 10 min,254.0,0,,2024-04-23,174,0
2024-04-25 10:40:00,2024-04-25 15:47:00,LAX,DFW,American,3 hr 7 min,254.0,0,,2024-04-23,174,0
2024-04-25 11:40:00,2024-04-25 16:49:00,LAX,DFW,American,3 hr 9 min,254.0,0,,2024-04-23,174,0
2024-04-25 12:45:00,2024-04-25 17:49:00,LAX,DFW,American,3 hr 4 min,254.0,0,,2024-04-23,174,0
2024-04-25 13:45:00,2024-04-25 18:50:00,LAX,DFW,American,3 hr 5 min,254.0,0,,2024-04-23,174,0
2024-04-25 14:55:00,2024-04-25 19:59:00,LAX,DFW,American,3 hr 4 min,254.0,0,,2024-04-23,143,-16
2024-04-25 16:30:00,2024-04-25 21:35:00,LAX,DFW,American,3 hr 5 min,254.0,0,,2024-04-23,174,0
2024-04-25 17:30:00,2024-04-25 22:34:00,LAX,DFW,American,3 hr 4 min,254.0,0,,2024-04-23,174,0
2024-04-25 23:59:00,2024-04-26 05:00:00,LAX,DFW,American,3 hr 1 min,409.0,0,,2024-04-23,183,8
2024-04-25 00:45:00,2024-04-25 05:48:00,LAX,DFW,American,3 hr 3 min,2501.0,0,,2024-04-23,244,44
2024-04-25 01:45:00,2024-04-25 06:48:00,LAX,DFW,American,3 hr 3 min,2501.0,0,,2024-04-23,244,44
2024-04-25 05:25:00,2024-04-25 10:30:00,LAX,DAL,Price unavailable,3 hr 5 min,,0,,2024-04-23,161,0
2024-04-25 08:05:00,2024-04-25 13:05:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-23,136,-20
2024-04-25 10:40:00,2024-04-25 15:40:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-23,136,-20
2024-04-25 16:10:00,2024-04-25 21:10:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-23,161,0
2024-04-26 22:30:00,2024-04-27 03:32:00,LAX,DFW,Frontier,3 hr 2 min,202.0,0,,2024-04-23,134,-22
2024-04-26 19:24:00,2024-04-27 00:29:00,LAX,DFW,Spirit,3 hr 5 min,203.0,0,,2024-04-23,126,-27
2024-04-26 07:25:00,2024-04-26 12:23:00,LAX,DAL,Delta,2 hr 58 min,409.0,0,,2024-04-23,197,15
2024-04-26 11:35:00,2024-04-26 16:35:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-23,136,-21
