Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 07:35:00,2024-04-25 15:58:00,LAX,JFK,JetBlue,5 hr 23 min,452,0,,2024-04-23,390,11
2024-04-25 10:43:00,2024-04-25 19:16:00,LAX,JFK,American,5 hr 33 min,452,0,,2024-04-23,537,53
2024-04-25 09:25:00,2024-04-25 17:59:00,LAX,JFK,"Avoids as much CO2e as 3,287 trees absorb in a day",5 hr 34 min,462,0,,2024-04-23,298,-15
2024-04-25 19:47:00,2024-04-26 17:29:00,LAX,JFK,American,18 hr 42 min,312,2,"LAS, DFW",2024-04-23,350,0
2024-04-25 19:47:00,2024-04-26 17:29:00,LAX,JFK,American,18 hr 42 min,312,2,"LAS, DFW",2024-04-23,340,0
2024-04-25 19:47:00,2024-04-26 17:29:00,LAX,JFK,American,18 hr 42 min,312,2,"LAS, DFW",2024-04-23,350,0
2024-04-25 10:00:00,2024-04-25 21:21:00,LAX,JFK,JetBlue,8 hr 21 min,403,1,1 hr 26 min BOS,2024-04-23,487,38
2024-04-25 18:15:00,2024-04-27 10:34:00,LAX,JFK,Sun Country Airlines,37 hr 19 min,414,1,30 hr 58 min MSP,2024-04-23,343,0
2024-04-25 06:00:00,2024-04-25 14:25:00,LAX,JFK,JetBlue,5 hr 25 min,452,0,,2024-04-23,390,11
2024-04-25 06:00:00,2024-04-25 14:31:00,LAX,JFK,American,5 hr 31 min,452,0,,2024-04-23,537,53
2024-04-25 07:00:00,2024-04-25 15:31:00,LAX,JFK,American,5 hr 31 min,452,0,,2024-04-23,537,53
2024-04-25 11:42:00,2024-04-25 20:18:00,LAX,JFK,JetBlue,5 hr 36 min,452,0,,2024-04-23,390,11
2024-04-25 11:45:00,2024-04-25 20:19:00,LAX,JFK,American,5 hr 34 min,452,0,,2024-04-23,537,53
2024-04-25 12:30:00,2024-04-25 20:59:00,LAX,JFK,American,5 hr 29 min,452,0,,2024-04-23,537,53
2024-04-25 13:28:00,2024-04-25 21:59:00,LAX,JFK,JetBlue,5 hr 31 min,452,0,,2024-04-23,390,11
2024-04-25 14:46:00,2024-04-25 23:18:00,LAX,JFK,JetBlue,5 hr 32 min,452,0,,2024-04-23,390,11
2024-04-25 15:29:00,2024-04-25 23:59:00,LAX,JFK,JetBlue,5 hr 30 min,452,0,,2024-04-23,390,11
2024-04-25 15:30:00,2024-04-25 23:59:00,LAX,JFK,American,5 hr 29 min,452,0,,2024-04-23,537,53
2024-04-25 16:35:00,2024-04-26 00:54:00,LAX,JFK,JetBlue,5 hr 19 min,452,0,,2024-04-23,388,10
2024-04-25 22:30:00,2024-04-26 07:00:00,LAX,JFK,American,5 hr 30 min,452,0,,2024-04-23,537,53
2024-04-25 22:46:00,2024-04-26 07:15:00,LAX,JFK,JetBlue,5 hr 29 min,452,0,,2024-04-23,390,11
2024-04-25 23:31:00,2024-04-26 08:00:00,LAX,JFK,American,5 hr 29 min,452,0,,2024-04-23,537,53
2024-04-25 06:15:00,2024-04-25 14:40:00,LAX,JFK,Delta,5 hr 25 min,462,0,,2024-04-23,298,-15
2024-04-25 07:25:00,2024-04-25 15:53:00,LAX,JFK,Delta,5 hr 28 min,462,0,,2024-04-23,249,-29
2024-04-25 11:40:00,2024-04-25 20:11:00,LAX,JFK,Delta,5 hr 31 min,462,0,,2024-04-23,298,-15
2024-04-25 12:50:00,2024-04-25 21:17:00,LAX,JFK,Delta,5 hr 27 min,462,0,,2024-04-23,260,-26
2024-04-25 14:20:00,2024-04-25 22:43:00,LAX,JFK,Delta,5 hr 23 min,462,0,,2024-04-23,298,-15
2024-04-25 16:30:00,2024-04-26 00:53:00,LAX,JFK,Delta,5 hr 23 min,462,0,,2024-04-23,298,-15
2024-04-25 21:40:00,2024-04-26 06:00:00,LAX,JFK,Delta,5 hr 20 min,462,0,,2024-04-23,298,-15
2024-04-25 22:40:00,2024-04-26 07:00:00,LAX,JFK,Delta,5 hr 20 min,462,0,,2024-04-23,260,-26
2024-04-25 23:59:00,2024-04-26 08:25:00,LAX,JFK,Delta,5 hr 26 min,462,0,,2024-04-23,298,-15
2024-04-25 09:55:00,2024-04-25 18:30:00,LAX,JFK,JetBlue,5 hr 35 min,494,0,,2024-04-23,390,11
2024-04-26 23:55:00,2024-04-27 10:34:00,LAX,JFK,Sun Country Airlines,7 hr 39 min,243,1,1 hr 10 min MSP,2024-04-23,343,0
2024-04-26 06:00:00,2024-04-26 14:25:00,LAX,JFK,JetBlue,5 hr 25 min,394,0,,2024-04-23,390,11
2024-04-26 08:00:00,2024-04-26 16:32:00,LAX,JFK,American,5 hr 32 min,394,0,,2024-04-23,537,53
2024-04-26 06:15:00,2024-04-26 14:40:00,LAX,JFK,Delta,5 hr 25 min,404,0,,2024-04-23,298,-15
2024-04-26 12:00:00,2024-04-27 07:00:00,LAX,JFK,American,16 hr,342,2,"LAS, PHX",2024-04-23,313,-11
2024-04-26 15:40:00,2024-04-27 05:59:00,LAX,JFK,JetBlue,11 hr 19 min,386,1,4 hr 56 min SLC,2024-04-23,378,7
2024-04-26 06:00:00,2024-04-26 14:31:00,LAX,JFK,American,5 hr 31 min,394,0,,2024-04-23,537,53
2024-04-26 07:00:00,2024-04-26 15:31:00,LAX,JFK,American,5 hr 31 min,394,0,,2024-04-23,537,53
2024-04-26 07:40:00,2024-04-26 16:03:00,LAX,JFK,JetBlue,5 hr 23 min,394,0,,2024-04-23,390,11
2024-04-26 09:55:00,2024-04-26 18:30:00,LAX,JFK,JetBlue,5 hr 35 min,394,0,,2024-04-23,390,11
2024-04-26 10:15:00,2024-04-26 18:44:00,LAX,JFK,American,5 hr 29 min,394,0,,2024-04-23,537,53
2024-04-26 11:30:00,2024-04-26 20:00:00,LAX,JFK,American,5 hr 30 min,394,0,,2024-04-23,537,53
2024-04-26 11:42:00,2024-04-26 20:18:00,LAX,JFK,JetBlue,5 hr 36 min,394,0,,2024-04-23,390,11
2024-04-26 12:30:00,2024-04-26 20:59:00,LAX,JFK,American,5 hr 29 min,394,0,,2024-04-23,537,53
2024-04-26 13:28:00,2024-04-26 21:59:00,LAX,JFK,JetBlue,5 hr 31 min,394,0,,2024-04-23,390,11
2024-04-26 14:46:00,2024-04-26 23:18:00,LAX,JFK,JetBlue,5 hr 32 min,394,0,,2024-04-23,390,11
2024-04-26 15:29:00,2024-04-26 23:59:00,LAX,JFK,JetBlue,5 hr 30 min,394,0,,2024-04-23,390,11
2024-04-26 15:30:00,2024-04-26 23:59:00,LAX,JFK,American,5 hr 29 min,394,0,,2024-04-23,537,53
2024-04-26 16:35:00,2024-04-27 00:54:00,LAX,JFK,JetBlue,5 hr 19 min,394,0,,2024-04-23,388,10
2024-04-26 22:30:00,2024-04-27 07:00:00,LAX,JFK,American,5 hr 30 min,394,0,,2024-04-23,537,53
