Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 06:00:00,2024-04-25 09:01:00,ORD,ATL,Frontier,2 hr 1 min,125,0,,2024-04-24,98,-16
2024-04-25 19:02:00,2024-04-25 22:00:00,ORD,ATL,American,1 hr 58 min,186,0,,2024-04-24,130,11
2024-04-25 22:00:00,2024-04-26 01:06:00,ORD,ATL,Spirit,2 hr 6 min,292,0,,2024-04-24,78,-33
2024-04-25 10:39:00,2024-04-25 13:41:00,ORD,ATL,United,2 hr 2 min,444,0,,2024-04-24,108,-8
2024-04-25 09:35:00,2024-04-25 12:27:00,ORD,ATL,Delta,1 hr 52 min,464,0,,2024-04-24,132,13
2024-04-25 10:38:00,2024-04-25 18:29:00,ORD,ATL,Spirit,6 hr 51 min,203,1,1 hr 47 min FLL,2024-04-24,213,82
2024-04-25 07:10:00,2024-04-25 10:14:00,ORD,ATL,United,2 hr 4 min,444,0,,2024-04-24,113,0
2024-04-25 14:05:00,2024-04-25 17:08:00,ORD,ATL,American,2 hr 3 min,444,0,,2024-04-24,135,15
2024-04-25 14:25:00,2024-04-25 17:31:00,ORD,ATL,United,2 hr 6 min,444,0,,2024-04-24,132,13
2024-04-25 18:35:00,2024-04-25 21:43:00,ORD,ATL,United,2 hr 8 min,444,0,,2024-04-24,113,0
2024-04-25 05:32:00,2024-04-25 08:29:00,ORD,ATL,Delta,1 hr 57 min,464,0,,2024-04-24,132,13
2024-04-25 07:15:00,2024-04-25 10:14:00,ORD,ATL,Delta,1 hr 59 min,464,0,,2024-04-24,132,13
2024-04-25 12:35:00,2024-04-25 15:31:00,ORD,ATL,Delta,1 hr 56 min,464,0,,2024-04-24,124,6
2024-04-25 17:57:00,2024-04-25 20:51:00,ORD,ATL,Delta,1 hr 54 min,464,0,,2024-04-24,132,13
2024-04-25 20:30:00,2024-04-25 23:29:00,ORD,ATL,Delta,1 hr 59 min,464,0,,2024-04-24,132,13
2024-04-25 15:25:00,2024-04-25 18:19:00,ORD,ATL,Delta,1 hr 54 min,499,0,,2024-04-24,132,13
2024-04-26 22:00:00,2024-04-27 01:06:00,ORD,ATL,"Avoids as much CO2e as 2,374 trees absorb in a day",2 hr 6 min,117,0,,2024-04-24,78,-33
2024-04-26 06:00:00,2024-04-26 09:01:00,ORD,ATL,Frontier,2 hr 1 min,176,0,,2024-04-24,98,-16
2024-04-26 07:59:00,2024-04-26 11:03:00,ORD,ATL,American,2 hr 4 min,444,0,,2024-04-24,156,33
2024-04-26 10:39:00,2024-04-26 13:41:00,ORD,ATL,United,2 hr 2 min,444,0,,2024-04-24,108,-8
2024-04-26 09:35:00,2024-04-26 12:27:00,ORD,ATL,Delta,1 hr 52 min,464,0,,2024-04-24,132,13
2024-04-26 10:03:00,2024-04-26 18:50:00,ORD,ATL,United,7 hr 47 min,419,1,,2024-04-24,298,155
2024-04-26 07:10:00,2024-04-26 10:14:00,ORD,ATL,United,2 hr 4 min,444,0,,2024-04-24,113,0
2024-04-26 14:05:00,2024-04-26 17:08:00,ORD,ATL,American,2 hr 3 min,444,0,,2024-04-24,135,15
