Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 08:25:00,2024-04-25 10:04:00,ORD,DEN,American,2 hr 39 min,216.0,0,,2024-04-24,154,16
2024-04-25 11:45:00,2024-04-25 13:22:00,ORD,DEN,American,2 hr 37 min,216.0,0,,2024-04-24,129,0
2024-04-25 12:55:00,2024-04-25 14:43:00,ORD,DEN,United,2 hr 48 min,216.0,0,,2024-04-24,128,0
2024-04-25 14:36:00,2024-04-25 16:24:00,ORD,DEN,United,2 hr 48 min,216.0,0,,2024-04-24,145,9
2024-04-25 20:39:00,2024-04-25 22:19:00,ORD,DEN,American,2 hr 40 min,216.0,0,,2024-04-24,129,0
2024-04-25 12:15:00,2024-04-25 14:00:00,ORD,DEN,Price unavailable,2 hr 45 min,,0,,2024-04-24,140,0
2024-04-25 05:30:00,2024-04-25 20:51:00,ORD,DEN,Frontier,16 hr 21 min,165.0,1,10 hr 18 min RDU,2024-04-24,245,84
2024-04-25 05:00:00,2024-04-25 06:42:00,ORD,DEN,United,2 hr 42 min,216.0,0,,2024-04-24,112,-16
2024-04-25 08:49:00,2024-04-25 10:35:00,ORD,DEN,United,2 hr 46 min,216.0,0,,2024-04-24,142,7
2024-04-25 20:05:00,2024-04-25 21:57:00,ORD,DEN,United,2 hr 52 min,216.0,0,,2024-04-24,128,0
2024-04-25 21:32:00,2024-04-25 23:19:00,ORD,DEN,United,2 hr 47 min,216.0,0,,2024-04-24,112,-16
2024-04-25 16:05:00,2024-04-25 17:53:00,ORD,DEN,United,2 hr 48 min,276.0,0,,2024-04-24,128,0
2024-04-25 17:52:00,2024-04-25 19:40:00,ORD,DEN,United,2 hr 48 min,276.0,0,,2024-04-24,112,-16
2024-04-25 10:35:00,2024-04-25 12:23:00,ORD,DEN,United,2 hr 48 min,379.0,0,,2024-04-24,145,9
2024-04-25 07:10:00,2024-04-25 08:59:00,ORD,DEN,United,2 hr 49 min,559.0,0,,2024-04-24,128,0
2024-04-25 07:15:00,2024-04-25 09:00:00,ORD,DEN,Price unavailable,2 hr 45 min,,0,,2024-04-24,118,-11
2024-04-25 13:50:00,2024-04-25 15:40:00,ORD,DEN,Price unavailable,2 hr 50 min,,0,,2024-04-24,159,20
2024-04-25 16:20:00,2024-04-25 18:10:00,ORD,DEN,Price unavailable,2 hr 50 min,,0,,2024-04-24,118,-11
2024-04-25 18:00:00,2024-04-25 19:50:00,ORD,DEN,Price unavailable,2 hr 50 min,,0,,2024-04-24,118,-11
2024-04-26 18:27:00,2024-04-26 20:22:00,ORD,DEN,Avoids as much CO2e as 913 trees absorb in a day,2 hr 55 min,140.0,0,,2024-04-24,118,-11
2024-04-26 11:45:00,2024-04-26 13:22:00,ORD,DEN,American,2 hr 37 min,241.0,0,,2024-04-24,129,0
