Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 07:03:00,2024-04-25 09:41:00,ORD,DFW,"Avoids as much CO2e as 2,070 trees absorb in a day",2 hr 38 min,118.0,0,,2024-04-23,92,-27
2024-04-25 10:35:00,2024-04-25 13:14:00,ORD,DFW,United,2 hr 39 min,186.0,0,,2024-04-23,128,0
2024-04-25 10:39:00,2024-04-25 13:13:00,ORD,DFW,American,2 hr 34 min,186.0,0,,2024-04-23,122,0
2024-04-25 10:45:00,2024-04-25 13:15:00,ORD,DAL,Price unavailable,2 hr 30 min,,0,,2024-04-23,130,0
2024-04-25 06:00:00,2024-04-25 12:42:00,ORD,DFW,Frontier,6 hr 42 min,159.0,1,1 hr 59 min ATL,2024-04-23,189,50
2024-04-25 18:47:00,2024-04-25 21:24:00,ORD,DFW,Frontier,2 hr 37 min,176.0,0,,2024-04-23,96,-24
2024-04-25 13:36:00,2024-04-25 19:56:00,ORD,DFW,"American, Envoy Air as American Eagle",6 hr 20 min,185.0,1,3 hr 9 min COU,2024-04-23,270,114
2024-04-25 05:00:00,2024-04-25 07:34:00,ORD,DFW,American,2 hr 34 min,186.0,0,,2024-04-23,122,0
2024-04-25 06:25:00,2024-04-25 08:59:00,ORD,DFW,American,2 hr 34 min,186.0,0,,2024-04-23,122,0
2024-04-25 07:10:00,2024-04-25 09:52:00,ORD,DFW,United,2 hr 42 min,186.0,0,,2024-04-23,134,6
2024-04-25 08:15:00,2024-04-25 10:51:00,ORD,DFW,American,2 hr 36 min,186.0,0,,2024-04-23,129,0
2024-04-25 12:02:00,2024-04-25 14:37:00,ORD,DFW,American,2 hr 35 min,186.0,0,,2024-04-23,122,0
2024-04-25 12:49:00,2024-04-25 15:30:00,ORD,DFW,United,2 hr 41 min,186.0,0,,2024-04-23,147,17
2024-04-25 14:15:00,2024-04-25 17:01:00,ORD,DFW,American,2 hr 46 min,186.0,0,,2024-04-23,122,0
2024-04-25 15:15:00,2024-04-25 17:44:00,ORD,DFW,American,2 hr 29 min,186.0,0,,2024-04-23,112,-11
2024-04-25 15:45:00,2024-04-25 18:26:00,ORD,DFW,United,2 hr 41 min,186.0,0,,2024-04-23,134,6
2024-04-25 20:00:00,2024-04-25 22:39:00,ORD,DFW,United,2 hr 39 min,186.0,0,,2024-04-23,128,0
2024-04-25 20:20:00,2024-04-25 22:56:00,ORD,DFW,American,2 hr 36 min,186.0,0,,2024-04-23,122,0
2024-04-25 12:35:00,2024-04-25 17:44:00,ORD,DAL,58 min ATL,5 hr 9 min,279.0,1,,2024-04-23,268,113
2024-04-25 18:45:00,2024-04-25 21:41:00,ORD,DFW,American,2 hr 56 min,439.0,0,,2024-04-23,100,-21
2024-04-25 16:50:00,2024-04-25 19:25:00,ORD,DFW,American,2 hr 35 min,519.0,0,,2024-04-23,122,0
2024-04-25 07:00:00,2024-04-25 09:25:00,ORD,DAL,Price unavailable,2 hr 25 min,,0,,2024-04-23,130,0
2024-04-25 13:45:00,2024-04-25 16:10:00,ORD,DAL,Price unavailable,2 hr 25 min,,0,,2024-04-23,130,0
2024-04-25 16:35:00,2024-04-25 19:00:00,ORD,DAL,Price unavailable,2 hr 25 min,,0,,2024-04-23,148,17
2024-04-26 19:07:00,2024-04-26 21:44:00,ORD,DFW,Frontier,2 hr 37 min,213.0,0,,2024-04-23,96,-24
2024-04-26 07:03:00,2024-04-26 09:41:00,ORD,DFW,Spirit,2 hr 38 min,254.0,0,,2024-04-23,92,-27
2024-04-26 10:39:00,2024-04-26 13:13:00,ORD,DFW,American,2 hr 34 min,294.0,0,,2024-04-23,122,0
2024-04-26 12:49:00,2024-04-26 15:30:00,ORD,DFW,United,2 hr 41 min,294.0,0,,2024-04-23,147,17
2024-04-26 10:45:00,2024-04-26 13:15:00,ORD,DAL,Price unavailable,2 hr 30 min,,0,,2024-04-23,130,0
2024-04-26 08:25:00,2024-04-26 18:34:00,ORD,DFW,Frontier,10 hr 9 min,139.0,1,3 hr 54 min MCO,2024-04-23,229,82
2024-04-26 21:25:00,2024-04-27 09:28:00,ORD,DFW,Spirit,12 hr 3 min,200.0,1,5 hr 31 min FLL,2024-04-23,262,108
2024-04-26 13:36:00,2024-04-26 19:56:00,ORD,DFW,"American, Envoy Air as American Eagle",6 hr 20 min,293.0,1,3 hr 9 min COU,2024-04-23,270,114
2024-04-26 05:00:00,2024-04-26 07:34:00,ORD,DFW,American,2 hr 34 min,294.0,0,,2024-04-23,122,0
2024-04-26 06:25:00,2024-04-26 08:59:00,ORD,DFW,American,2 hr 34 min,294.0,0,,2024-04-23,122,0
2024-04-26 07:10:00,2024-04-26 09:52:00,ORD,DFW,United,2 hr 42 min,294.0,0,,2024-04-23,134,6
2024-04-26 08:15:00,2024-04-26 10:51:00,ORD,DFW,American,2 hr 36 min,294.0,0,,2024-04-23,129,0
2024-04-26 12:02:00,2024-04-26 14:37:00,ORD,DFW,American,2 hr 35 min,294.0,0,,2024-04-23,122,0
2024-04-26 14:15:00,2024-04-26 17:01:00,ORD,DFW,American,2 hr 46 min,294.0,0,,2024-04-23,122,0
2024-04-26 15:15:00,2024-04-26 17:44:00,ORD,DFW,American,2 hr 29 min,294.0,0,,2024-04-23,112,-11
2024-04-26 15:45:00,2024-04-26 18:26:00,ORD,DFW,United,2 hr 41 min,294.0,0,,2024-04-23,134,6
2024-04-26 16:50:00,2024-04-26 19:25:00,ORD,DFW,American,2 hr 35 min,294.0,0,,2024-04-23,122,0
2024-04-26 18:45:00,2024-04-26 21:41:00,ORD,DFW,American,2 hr 56 min,294.0,0,,2024-04-23,100,-21
2024-04-26 20:00:00,2024-04-26 22:39:00,ORD,DFW,United,2 hr 39 min,294.0,0,,2024-04-23,128,0
2024-04-26 20:20:00,2024-04-26 22:56:00,ORD,DFW,American,2 hr 36 min,294.0,0,,2024-04-23,122,0
2024-04-26 07:15:00,2024-04-26 15:15:00,ORD,DAL,Delta,8 hr,379.0,1,3 hr 46 min ATL,2024-04-23,262,108
2024-04-26 10:35:00,2024-04-26 13:14:00,ORD,DFW,United,2 hr 39 min,384.0,0,,2024-04-23,128,0
2024-04-26 07:00:00,2024-04-26 09:25:00,ORD,DAL,Price unavailable,2 hr 25 min,,0,,2024-04-23,130,0
2024-04-26 13:45:00,2024-04-26 16:10:00,ORD,DAL,Price unavailable,2 hr 25 min,,0,,2024-04-23,130,0
2024-04-26 16:35:00,2024-04-26 19:00:00,ORD,DAL,Price unavailable,2 hr 25 min,,0,,2024-04-23,148,17
2024-04-27 18:25:00,2024-04-27 21:02:00,ORD,DFW,"Avoids as much CO2e as 1,826 trees absorb in a day",2 hr 37 min,89.0,0,,2024-04-23,96,-24
2024-04-27 10:35:00,2024-04-27 13:14:00,ORD,DFW,United,2 hr 39 min,136.0,0,,2024-04-23,128,0
2024-04-27 10:39:00,2024-04-27 13:13:00,ORD,DFW,American,2 hr 34 min,136.0,0,,2024-04-23,122,0
2024-04-27 12:40:00,2024-04-27 15:05:00,ORD,DAL,Price unavailable,2 hr 25 min,,0,,2024-04-23,148,17
2024-04-27 19:11:00,2024-04-27 21:52:00,ORD,DFW,Spirit,2 hr 41 min,118.0,0,,2024-04-23,107,-15
2024-04-27 13:36:00,2024-04-27 19:56:00,ORD,DFW,"American, Envoy Air as American Eagle",6 hr 20 min,135.0,1,3 hr 9 min COU,2024-04-23,270,114
2024-04-27 05:00:00,2024-04-27 07:34:00,ORD,DFW,American,2 hr 34 min,136.0,0,,2024-04-23,122,0
2024-04-27 06:25:00,2024-04-27 08:59:00,ORD,DFW,American,2 hr 34 min,136.0,0,,2024-04-23,122,0
2024-04-27 07:10:00,2024-04-27 09:52:00,ORD,DFW,United,2 hr 42 min,136.0,0,,2024-04-23,134,6
2024-04-27 08:15:00,2024-04-27 10:51:00,ORD,DFW,American,2 hr 36 min,136.0,0,,2024-04-23,129,0
2024-04-27 12:01:00,2024-04-27 14:36:00,ORD,DFW,American,2 hr 35 min,136.0,0,,2024-04-23,122,0
2024-04-27 12:49:00,2024-04-27 15:30:00,ORD,DFW,United,2 hr 41 min,136.0,0,,2024-04-23,147,17
2024-04-27 14:15:00,2024-04-27 17:01:00,ORD,DFW,American,2 hr 46 min,136.0,0,,2024-04-23,122,0
2024-04-27 15:15:00,2024-04-27 17:44:00,ORD,DFW,American,2 hr 29 min,136.0,0,,2024-04-23,112,-11
2024-04-27 16:50:00,2024-04-27 19:25:00,ORD,DFW,American,2 hr 35 min,136.0,0,,2024-04-23,122,0
2024-04-27 18:45:00,2024-04-27 21:41:00,ORD,DFW,American,2 hr 56 min,136.0,0,,2024-04-23,100,-21
