Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 07:15:00,2024-04-25 10:29:00,ORD,JFK,Delta,2 hr 14 min,240,0,,2024-04-24,142,30
2024-04-25 09:31:00,2024-04-25 12:56:00,ORD,JFK,JetBlue,2 hr 25 min,240,0,,2024-04-24,167,53
2024-04-25 10:55:00,2024-04-25 14:13:00,ORD,JFK,Delta,2 hr 18 min,240,0,,2024-04-24,151,39
2024-04-25 11:31:00,2024-04-25 14:45:00,ORD,JFK,American,2 hr 14 min,240,0,,2024-04-24,103,-6
2024-04-25 17:12:00,2024-04-25 20:29:00,ORD,JFK,American,2 hr 17 min,240,0,,2024-04-24,125,15
2024-04-25 13:35:00,2024-04-25 19:29:00,ORD,JFK,American,4 hr 54 min,249,1,1 hr 10 min BOS,2024-04-24,239,119
2024-04-25 14:15:00,2024-04-25 17:35:00,ORD,JFK,Delta,2 hr 20 min,319,0,,2024-04-24,142,30
2024-04-26 09:31:00,2024-04-26 12:56:00,ORD,JFK,JetBlue,2 hr 25 min,240,0,,2024-04-24,167,53
2024-04-26 10:55:00,2024-04-26 14:13:00,ORD,JFK,Delta,2 hr 18 min,240,0,,2024-04-24,151,39
2024-04-26 11:31:00,2024-04-26 14:45:00,ORD,JFK,American,2 hr 14 min,240,0,,2024-04-24,103,-6
2024-04-26 07:15:00,2024-04-26 10:29:00,ORD,JFK,Delta,2 hr 14 min,240,0,,2024-04-24,142,30
2024-04-26 14:15:00,2024-04-26 17:35:00,ORD,JFK,Delta,2 hr 20 min,240,0,,2024-04-24,142,30
2024-04-26 17:12:00,2024-04-26 20:29:00,ORD,JFK,American,2 hr 17 min,240,0,,2024-04-24,125,15
2024-04-26 18:40:00,2024-04-26 22:06:00,ORD,JFK,Delta,2 hr 26 min,240,0,,2024-04-24,142,30
