Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-25 11:50:00,2024-04-25 14:20:00,ORD,LAX,American,4 hr 30 min,351.0,0,,2024-04-24,212,0
2024-04-25 13:01:00,2024-04-25 15:29:00,ORD,LAX,United,4 hr 28 min,351.0,0,,2024-04-24,240,8
2024-04-25 15:00:00,2024-04-25 17:31:00,ORD,LAX,American,4 hr 31 min,351.0,0,,2024-04-24,212,0
2024-04-25 17:47:00,2024-04-25 20:17:00,ORD,LAX,American,4 hr 30 min,351.0,0,,2024-04-24,212,0
2024-04-25 23:58:00,2024-04-26 22:49:00,ORD,LAX,Spirit,24 hr 51 min,270.0,1,19 hr 27 min LAS,2024-04-24,220,0
2024-04-25 23:58:00,2024-04-26 08:23:00,ORD,LAX,"Spirit, Alaska",10 hr 25 min,287.0,1,4 hr 57 min LAS,2024-04-24,228,0
2024-04-25 06:00:00,2024-04-25 08:31:00,ORD,LAX,American,4 hr 31 min,351.0,0,,2024-04-24,212,0
2024-04-25 06:15:00,2024-04-25 08:44:00,ORD,LAX,United,4 hr 29 min,351.0,0,,2024-04-24,186,-16
2024-04-25 07:10:00,2024-04-25 09:40:00,ORD,LAX,United,4 hr 30 min,351.0,0,,2024-04-24,244,10
2024-04-25 07:14:00,2024-04-25 09:49:00,ORD,LAX,American,4 hr 35 min,351.0,0,,2024-04-24,212,0
2024-04-25 08:50:00,2024-04-25 11:25:00,ORD,LAX,United,4 hr 35 min,351.0,0,,2024-04-24,244,10
2024-04-25 10:00:00,2024-04-25 12:35:00,ORD,LAX,American,4 hr 35 min,351.0,0,,2024-04-24,212,0
2024-04-25 10:36:00,2024-04-25 13:10:00,ORD,LAX,United,4 hr 34 min,351.0,0,,2024-04-24,186,-16
2024-04-25 16:00:00,2024-04-25 18:34:00,ORD,LAX,United,4 hr 34 min,351.0,0,,2024-04-24,244,10
2024-04-25 18:16:00,2024-04-25 20:55:00,ORD,LAX,United,4 hr 39 min,351.0,0,,2024-04-24,214,0
2024-04-25 18:45:00,2024-04-25 21:30:00,ORD,LAX,American,4 hr 45 min,351.0,0,,2024-04-24,227,0
2024-04-25 19:35:00,2024-04-25 22:14:00,ORD,LAX,United,4 hr 39 min,351.0,0,,2024-04-24,303,36
2024-04-25 20:15:00,2024-04-25 22:37:00,ORD,LAX,American,4 hr 22 min,351.0,0,,2024-04-24,196,-12
2024-04-25 21:20:00,2024-04-25 23:58:00,ORD,LAX,United,4 hr 38 min,351.0,0,,2024-04-24,186,-16
2024-04-25 06:30:00,2024-04-25 10:40:00,ORD,LAX,Price unavailable,6 hr 10 min,,1,,2024-04-24,316,42
2024-04-26 18:21:00,2024-04-26 21:00:00,ORD,LAX,Spirit,4 hr 39 min,407.0,0,,2024-04-24,164,-26
2024-04-26 13:01:00,2024-04-26 15:29:00,ORD,LAX,United,4 hr 28 min,429.0,0,,2024-04-24,240,8
2024-04-26 15:00:00,2024-04-26 17:31:00,ORD,LAX,American,4 hr 31 min,429.0,0,,2024-04-24,212,0
2024-04-26 18:27:00,2024-04-27 20:40:00,ORD,LAX,Frontier,28 hr 13 min,205.0,1,22 hr 41 min DEN,2024-04-24,213,0
2024-04-26 10:38:00,2024-04-26 23:09:00,ORD,LAX,Spirit,14 hr 31 min,276.0,1,5 hr 28 min FLL,2024-04-24,362,63
2024-04-26 19:52:00,2024-04-27 00:53:00,ORD,LAX,Spirit,7 hr 1 min,355.0,1,1 hr 39 min LAS,2024-04-24,188,-15
2024-04-26 19:52:00,2024-04-27 08:23:00,ORD,LAX,"Spirit, Alaska",14 hr 31 min,385.0,1,9 hr 5 min LAS,2024-04-24,204,-8
2024-04-26 06:00:00,2024-04-26 08:31:00,ORD,LAX,American,4 hr 31 min,429.0,0,,2024-04-24,212,0
2024-04-26 06:15:00,2024-04-26 08:44:00,ORD,LAX,United,4 hr 29 min,429.0,0,,2024-04-24,186,-16
2024-04-26 07:10:00,2024-04-26 09:40:00,ORD,LAX,United,4 hr 30 min,429.0,0,,2024-04-24,244,10
2024-04-26 07:14:00,2024-04-26 09:49:00,ORD,LAX,American,4 hr 35 min,429.0,0,,2024-04-24,212,0
2024-04-26 08:50:00,2024-04-26 11:21:00,ORD,LAX,United,4 hr 31 min,429.0,0,,2024-04-24,244,10
2024-04-26 10:00:00,2024-04-26 12:35:00,ORD,LAX,American,4 hr 35 min,429.0,0,,2024-04-24,212,0
2024-04-26 10:36:00,2024-04-26 13:10:00,ORD,LAX,United,4 hr 34 min,429.0,0,,2024-04-24,186,-16
2024-04-26 11:50:00,2024-04-26 14:20:00,ORD,LAX,American,4 hr 30 min,429.0,0,,2024-04-24,212,0
2024-04-26 16:00:00,2024-04-26 18:34:00,ORD,LAX,United,4 hr 34 min,429.0,0,,2024-04-24,244,10
2024-04-26 17:47:00,2024-04-26 20:17:00,ORD,LAX,American,4 hr 30 min,429.0,0,,2024-04-24,212,0
2024-04-26 18:15:00,2024-04-26 20:50:00,ORD,LAX,United,4 hr 35 min,429.0,0,,2024-04-24,244,10
2024-04-26 18:45:00,2024-04-26 21:30:00,ORD,LAX,American,4 hr 45 min,429.0,0,,2024-04-24,227,0
2024-04-26 19:35:00,2024-04-26 22:14:00,ORD,LAX,United,4 hr 39 min,429.0,0,,2024-04-24,303,36
2024-04-26 20:15:00,2024-04-26 22:37:00,ORD,LAX,American,4 hr 22 min,429.0,0,,2024-04-24,196,-12
