Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-17 05:01:00,2024-04-17 08:00:00,DEN,DFW,Frontier,1 hr 59 min,19,0,,2024-04-06,78.0,-30.0
2024-04-17 07:59:00,2024-04-17 11:04:00,DEN,DFW,Frontier,2 hr 5 min,19,0,,2024-04-06,79.0,-29.0
2024-04-17 11:23:00,2024-04-17 14:24:00,DEN,DFW,Frontier,2 hr 1 min,19,0,,2024-04-06,78.0,-30.0
2024-04-17 18:27:00,2024-04-17 21:38:00,DEN,DFW,Frontier,2 hr 11 min,19,0,,2024-04-06,98.0,-12.0
2024-04-17 12:52:00,2024-04-17 15:53:00,DEN,DFW,American,2 hr 1 min,96,0,,2024-04-06,106.0,0.0
2024-04-17 13:05:00,2024-04-17 16:00:00,DEN,DAL,Southwest,1 hr 55 min,Price unavailable,0,,2024-04-06,94.0,-15.0
2024-04-17 05:00:00,2024-04-17 07:59:00,DEN,DFW,American,1 hr 59 min,96,0,,2024-04-06,111.0,0.0
2024-04-17 06:00:00,2024-04-17 08:59:00,DEN,DFW,American,1 hr 59 min,96,0,,2024-04-06,111.0,0.0
2024-04-17 07:20:00,2024-04-17 10:19:00,DEN,DFW,American,1 hr 59 min,96,0,,2024-04-06,111.0,0.0
2024-04-17 09:11:00,2024-04-17 12:10:00,DEN,DFW,American,1 hr 59 min,96,0,,2024-04-06,106.0,0.0
2024-04-17 10:38:00,2024-04-17 13:39:00,DEN,DFW,American,2 hr 1 min,96,0,,2024-04-06,111.0,0.0
2024-04-17 06:00:00,2024-04-17 15:15:00,DEN,DAL,Delta,8 hr 15 min,105,1,3 hr 6 min ATL,2024-04-06,296.0,167.0
2024-04-17 18:15:00,2024-04-18 00:56:00,DEN,DFW,Delta,5 hr 41 min,105,1,1 hr 27 min SLC,2024-04-06,225.0,103.0
2024-04-17 07:49:00,2024-04-17 10:50:00,DEN,DFW,United,2 hr 1 min,130,0,,2024-04-06,91.0,-18.0
2024-04-17 09:44:00,2024-04-17 12:45:00,DEN,DFW,United,2 hr 1 min,130,0,,2024-04-06,128.0,15.0
2024-04-17 20:55:00,2024-04-17 23:53:00,DEN,DFW,United,1 hr 58 min,130,0,,2024-04-06,116.0,0.0
2024-04-17 15:55:00,2024-04-17 18:56:00,DEN,DFW,United,2 hr 1 min,159,0,,2024-04-06,128.0,15.0
2024-04-17 17:26:00,2024-04-17 20:35:00,DEN,DFW,UnitedOperated by Mesa Airlines DBA United Express,2 hr 9 min,159,0,,2024-04-06,146.0,32.0
