Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-17 11:59:00,2024-04-17 18:03:00,LAX,DEN,"Spirit, Frontier",5 hr 4 min,43.0,1,1 hr 45 min LAS,2024-04-09,125,-12
2024-04-17 08:11:00,2024-04-17 11:36:00,LAX,DEN,"Avoids as much CO2e as 2,861 trees absorb in a day",2 hr 25 min,49.0,0,,2024-04-09,95,-33
2024-04-17 09:05:00,2024-04-17 12:29:00,LAX,DEN,United,2 hr 24 min,140.0,0,,2024-04-09,130,-8
2024-04-17 14:11:00,2024-04-17 17:30:00,LAX,DEN,AmericanAlaska,2 hr 19 min,140.0,0,,2024-04-09,170,20
2024-04-17 15:29:00,2024-04-17 18:50:00,LAX,DEN,Delta,2 hr 21 min,140.0,0,,2024-04-09,144,0
2024-04-17 14:05:00,2024-04-17 17:25:00,LAX,DEN,Price unavailable,2 hr 20 min,,0,,2024-04-09,128,-10
2024-04-17 14:30:00,2024-04-17 22:04:00,LAX,DEN,"Spirit, Frontier",6 hr 34 min,43.0,1,3 hr 15 min LAS,2024-04-09,125,-12
2024-04-17 16:50:00,2024-04-18 01:05:00,LAX,DEN,"Spirit, Frontier",7 hr 15 min,43.0,1,4 hr LAS,2024-04-09,152,7
2024-04-17 05:15:00,2024-04-17 08:36:00,LAX,DEN,United,2 hr 21 min,140.0,0,,2024-04-09,108,-24
2024-04-17 07:05:00,2024-04-17 10:30:00,LAX,DEN,United,2 hr 25 min,140.0,0,,2024-04-09,174,23
2024-04-17 08:30:00,2024-04-17 11:55:00,LAX,DEN,AmericanAlaska,2 hr 25 min,140.0,0,,2024-04-09,170,20
2024-04-17 08:30:00,2024-04-17 12:00:00,LAX,DEN,Delta,2 hr 30 min,140.0,0,,2024-04-09,144,0
2024-04-17 10:56:00,2024-04-17 14:20:00,LAX,DEN,United,2 hr 24 min,140.0,0,,2024-04-09,141,0
2024-04-17 12:44:00,2024-04-17 16:08:00,LAX,DEN,United,2 hr 24 min,140.0,0,,2024-04-09,107,-25
2024-04-17 13:14:00,2024-04-17 16:36:00,LAX,DEN,United,2 hr 22 min,140.0,0,,2024-04-09,108,-24
2024-04-17 14:56:00,2024-04-17 18:20:00,LAX,DEN,United,2 hr 24 min,140.0,0,,2024-04-09,125,-12
