Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-04-17 15:30:00,2024-04-17 20:36:00,LAX,DFW,Spirit,3 hr 6 min,47.0,0,,2024-04-10,148.0,-14.0
2024-04-17 22:30:00,2024-04-18 03:32:00,LAX,DFW,Frontier,3 hr 2 min,47.0,0,,2024-04-10,134.0,-22.0
2024-04-17 09:33:00,2024-04-17 14:41:00,LAX,DFW,Spirit,3 hr 8 min,103.0,0,,2024-04-10,150.0,-13.0
2024-04-17 11:30:00,2024-04-17 16:30:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-10,136.0,-21.0
2024-04-17 07:10:00,2024-04-17 14:40:00,LAX,DFW,Spirit,5 hr 30 min,80.0,1,1 hr 32 min LAS,2024-04-10,180.0,0.0
2024-04-17 23:15:00,2024-04-18 04:19:00,LAX,DFW,Spirit,3 hr 4 min,103.0,0,,2024-04-10,148.0,-14.0
2024-04-17 00:45:00,2024-04-17 05:48:00,LAX,DFW,American,3 hr 3 min,194.0,0,,2024-04-10,163.0,0.0
2024-04-17 01:45:00,2024-04-17 06:48:00,LAX,DFW,American,3 hr 3 min,194.0,0,,2024-04-10,163.0,0.0
2024-04-17 06:00:00,2024-04-17 11:09:00,LAX,DFW,American,3 hr 9 min,194.0,0,,2024-04-10,143.0,-17.0
2024-04-17 07:00:00,2024-04-17 12:07:00,LAX,DFW,American,3 hr 7 min,194.0,0,,2024-04-10,143.0,-17.0
2024-04-17 07:25:00,2024-04-17 12:23:00,LAX,DAL,Delta,2 hr 58 min,194.0,0,,2024-04-10,197.0,15.0
2024-04-17 08:00:00,2024-04-17 13:10:00,LAX,DFW,American,3 hr 10 min,194.0,0,,2024-04-10,174.0,0.0
2024-04-17 09:00:00,2024-04-17 14:00:00,LAX,DFW,American,3 hr,194.0,0,,2024-04-10,180.0,0.0
2024-04-17 09:55:00,2024-04-17 14:57:00,LAX,DFW,Delta,3 hr 2 min,194.0,0,,2024-04-10,172.0,0.0
2024-04-17 10:40:00,2024-04-17 15:47:00,LAX,DFW,American,3 hr 7 min,194.0,0,,2024-04-10,174.0,0.0
2024-04-17 11:40:00,2024-04-17 16:49:00,LAX,DFW,American,3 hr 9 min,194.0,0,,2024-04-10,174.0,0.0
2024-04-17 16:30:00,2024-04-17 21:35:00,LAX,DFW,American,3 hr 5 min,194.0,0,,2024-04-10,174.0,0.0
2024-04-17 17:20:00,2024-04-17 22:16:00,LAX,DAL,Delta,2 hr 56 min,194.0,0,,2024-04-10,197.0,15.0
2024-04-17 17:30:00,2024-04-17 22:34:00,LAX,DFW,American,3 hr 4 min,194.0,0,,2024-04-10,174.0,0.0
2024-04-17 17:45:00,2024-04-17 22:42:00,LAX,DFW,Delta,2 hr 57 min,194.0,0,,2024-04-10,172.0,0.0
2024-04-17 23:59:00,2024-04-18 05:00:00,LAX,DFW,American,3 hr 1 min,194.0,0,,2024-04-10,183.0,6.0
2024-04-17 12:45:00,2024-04-17 17:49:00,LAX,DFW,American,3 hr 4 min,211.0,0,,2024-04-10,174.0,0.0
2024-04-17 14:55:00,2024-04-17 19:59:00,LAX,DFW,American,3 hr 4 min,369.0,0,,2024-04-10,143.0,-17.0
2024-04-17 05:40:00,2024-04-17 10:45:00,LAX,DAL,Price unavailable,3 hr 5 min,,0,,2024-04-10,182.0,6.0
2024-04-17 08:35:00,2024-04-17 13:35:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-10,161.0,-6.0
2024-04-17 16:10:00,2024-04-17 21:10:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-10,161.0,-6.0
2024-04-18 21:30:00,2024-04-19 04:45:00,LAX,DFW,Frontier,5 hr 15 min,89.0,1,1 hr 10 min LAS,2024-04-10,156.0,-9.0
2024-04-18 22:30:00,2024-04-19 03:32:00,LAX,DFW,Frontier,3 hr 2 min,130.0,0,,2024-04-10,134.0,-22.0
2024-04-18 08:30:00,2024-04-18 13:37:00,LAX,DFW,Spirit,3 hr 7 min,133.0,0,,2024-04-10,148.0,-14.0
2024-04-18 11:35:00,2024-04-18 16:35:00,LAX,DAL,Price unavailable,3 hr,,0,,2024-04-10,136.0,-21.0
2024-04-18 06:15:00,2024-04-18 16:09:00,LAX,DFW,Spirit,7 hr 54 min,84.0,2,"LAS, PHX",2024-04-10,198.0,15.0
2024-04-18 06:15:00,2024-04-18 13:14:00,LAX,DFW,Spirit,4 hr 59 min,110.0,1,1 hr 2 min LAS,2024-04-10,161.0,-6.0
2024-04-18 06:15:00,2024-04-18 17:12:00,LAX,DFW,"Spirit, Frontier",8 hr 57 min,113.0,1,4 hr 47 min LAS,2024-04-10,156.0,-9.0
2024-04-18 23:15:00,2024-04-19 04:19:00,LAX,DFW,Spirit,3 hr 4 min,148.0,0,,2024-04-10,148.0,-14.0
2024-04-18 17:31:00,2024-04-18 22:36:00,LAX,DFW,Spirit,3 hr 5 min,157.0,0,,2024-04-10,148.0,-14.0
2024-04-18 07:25:00,2024-04-18 12:23:00,LAX,DAL,Delta,2 hr 58 min,211.0,0,,2024-04-10,197.0,15.0
2024-04-18 09:55:00,2024-04-18 14:57:00,LAX,DFW,Delta,3 hr 2 min,211.0,0,,2024-04-10,172.0,0.0
2024-04-18 17:20:00,2024-04-18 22:16:00,LAX,DAL,Delta,2 hr 56 min,211.0,0,,2024-04-10,197.0,15.0
2024-04-18 17:45:00,2024-04-18 22:42:00,LAX,DFW,Delta,2 hr 57 min,211.0,0,,2024-04-10,172.0,0.0
2024-04-18 00:45:00,2024-04-18 05:48:00,LAX,DFW,American,3 hr 3 min,211.0,0,,2024-04-10,163.0,0.0
2024-04-18 01:45:00,2024-04-18 06:48:00,LAX,DFW,American,3 hr 3 min,211.0,0,,2024-04-10,163.0,0.0
2024-04-18 06:00:00,2024-04-18 11:09:00,LAX,DFW,American,3 hr 9 min,211.0,0,,2024-04-10,143.0,-17.0
2024-04-18 07:00:00,2024-04-18 12:07:00,LAX,DFW,American,3 hr 7 min,211.0,0,,2024-04-10,143.0,-17.0
2024-04-18 08:00:00,2024-04-18 13:10:00,LAX,DFW,American,3 hr 10 min,211.0,0,,2024-04-10,174.0,0.0
