Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
3,0,1,259,0,2.37,2,4,116,14
3,0,2,319,0,2.32,2,4,116,10
3,0,2,319,0,2.3,2,4,116,12
3,0,0,160,1,4.47,2,4,116,5
3,0,0,161,1,7.08,2,4,116,5
3,0,0,194,1,6.55,2,4,116,8
3,0,0,195,1,6.92,2,4,116,14
3,0,1,294,0,2.57,2,4,116,19
3,0,2,319,0,2.28,2,4,116,7
3,0,2,319,0,2.32,2,4,116,8
3,0,2,319,0,2.48,2,4,116,15
3,0,2,319,0,2.47,2,4,116,19
3,0,2,319,0,2.45,2,4,116,21
3,0,2,319,0,2.32,3,4,117,10
3,0,2,319,0,2.3,3,4,117,12
3,0,1,324,0,2.37,3,4,117,14
3,0,0,194,1,4.45,3,4,117,5
3,0,0,195,1,7.05,3,4,117,5
3,0,1,284,0,2.57,3,4,117,19
3,0,0,292,1,4.48,3,4,117,11
3,0,2,319,0,2.28,3,4,117,7
3,0,2,319,0,2.32,3,4,117,8
3,0,2,319,0,2.48,3,4,117,15
3,0,2,319,0,2.47,3,4,117,19
3,0,1,284,0,2.37,4,4,118,14
3,0,2,319,0,2.3,4,4,118,12
3,0,0,160,1,6.55,4,4,118,8
3,0,0,194,1,4.47,4,4,118,5
3,0,0,195,1,7.08,4,4,118,5
3,0,1,259,0,2.57,4,4,118,19
3,0,2,319,0,2.28,4,4,118,7
3,0,2,319,0,2.32,4,4,118,8
3,0,2,319,0,2.32,4,4,118,10
3,0,2,319,0,2.48,4,4,118,15
3,0,2,319,0,2.47,4,4,118,19
3,0,2,319,0,2.32,5,4,119,10
3,0,2,319,0,2.3,5,4,119,12
3,0,1,355,0,2.37,5,4,119,14
3,0,0,194,1,4.45,5,4,119,5
3,0,0,292,1,6.53,5,4,119,8
3,0,0,292,1,7.23,5,4,119,11
3,0,2,319,0,2.28,5,4,119,7
3,0,2,319,0,2.32,5,4,119,8
3,0,2,319,0,2.47,5,4,119,19
3,0,2,319,0,2.45,5,4,119,21
3,0,1,355,0,2.57,5,4,119,19
3,0,2,399,0,2.48,5,4,119,15
3,0,2,319,0,2.32,6,4,120,10
3,0,2,319,0,2.3,6,4,120,12
3,0,1,324,0,2.37,6,4,120,14
3,0,0,160,1,4.45,6,4,120,5
3,0,0,160,1,6.53,6,4,120,8
3,0,7,160,1,15.82,6,4,120,18
3,0,1,284,0,2.57,6,4,120,19
3,0,2,319,0,2.28,6,4,120,7
3,0,2,319,0,2.32,6,4,120,8
3,0,2,319,0,2.48,6,4,120,15
3,0,2,319,0,2.47,6,4,120,19
3,0,1,174,0,2.57,7,4,121,19
3,0,2,189,0,2.28,7,4,121,7
3,0,2,229,0,2.32,7,4,121,10
3,0,0,143,1,6.92,7,4,121,14
3,0,2,229,0,2.32,7,4,121,8
3,0,1,239,0,2.37,7,4,121,14
3,0,2,269,0,2.3,7,4,121,12
3,0,2,269,0,2.48,7,4,121,15
3,0,2,269,0,2.45,7,4,121,21
3,0,2,319,0,2.47,7,4,121,19
3,0,1,134,0,2.32,8,5,122,10
3,0,1,134,0,2.5,8,5,122,19
3,0,2,144,0,2.28,8,5,122,7
3,0,0,147,2,10.53,8,5,122,8
3,0,2,229,0,2.32,8,5,122,8
3,0,2,319,0,2.32,8,5,122,10
3,0,2,319,0,2.48,8,5,122,15
3,0,2,319,0,2.47,8,5,122,19
3,0,2,319,0,2.45,8,5,122,21
3,0,1,84,0,2.3,9,5,123,6
3,0,1,84,0,2.5,9,5,123,19
3,0,1,94,0,2.32,9,5,123,10
3,0,2,144,0,2.28,9,5,123,7
3,0,0,83,2,8.2,9,5,123,5
3,0,2,144,0,2.45,9,5,123,21
3,0,2,189,0,2.48,9,5,123,15
3,0,2,189,0,2.47,9,5,123,19
3,0,2,229,0,2.32,9,5,123,10
3,0,2,269,0,2.32,9,5,123,8
3,0,1,84,0,2.3,10,5,124,6
3,0,1,134,0,2.32,10,5,124,10
3,0,2,144,0,2.32,10,5,124,8
3,0,0,79,1,8.42,10,5,124,14
3,0,1,134,0,2.5,10,5,124,19
3,0,2,144,0,2.28,10,5,124,7
3,0,2,144,0,2.47,10,5,124,19
3,0,2,144,0,2.45,10,5,124,21
3,0,2,269,0,2.32,10,5,124,10
3,0,2,269,0,2.32,10,5,124,12
3,0,1,84,0,2.3,11,5,125,6
3,0,1,84,0,2.33,11,5,125,10
3,0,2,144,0,2.47,11,5,125,19
3,0,0,78,1,4.47,11,5,125,5
3,0,0,78,1,6.55,11,5,125,8
3,0,0,79,1,6.4,11,5,125,14
3,0,1,134,0,2.5,11,5,125,19
3,0,2,144,0,2.28,11,5,125,7
3,0,2,144,0,2.45,11,5,125,21
3,0,2,189,0,2.32,11,5,125,8
3,0,2,269,0,2.32,11,5,125,10
3,0,2,269,0,2.32,11,5,125,12
3,0,2,189,0,2.28,12,5,126,7
3,0,1,204,0,2.3,12,5,126,6
3,0,2,229,0,2.32,12,5,126,8
3,0,0,152,1,4.45,12,5,126,5
3,0,0,152,1,6.53,12,5,126,8
3,0,0,152,1,7.23,12,5,126,11
3,0,0,167,1,4.48,12,5,126,11
3,0,1,284,0,2.32,12,5,126,10
3,0,2,319,0,2.32,12,5,126,10
3,0,2,319,0,2.32,12,5,126,12
3,0,2,319,0,2.47,12,5,126,19
3,0,2,319,0,2.45,12,5,126,21
3,0,1,355,0,2.5,12,5,126,19
3,0,2,144,0,2.45,13,5,127,21
3,0,2,189,0,2.28,13,5,127,7
3,0,2,189,0,2.47,13,5,127,19
3,0,1,204,0,2.32,13,5,127,10
3,0,2,229,0,2.32,13,5,127,12
3,0,0,117,1,6.17,13,5,127,9
3,0,1,174,0,2.3,13,5,127,6
3,0,1,174,0,2.5,13,5,127,19
3,0,2,229,0,2.32,13,5,127,8
3,0,2,229,0,2.48,13,5,127,15
3,0,2,269,0,2.32,13,5,127,10
3,0,1,84,0,2.3,14,5,128,6
3,0,1,84,0,2.5,14,5,128,19
3,0,1,94,0,2.32,14,5,128,10
3,0,2,144,0,2.32,14,5,128,10
3,0,0,78,1,5.0,14,5,128,5
3,0,0,78,1,7.05,14,5,128,12
3,0,0,79,1,6.95,14,5,128,5
3,0,0,93,1,6.73,14,5,128,14
3,0,0,117,1,4.48,14,5,128,11
3,0,0,117,1,5.5,14,5,128,12
3,0,2,144,0,2.3,14,5,128,7
3,0,2,144,0,2.32,14,5,128,8
3,0,2,144,0,2.38,14,5,128,12
3,0,2,144,0,2.57,14,5,128,17
3,0,2,144,0,2.47,14,5,128,21
3,0,1,84,0,2.3,15,5,129,6
3,0,1,84,0,2.5,15,5,129,19
3,0,2,144,0,2.32,15,5,129,10
3,0,0,78,1,4.98,15,5,129,5
3,0,1,129,0,2.32,15,5,129,10
3,0,2,144,0,2.3,15,5,129,7
3,0,2,144,0,2.32,15,5,129,8
3,0,2,144,0,2.57,15,5,129,17
3,0,2,144,0,2.47,15,5,129,21
3,0,2,269,0,2.38,15,5,129,12
3,0,2,319,0,2.57,15,5,129,15
3,0,0,78,1,5.0,16,5,130,5
3,0,1,129,0,2.3,16,5,130,6
3,0,1,129,0,2.32,16,5,130,10
3,0,1,129,0,2.5,16,5,130,19
3,0,2,189,0,2.43,16,5,130,13
3,0,2,189,0,2.3,16,5,130,7
3,0,2,189,0,2.32,16,5,130,8
3,0,2,189,0,2.57,16,5,130,15
3,0,2,189,0,2.57,16,5,130,17
3,0,2,189,0,2.47,16,5,130,21
