Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
2,4.0,5.0,89.0,0,3.2,3,4,116,16
2,4.0,6.0,186.0,0,3.02,3,4,116,13
2,4.0,0.0,186.0,0,2.98,3,4,116,14
2,4.0,5.0,89.0,0,2.98,3,4,116,5
2,4.0,5.0,89.0,0,3.08,3,4,116,7
2,4.0,5.0,108.0,0,3.18,3,4,116,18
2,4.0,0.0,186.0,0,2.98,3,4,116,5
2,4.0,0.0,186.0,0,2.98,3,4,116,6
2,4.0,0.0,186.0,0,2.98,3,4,116,7
2,4.0,6.0,186.0,0,3.02,3,4,116,7
2,4.0,0.0,186.0,0,2.98,3,4,116,9
2,4.0,0.0,186.0,0,3.02,3,4,116,10
2,4.0,0.0,186.0,0,3.02,3,4,116,12
2,4.0,0.0,186.0,0,3.02,3,4,116,16
2,4.0,0.0,186.0,0,2.97,3,4,116,18
2,4.0,6.0,186.0,0,2.97,3,4,116,20
2,4.0,6.0,256.0,0,3.02,3,4,116,9
2,4.0,6.0,379.0,0,3.15,3,4,116,17
2,4.0,0.0,289.0,0,2.98,4,4,117,14
2,4.0,6.0,289.0,0,3.02,4,4,117,15
2,4.0,5.0,139.0,1,9.98,4,4,117,15
2,4.0,5.0,178.0,0,2.98,4,4,117,5
2,4.0,5.0,178.0,0,3.08,4,4,117,7
2,4.0,0.0,289.0,0,2.98,4,4,117,5
2,4.0,0.0,289.0,0,2.98,4,4,117,6
2,4.0,0.0,289.0,0,2.98,4,4,117,7
2,4.0,6.0,289.0,0,3.02,4,4,117,7
2,4.0,0.0,289.0,0,2.98,4,4,117,9
2,4.0,6.0,289.0,0,3.02,4,4,117,9
2,4.0,0.0,289.0,0,3.02,4,4,117,10
2,4.0,0.0,289.0,0,3.02,4,4,117,12
2,4.0,6.0,289.0,0,3.02,4,4,117,13
2,4.0,0.0,289.0,0,3.02,4,4,117,16
2,4.0,6.0,289.0,0,3.15,4,4,117,17
2,4.0,0.0,289.0,0,2.97,4,4,117,18
2,4.0,6.0,289.0,0,2.97,4,4,117,20
2,4.0,5.0,419.0,0,3.02,4,4,117,11
