Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
4.0,5,5.0,148.0,0,2.38,1,4,116,22
4.0,5,3.0,149.0,0,2.4,1,4,116,6
4.0,5,0.0,186.0,0,2.38,1,4,116,6
4.0,5,0.0,186.0,0,2.4,1,4,116,5
4.0,5,0.0,186.0,0,2.5,1,4,116,7
4.0,5,6.0,294.0,0,2.43,1,4,116,7
4.0,5,0.0,294.0,0,2.47,1,4,116,8
4.0,5,6.0,294.0,0,2.47,1,4,116,17
4.0,5,0.0,294.0,0,2.25,1,4,116,18
4.0,5,0.0,350.0,0,2.43,1,4,116,10
4.0,5,0.0,350.0,0,2.38,1,4,116,13
4.0,5,0.0,350.0,0,2.43,1,4,116,16
4.0,5,6.0,359.0,0,2.43,1,4,116,14
4.0,5,6.0,359.0,0,2.47,1,4,116,16
4.0,5,6.0,519.0,0,2.45,1,4,116,10
4.0,5,0.0,2251.0,0,2.45,1,4,116,15
4.0,5,0.0,2251.0,0,2.38,1,4,116,20
4.0,5,5.0,229.0,0,2.38,2,4,117,22
4.0,5,0.0,294.0,0,2.43,2,4,117,10
4.0,5,6.0,294.0,0,2.45,2,4,117,10
4.0,5,5.0,175.0,1,9.35,2,4,117,15
4.0,5,3.0,235.0,1,11.5,2,4,117,5
4.0,5,3.0,294.0,0,2.4,2,4,117,7
4.0,5,0.0,294.0,0,2.4,2,4,117,5
4.0,5,0.0,294.0,0,2.38,2,4,117,6
4.0,5,6.0,294.0,0,2.43,2,4,117,7
4.0,5,0.0,294.0,0,2.5,2,4,117,7
4.0,5,0.0,294.0,0,2.47,2,4,117,8
4.0,5,6.0,294.0,0,2.43,2,4,117,14
4.0,5,0.0,294.0,0,2.45,2,4,117,15
4.0,5,6.0,294.0,0,2.47,2,4,117,16
4.0,5,0.0,294.0,0,2.43,2,4,117,16
4.0,5,6.0,294.0,0,2.47,2,4,117,17
4.0,5,0.0,294.0,0,2.25,2,4,117,18
4.0,5,0.0,294.0,0,2.38,2,4,117,20
4.0,5,0.0,2251.0,0,2.38,2,4,117,13
4.0,5,5.0,89.0,0,2.38,3,4,118,22
4.0,5,0.0,136.0,0,2.47,3,4,118,8
4.0,5,0.0,136.0,0,2.38,3,4,118,13
4.0,5,0.0,136.0,0,2.4,3,4,118,5
4.0,5,0.0,136.0,0,2.38,3,4,118,6
4.0,5,0.0,136.0,0,2.5,3,4,118,7
4.0,5,0.0,136.0,0,2.45,3,4,118,15
4.0,5,0.0,136.0,0,2.43,3,4,118,16
4.0,5,0.0,136.0,0,2.25,3,4,118,18
4.0,5,0.0,136.0,0,2.38,3,4,118,20
4.0,5,3.0,149.0,0,2.43,3,4,118,17
4.0,5,6.0,294.0,0,2.43,3,4,118,7
4.0,5,0.0,294.0,0,2.43,3,4,118,10
4.0,5,6.0,294.0,0,2.45,3,4,118,10
4.0,5,6.0,294.0,0,2.43,3,4,118,14
4.0,5,6.0,294.0,0,2.47,3,4,118,16
4.0,5,5.0,176.0,0,2.38,4,4,119,22
4.0,5,6.0,294.0,0,2.45,4,4,119,10
4.0,5,0.0,294.0,0,2.43,4,4,119,16
4.0,5,0.0,294.0,0,2.4,4,4,119,5
4.0,5,0.0,294.0,0,2.38,4,4,119,6
4.0,5,6.0,294.0,0,2.43,4,4,119,7
4.0,5,0.0,294.0,0,2.5,4,4,119,7
4.0,5,0.0,294.0,0,2.47,4,4,119,8
4.0,5,0.0,294.0,0,2.43,4,4,119,10
4.0,5,0.0,294.0,0,2.45,4,4,119,15
4.0,5,6.0,294.0,0,2.47,4,4,119,17
4.0,5,0.0,294.0,0,2.25,4,4,119,18
4.0,5,0.0,294.0,0,2.38,4,4,119,20
4.0,5,6.0,384.0,0,2.47,4,4,119,16
