Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
5,0,2,240,0,3.23,1,4,116,7
5,0,1,240,0,3.42,1,4,116,9
5,0,2,240,0,3.3,1,4,116,10
5,0,0,240,0,3.23,1,4,116,11
5,0,0,240,0,3.28,1,4,116,17
5,0,0,249,1,5.9,1,4,116,13
5,0,2,319,0,3.33,1,4,116,14
5,0,1,240,0,3.42,2,4,117,9
5,0,2,240,0,3.3,2,4,117,10
5,0,0,240,0,3.23,2,4,117,11
5,0,2,240,0,3.23,2,4,117,7
5,0,2,240,0,3.33,2,4,117,14
5,0,0,240,0,3.28,2,4,117,17
5,0,2,240,0,3.43,2,4,117,18
5,0,2,214,0,3.23,3,4,118,7
5,0,1,214,0,3.38,3,4,118,9
5,0,0,214,0,3.23,3,4,118,11
5,0,2,214,0,3.42,3,4,118,11
5,0,0,214,0,3.28,3,4,118,17
5,0,2,214,0,3.43,3,4,118,18
5,0,0,222,1,5.9,3,4,118,12
5,0,2,214,0,3.23,4,4,119,7
5,0,0,234,0,3.28,4,4,119,17
5,0,1,329,0,3.42,4,4,119,9
5,0,7,263,1,14.4,4,4,119,20
5,0,2,359,0,3.3,4,4,119,10
5,0,2,359,0,3.33,4,4,119,14
5,0,2,214,0,3.23,5,4,120,7
5,0,2,214,0,3.3,5,4,120,10
5,0,0,214,0,3.23,5,4,120,11
5,0,1,264,0,3.42,5,4,120,9
5,0,7,198,1,14.4,5,4,120,20
5,0,2,214,0,3.33,5,4,120,14
5,0,0,214,0,3.28,5,4,120,17
5,0,2,214,0,3.43,5,4,120,18
5,0,1,214,0,3.42,6,4,121,9
5,0,2,214,0,3.3,6,4,121,10
5,0,0,214,0,3.23,6,4,121,11
5,0,2,214,0,3.23,6,4,121,7
5,0,0,214,0,3.28,6,4,121,17
5,0,2,214,0,3.43,6,4,121,18
5,0,2,104,0,3.23,7,5,122,7
5,0,1,104,0,3.38,7,5,122,10
5,0,2,104,0,3.3,7,5,122,10
5,0,2,104,0,3.33,7,5,122,14
5,0,0,104,0,3.28,7,5,122,17
5,0,1,104,0,3.47,7,5,122,17
5,0,0,129,0,3.23,7,5,122,11
5,0,2,104,0,3.23,8,5,123,7
5,0,1,104,0,3.38,8,5,123,10
5,0,0,104,0,3.28,8,5,123,17
5,0,1,104,0,3.47,8,5,123,17
5,0,0,138,1,5.9,8,5,123,13
5,0,0,149,0,3.23,8,5,123,11
5,0,2,179,0,3.35,8,5,123,10
5,0,2,249,0,3.33,8,5,123,14
5,0,2,104,0,3.23,9,5,124,7
5,0,0,104,0,3.28,9,5,124,17
5,0,1,104,0,3.47,9,5,124,17
5,0,0,137,1,5.9,9,5,124,12
5,0,2,139,0,3.35,9,5,124,10
5,0,2,139,0,3.43,9,5,124,18
5,0,0,149,0,3.23,9,5,124,11
5,0,1,160,0,3.38,9,5,124,10
5,0,2,104,0,3.23,10,5,125,7
5,0,1,104,0,3.38,10,5,125,10
5,0,2,104,0,3.42,10,5,125,11
5,0,2,104,0,3.33,10,5,125,14
5,0,0,104,0,3.28,10,5,125,17
5,0,1,104,0,3.47,10,5,125,17
5,0,2,104,0,3.43,10,5,125,18
5,0,2,149,0,3.23,11,5,126,7
5,0,1,179,0,3.38,11,5,126,10
5,0,0,179,0,3.28,11,5,126,17
5,0,0,219,0,3.23,11,5,126,11
5,0,2,309,0,3.43,11,5,126,18
5,0,1,329,0,3.47,11,5,126,17
5,0,2,359,0,3.35,11,5,126,10
5,0,2,104,0,3.23,12,5,127,7
5,0,0,104,0,3.22,12,5,127,17
5,0,1,114,0,3.47,12,5,127,17
5,0,0,129,0,3.3,12,5,127,11
5,0,1,160,0,3.38,12,5,127,10
5,0,2,179,0,3.43,12,5,127,18
5,0,2,209,0,3.33,12,5,127,14
5,0,1,104,0,3.38,13,5,128,10
5,0,2,104,0,3.43,13,5,128,11
5,0,0,104,0,3.3,13,5,128,11
5,0,2,104,0,3.3,13,5,128,7
5,0,2,104,0,3.47,13,5,128,14
5,0,0,104,0,3.22,13,5,128,17
5,0,1,104,0,3.47,13,5,128,17
5,0,1,104,0,3.38,14,5,129,10
5,0,2,104,0,3.43,14,5,129,11
5,0,0,104,0,3.3,14,5,129,11
5,0,2,104,0,3.3,14,5,129,7
5,0,0,104,0,3.22,14,5,129,17
5,0,1,104,0,3.47,14,5,129,17
5,0,2,249,0,3.47,14,5,129,14
5,0,1,108,0,3.38,15,5,130,10
5,0,0,145,0,3.3,15,5,130,11
5,0,2,209,0,3.3,15,5,130,7
5,0,0,145,0,3.22,15,5,130,17
5,0,1,149,0,3.47,15,5,130,17
5,0,7,158,1,14.48,15,5,130,20
5,0,2,259,0,3.43,15,5,130,11
5,0,2,289,0,3.55,15,5,130,18
5,0,2,108,0,3.3,16,5,131,7
5,0,0,108,0,3.22,16,5,131,17
5,0,1,108,0,3.47,16,5,131,17
5,0,2,108,0,3.55,16,5,131,18
5,0,0,138,1,6.82,16,5,131,8
5,0,0,149,0,3.3,16,5,131,11
5,0,1,179,0,3.38,16,5,131,10
5,0,2,289,0,3.47,16,5,131,14
5,0,2,108,0,3.3,17,5,132,7
5,0,1,108,0,3.38,17,5,132,10
5,0,2,108,0,3.43,17,5,132,11
5,0,2,108,0,3.47,17,5,132,14
5,0,0,108,0,3.22,17,5,132,17
5,0,1,108,0,3.47,17,5,132,17
5,0,2,108,0,3.55,17,5,132,18
5,0,1,209,0,3.38,18,5,133,10
5,0,1,214,0,3.47,18,5,133,17
5,0,2,289,0,3.3,18,5,133,7
5,0,7,188,1,14.48,18,5,133,20
5,0,0,354,0,3.22,18,5,133,17
5,0,2,359,0,3.55,18,5,133,18
5,0,2,439,0,3.43,18,5,133,11
5,0,0,129,0,3.22,19,5,134,17
5,0,2,139,0,3.3,19,5,134,7
5,0,2,149,0,3.47,19,5,134,14
5,0,1,149,0,3.47,19,5,134,17
5,0,2,149,0,3.55,19,5,134,18
5,0,0,169,0,3.3,19,5,134,11
