Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
3,2,5.0,159.0,1,4.62,2,4,116,11
3,2,5.0,159.0,1,4.23,2,4,116,16
3,2,5.0,159.0,1,4.27,2,4,116,20
3,2,5.0,300.0,0,1.52,2,4,116,22
3,2,2.0,409.0,0,1.27,2,4,116,13
3,2,7.0,146.0,1,27.25,2,4,116,14
3,2,5.0,159.0,1,5.7,2,4,116,5
3,2,5.0,159.0,1,6.98,2,4,116,16
3,2,0.0,338.0,1,4.18,2,4,116,5
3,2,6.0,409.0,0,1.42,2,4,116,7
3,2,2.0,409.0,0,1.3,2,4,116,7
3,2,2.0,409.0,0,1.28,2,4,116,9
3,2,6.0,409.0,0,1.45,2,4,116,11
3,2,2.0,409.0,0,1.3,2,4,116,11
3,2,2.0,409.0,0,1.32,2,4,116,15
3,2,6.0,409.0,0,1.47,2,4,116,16
3,2,2.0,409.0,0,1.3,2,4,116,17
3,2,2.0,409.0,0,1.33,2,4,116,19
3,2,2.0,409.0,0,1.32,2,4,116,21
3,2,2.0,409.0,0,1.32,2,4,116,22
3,2,5.0,139.0,1,4.23,3,4,117,16
3,2,5.0,139.0,1,4.8,3,4,117,19
3,2,5.0,269.0,0,1.48,3,4,117,12
3,2,5.0,159.0,1,5.77,3,4,117,17
3,2,5.0,189.0,1,5.9,3,4,117,11
3,2,5.0,269.0,0,1.52,3,4,117,22
3,2,0.0,338.0,1,4.18,3,4,117,5
3,2,6.0,409.0,0,1.42,3,4,117,7
3,2,2.0,409.0,0,1.3,3,4,117,7
3,2,2.0,409.0,0,1.28,3,4,117,9
3,2,6.0,409.0,0,1.45,3,4,117,11
3,2,2.0,409.0,0,1.3,3,4,117,11
3,2,2.0,409.0,0,1.27,3,4,117,13
3,2,2.0,409.0,0,1.32,3,4,117,15
3,2,6.0,409.0,0,1.47,3,4,117,16
3,2,2.0,409.0,0,1.3,3,4,117,17
3,2,2.0,409.0,0,1.33,3,4,117,19
3,2,2.0,409.0,0,1.32,3,4,117,21
3,2,2.0,409.0,0,1.32,3,4,117,22
3,2,5.0,129.0,1,4.23,4,4,118,16
3,2,5.0,269.0,0,1.48,4,4,118,12
3,2,2.0,409.0,0,1.27,4,4,118,13
3,2,5.0,159.0,1,5.27,4,4,118,6
3,2,5.0,210.0,1,5.57,4,4,118,10
3,2,5.0,269.0,0,1.52,4,4,118,22
3,2,6.0,271.0,1,7.23,4,4,118,14
3,2,0.0,338.0,1,4.25,4,4,118,11
3,2,2.0,409.0,0,1.3,4,4,118,7
3,2,6.0,409.0,0,1.45,4,4,118,9
3,2,2.0,409.0,0,1.28,4,4,118,9
3,2,6.0,409.0,0,1.45,4,4,118,11
3,2,2.0,409.0,0,1.3,4,4,118,11
3,2,2.0,409.0,0,1.32,4,4,118,15
3,2,6.0,409.0,0,1.47,4,4,118,16
3,2,2.0,409.0,0,1.3,4,4,118,17
3,2,2.0,409.0,0,1.33,4,4,118,19
3,2,2.0,409.0,0,1.32,4,4,118,21
3,2,6.0,409.0,0,1.45,5,4,119,11
3,2,2.0,409.0,0,1.32,5,4,119,15
3,2,5.0,162.0,1,18.38,5,4,119,5
3,2,5.0,219.0,1,6.8,5,4,119,8
3,2,5.0,249.0,1,4.23,5,4,119,16
3,2,5.0,279.0,1,5.53,5,4,119,5
3,2,0.0,338.0,1,4.18,5,4,119,5
3,2,6.0,409.0,0,1.42,5,4,119,7
3,2,2.0,409.0,0,1.3,5,4,119,7
3,2,2.0,409.0,0,1.28,5,4,119,9
3,2,2.0,409.0,0,1.3,5,4,119,11
3,2,2.0,409.0,0,1.27,5,4,119,13
3,2,6.0,409.0,0,1.47,5,4,119,16
3,2,2.0,409.0,0,1.3,5,4,119,17
3,2,2.0,409.0,0,1.33,5,4,119,19
