Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
3,4.0,5.0,125.0,0,1.7,1,4,116,11
3,4.0,3.0,184.0,0,1.32,1,4,116,20
3,4.0,0.0,221.0,0,1.65,1,4,116,11
3,4.0,3.0,165.0,1,6.3,1,4,116,10
3,4.0,6.0,195.0,1,6.42,1,4,116,9
3,4.0,0.0,221.0,0,1.52,1,4,116,6
3,4.0,0.0,221.0,0,1.52,1,4,116,7
3,4.0,0.0,221.0,0,1.52,1,4,116,16
3,4.0,2.0,292.0,0,1.37,1,4,116,7
3,4.0,0.0,292.0,0,1.5,1,4,116,12
3,4.0,0.0,292.0,0,1.5,1,4,116,18
3,4.0,0.0,292.0,0,1.5,1,4,116,20
3,4.0,2.0,292.0,0,1.37,1,4,116,22
3,4.0,2.0,369.0,0,1.37,1,4,116,11
3,4.0,2.0,459.0,0,1.37,1,4,116,16
3,4.0,2.0,509.0,0,1.33,1,4,116,18
3,4.0,2.0,559.0,0,1.37,1,4,116,9
3,4.0,2.0,849.0,0,1.32,1,4,116,13
3,4.0,2.0,849.0,0,1.37,1,4,116,21
3,4.0,5.0,231.0,0,1.7,2,4,117,11
3,4.0,0.0,292.0,0,1.5,2,4,117,12
3,4.0,5.0,169.0,1,6.8,2,4,117,10
3,4.0,5.0,169.0,1,11.07,2,4,117,18
3,4.0,5.0,231.0,0,1.82,2,4,117,19
3,4.0,0.0,292.0,0,1.52,2,4,117,6
3,4.0,2.0,292.0,0,1.37,2,4,117,7
3,4.0,0.0,292.0,0,1.52,2,4,117,7
3,4.0,2.0,292.0,0,1.37,2,4,117,9
3,4.0,2.0,292.0,0,1.37,2,4,117,11
3,4.0,0.0,292.0,0,1.65,2,4,117,11
3,4.0,2.0,292.0,0,1.37,2,4,117,16
3,4.0,0.0,292.0,0,1.52,2,4,117,16
3,4.0,0.0,292.0,0,1.5,2,4,117,18
3,4.0,2.0,292.0,0,1.33,2,4,117,18
3,4.0,0.0,292.0,0,1.5,2,4,117,20
3,4.0,2.0,292.0,0,1.37,2,4,117,21
3,4.0,2.0,292.0,0,1.37,2,4,117,22
3,4.0,3.0,310.0,0,1.33,2,4,117,16
3,4.0,2.0,369.0,0,1.32,2,4,117,13
3,4.0,5.0,89.0,0,1.73,3,4,118,10
3,4.0,5.0,89.0,0,1.65,3,4,118,14
3,4.0,3.0,114.0,0,1.32,3,4,118,19
3,4.0,6.0,145.0,1,4.0,3,4,118,11
3,4.0,0.0,221.0,0,1.52,3,4,118,6
3,4.0,0.0,221.0,0,1.52,3,4,118,7
3,4.0,0.0,221.0,0,1.65,3,4,118,11
3,4.0,0.0,221.0,0,1.5,3,4,118,12
3,4.0,0.0,221.0,0,1.5,3,4,118,20
3,4.0,2.0,273.0,0,1.35,3,4,118,8
3,4.0,2.0,273.0,0,1.37,3,4,118,11
3,4.0,2.0,273.0,0,1.32,3,4,118,13
3,4.0,2.0,273.0,0,1.37,3,4,118,16
3,4.0,0.0,273.0,0,1.6,3,4,118,16
3,4.0,2.0,273.0,0,1.33,3,4,118,18
3,4.0,2.0,273.0,0,1.37,3,4,118,21
3,4.0,2.0,273.0,0,1.37,3,4,118,22
3,4.0,0.0,292.0,0,1.5,4,4,119,12
3,4.0,5.0,162.0,1,10.95,4,4,119,5
3,4.0,5.0,203.0,0,1.85,4,4,119,18
3,4.0,3.0,224.0,0,1.33,4,4,119,20
3,4.0,0.0,292.0,0,1.52,4,4,119,6
3,4.0,2.0,292.0,0,1.37,4,4,119,7
3,4.0,0.0,292.0,0,1.52,4,4,119,7
3,4.0,2.0,292.0,0,1.37,4,4,119,9
3,4.0,2.0,292.0,0,1.37,4,4,119,11
3,4.0,0.0,292.0,0,1.65,4,4,119,11
3,4.0,2.0,292.0,0,1.32,4,4,119,13
3,4.0,2.0,292.0,0,1.37,4,4,119,16
3,4.0,0.0,292.0,0,1.52,4,4,119,16
3,4.0,0.0,292.0,0,1.5,4,4,119,18
3,4.0,2.0,292.0,0,1.33,4,4,119,18
3,4.0,0.0,292.0,0,1.5,4,4,119,20
3,4.0,2.0,292.0,0,1.37,4,4,119,21
3,4.0,2.0,292.0,0,1.37,4,4,119,22
3,4.0,5.0,115.0,0,1.73,5,4,120,10
3,4.0,5.0,115.0,0,1.85,5,4,120,18
3,4.0,3.0,144.0,0,1.33,5,4,120,16
3,4.0,0.0,221.0,0,1.5,5,4,120,12
3,4.0,6.0,195.0,1,4.0,5,4,120,11
3,4.0,0.0,221.0,0,1.52,5,4,120,6
3,4.0,0.0,221.0,0,1.52,5,4,120,7
3,4.0,0.0,221.0,0,1.62,5,4,120,11
3,4.0,0.0,221.0,0,1.52,5,4,120,16
3,4.0,0.0,221.0,0,1.5,5,4,120,18
3,4.0,0.0,221.0,0,1.5,5,4,120,20
3,4.0,2.0,292.0,0,1.33,5,4,120,18
3,4.0,2.0,292.0,0,1.37,5,4,120,21
3,4.0,2.0,292.0,0,1.37,5,4,120,22
3,4.0,2.0,369.0,0,1.37,5,4,120,7
3,4.0,2.0,369.0,0,1.37,5,4,120,16
3,4.0,2.0,459.0,0,1.32,5,4,120,13
3,4.0,2.0,509.0,0,1.37,5,4,120,11
3,4.0,2.0,559.0,0,1.37,5,4,120,9
3,4.0,5.0,89.0,0,1.7,6,4,121,11
3,4.0,3.0,114.0,0,1.32,6,4,121,17
3,4.0,0.0,221.0,0,1.5,6,4,121,12
3,4.0,6.0,145.0,1,4.0,6,4,121,11
3,4.0,0.0,221.0,0,1.52,6,4,121,6
3,4.0,0.0,221.0,0,1.52,6,4,121,7
3,4.0,0.0,221.0,0,1.65,6,4,121,11
3,4.0,0.0,221.0,0,1.52,6,4,121,16
3,4.0,0.0,221.0,0,1.5,6,4,121,18
3,4.0,0.0,221.0,0,1.5,6,4,121,20
3,4.0,2.0,273.0,0,1.37,6,4,121,7
3,4.0,2.0,273.0,0,1.37,6,4,121,11
3,4.0,2.0,273.0,0,1.32,6,4,121,13
3,4.0,2.0,273.0,0,1.37,6,4,121,16
3,4.0,2.0,273.0,0,1.33,6,4,121,18
3,4.0,2.0,273.0,0,1.37,6,4,121,21
3,4.0,2.0,273.0,0,1.37,6,4,121,22
3,4.0,2.0,349.0,0,1.37,6,4,121,9
3,4.0,5.0,60.0,1,5.27,7,5,122,16
3,4.0,5.0,83.0,0,1.7,7,5,122,11
3,4.0,5.0,83.0,0,1.63,7,5,122,13
3,4.0,5.0,60.0,1,5.67,7,5,122,8
3,4.0,5.0,60.0,1,7.13,7,5,122,14
3,4.0,6.0,99.0,1,4.0,7,5,122,11
3,4.0,0.0,175.0,0,1.52,7,5,122,6
3,4.0,0.0,175.0,0,1.52,7,5,122,7
3,4.0,0.0,175.0,0,1.52,7,5,122,16
3,4.0,0.0,175.0,0,1.5,7,5,122,18
3,4.0,0.0,175.0,0,1.5,7,5,122,20
3,4.0,2.0,223.0,0,1.37,7,5,122,7
3,4.0,2.0,223.0,0,1.37,7,5,122,9
3,4.0,2.0,223.0,0,1.32,7,5,122,13
3,4.0,2.0,223.0,0,1.37,7,5,122,16
3,4.0,2.0,223.0,0,1.33,7,5,122,18
3,4.0,2.0,223.0,0,1.37,7,5,122,21
3,4.0,2.0,223.0,0,1.37,7,5,122,22
3,4.0,0.0,260.0,0,1.65,7,5,122,11
3,4.0,2.0,319.0,0,1.37,7,5,122,11
3,4.0,3.0,64.0,0,1.32,8,5,123,20
3,4.0,5.0,79.0,0,1.7,8,5,123,11
3,4.0,5.0,79.0,0,1.85,8,5,123,18
3,4.0,0.0,185.0,0,1.52,8,5,123,6
3,4.0,0.0,185.0,0,1.52,8,5,123,7
3,4.0,0.0,185.0,0,1.65,8,5,123,11
3,4.0,0.0,185.0,0,1.5,8,5,123,12
3,4.0,0.0,214.0,0,1.52,8,5,123,16
3,4.0,2.0,223.0,0,1.37,8,5,123,7
3,4.0,2.0,223.0,0,1.37,8,5,123,9
3,4.0,2.0,223.0,0,1.37,8,5,123,11
3,4.0,2.0,223.0,0,1.32,8,5,123,13
3,4.0,2.0,223.0,0,1.37,8,5,123,16
3,4.0,2.0,223.0,0,1.37,8,5,123,21
3,4.0,2.0,223.0,0,1.37,8,5,123,22
3,4.0,0.0,260.0,0,1.5,8,5,123,18
3,4.0,2.0,260.0,0,1.33,8,5,123,18
3,4.0,5.0,84.0,1,6.72,9,5,124,17
3,4.0,5.0,149.0,0,1.7,9,5,124,11
3,4.0,2.0,223.0,0,1.37,9,5,124,11
3,4.0,3.0,96.0,1,10.8,9,5,124,22
3,4.0,5.0,99.0,1,6.8,9,5,124,10
3,4.0,5.0,149.0,0,1.82,9,5,124,19
3,4.0,0.0,223.0,0,1.52,9,5,124,6
3,4.0,2.0,223.0,0,1.37,9,5,124,7
3,4.0,2.0,223.0,0,1.37,9,5,124,9
3,4.0,0.0,223.0,0,1.65,9,5,124,11
3,4.0,0.0,223.0,0,1.5,9,5,124,12
3,4.0,2.0,223.0,0,1.32,9,5,124,13
3,4.0,2.0,223.0,0,1.37,9,5,124,16
3,4.0,0.0,223.0,0,1.52,9,5,124,16
3,4.0,0.0,223.0,0,1.5,9,5,124,18
3,4.0,2.0,223.0,0,1.33,9,5,124,18
3,4.0,0.0,223.0,0,1.5,9,5,124,20
3,4.0,2.0,223.0,0,1.37,9,5,124,21
3,4.0,2.0,223.0,0,1.37,9,5,124,22
3,4.0,0.0,459.0,0,1.52,9,5,124,7
3,4.0,3.0,64.0,0,1.32,10,5,125,19
3,4.0,5.0,64.0,0,1.73,10,5,125,10
3,4.0,5.0,75.0,0,1.65,10,5,125,14
3,4.0,5.0,60.0,1,6.67,10,5,125,6
3,4.0,6.0,99.0,1,3.93,10,5,125,17
3,4.0,0.0,175.0,0,1.52,10,5,125,6
3,4.0,0.0,175.0,0,1.52,10,5,125,7
3,4.0,0.0,210.0,0,1.65,10,5,125,11
3,4.0,2.0,223.0,0,1.35,10,5,125,8
