Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
3,1,3.0,324.0,0,1.97,3,4,117,16
3,1,0.0,326.0,0,1.9,3,4,117,17
3,1,3.0,354.0,0,2.0,3,4,117,8
3,1,2.0,540.0,0,1.97,3,4,117,16
3,1,5.0,205.0,1,21.42,3,4,117,18
3,1,5.0,205.0,1,22.32,3,4,117,22
3,1,3.0,245.0,1,5.6,3,4,117,12
3,1,2.0,599.0,0,1.92,3,4,117,7
3,1,2.0,599.0,0,1.72,3,4,117,8
3,1,2.0,599.0,0,1.98,3,4,117,10
3,1,2.0,599.0,0,1.98,3,4,117,12
3,1,2.0,599.0,0,1.68,3,4,117,13
3,1,2.0,599.0,0,2.0,3,4,117,15
3,1,2.0,599.0,0,1.98,3,4,117,20
3,1,2.0,599.0,0,2.03,3,4,117,21
3,1,2.0,599.0,0,2.05,3,4,117,22
3,1,3.0,194.0,0,1.98,4,4,118,18
3,1,2.0,270.0,0,1.97,4,4,118,16
3,1,0.0,270.0,0,2.02,4,4,118,17
3,1,2.0,270.0,0,2.0,4,4,118,18
3,1,5.0,195.0,1,7.97,4,4,118,12
3,1,2.0,599.0,0,1.92,4,4,118,7
3,1,2.0,599.0,0,1.72,4,4,118,8
3,1,2.0,599.0,0,1.98,4,4,118,10
3,1,2.0,599.0,0,1.98,4,4,118,12
3,1,2.0,599.0,0,1.68,4,4,118,13
3,1,2.0,599.0,0,2.0,4,4,118,15
3,1,2.0,599.0,0,1.98,4,4,118,20
3,1,3.0,314.0,0,1.98,5,4,119,21
3,1,0.0,326.0,0,1.9,5,4,119,17
3,1,2.0,540.0,0,1.97,5,4,119,16
3,1,5.0,175.0,1,21.85,5,4,119,9
3,1,3.0,192.0,1,12.02,5,4,119,21
3,1,3.0,280.0,1,4.4,5,4,119,6
3,1,3.0,394.0,0,2.0,5,4,119,8
3,1,2.0,540.0,0,2.05,5,4,119,18
3,1,2.0,599.0,0,1.92,5,4,119,7
3,1,2.0,599.0,0,1.72,5,4,119,8
3,1,2.0,599.0,0,1.98,5,4,119,10
3,1,2.0,599.0,0,1.98,5,4,119,12
3,1,2.0,599.0,0,1.68,5,4,119,13
3,1,2.0,599.0,0,2.0,5,4,119,15
3,1,2.0,599.0,0,1.98,5,4,119,20
3,1,2.0,599.0,0,2.03,5,4,119,21
3,1,5.0,135.0,1,7.97,6,4,120,12
3,1,0.0,320.0,0,1.9,6,4,120,17
3,1,2.0,320.0,0,2.05,6,4,120,18
3,1,3.0,168.0,1,7.0,6,4,120,16
3,1,3.0,229.0,0,1.97,6,4,120,16
3,1,2.0,365.0,0,1.97,6,4,120,16
3,1,2.0,599.0,0,1.92,6,4,120,7
3,1,2.0,599.0,0,1.72,6,4,120,8
3,1,2.0,599.0,0,1.98,6,4,120,10
3,1,2.0,599.0,0,1.98,6,4,120,12
3,1,2.0,599.0,0,1.68,6,4,120,13
3,1,2.0,599.0,0,2.0,6,4,120,15
3,1,2.0,599.0,0,1.98,6,4,120,20
3,1,2.0,599.0,0,2.03,6,4,120,21
3,1,3.0,59.0,1,6.28,8,5,122,17
3,1,0.0,195.0,0,1.9,8,5,122,17
3,1,3.0,89.0,1,5.67,8,5,122,7
3,1,3.0,89.0,1,4.6,8,5,122,11
3,1,3.0,144.0,0,1.97,8,5,122,12
