Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
3,5,6,186,0,1.23,1,4,116,14
3,5,0,216,0,1.28,1,4,116,11
3,5,3,153,1,5.72,1,4,116,10
3,5,6,186,0,1.22,1,4,116,6
3,5,6,186,0,1.25,1,4,116,10
3,5,0,216,0,1.18,1,4,116,6
3,5,3,292,0,1.17,1,4,116,19
3,5,6,409,0,1.23,1,4,116,18
3,5,2,464,0,1.07,1,4,116,7
3,5,2,464,0,1.03,1,4,116,10
3,5,2,464,0,1.0,1,4,116,13
3,5,2,464,0,1.03,1,4,116,15
3,5,2,464,0,1.05,1,4,116,18
3,5,2,464,0,1.03,1,4,116,22
3,5,2,499,0,1.02,1,4,116,20
3,5,5,104,0,1.32,2,4,117,16
3,5,3,152,0,1.17,2,4,117,19
3,5,2,464,0,1.0,2,4,117,13
3,5,0,444,0,1.18,2,4,117,6
3,5,6,444,0,1.22,2,4,117,6
3,5,6,444,0,1.25,2,4,117,10
3,5,0,444,0,1.28,2,4,117,11
3,5,6,444,0,1.23,2,4,117,14
3,5,0,444,0,1.28,2,4,117,17
3,5,6,444,0,1.23,2,4,117,18
3,5,2,464,0,1.07,2,4,117,7
3,5,2,464,0,1.03,2,4,117,10
3,5,2,464,0,1.03,2,4,117,15
3,5,2,464,0,1.02,2,4,117,20
3,5,2,464,0,1.03,2,4,117,22
3,5,5,81,0,1.32,3,4,118,16
3,5,3,82,0,1.17,3,4,118,19
3,5,6,136,0,1.23,3,4,118,14
3,5,6,136,0,1.22,3,4,118,6
3,5,6,136,0,1.25,3,4,118,10
3,5,6,136,0,1.23,3,4,118,19
3,5,0,216,0,1.18,3,4,118,6
3,5,0,216,0,1.28,3,4,118,17
3,5,0,444,0,1.28,3,4,118,11
3,5,2,464,0,1.07,3,4,118,7
3,5,2,464,0,1.03,3,4,118,10
3,5,2,464,0,1.0,3,4,118,13
3,5,2,464,0,1.03,3,4,118,15
3,5,2,464,0,1.02,3,4,118,18
3,5,5,181,0,1.32,4,4,119,16
3,5,3,292,0,1.17,4,4,119,19
3,5,6,444,0,1.23,4,4,119,14
3,5,0,444,0,1.28,4,4,119,17
3,5,2,464,0,1.03,4,4,119,15
3,5,5,162,1,26.02,4,4,119,21
3,5,3,168,1,6.53,4,4,119,18
3,5,0,444,0,1.18,4,4,119,6
3,5,6,444,0,1.22,4,4,119,6
3,5,6,444,0,1.25,4,4,119,10
3,5,0,444,0,1.28,4,4,119,11
3,5,6,444,0,1.33,4,4,119,18
3,5,2,464,0,1.07,4,4,119,7
3,5,2,464,0,1.03,4,4,119,10
3,5,2,464,0,1.0,4,4,119,13
