Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
2,3,5.0,159.0,1,9.52,1,4,116,12
2,3,5.0,300.0,0,5.03,1,4,116,0
2,3,2.0,409.0,0,4.87,1,4,116,12
2,3,5.0,165.0,1,12.62,1,4,116,5
2,3,0.0,338.0,1,7.48,1,4,116,16
2,3,1.0,366.0,1,11.13,1,4,116,23
2,3,2.0,409.0,0,4.83,1,4,116,0
2,3,2.0,409.0,0,4.9,1,4,116,6
2,3,2.0,409.0,0,4.85,1,4,116,7
2,3,2.0,409.0,0,4.97,1,4,116,8
2,3,2.0,409.0,0,4.92,1,4,116,10
2,3,2.0,409.0,0,4.87,1,4,116,13
2,3,2.0,409.0,0,4.92,1,4,116,16
2,3,6.0,409.0,0,5.02,1,4,116,17
2,3,2.0,409.0,0,4.9,1,4,116,18
2,3,6.0,519.0,0,5.02,1,4,116,13
2,3,5.0,175.0,1,10.98,2,4,117,5
2,3,5.0,269.0,0,5.03,2,4,117,0
2,3,2.0,409.0,0,4.87,2,4,117,12
2,3,6.0,409.0,0,5.02,2,4,117,13
2,3,5.0,175.0,1,11.57,2,4,117,21
2,3,0.0,338.0,1,7.58,2,4,117,16
2,3,1.0,366.0,1,11.45,2,4,117,23
2,3,2.0,409.0,0,4.83,2,4,117,0
2,3,2.0,409.0,0,4.9,2,4,117,6
2,3,2.0,409.0,0,4.85,2,4,117,7
2,3,2.0,409.0,0,4.97,2,4,117,8
2,3,2.0,409.0,0,4.92,2,4,117,10
2,3,2.0,409.0,0,4.87,2,4,117,13
2,3,2.0,409.0,0,4.92,2,4,117,16
2,3,6.0,409.0,0,5.02,2,4,117,17
2,3,2.0,409.0,0,4.9,2,4,117,18
2,3,6.0,519.0,0,5.03,2,4,117,10
2,3,5.0,129.0,1,7.75,3,4,118,5
2,3,5.0,129.0,1,8.53,3,4,118,6
2,3,5.0,269.0,0,5.1,3,4,118,6
2,3,5.0,129.0,1,10.65,3,4,118,6
2,3,5.0,135.0,1,12.55,3,4,118,9
2,3,5.0,135.0,1,11.57,3,4,118,21
2,3,5.0,179.0,1,9.13,3,4,118,22
2,3,5.0,269.0,0,5.03,3,4,118,0
2,3,0.0,338.0,1,7.48,3,4,118,16
2,3,2.0,409.0,0,4.83,3,4,118,0
2,3,2.0,409.0,0,4.9,3,4,118,6
2,3,2.0,409.0,0,4.85,3,4,118,7
2,3,2.0,409.0,0,4.97,3,4,118,8
2,3,6.0,409.0,0,5.03,3,4,118,10
2,3,2.0,409.0,0,4.92,3,4,118,10
2,3,2.0,409.0,0,4.87,3,4,118,12
2,3,6.0,409.0,0,5.02,3,4,118,13
2,3,2.0,409.0,0,4.87,3,4,118,13
2,3,2.0,409.0,0,4.92,3,4,118,16
2,3,6.0,409.0,0,5.02,3,4,118,17
2,3,5.0,139.0,1,9.27,4,4,119,8
2,3,5.0,269.0,0,5.03,4,4,119,0
2,3,6.0,409.0,0,5.03,4,4,119,10
2,3,2.0,409.0,0,4.87,4,4,119,12
2,3,5.0,139.0,1,8.9,4,4,119,15
2,3,5.0,145.0,1,14.02,4,4,119,18
2,3,5.0,145.0,1,11.57,4,4,119,21
2,3,1.0,301.0,1,11.13,4,4,119,23
2,3,0.0,338.0,1,7.48,4,4,119,16
2,3,2.0,409.0,0,4.83,4,4,119,0
2,3,2.0,409.0,0,4.9,4,4,119,6
2,3,2.0,409.0,0,4.85,4,4,119,7
2,3,2.0,409.0,0,4.97,4,4,119,8
2,3,2.0,409.0,0,4.92,4,4,119,10
2,3,2.0,409.0,0,4.87,4,4,119,13
2,3,2.0,409.0,0,4.92,4,4,119,16
2,3,6.0,409.0,0,5.02,4,4,119,17
2,3,2.0,409.0,0,4.9,4,4,119,18
2,3,5.0,129.0,1,7.75,5,4,120,5
2,3,5.0,129.0,1,8.53,5,4,120,6
2,3,5.0,300.0,0,5.1,5,4,120,6
2,3,2.0,409.0,0,4.97,5,4,120,8
2,3,5.0,129.0,1,10.22,5,4,120,7
2,3,5.0,129.0,1,9.5,5,4,120,9
2,3,5.0,135.0,1,11.57,5,4,120,21
2,3,5.0,300.0,0,5.03,5,4,120,0
2,3,1.0,301.0,1,11.13,5,4,120,23
2,3,0.0,338.0,1,7.48,5,4,120,16
2,3,2.0,409.0,0,4.83,5,4,120,0
2,3,2.0,409.0,0,4.9,5,4,120,6
2,3,2.0,409.0,0,4.85,5,4,120,7
2,3,6.0,409.0,0,5.03,5,4,120,10
2,3,2.0,409.0,0,4.92,5,4,120,10
2,3,2.0,409.0,0,4.87,5,4,120,12
2,3,6.0,409.0,0,5.02,5,4,120,13
2,3,2.0,409.0,0,4.87,5,4,120,13
2,3,2.0,409.0,0,4.92,5,4,120,16
2,3,6.0,409.0,0,5.02,5,4,120,17
2,3,2.0,409.0,0,4.9,5,4,120,18
2,3,5.0,135.0,1,11.57,6,4,121,21
2,3,2.0,409.0,0,4.87,6,4,121,12
2,3,5.0,151.0,1,12.6,6,4,121,8
2,3,5.0,151.0,1,11.6,6,4,121,5
2,3,1.0,316.0,1,10.52,6,4,121,23
2,3,0.0,338.0,1,8.08,6,4,121,8
2,3,2.0,409.0,0,4.83,6,4,121,0
2,3,2.0,409.0,0,4.9,6,4,121,6
2,3,2.0,409.0,0,4.85,6,4,121,7
2,3,2.0,409.0,0,4.97,6,4,121,8
2,3,6.0,409.0,0,5.03,6,4,121,10
2,3,2.0,409.0,0,4.92,6,4,121,10
2,3,6.0,409.0,0,5.02,6,4,121,13
2,3,2.0,409.0,0,4.87,6,4,121,13
2,3,2.0,409.0,0,4.92,6,4,121,16
2,3,6.0,409.0,0,5.02,6,4,121,17
2,3,5.0,99.0,0,5.1,7,5,122,6
2,3,6.0,140.0,0,5.02,7,5,122,13
2,3,2.0,150.0,0,4.87,7,5,122,12
2,3,5.0,89.0,1,7.75,7,5,122,5
