Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
0,1,89.0,0,3.2,3,116,16,116
0,1,186.0,0,3.02,3,116,13,116
0,1,186.0,0,2.98,3,116,14,116
0,1,89.0,0,2.98,3,116,5,116
0,1,89.0,0,3.08,3,116,7,116
0,1,108.0,0,3.18,3,116,18,116
0,1,186.0,0,2.98,3,116,5,116
0,1,186.0,0,2.98,3,116,6,116
0,1,186.0,0,2.98,3,116,7,116
0,1,186.0,0,3.02,3,116,7,116
0,1,186.0,0,2.98,3,116,9,116
0,1,186.0,0,3.02,3,116,10,116
0,1,186.0,0,3.02,3,116,12,116
0,1,186.0,0,3.02,3,116,16,116
0,1,186.0,0,2.97,3,116,18,116
0,1,186.0,0,2.97,3,116,20,116
0,1,256.0,0,3.02,3,116,9,116
0,1,379.0,0,3.15,3,116,17,116
0,1,289.0,0,2.98,4,117,14,117
0,1,289.0,0,3.02,4,117,15,117
0,1,139.0,1,9.98,4,117,15,117
0,1,178.0,0,2.98,4,117,5,117
0,1,178.0,0,3.08,4,117,7,117
0,1,289.0,0,2.98,4,117,5,117
0,1,289.0,0,2.98,4,117,6,117
0,1,289.0,0,2.98,4,117,7,117
0,1,289.0,0,3.02,4,117,7,117
0,1,289.0,0,2.98,4,117,9,117
0,1,289.0,0,3.02,4,117,9,117
0,1,289.0,0,3.02,4,117,10,117
0,1,289.0,0,3.02,4,117,12,117
0,1,289.0,0,3.02,4,117,13,117
0,1,289.0,0,3.02,4,117,16,117
0,1,289.0,0,3.15,4,117,17,117
0,1,289.0,0,2.97,4,117,18,117
0,1,289.0,0,2.97,4,117,20,117
0,1,419.0,0,3.02,4,117,11,117
0,1,136.0,0,3.02,5,118,13,118
0,1,136.0,0,2.98,5,118,14,118
0,1,89.0,0,2.98,5,118,5,118
0,1,89.0,0,3.08,5,118,7,118
0,1,89.0,0,3.18,5,118,18,118
0,1,136.0,0,2.98,5,118,5,118
0,1,136.0,0,2.98,5,118,6,118
0,1,136.0,0,2.98,5,118,7,118
0,1,136.0,0,2.98,5,118,9,118
0,1,136.0,0,3.02,5,118,9,118
0,1,136.0,0,3.02,5,118,10,118
0,1,136.0,0,3.02,5,118,12,118
0,1,136.0,0,3.02,5,118,16,118
0,1,136.0,0,3.15,5,118,17,118
0,1,136.0,0,2.97,5,118,20,118
0,1,178.0,0,3.08,6,119,8,119
0,1,178.0,0,3.2,6,119,16,119
0,1,178.0,0,3.02,6,119,19,119
0,1,289.0,0,2.98,6,119,14,119
0,1,289.0,0,2.97,6,119,20,119
0,1,139.0,1,10.37,6,119,5,119
0,1,139.0,1,7.13,6,119,14,119
0,1,178.0,0,2.98,6,119,5,119
0,1,289.0,0,2.98,6,119,5,119
0,1,289.0,0,2.98,6,119,6,119
0,1,289.0,0,2.98,6,119,7,119
0,1,289.0,0,3.02,6,119,7,119
0,1,289.0,0,2.98,6,119,9,119
0,1,289.0,0,3.02,6,119,9,119
0,1,289.0,0,3.02,6,119,10,119
0,1,289.0,0,3.02,6,119,12,119
0,1,289.0,0,3.02,6,119,16,119
0,1,289.0,0,2.97,6,119,18,119
0,1,307.0,0,3.02,6,119,13,119
0,1,561.0,0,3.15,6,119,17,119
0,1,79.0,0,3.13,7,120,13,120
0,1,79.0,0,3.1,7,120,15,120
0,1,140.0,0,2.98,7,120,14,120
0,1,150.0,0,3.02,7,120,15,120
0,1,79.0,0,2.98,7,120,5,120
0,1,79.0,0,3.08,7,120,7,120
0,1,140.0,0,2.98,7,120,5,120
0,1,140.0,0,2.98,7,120,6,120
0,1,140.0,0,2.98,7,120,7,120
0,1,140.0,0,2.98,7,120,9,120
0,1,140.0,0,3.02,7,120,10,120
0,1,140.0,0,3.02,7,120,12,120
0,1,140.0,0,3.02,7,120,16,120
0,1,140.0,0,2.97,7,120,18,120
0,1,149.0,1,6.25,7,120,15,120
0,1,150.0,0,3.15,7,120,17,120
0,1,150.0,0,2.97,7,120,20,120
0,1,190.0,0,3.02,7,120,7,120
0,1,256.0,0,3.02,7,120,13,120
0,1,379.0,0,3.02,7,120,9,120
0,1,29.0,0,3.07,8,121,10,121
0,1,29.0,0,3.17,8,121,17,121
0,1,90.0,0,2.98,8,121,14,121
0,1,29.0,0,2.98,8,121,5,121
0,1,29.0,0,3.08,8,121,7,121
0,1,90.0,0,2.98,8,121,5,121
0,1,90.0,0,2.98,8,121,6,121
0,1,90.0,0,2.98,8,121,7,121
