Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
0,1,19,0,2.98,11,108,5,108
0,1,19,0,3.08,11,108,7,108
0,1,19,0,3.02,11,108,11,108
0,1,19,0,3.18,11,108,18,108
0,1,96,0,3.02,11,108,12,108
0,0,Price unavailable,0,2.92,11,108,13,108
0,1,96,0,2.98,11,108,5,108
0,1,96,0,2.98,11,108,6,108
0,1,96,0,2.98,11,108,7,108
0,1,96,0,2.98,11,108,9,108
0,1,96,0,3.02,11,108,10,108
0,0,105,1,9.25,11,108,6,108
0,1,105,1,6.68,11,108,18,108
0,1,130,0,3.02,11,108,7,108
0,1,130,0,3.02,11,108,9,108
0,1,130,0,2.97,11,108,20,108
0,1,159,0,3.02,11,108,15,108
0,1,159,0,3.15,11,108,17,108
0,1,179,0,2.98,11,108,14,108
0,1,185,0,3.02,11,108,13,108
0,1,223,0,3.02,11,108,16,108
0,0,Price unavailable,0,2.92,11,108,6,108
0,0,Price unavailable,0,2.92,11,108,7,108
0,0,Price unavailable,0,2.92,11,108,9,108
0,0,Price unavailable,0,2.92,11,108,10,108
0,0,Price unavailable,0,3.0,11,108,14,108
0,0,Price unavailable,0,3.08,11,108,16,108
0,0,Price unavailable,0,3.0,11,108,17,108
0,1,19,0,2.98,12,109,5,109
0,1,39,0,3.08,12,109,7,109
0,1,39,0,3.2,12,109,16,109
0,1,146,0,2.98,12,109,9,109
0,1,150,0,2.97,12,109,20,109
0,0,Price unavailable,0,3.0,12,109,11,109
0,1,97,0,3.03,12,109,20,109
0,1,146,0,2.98,12,109,5,109
0,1,146,0,2.98,12,109,6,109
0,1,146,0,2.98,12,109,7,109
0,1,150,0,3.02,12,109,7,109
0,1,179,0,3.02,12,109,10,109
0,1,179,0,3.02,12,109,12,109
0,1,179,0,2.98,12,109,14,109
0,1,179,0,3.02,12,109,16,109
0,1,223,0,2.97,12,109,18,109
0,1,247,0,3.02,12,109,13,109
0,1,273,0,3.02,12,109,9,109
0,1,425,0,3.15,12,109,17,109
0,0,Price unavailable,0,2.92,12,109,5,109
0,0,Price unavailable,0,2.92,12,109,6,109
0,0,Price unavailable,0,2.92,12,109,7,109
0,0,Price unavailable,0,3.0,12,109,9,109
0,0,Price unavailable,0,3.0,12,109,15,109
0,0,Price unavailable,0,3.0,12,109,17,109
0,0,Price unavailable,0,2.92,12,109,19,109
0,1,69,0,3.02,13,110,11,110
0,1,150,0,3.02,13,110,12,110
0,1,150,0,3.02,13,110,13,110
0,0,Price unavailable,0,3.0,13,110,11,110
0,1,69,0,2.98,13,110,5,110
0,1,69,0,3.08,13,110,7,110
0,1,69,0,3.03,13,110,20,110
0,1,150,0,2.98,13,110,5,110
0,1,150,0,2.98,13,110,6,110
0,1,150,0,2.98,13,110,7,110
0,1,150,0,3.02,13,110,7,110
0,1,150,0,2.98,13,110,9,110
0,1,150,0,3.02,13,110,10,110
0,1,150,0,2.98,13,110,14,110
0,1,150,0,3.02,13,110,15,110
0,1,150,0,3.02,13,110,16,110
0,1,150,0,3.15,13,110,17,110
0,1,150,0,2.97,13,110,18,110
0,1,150,0,2.97,13,110,20,110
0,1,158,0,3.02,13,110,9,110
0,0,Price unavailable,0,2.92,13,110,5,110
0,0,Price unavailable,0,2.92,13,110,6,110
0,0,Price unavailable,0,2.92,13,110,7,110
0,0,Price unavailable,0,3.0,13,110,9,110
0,0,Price unavailable,0,3.0,13,110,15,110
0,0,Price unavailable,0,3.0,13,110,17,110
0,0,Price unavailable,0,2.92,13,110,19,110
0,1,19,0,2.98,14,111,5,111
0,1,19,0,3.08,14,111,7,111
0,1,19,0,3.02,14,111,11,111
0,1,90,0,2.98,14,111,9,111
0,1,100,0,3.02,14,111,13,111
0,0,Price unavailable,0,2.92,14,111,13,111
0,1,32,0,3.18,14,111,18,111
0,1,90,0,2.98,14,111,5,111
0,1,90,0,2.98,14,111,6,111
0,1,90,0,3.02,14,111,10,111
0,1,90,0,3.02,14,111,16,111
0,1,96,0,2.98,14,111,7,111
0,1,96,0,2.98,14,111,14,111
