Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
2,0,2,254,0,5.82,1,4,116,6
2,0,2,254,0,5.82,1,4,116,23
2,0,1,254,0,5.8,1,4,116,23
2,0,0,203,1,9.87,1,4,116,10
2,0,0,204,1,9.65,1,4,116,10
2,0,2,254,0,5.82,2,4,117,6
2,0,1,254,0,5.8,2,4,117,23
2,0,0,203,1,9.52,2,4,117,23
2,0,0,204,1,9.65,2,4,117,10
2,0,2,254,0,5.82,2,4,117,23
2,0,2,214,0,5.82,3,4,118,6
2,0,1,214,0,5.8,3,4,118,23
2,0,0,203,1,8.77,3,4,118,6
2,0,0,203,1,9.5,3,4,118,23
2,0,0,204,1,9.0,3,4,118,5
2,0,2,214,0,5.82,4,4,119,6
2,0,1,214,0,5.8,4,4,119,23
2,0,2,214,0,5.82,4,4,119,23
2,0,2,279,0,6.02,4,4,119,12
2,0,0,203,1,9.5,4,4,119,23
2,0,2,223,1,8.62,4,4,119,0
2,0,2,263,1,9.02,4,4,119,10
2,0,2,214,0,5.82,5,4,120,6
2,0,1,214,0,5.8,5,4,120,23
2,0,2,214,0,5.82,5,4,120,23
2,0,0,203,1,8.75,5,4,120,6
2,0,0,203,1,9.87,5,4,120,10
2,0,0,203,1,9.52,5,4,120,23
2,0,0,204,1,9.65,6,4,121,10
2,0,2,214,0,5.82,6,4,121,6
2,0,1,214,0,5.8,6,4,121,23
2,0,7,194,1,40.73,6,4,121,17
2,0,0,203,1,9.5,6,4,121,23
2,0,0,204,1,9.0,6,4,121,5
2,0,2,223,1,8.08,6,4,121,0
2,0,0,143,1,9.0,7,5,122,5
2,0,2,164,0,5.82,7,5,122,6
2,0,1,164,0,5.88,7,5,122,13
2,0,0,142,1,9.52,7,5,122,23
2,0,2,218,1,8.62,7,5,122,0
2,0,2,263,1,8.57,7,5,122,13
2,0,1,164,0,5.88,8,5,123,13
2,0,2,164,0,5.82,8,5,123,23
2,0,0,142,1,9.5,8,5,123,23
2,0,0,173,1,9.0,8,5,123,5
2,0,2,209,0,5.82,8,5,123,6
2,0,2,164,0,5.82,9,5,124,6
2,0,1,164,0,5.88,9,5,124,13
2,0,2,164,0,5.82,9,5,124,23
2,0,0,142,1,8.75,9,5,124,6
2,0,0,142,1,9.52,9,5,124,23
2,0,0,143,1,9.0,9,5,124,5
2,0,2,164,0,5.82,10,5,125,6
2,0,1,164,0,5.88,10,5,125,13
2,0,0,142,1,8.77,10,5,125,6
2,0,0,142,1,9.5,10,5,125,23
2,0,0,143,1,9.0,10,5,125,5
2,0,2,164,0,5.82,11,5,126,6
2,0,2,164,0,5.82,11,5,126,23
2,0,1,214,0,5.88,11,5,126,13
2,0,0,172,1,9.97,11,5,126,8
2,0,7,193,1,15.65,11,5,126,18
2,0,2,218,1,8.62,11,5,126,0
2,0,2,279,0,6.02,11,5,126,12
2,0,2,164,0,5.82,12,5,127,6
2,0,1,164,0,5.92,12,5,127,13
2,0,0,142,1,8.7,12,5,127,6
2,0,0,142,1,10.18,12,5,127,8
2,0,0,142,1,10.02,12,5,127,23
2,0,2,164,0,5.82,12,5,127,23
2,0,2,164,0,5.98,13,5,128,6
2,0,1,164,0,5.92,13,5,128,13
2,0,0,142,1,8.77,13,5,128,6
2,0,0,142,1,10.18,13,5,128,8
2,0,0,142,1,9.9,13,5,128,10
2,0,0,142,1,10.0,13,5,128,23
2,0,2,144,0,5.98,14,5,129,6
2,0,1,144,0,5.92,14,5,129,13
2,0,0,142,1,8.7,14,5,129,6
2,0,0,142,1,9.9,14,5,129,10
2,0,0,142,1,10.02,14,5,129,23
