Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
0,0,299.0,0,1.5,1,116,13,116
0,0,299.0,0,1.53,1,116,17,116
0,0,299.0,0,1.78,1,116,18,116
0,0,185.0,1,18.22,1,116,21,116
0,0,264.0,2,8.28,1,116,12,116
0,0,299.0,0,1.53,1,116,6,116
0,0,299.0,0,1.57,1,116,6,116
0,0,299.0,0,1.6,1,116,7,116
0,0,299.0,0,1.53,1,116,7,116
0,0,299.0,0,1.53,1,116,9,116
0,0,299.0,0,1.65,1,116,12,116
0,0,299.0,0,1.53,1,116,16,116
0,0,299.0,0,1.58,1,116,19,116
0,0,299.0,0,1.53,1,116,20,116
0,0,439.0,0,1.53,1,116,11,116
0,0,519.0,0,1.53,1,116,13,116
0,0,1569.0,0,1.53,1,116,19,116
0,0,299.0,0,1.65,2,117,12,117
0,0,299.0,0,1.53,2,117,13,117
0,0,299.0,0,1.58,2,117,19,117
0,0,175.0,1,18.02,2,117,22,117
0,0,264.0,2,13.78,2,117,18,117
0,0,299.0,0,1.53,2,117,6,117
0,0,299.0,0,1.57,2,117,6,117
0,0,299.0,0,1.6,2,117,7,117
0,0,299.0,0,1.53,2,117,7,117
0,0,299.0,0,1.53,2,117,11,117
0,0,299.0,0,1.78,2,117,18,117
0,0,299.0,0,1.53,2,117,19,117
0,0,299.0,0,1.53,2,117,20,117
0,0,333.0,0,1.53,2,117,17,117
0,0,338.0,0,1.53,2,117,16,117
0,0,439.0,0,1.5,2,117,13,117
0,0,299.0,0,1.65,3,118,12,118
0,0,299.0,0,1.5,3,118,13,118
0,0,299.0,0,1.53,3,118,13,118
0,0,287.0,2,8.32,3,118,12,118
0,0,299.0,0,1.53,3,118,6,118
0,0,299.0,0,1.57,3,118,6,118
0,0,299.0,0,1.6,3,118,7,118
0,0,299.0,0,1.53,3,118,7,118
0,0,299.0,0,1.53,3,118,9,118
0,0,299.0,0,1.53,3,118,11,118
0,0,299.0,0,1.53,3,118,16,118
0,0,299.0,0,1.53,3,118,17,118
0,0,299.0,0,1.78,3,118,18,118
0,0,299.0,0,1.53,3,118,19,118
0,0,299.0,0,1.58,3,118,19,118
0,0,299.0,0,1.52,3,118,20,118
0,0,299.0,0,1.53,4,119,17,119
0,0,299.0,0,1.78,4,119,18,119
0,0,299.0,0,1.58,4,119,19,119
0,0,145.0,1,8.37,4,119,22,119
0,0,299.0,0,1.53,4,119,6,119
0,0,299.0,0,1.57,4,119,6,119
0,0,299.0,0,1.6,4,119,7,119
0,0,299.0,0,1.53,4,119,7,119
0,0,299.0,0,1.53,4,119,9,119
0,0,299.0,0,1.53,4,119,11,119
0,0,299.0,0,1.65,4,119,12,119
0,0,299.0,0,1.5,4,119,13,119
0,0,299.0,0,1.53,4,119,13,119
0,0,299.0,0,1.53,4,119,16,119
0,0,299.0,0,1.53,4,119,19,119
0,0,299.0,0,1.53,4,119,20,119
0,0,299.0,0,1.65,6,121,12,121
0,0,299.0,0,1.5,6,121,13,121
0,0,299.0,0,1.53,6,121,13,121
0,0,264.0,2,12.45,6,121,8,121
0,0,289.0,1,16.72,6,121,17,121
0,0,299.0,0,1.53,6,121,6,121
0,0,299.0,0,1.57,6,121,6,121
0,0,299.0,0,1.6,6,121,7,121
0,0,299.0,0,1.53,6,121,7,121
0,0,299.0,0,1.53,6,121,9,121
0,0,299.0,0,1.53,6,121,11,121
0,0,299.0,0,1.53,6,121,16,121
0,0,299.0,0,1.53,6,121,17,121
0,0,299.0,0,1.78,6,121,18,121
0,0,299.0,0,1.53,6,121,19,121
0,0,299.0,0,1.58,6,121,19,121
0,0,299.0,0,1.53,6,121,20,121
0,0,140.0,0,1.78,7,122,18,122
0,0,140.0,0,1.5,7,122,19,122
0,0,150.0,0,1.58,7,122,19,122
0,0,95.0,1,8.37,7,122,22,122
0,0,140.0,0,1.53,7,122,6,122
0,0,140.0,0,1.6,7,122,7,122
0,0,140.0,0,1.53,7,122,7,122
0,0,140.0,0,1.53,7,122,9,122
0,0,140.0,0,1.65,7,122,12,122
0,0,140.0,0,1.53,7,122,20,122
0,0,150.0,0,1.57,7,122,6,122
0,0,150.0,0,1.53,7,122,11,122
0,0,150.0,0,1.5,7,122,13,122
0,0,150.0,0,1.53,7,122,13,122
0,0,150.0,0,1.53,7,122,16,122
0,0,150.0,0,1.53,7,122,17,122
0,0,159.0,0,1.62,7,122,19,122
0,0,160.0,0,1.78,8,123,18,123
0,0,160.0,0,1.53,8,123,19,123
0,0,170.0,0,1.58,8,123,19,123
0,0,160.0,0,1.53,8,123,6,123
0,0,160.0,0,1.6,8,123,7,123
0,0,160.0,0,1.53,8,123,8,123
0,0,160.0,0,1.53,8,123,9,123
0,0,160.0,0,1.65,8,123,12,123
0,0,160.0,0,1.53,8,123,20,123
0,0,170.0,0,1.57,8,123,6,123
0,0,170.0,0,1.5,8,123,13,123
0,0,170.0,0,1.53,8,123,16,123
0,0,170.0,0,1.53,8,123,17,123
0,0,185.0,0,1.53,8,123,11,123
0,0,218.0,0,1.53,8,123,13,123
0,0,160.0,0,1.78,9,124,18,124
0,0,160.0,0,1.53,9,124,19,124
0,0,170.0,0,1.58,9,124,19,124
0,0,124.0,1,14.47,9,124,17,124
0,0,160.0,0,1.53,9,124,6,124
0,0,160.0,0,1.6,9,124,7,124
0,0,160.0,0,1.53,9,124,8,124
0,0,160.0,0,1.65,9,124,12,124
0,0,160.0,0,1.53,9,124,20,124
0,0,170.0,0,1.57,9,124,6,124
0,0,170.0,0,1.53,9,124,13,124
0,0,170.0,0,1.53,9,124,17,124
0,0,180.0,0,1.53,9,124,9,124
0,0,185.0,0,1.53,9,124,16,124
0,0,207.0,0,1.53,9,124,11,124
0,0,249.0,0,1.5,9,124,13,124
0,0,140.0,0,1.65,10,125,12,125
0,0,140.0,0,1.53,10,125,19,125
0,0,150.0,0,1.5,10,125,13,125
0,0,102.0,1,5.97,10,125,11,125
0,0,140.0,0,1.53,10,125,6,125
0,0,140.0,0,1.6,10,125,7,125
0,0,140.0,0,1.53,10,125,8,125
0,0,140.0,0,1.53,10,125,9,125
0,0,140.0,0,1.78,10,125,18,125
0,0,140.0,0,1.53,10,125,20,125
0,0,150.0,0,1.57,10,125,6,125
0,0,150.0,0,1.53,10,125,11,125
0,0,150.0,0,1.53,10,125,13,125
0,0,150.0,0,1.53,10,125,16,125
0,0,150.0,0,1.53,10,125,17,125
0,0,150.0,0,1.58,10,125,19,125
0,0,160.0,0,1.53,11,126,6,126
0,0,160.0,0,1.6,11,126,7,126
0,0,170.0,0,1.57,11,126,6,126
0,0,105.0,1,9.68,11,126,22,126
0,0,202.0,0,1.53,11,126,8,126
0,0,202.0,0,1.53,11,126,9,126
0,0,249.0,0,1.58,11,126,19,126
0,0,251.0,0,1.53,11,126,11,126
0,0,291.0,0,1.78,11,126,18,126
0,0,299.0,0,1.53,11,126,13,126
0,0,299.0,0,1.53,11,126,16,126
0,0,299.0,0,1.53,11,126,20,126
0,0,342.0,0,1.53,11,126,17,126
0,0,363.0,0,1.53,11,126,19,126
0,0,419.0,0,1.5,11,126,13,126
0,0,439.0,0,1.65,11,126,12,126
0,0,160.0,0,1.67,12,127,17,127
0,0,160.0,0,1.53,12,127,19,127
0,0,170.0,0,1.5,12,127,13,127
0,0,95.0,1,8.42,12,127,22,127
0,0,95.0,1,9.68,12,127,22,127
0,0,160.0,0,1.53,12,127,6,127
0,0,160.0,0,1.62,12,127,7,127
0,0,160.0,0,1.53,12,127,20,127
0,0,170.0,0,1.57,12,127,6,127
0,0,170.0,0,1.5,12,127,13,127
0,0,170.0,0,1.53,12,127,16,127
0,0,170.0,0,1.53,12,127,17,127
0,0,170.0,0,1.58,12,127,19,127
0,0,180.0,0,1.62,12,127,12,127
0,0,202.0,0,1.53,12,127,8,127
0,0,218.0,0,1.53,12,127,9,127
0,0,251.0,0,1.53,12,127,11,127
0,0,140.0,0,1.67,13,128,17,128
0,0,140.0,0,1.53,13,128,19,128
0,0,150.0,0,1.55,13,128,12,128
0,0,140.0,0,1.53,13,128,6,128
0,0,140.0,0,1.62,13,128,7,128
0,0,140.0,0,1.53,13,128,8,128
0,0,140.0,0,1.53,13,128,9,128
0,0,140.0,0,1.62,13,128,12,128
0,0,140.0,0,1.53,13,128,20,128
0,0,150.0,0,1.55,13,128,6,128
0,0,150.0,0,1.53,13,128,11,128
0,0,150.0,0,1.53,13,128,13,128
0,0,150.0,0,1.53,13,128,16,128
0,0,150.0,0,1.53,13,128,17,128
0,0,150.0,0,1.62,13,128,19,128
0,0,110.0,0,1.67,14,129,17,129
0,0,110.0,0,1.53,14,129,19,129
0,0,120.0,0,1.62,14,129,19,129
0,0,110.0,0,1.53,14,129,6,129
0,0,110.0,0,1.62,14,129,7,129
0,0,110.0,0,1.53,14,129,8,129
0,0,110.0,0,1.53,14,129,9,129
0,0,110.0,0,1.62,14,129,12,129
0,0,110.0,0,1.53,14,129,20,129
0,0,120.0,0,1.55,14,129,6,129
0,0,120.0,0,1.53,14,129,13,129
0,0,120.0,0,1.53,14,129,16,129
0,0,120.0,0,1.53,14,129,17,129
0,0,130.0,0,1.53,14,129,11,129
0,0,170.0,0,1.55,14,129,12,129
0,0,130.0,0,1.62,15,130,7,130
0,0,130.0,0,1.53,15,130,20,130
0,0,140.0,0,1.62,15,130,19,130
0,0,81.0,1,16.37,15,130,14,130
0,0,81.0,1,9.68,15,130,22,130
0,0,130.0,0,1.53,15,130,6,130
0,0,130.0,0,1.53,15,130,8,130
0,0,130.0,0,1.53,15,130,9,130
0,0,140.0,0,1.55,15,130,6,130
0,0,140.0,0,1.53,15,130,16,130
0,0,156.0,0,1.53,15,130,17,130
0,0,160.0,0,1.53,15,130,19,130
0,0,170.0,0,1.55,15,130,12,130
0,0,185.0,0,1.53,15,130,11,130
0,0,185.0,0,1.53,15,130,13,130
0,0,220.0,0,1.62,15,130,12,130
0,0,220.0,0,1.67,15,130,17,130
0,0,130.0,0,1.67,16,131,17,131
0,0,130.0,0,1.53,16,131,19,131
0,0,140.0,0,1.62,16,131,19,131
0,0,65.0,1,9.68,16,131,22,131
0,0,130.0,0,1.53,16,131,6,131
0,0,130.0,0,1.62,16,131,7,131
