Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
2,1,299.0,0,1.5,1,4,116,13
2,1,299.0,0,1.53,1,4,116,17
2,1,299.0,0,1.78,1,4,116,18
2,1,185.0,1,18.22,1,4,116,21
2,1,264.0,2,8.28,1,4,116,12
2,1,299.0,0,1.53,1,4,116,6
2,1,299.0,0,1.57,1,4,116,6
2,1,299.0,0,1.6,1,4,116,7
2,1,299.0,0,1.53,1,4,116,7
2,1,299.0,0,1.53,1,4,116,9
2,1,299.0,0,1.65,1,4,116,12
2,1,299.0,0,1.53,1,4,116,16
2,1,299.0,0,1.58,1,4,116,19
2,1,299.0,0,1.53,1,4,116,20
2,1,439.0,0,1.53,1,4,116,11
2,1,519.0,0,1.53,1,4,116,13
2,1,1569.0,0,1.53,1,4,116,19
2,1,299.0,0,1.65,2,4,117,12
2,1,299.0,0,1.53,2,4,117,13
2,1,299.0,0,1.58,2,4,117,19
2,1,175.0,1,18.02,2,4,117,22
2,1,264.0,2,13.78,2,4,117,18
2,1,299.0,0,1.53,2,4,117,6
2,1,299.0,0,1.57,2,4,117,6
2,1,299.0,0,1.6,2,4,117,7
2,1,299.0,0,1.53,2,4,117,7
2,1,299.0,0,1.53,2,4,117,11
2,1,299.0,0,1.78,2,4,117,18
2,1,299.0,0,1.53,2,4,117,19
2,1,299.0,0,1.53,2,4,117,20
2,1,333.0,0,1.53,2,4,117,17
2,1,338.0,0,1.53,2,4,117,16
2,1,439.0,0,1.5,2,4,117,13
2,1,299.0,0,1.65,3,4,118,12
2,1,299.0,0,1.5,3,4,118,13
2,1,299.0,0,1.53,3,4,118,13
2,1,287.0,2,8.32,3,4,118,12
2,1,299.0,0,1.53,3,4,118,6
2,1,299.0,0,1.57,3,4,118,6
2,1,299.0,0,1.6,3,4,118,7
2,1,299.0,0,1.53,3,4,118,7
2,1,299.0,0,1.53,3,4,118,9
2,1,299.0,0,1.53,3,4,118,11
2,1,299.0,0,1.53,3,4,118,16
2,1,299.0,0,1.53,3,4,118,17
2,1,299.0,0,1.78,3,4,118,18
2,1,299.0,0,1.53,3,4,118,19
2,1,299.0,0,1.58,3,4,118,19
2,1,299.0,0,1.52,3,4,118,20
2,1,299.0,0,1.53,4,4,119,17
2,1,299.0,0,1.78,4,4,119,18
2,1,299.0,0,1.58,4,4,119,19
2,1,145.0,1,8.37,4,4,119,22
2,1,299.0,0,1.53,4,4,119,6
2,1,299.0,0,1.57,4,4,119,6
2,1,299.0,0,1.6,4,4,119,7
2,1,299.0,0,1.53,4,4,119,7
2,1,299.0,0,1.53,4,4,119,9
2,1,299.0,0,1.53,4,4,119,11
2,1,299.0,0,1.65,4,4,119,12
2,1,299.0,0,1.5,4,4,119,13
2,1,299.0,0,1.53,4,4,119,13
2,1,299.0,0,1.53,4,4,119,16
2,1,299.0,0,1.53,4,4,119,19
2,1,299.0,0,1.53,4,4,119,20
2,1,299.0,0,1.65,6,4,121,12
2,1,299.0,0,1.5,6,4,121,13
2,1,299.0,0,1.53,6,4,121,13
2,1,264.0,2,12.45,6,4,121,8
2,1,289.0,1,16.72,6,4,121,17
2,1,299.0,0,1.53,6,4,121,6
2,1,299.0,0,1.57,6,4,121,6
2,1,299.0,0,1.6,6,4,121,7
2,1,299.0,0,1.53,6,4,121,7
2,1,299.0,0,1.53,6,4,121,9
2,1,299.0,0,1.53,6,4,121,11
2,1,299.0,0,1.53,6,4,121,16
2,1,299.0,0,1.53,6,4,121,17
2,1,299.0,0,1.78,6,4,121,18
2,1,299.0,0,1.53,6,4,121,19
2,1,299.0,0,1.58,6,4,121,19
2,1,299.0,0,1.53,6,4,121,20
2,1,140.0,0,1.78,7,5,122,18
2,1,140.0,0,1.5,7,5,122,19
2,1,150.0,0,1.58,7,5,122,19
2,1,95.0,1,8.37,7,5,122,22
2,1,140.0,0,1.53,7,5,122,6
2,1,140.0,0,1.6,7,5,122,7
2,1,140.0,0,1.53,7,5,122,7
2,1,140.0,0,1.53,7,5,122,9
2,1,140.0,0,1.65,7,5,122,12
2,1,140.0,0,1.53,7,5,122,20
2,1,150.0,0,1.57,7,5,122,6
2,1,150.0,0,1.53,7,5,122,11
2,1,150.0,0,1.5,7,5,122,13
2,1,150.0,0,1.53,7,5,122,13
2,1,150.0,0,1.53,7,5,122,16
2,1,150.0,0,1.53,7,5,122,17
2,1,159.0,0,1.62,7,5,122,19
2,1,160.0,0,1.78,8,5,123,18
2,1,160.0,0,1.53,8,5,123,19
2,1,170.0,0,1.58,8,5,123,19
2,1,160.0,0,1.53,8,5,123,6
2,1,160.0,0,1.6,8,5,123,7
2,1,160.0,0,1.53,8,5,123,8
2,1,160.0,0,1.53,8,5,123,9
2,1,160.0,0,1.65,8,5,123,12
2,1,160.0,0,1.53,8,5,123,20
2,1,170.0,0,1.57,8,5,123,6
2,1,170.0,0,1.5,8,5,123,13
2,1,170.0,0,1.53,8,5,123,16
2,1,170.0,0,1.53,8,5,123,17
2,1,185.0,0,1.53,8,5,123,11
2,1,218.0,0,1.53,8,5,123,13
2,1,160.0,0,1.78,9,5,124,18
2,1,160.0,0,1.53,9,5,124,19
2,1,170.0,0,1.58,9,5,124,19
2,1,124.0,1,14.47,9,5,124,17
2,1,160.0,0,1.53,9,5,124,6
2,1,160.0,0,1.6,9,5,124,7
2,1,160.0,0,1.53,9,5,124,8
2,1,160.0,0,1.65,9,5,124,12
2,1,160.0,0,1.53,9,5,124,20
2,1,170.0,0,1.57,9,5,124,6
2,1,170.0,0,1.53,9,5,124,13
2,1,170.0,0,1.53,9,5,124,17
2,1,180.0,0,1.53,9,5,124,9
2,1,185.0,0,1.53,9,5,124,16
2,1,207.0,0,1.53,9,5,124,11
2,1,249.0,0,1.5,9,5,124,13
2,1,140.0,0,1.65,10,5,125,12
2,1,140.0,0,1.53,10,5,125,19
2,1,150.0,0,1.5,10,5,125,13
2,1,102.0,1,5.97,10,5,125,11
2,1,140.0,0,1.53,10,5,125,6
2,1,140.0,0,1.6,10,5,125,7
2,1,140.0,0,1.53,10,5,125,8
2,1,140.0,0,1.53,10,5,125,9
2,1,140.0,0,1.78,10,5,125,18
2,1,140.0,0,1.53,10,5,125,20
2,1,150.0,0,1.57,10,5,125,6
2,1,150.0,0,1.53,10,5,125,11
2,1,150.0,0,1.53,10,5,125,13
2,1,150.0,0,1.53,10,5,125,16
2,1,150.0,0,1.53,10,5,125,17
2,1,150.0,0,1.58,10,5,125,19
2,1,160.0,0,1.53,11,5,126,6
2,1,160.0,0,1.6,11,5,126,7
2,1,170.0,0,1.57,11,5,126,6
2,1,105.0,1,9.68,11,5,126,22
2,1,202.0,0,1.53,11,5,126,8
2,1,202.0,0,1.53,11,5,126,9
2,1,249.0,0,1.58,11,5,126,19
2,1,251.0,0,1.53,11,5,126,11
2,1,291.0,0,1.78,11,5,126,18
2,1,299.0,0,1.53,11,5,126,13
2,1,299.0,0,1.53,11,5,126,16
2,1,299.0,0,1.53,11,5,126,20
2,1,342.0,0,1.53,11,5,126,17
2,1,363.0,0,1.53,11,5,126,19
2,1,419.0,0,1.5,11,5,126,13
2,1,439.0,0,1.65,11,5,126,12
2,1,160.0,0,1.67,12,5,127,17
2,1,160.0,0,1.53,12,5,127,19
2,1,170.0,0,1.5,12,5,127,13
2,1,95.0,1,8.42,12,5,127,22
2,1,95.0,1,9.68,12,5,127,22
2,1,160.0,0,1.53,12,5,127,6
2,1,160.0,0,1.62,12,5,127,7
2,1,160.0,0,1.53,12,5,127,20
2,1,170.0,0,1.57,12,5,127,6
2,1,170.0,0,1.5,12,5,127,13
2,1,170.0,0,1.53,12,5,127,16
2,1,170.0,0,1.53,12,5,127,17
2,1,170.0,0,1.58,12,5,127,19
2,1,180.0,0,1.62,12,5,127,12
2,1,202.0,0,1.53,12,5,127,8
2,1,218.0,0,1.53,12,5,127,9
2,1,251.0,0,1.53,12,5,127,11
2,1,140.0,0,1.67,13,5,128,17
2,1,140.0,0,1.53,13,5,128,19
2,1,150.0,0,1.55,13,5,128,12
2,1,140.0,0,1.53,13,5,128,6
2,1,140.0,0,1.62,13,5,128,7
2,1,140.0,0,1.53,13,5,128,8
2,1,140.0,0,1.53,13,5,128,9
2,1,140.0,0,1.62,13,5,128,12
2,1,140.0,0,1.53,13,5,128,20
2,1,150.0,0,1.55,13,5,128,6
2,1,150.0,0,1.53,13,5,128,11
2,1,150.0,0,1.53,13,5,128,13
2,1,150.0,0,1.53,13,5,128,16
2,1,150.0,0,1.53,13,5,128,17
2,1,150.0,0,1.62,13,5,128,19
2,1,110.0,0,1.67,14,5,129,17
2,1,110.0,0,1.53,14,5,129,19
2,1,120.0,0,1.62,14,5,129,19
2,1,110.0,0,1.53,14,5,129,6
2,1,110.0,0,1.62,14,5,129,7
2,1,110.0,0,1.53,14,5,129,8
2,1,110.0,0,1.53,14,5,129,9
2,1,110.0,0,1.62,14,5,129,12
2,1,110.0,0,1.53,14,5,129,20
2,1,120.0,0,1.55,14,5,129,6
2,1,120.0,0,1.53,14,5,129,13
2,1,120.0,0,1.53,14,5,129,16
2,1,120.0,0,1.53,14,5,129,17
2,1,130.0,0,1.53,14,5,129,11
2,1,170.0,0,1.55,14,5,129,12
2,1,130.0,0,1.62,15,5,130,7
2,1,130.0,0,1.53,15,5,130,20
2,1,140.0,0,1.62,15,5,130,19
2,1,81.0,1,16.37,15,5,130,14
2,1,81.0,1,9.68,15,5,130,22
2,1,130.0,0,1.53,15,5,130,6
2,1,130.0,0,1.53,15,5,130,8
2,1,130.0,0,1.53,15,5,130,9
2,1,140.0,0,1.55,15,5,130,6
2,1,140.0,0,1.53,15,5,130,16
2,1,156.0,0,1.53,15,5,130,17
2,1,160.0,0,1.53,15,5,130,19
2,1,170.0,0,1.55,15,5,130,12
2,1,185.0,0,1.53,15,5,130,11
2,1,185.0,0,1.53,15,5,130,13
2,1,220.0,0,1.62,15,5,130,12
2,1,220.0,0,1.67,15,5,130,17
2,1,130.0,0,1.67,16,5,131,17
2,1,130.0,0,1.53,16,5,131,19
2,1,140.0,0,1.62,16,5,131,19
2,1,65.0,1,9.68,16,5,131,22
2,1,130.0,0,1.53,16,5,131,6
2,1,130.0,0,1.62,16,5,131,7
2,1,130.0,0,1.53,16,5,131,8
2,1,130.0,0,1.53,16,5,131,9
2,1,130.0,0,1.53,16,5,131,20
2,1,140.0,0,1.55,16,5,131,6
2,1,140.0,0,1.55,16,5,131,12
2,1,140.0,0,1.53,16,5,131,17
2,1,156.0,0,1.53,16,5,131,13
2,1,156.0,0,1.53,16,5,131,16
2,1,175.0,0,1.53,16,5,131,11
2,1,220.0,0,1.62,16,5,131,12
2,1,110.0,0,1.62,17,5,132,7
2,1,110.0,0,1.53,17,5,132,9
2,1,120.0,0,1.55,17,5,132,12
2,1,110.0,0,1.53,17,5,132,6
2,1,110.0,0,1.53,17,5,132,8
2,1,110.0,0,1.53,17,5,132,19
2,1,110.0,0,1.53,17,5,132,20
2,1,120.0,0,1.55,17,5,132,6
2,1,120.0,0,1.53,17,5,132,16
2,1,120.0,0,1.53,17,5,132,17
2,1,130.0,0,1.67,17,5,132,17
2,1,145.0,0,1.62,17,5,132,12
2,1,145.0,0,1.62,17,5,132,19
2,1,154.0,0,1.53,17,5,132,13
2,1,185.0,0,1.53,17,5,132,11
2,1,130.0,0,1.53,18,5,133,6
2,1,169.0,0,1.67,18,5,133,17
2,1,170.0,0,1.62,18,5,133,19
2,1,65.0,1,8.37,18,5,133,22
2,1,140.0,0,1.55,18,5,133,6
2,1,156.0,0,1.53,18,5,133,8
2,1,160.0,0,1.53,18,5,133,9
2,1,169.0,0,1.62,18,5,133,7
2,1,185.0,0,1.53,18,5,133,20
2,1,213.0,0,1.53,18,5,133,11
2,1,213.0,0,1.53,18,5,133,13
2,1,213.0,0,1.53,18,5,133,16
2,1,213.0,0,1.53,18,5,133,17
2,1,213.0,0,1.53,18,5,133,19
2,1,220.0,0,1.62,18,5,133,12
2,1,230.0,0,1.55,18,5,133,12
2,1,130.0,0,1.67,19,5,134,17
2,1,130.0,0,1.53,19,5,134,19
2,1,140.0,0,1.55,19,5,134,12
2,1,55.0,1,8.42,19,5,134,22
2,1,55.0,1,9.68,19,5,134,22
2,1,130.0,0,1.53,19,5,134,6
2,1,130.0,0,1.62,19,5,134,7
2,1,130.0,0,1.53,19,5,134,8
2,1,130.0,0,1.53,19,5,134,9
2,1,130.0,0,1.53,19,5,134,20
2,1,140.0,0,1.55,19,5,134,6
2,1,140.0,0,1.53,19,5,134,17
2,1,140.0,0,1.62,19,5,134,19
2,1,145.0,0,1.62,19,5,134,12
2,1,156.0,0,1.53,19,5,134,16
2,1,160.0,0,1.53,19,5,134,11
2,1,175.0,0,1.53,19,5,134,13
2,1,110.0,0,1.67,20,5,135,17
2,1,110.0,0,1.53,20,5,135,19
2,1,120.0,0,1.62,20,5,135,19
2,1,110.0,0,1.53,20,5,135,6
2,1,110.0,0,1.62,20,5,135,7
2,1,110.0,0,1.53,20,5,135,8
2,1,110.0,0,1.53,20,5,135,9
2,1,110.0,0,1.62,20,5,135,12
2,1,110.0,0,1.53,20,5,135,20
2,1,120.0,0,1.55,20,5,135,6
2,1,120.0,0,1.53,20,5,135,11
2,1,120.0,0,1.55,20,5,135,12
2,1,120.0,0,1.53,20,5,135,13
2,1,120.0,0,1.53,20,5,135,16
2,1,120.0,0,1.53,20,5,135,17
2,1,64.0,0,1.62,21,5,136,19
2,1,90.0,0,1.55,21,5,136,6
2,1,90.0,0,1.53,21,5,136,17
2,1,55.0,1,9.57,21,5,136,22
2,1,90.0,0,1.53,21,5,136,6
2,1,90.0,0,1.62,21,5,136,7
2,1,90.0,0,1.53,21,5,136,8
2,1,90.0,0,1.53,21,5,136,9
2,1,90.0,0,1.53,21,5,136,16
2,1,90.0,0,1.53,21,5,136,20
2,1,105.0,0,1.55,21,5,136,12
2,1,115.0,0,1.62,21,5,136,12
2,1,115.0,0,1.67,21,5,136,17
2,1,125.0,0,1.53,21,5,136,11
2,1,125.0,0,1.53,21,5,136,13
2,1,125.0,0,1.53,21,5,136,19
2,1,139.0,0,1.62,21,5,136,19
2,1,105.0,0,1.62,23,5,138,12
2,1,105.0,0,1.53,23,5,138,17
2,1,105.0,0,1.62,23,5,138,19
2,1,105.0,0,1.53,23,5,138,6
2,1,105.0,0,1.55,23,5,138,6
2,1,105.0,0,1.53,23,5,138,8
2,1,105.0,0,1.55,23,5,138,12
2,1,105.0,0,1.53,23,5,138,19
2,1,105.0,0,1.53,23,5,138,20
2,1,120.0,0,1.62,23,5,138,7
2,1,120.0,0,1.67,23,5,138,17
2,1,125.0,0,1.53,23,5,138,9
2,1,125.0,0,1.53,23,5,138,11
2,1,125.0,0,1.53,23,5,138,13
2,1,154.0,0,1.53,23,5,138,16
2,1,90.0,0,1.53,24,5,139,13
2,1,90.0,0,1.62,24,5,139,19
2,1,115.0,0,1.62,24,5,139,12
2,1,79.0,1,13.13,24,5,139,18
2,1,90.0,0,1.53,24,5,139,6
2,1,90.0,0,1.55,24,5,139,6
2,1,90.0,0,1.53,24,5,139,8
2,1,90.0,0,1.53,24,5,139,9
2,1,90.0,0,1.53,24,5,139,16
2,1,90.0,0,1.53,24,5,139,17
2,1,90.0,0,1.53,24,5,139,19
2,1,90.0,0,1.53,24,5,139,20
2,1,105.0,0,1.55,24,5,139,12
2,1,115.0,0,1.62,24,5,139,7
2,1,115.0,0,1.67,24,5,139,17
2,1,125.0,0,1.53,24,5,139,11
2,1,110.0,0,1.55,25,5,140,6
2,1,110.0,0,1.53,25,5,140,8
2,1,85.0,1,8.8,25,5,140,23
2,1,110.0,0,1.53,25,5,140,6
2,1,120.0,0,1.62,25,5,140,7
2,1,159.0,0,1.53,25,5,140,9
2,1,159.0,0,1.53,25,5,140,19
2,1,169.0,0,1.62,25,5,140,12
2,1,169.0,0,1.67,25,5,140,17
2,1,170.0,0,1.55,25,5,140,12
2,1,177.0,0,1.53,25,5,140,20
2,1,185.0,0,1.53,25,5,140,13
2,1,185.0,0,1.53,25,5,140,16
2,1,185.0,0,1.53,25,5,140,17
2,1,201.0,0,1.53,25,5,140,11
2,1,230.0,0,1.62,25,5,140,19
2,1,105.0,0,1.55,26,5,141,12
2,1,105.0,0,1.53,26,5,141,17
2,1,120.0,0,1.67,26,5,141,17
2,1,55.0,1,9.22,26,5,141,23
2,1,105.0,0,1.53,26,5,141,6
2,1,105.0,0,1.55,26,5,141,6
2,1,105.0,0,1.53,26,5,141,8
2,1,105.0,0,1.53,26,5,141,19
2,1,105.0,0,1.62,26,5,141,19
2,1,105.0,0,1.53,26,5,141,20
2,1,120.0,0,1.62,26,5,141,7
2,1,125.0,0,1.53,26,5,141,9
2,1,125.0,0,1.53,26,5,141,16
2,1,145.0,0,1.62,26,5,141,12
2,1,183.0,0,1.53,26,5,141,13
2,1,213.0,0,1.53,26,5,141,11
2,1,79.0,0,1.62,27,5,142,19
2,1,90.0,0,1.53,27,5,142,13
2,1,90.0,0,1.62,27,5,142,19
2,1,55.0,1,8.18,27,5,142,23
2,1,55.0,1,9.1,27,5,142,23
2,1,90.0,0,1.53,27,5,142,6
2,1,90.0,0,1.55,27,5,142,6
2,1,90.0,0,1.62,27,5,142,7
2,1,90.0,0,1.53,27,5,142,8
2,1,90.0,0,1.53,27,5,142,9
2,1,90.0,0,1.53,27,5,142,16
2,1,90.0,0,1.53,27,5,142,17
2,1,90.0,0,1.53,27,5,142,20
2,1,115.0,0,1.62,27,5,142,12
2,1,115.0,0,1.67,27,5,142,17
2,1,125.0,0,1.53,27,5,142,19
2,1,139.0,0,1.55,27,5,142,12
2,1,154.0,0,1.53,27,5,142,11
2,1,90.0,0,1.55,28,5,143,12
2,1,90.0,0,1.53,28,5,143,17
2,1,55.0,1,7.33,28,5,143,23
2,1,90.0,0,1.53,28,5,143,6
2,1,90.0,0,1.55,28,5,143,6
2,1,90.0,0,1.53,28,5,143,8
2,1,90.0,0,1.53,28,5,143,9
2,1,90.0,0,1.53,28,5,143,16
2,1,105.0,0,1.62,28,5,143,19
2,1,115.0,0,1.62,28,5,143,7
2,1,115.0,0,1.62,28,5,143,12
2,1,115.0,0,1.67,28,5,143,17
2,1,125.0,0,1.53,28,5,143,11
2,1,125.0,0,1.53,28,5,143,13
2,1,125.0,0,1.53,28,5,143,19
2,1,125.0,0,1.53,28,5,143,20
2,1,55.0,1,8.52,29,5,144,22
2,1,110.0,0,1.55,29,5,144,6
2,1,118.0,0,1.62,29,5,144,19
2,1,130.0,0,1.48,29,5,144,9
2,1,130.0,0,1.48,29,5,144,6
2,1,160.0,0,1.48,29,5,144,8
2,1,160.0,0,1.52,29,5,144,20
2,1,169.0,0,1.62,29,5,144,7
2,1,180.0,0,1.48,29,5,144,11
2,1,180.0,0,1.48,29,5,144,13
2,1,180.0,0,1.52,29,5,144,15
2,1,180.0,0,1.52,29,5,144,19
2,1,199.0,0,1.55,29,5,144,12
2,1,199.0,0,1.62,29,5,144,19
2,1,220.0,0,1.62,29,5,144,12
2,1,220.0,0,1.67,29,5,144,17
2,1,242.0,0,1.52,29,5,144,17
2,1,110.0,0,1.55,30,5,145,6
2,1,128.0,0,1.62,30,5,145,19
2,1,130.0,0,1.52,30,5,145,20
2,1,160.0,0,1.52,30,5,145,15
2,1,169.0,0,1.67,30,5,145,17
2,1,179.0,0,1.55,30,5,145,12
2,1,179.0,0,1.62,30,5,145,19
2,1,180.0,0,1.52,30,5,145,17
2,1,183.0,0,1.48,30,5,145,6
2,1,185.0,0,1.48,30,5,145,8
2,1,185.0,0,1.48,30,5,145,11
2,1,185.0,0,1.48,30,5,145,13
2,1,185.0,0,1.52,30,5,145,19
2,1,201.0,0,1.48,30,5,145,10
2,1,220.0,0,1.62,30,5,145,7
2,1,220.0,0,1.62,30,5,145,12
2,1,94.0,0,1.62,31,5,146,18
2,1,105.0,0,1.55,31,5,146,12
2,1,125.0,0,1.48,31,5,146,11
2,1,145.0,0,1.67,31,5,146,17
2,1,110.0,1,7.5,31,5,146,12
2,1,125.0,0,1.48,31,5,146,10
2,1,125.0,0,1.52,31,5,146,20
2,1,139.0,0,1.55,31,5,146,6
2,1,139.0,0,1.62,31,5,146,19
2,1,145.0,0,1.62,31,5,146,7
2,1,154.0,0,1.45,31,5,146,6
2,1,154.0,0,1.48,31,5,146,8
2,1,154.0,0,1.55,31,5,146,15
2,1,175.0,0,1.48,31,5,146,13
2,1,183.0,0,1.52,31,5,146,19
2,1,220.0,0,1.62,31,5,146,12
2,1,109.0,0,1.55,32,5,147,6
2,1,118.0,0,1.62,32,5,147,19
2,1,120.0,0,1.62,32,5,147,7
2,1,110.0,1,7.2,32,5,147,6
2,1,125.0,0,1.45,32,5,147,6
2,1,145.0,0,1.62,32,5,147,12
2,1,156.0,0,1.48,32,5,147,9
2,1,159.0,0,1.52,32,5,147,20
2,1,170.0,0,1.55,32,5,147,12
2,1,170.0,0,1.6,32,5,147,19
2,1,175.0,0,1.48,32,5,147,11
2,1,175.0,0,1.48,32,5,147,13
2,1,175.0,0,1.52,32,5,147,19
2,1,183.0,0,1.48,32,5,147,8
2,1,185.0,0,1.55,32,5,147,16
2,1,220.0,0,1.67,32,5,147,17
2,1,125.0,0,1.48,33,5,148,6
2,1,139.0,0,1.62,33,5,148,19
2,1,169.0,0,1.62,33,5,148,7
2,1,135.0,1,7.33,33,5,148,23
2,1,182.0,0,1.52,33,5,148,20
2,1,185.0,0,1.48,33,5,148,8
2,1,201.0,0,1.48,33,5,148,9
2,1,220.0,0,1.48,33,5,148,11
2,1,220.0,0,1.62,33,5,148,12
2,1,220.0,0,1.48,33,5,148,13
2,1,220.0,0,1.52,33,5,148,15
2,1,220.0,0,1.52,33,5,148,19
2,1,230.0,0,1.55,33,5,148,6
2,1,230.0,0,1.55,33,5,148,12
2,1,230.0,0,1.62,33,5,148,19
2,1,246.0,0,1.52,33,5,148,17
2,1,519.0,0,1.67,33,5,148,17
2,1,105.0,0,1.62,34,5,149,19
2,1,125.0,0,1.52,34,5,149,19
2,1,113.0,1,10.75,34,5,149,20
2,1,125.0,0,1.52,34,5,149,20
2,1,139.0,0,1.55,34,5,149,12
2,1,154.0,0,1.52,34,5,149,15
2,1,170.0,0,1.55,34,5,149,6
2,1,175.0,0,1.48,34,5,149,9
2,1,175.0,0,1.48,34,5,149,13
2,1,175.0,0,1.52,34,5,149,17
2,1,177.0,0,1.48,34,5,149,11
2,1,183.0,0,1.48,34,5,149,6
2,1,185.0,0,1.48,34,5,149,8
2,1,220.0,0,1.62,34,5,149,7
2,1,220.0,0,1.62,34,5,149,12
2,1,220.0,0,1.67,34,5,149,17
2,1,70.0,0,1.52,35,5,150,15
2,1,70.0,0,1.52,35,5,150,17
2,1,80.0,0,1.62,35,5,150,19
2,1,70.0,0,1.52,35,5,150,19
2,1,70.0,0,1.52,35,5,150,20
2,1,76.0,0,1.48,35,5,150,13
2,1,80.0,0,1.55,35,5,150,6
2,1,81.0,0,1.48,35,5,150,6
2,1,81.0,0,1.48,35,5,150,9
2,1,97.0,0,1.62,35,5,150,19
2,1,105.0,0,1.55,35,5,150,12
2,1,115.0,0,1.62,35,5,150,12
2,1,115.0,0,1.67,35,5,150,17
2,1,125.0,0,1.48,35,5,150,8
2,1,125.0,0,1.48,35,5,150,11
2,1,169.0,0,1.62,35,5,150,7
2,1,70.0,0,1.52,36,5,151,20
2,1,79.0,0,1.62,36,5,151,19
2,1,90.0,0,1.67,36,5,151,17
2,1,79.0,0,1.55,36,5,151,6
2,1,79.0,0,1.48,36,5,151,9
2,1,79.0,0,1.52,36,5,151,15
2,1,79.0,0,1.52,36,5,151,19
2,1,82.0,0,1.62,36,5,151,19
2,1,90.0,0,1.62,36,5,151,7
2,1,120.0,0,1.62,36,5,151,12
2,1,125.0,0,1.48,36,5,151,6
2,1,125.0,0,1.48,36,5,151,8
2,1,125.0,0,1.48,36,5,151,11
2,1,125.0,0,1.48,36,5,151,13
2,1,139.0,0,1.55,36,5,151,12
2,1,154.0,0,1.52,36,5,151,17
2,1,77.0,0,1.52,37,5,152,15
2,1,79.0,0,1.55,37,5,152,6
2,1,90.0,0,1.67,37,5,152,17
2,1,75.0,0,1.52,37,5,152,20
2,1,90.0,0,1.62,37,5,152,7
2,1,90.0,0,1.62,37,5,152,12
2,1,94.0,0,1.62,37,5,152,19
2,1,105.0,0,1.55,37,5,152,12
2,1,105.0,0,1.62,37,5,152,19
2,1,125.0,0,1.48,37,5,152,6
2,1,125.0,0,1.48,37,5,152,8
2,1,125.0,0,1.48,37,5,152,10
2,1,154.0,0,1.48,37,5,152,13
2,1,154.0,0,1.52,37,5,152,17
2,1,154.0,0,1.52,37,5,152,19
2,1,172.0,0,1.48,37,5,152,11
2,1,80.0,0,1.55,38,6,153,6
2,1,81.0,0,1.45,38,6,153,6
2,1,125.0,0,1.52,38,6,153,20
2,1,139.0,0,1.55,38,6,153,12
2,1,145.0,0,1.62,38,6,153,12
2,1,145.0,0,1.67,38,6,153,17
