Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
0,0,89.0,0,3.48,2,116,21,116
0,0,186.0,0,3.43,2,116,10,116
0,0,186.0,0,3.5,2,116,13,116
0,0,186.0,0,3.48,2,116,5,116
0,0,186.0,0,3.53,2,116,6,116
0,0,186.0,0,3.5,2,116,7,116
0,0,186.0,0,3.55,2,116,14,116
0,0,186.0,0,3.5,2,116,15,116
0,0,186.0,0,3.5,2,116,16,116
0,0,186.0,0,3.53,2,116,17,116
0,0,186.0,0,3.43,2,116,19,116
0,0,186.0,0,3.43,2,116,20,116
0,0,330.0,0,3.53,2,116,11,116
0,0,449.0,0,3.53,2,116,9,116
0,0,140.0,0,3.48,3,117,21,117
0,0,241.0,0,3.43,3,117,10,117
0,0,241.0,0,3.53,3,117,11,117
0,0,241.0,0,3.48,3,117,5,117
0,0,241.0,0,3.53,3,117,6,117
0,0,241.0,0,3.5,3,117,7,117
0,0,241.0,0,3.5,3,117,13,117
0,0,241.0,0,3.55,3,117,14,117
0,0,241.0,0,3.5,3,117,15,117
0,0,241.0,0,3.5,3,117,16,117
0,0,241.0,0,3.53,3,117,17,117
0,0,241.0,0,3.43,3,117,19,117
0,0,241.0,0,3.43,3,117,20,117
0,0,449.0,0,3.53,3,117,9,117
0,0,89.0,0,3.48,4,118,21,118
0,0,136.0,0,3.48,4,118,5,118
0,0,136.0,0,3.53,4,118,6,118
0,0,136.0,0,3.5,4,118,7,118
0,0,136.0,0,3.53,4,118,11,118
0,0,136.0,0,3.53,4,118,13,118
0,0,136.0,0,3.5,4,118,15,118
0,0,136.0,0,3.5,4,118,16,118
0,0,136.0,0,3.53,4,118,17,118
0,0,136.0,0,3.43,4,118,19,118
0,0,136.0,0,3.43,4,118,20,118
0,0,186.0,0,3.43,4,118,10,118
0,0,346.0,0,3.47,4,118,14,118
0,0,130.0,0,3.48,5,119,21,119
0,0,241.0,0,3.43,5,119,10,119
0,0,241.0,0,3.5,5,119,16,119
0,0,241.0,0,3.48,5,119,5,119
0,0,241.0,0,3.53,5,119,6,119
0,0,241.0,0,3.5,5,119,7,119
0,0,241.0,0,3.53,5,119,17,119
0,0,241.0,0,3.43,5,119,20,119
0,0,262.0,0,3.53,5,119,9,119
0,0,316.0,0,3.55,5,119,14,119
0,0,339.0,0,3.5,5,119,15,119
0,0,339.0,0,3.43,5,119,19,119
0,0,449.0,0,3.53,5,119,11,119
0,0,449.0,0,3.5,5,119,13,119
0,0,186.0,0,3.5,6,120,7,120
0,0,186.0,0,3.43,6,120,10,120
0,0,186.0,0,3.48,6,120,5,120
0,0,186.0,0,3.53,6,120,6,120
0,0,186.0,0,3.5,6,120,13,120
0,0,186.0,0,3.55,6,120,14,120
0,0,186.0,0,3.5,6,120,15,120
0,0,186.0,0,3.5,6,120,16,120
0,0,186.0,0,3.53,6,120,17,120
0,0,186.0,0,3.43,6,120,19,120
0,0,186.0,0,3.43,6,120,20,120
0,0,214.0,0,3.53,6,120,9,120
0,0,214.0,0,3.53,6,120,11,120
0,0,89.0,0,3.48,7,121,21,121
0,0,110.0,0,3.5,7,121,13,121
0,0,115.0,0,3.43,7,121,10,121
0,0,88.0,1,9.95,7,121,6,121
0,0,89.0,1,6.95,7,121,17,121
0,0,110.0,0,3.53,7,121,6,121
0,0,110.0,0,3.5,7,121,7,121
0,0,110.0,0,3.5,7,121,15,121
0,0,110.0,0,3.5,7,121,16,121
0,0,110.0,0,3.53,7,121,17,121
0,0,110.0,0,3.43,7,121,19,121
0,0,110.0,0,3.43,7,121,20,121
0,0,115.0,0,3.48,7,121,5,121
0,0,174.0,0,3.53,7,121,9,121
0,0,174.0,0,3.53,7,121,11,121
0,0,110.0,0,3.5,8,122,16,122
0,0,115.0,0,3.55,8,122,14,122
0,0,110.0,0,3.53,8,122,6,122
0,0,110.0,0,3.5,8,122,7,122
0,0,110.0,0,3.53,8,122,17,122
0,0,110.0,0,3.42,8,122,19,122
0,0,110.0,0,3.43,8,122,20,122
0,0,115.0,0,3.48,8,122,5,122
0,0,174.0,0,3.5,8,122,15,122
0,0,189.0,0,3.53,8,122,9,122
0,0,189.0,0,3.53,8,122,11,122
0,0,209.0,0,3.43,8,122,10,122
0,0,257.0,0,3.5,8,122,13,122
0,0,160.0,0,3.5,9,123,7,123
0,0,160.0,0,3.55,9,123,14,123
0,0,160.0,0,3.48,9,123,5,123
0,0,160.0,0,3.53,9,123,6,123
0,0,160.0,0,3.43,9,123,19,123
0,0,160.0,0,3.43,9,123,20,123
0,0,180.0,0,3.5,9,123,16,123
0,0,180.0,0,3.53,9,123,17,123
0,0,201.0,0,3.5,9,123,15,123
0,0,220.0,0,3.53,9,123,11,123
0,0,220.0,0,3.5,9,123,13,123
0,0,289.0,0,3.43,9,123,10,123
0,0,308.0,0,3.53,9,123,9,123
0,0,160.0,0,3.43,10,124,10,124
0,0,160.0,0,3.55,10,124,14,124
0,0,180.0,0,3.5,10,124,15,124
0,0,160.0,0,3.48,10,124,5,124
0,0,160.0,0,3.53,10,124,6,124
0,0,160.0,0,3.5,10,124,7,124
0,0,160.0,0,3.43,10,124,19,124
0,0,160.0,0,3.43,10,124,20,124
0,0,180.0,0,3.53,10,124,17,124
0,0,201.0,0,3.5,10,124,13,124
0,0,201.0,0,3.5,10,124,16,124
0,0,222.0,0,3.53,10,124,11,124
0,0,335.0,0,3.53,10,124,9,124
0,0,110.0,0,3.5,11,125,15,125
0,0,115.0,0,3.43,11,125,10,125
0,0,110.0,0,3.53,11,125,6,125
0,0,110.0,0,3.5,11,125,7,125
0,0,110.0,0,3.5,11,125,16,125
0,0,110.0,0,3.53,11,125,17,125
0,0,110.0,0,3.43,11,125,19,125
0,0,110.0,0,3.43,11,125,20,125
0,0,115.0,0,3.48,11,125,5,125
0,0,115.0,0,3.47,11,125,14,125
0,0,125.0,0,3.53,11,125,11,125
0,0,178.0,0,3.53,11,125,9,125
0,0,189.0,0,3.53,11,125,13,125
0,0,180.0,0,3.5,12,126,16,126
0,0,215.0,0,3.5,12,126,14,126
0,0,160.0,0,3.48,12,126,5,126
0,0,160.0,0,3.53,12,126,6,126
0,0,160.0,0,3.5,12,126,7,126
0,0,160.0,0,3.43,12,126,19,126
0,0,160.0,0,3.43,12,126,20,126
0,0,201.0,0,3.53,12,126,17,126
0,0,205.0,0,3.5,12,126,15,126
0,0,222.0,0,3.53,12,126,11,126
