Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
1,0,125.0,0,3.3,1,116,14,116
1,0,184.0,0,3.1,1,116,16,116
1,0,186.0,0,3.13,1,116,8,116
1,0,165.0,1,7.93,1,116,14,116
1,0,186.0,0,3.12,1,116,7,116
1,0,186.0,0,3.12,1,116,16,116
1,0,186.0,0,3.13,1,116,19,116
1,0,186.0,0,3.12,1,116,20,116
1,0,221.0,0,3.13,1,116,14,116
1,0,292.0,0,3.15,1,116,5,116
1,0,292.0,0,3.15,1,116,7,116
0,0,369.0,0,3.02,1,116,6,116
1,0,369.0,0,3.07,1,116,8,116
1,0,369.0,0,3.13,1,116,9,116
0,0,369.0,0,3.02,1,116,11,116
0,0,459.0,0,3.07,1,116,13,116
1,0,509.0,0,3.13,1,116,11,116
1,0,559.0,0,3.13,1,116,16,116
0,0,559.0,0,3.07,1,116,18,116
1,0,849.0,0,3.12,1,116,13,116
1,0,849.0,0,3.17,1,116,18,116
1,0,163.0,0,3.28,2,117,22,117
1,0,292.0,0,3.13,2,117,8,117
0,0,292.0,0,3.02,2,117,11,117
1,0,169.0,1,6.02,2,117,14,117
1,0,205.0,1,8.98,2,117,15,117
1,0,224.0,0,3.2,2,117,19,117
1,0,292.0,0,3.15,2,117,5,117
0,0,292.0,0,3.02,2,117,6,117
1,0,292.0,0,3.15,2,117,7,117
1,0,292.0,0,3.12,2,117,7,117
1,0,292.0,0,3.13,2,117,9,117
1,0,292.0,0,3.12,2,117,12,117
0,0,292.0,0,3.07,2,117,13,117
1,0,292.0,0,3.12,2,117,13,117
1,0,292.0,0,3.13,2,117,14,117
1,0,292.0,0,3.12,2,117,16,117
1,0,292.0,0,3.13,2,117,19,117
1,0,292.0,0,3.12,2,117,20,117
1,0,369.0,0,3.07,2,117,8,117
1,0,369.0,0,3.13,2,117,11,117
1,0,369.0,0,3.13,2,117,16,117
0,0,369.0,0,3.07,2,117,18,117
1,0,459.0,0,3.17,2,117,18,117
1,0,89.0,0,3.35,3,118,9,118
1,0,89.0,0,3.28,3,118,16,118
1,0,114.0,0,3.18,3,118,15,118
1,0,136.0,0,3.13,3,118,8,118
1,0,71.0,1,7.92,3,118,15,118
1,0,88.0,1,5.62,3,118,6,118
1,0,136.0,0,3.12,3,118,7,118
1,0,136.0,0,3.12,3,118,16,118
1,0,136.0,0,3.13,3,118,19,118
1,0,136.0,0,3.12,3,118,20,118
1,0,273.0,0,3.15,3,118,5,118
0,0,273.0,0,3.02,3,118,6,118
1,0,273.0,0,3.15,3,118,7,118
1,0,273.0,0,3.07,3,118,8,118
1,0,273.0,0,3.13,3,118,10,118
0,0,273.0,0,3.02,3,118,11,118
1,0,273.0,0,3.28,3,118,12,118
1,0,273.0,0,3.12,3,118,13,118
0,0,273.0,0,3.07,3,118,15,118
1,0,273.0,0,3.13,3,118,16,118
1,0,273.0,0,3.17,3,118,18,118
1,0,292.0,0,3.07,4,119,8,119
1,0,292.0,0,3.13,4,119,8,119
1,0,145.0,1,17.97,4,119,14,119
1,0,231.0,0,3.3,4,119,14,119
1,0,275.0,1,8.15,4,119,12,119
1,0,292.0,0,3.15,4,119,5,119
0,0,292.0,0,3.02,4,119,6,119
1,0,292.0,0,3.15,4,119,7,119
1,0,292.0,0,3.12,4,119,7,119
1,0,292.0,0,3.13,4,119,14,119
1,0,292.0,0,3.12,4,119,16,119
1,0,292.0,0,3.17,4,119,18,119
1,0,292.0,0,3.13,4,119,19,119
1,0,292.0,0,3.12,4,119,20,119
1,0,310.0,0,3.18,4,119,14,119
1,0,369.0,0,3.13,4,119,9,119
0,0,369.0,0,3.02,4,119,11,119
1,0,369.0,0,3.13,4,119,16,119
0,0,369.0,0,3.07,4,119,18,119
1,0,459.0,0,3.13,4,119,11,119
1,0,459.0,0,3.12,4,119,12,119
0,0,459.0,0,3.07,4,119,13,119
1,0,459.0,0,3.12,4,119,13,119
1,0,115.0,0,3.35,5,120,9,120
1,0,115.0,0,3.3,5,120,14,120
1,0,186.0,0,3.12,5,120,16,120
1,0,186.0,0,3.13,5,120,19,120
1,0,186.0,0,3.12,5,120,20,120
1,0,221.0,0,3.12,5,120,12,120
1,0,221.0,0,3.13,5,120,14,120
1,0,292.0,0,3.15,5,120,5,120
1,0,292.0,0,3.15,5,120,7,120
1,0,292.0,0,3.07,5,120,7,120
1,0,292.0,0,3.07,5,120,8,120
1,0,292.0,0,3.13,5,120,8,120
1,0,292.0,0,3.13,5,120,9,120
0,0,292.0,0,3.02,5,120,11,120
1,0,292.0,0,3.13,5,120,11,120
0,0,292.0,0,3.07,5,120,13,120
1,0,292.0,0,3.12,5,120,13,120
1,0,292.0,0,3.13,5,120,16,120
1,0,292.0,0,3.17,5,120,18,120
0,0,292.0,0,3.07,5,120,18,120
0,0,369.0,0,3.02,5,120,6,120
1,0,89.0,0,3.33,6,121,8,121
1,0,136.0,0,3.13,6,121,8,121
1,0,136.0,0,3.12,6,121,7,121
1,0,136.0,0,3.13,6,121,14,121
1,0,136.0,0,3.12,6,121,16,121
1,0,136.0,0,3.13,6,121,19,121
1,0,136.0,0,3.12,6,121,20,121
1,0,221.0,0,3.12,6,121,12,121
1,0,273.0,0,3.15,6,121,5,121
0,0,273.0,0,3.02,6,121,6,121
1,0,273.0,0,3.15,6,121,7,121
1,0,273.0,0,3.07,6,121,8,121
1,0,273.0,0,3.13,6,121,9,121
0,0,273.0,0,3.02,6,121,11,121
1,0,273.0,0,3.13,6,121,11,121
0,0,273.0,0,3.07,6,121,13,121
1,0,273.0,0,3.12,6,121,13,121
1,0,273.0,0,3.17,6,121,18,121
0,0,273.0,0,3.07,6,121,18,121
1,0,439.0,0,3.13,6,121,16,121
1,0,83.0,0,3.35,7,122,9,122
1,0,90.0,0,3.12,7,122,16,122
1,0,83.0,0,3.3,7,122,15,122
1,0,90.0,0,3.12,7,122,7,122
1,0,90.0,0,3.13,7,122,14,122
1,0,90.0,0,3.13,7,122,19,122
1,0,90.0,0,3.12,7,122,20,122
1,0,210.0,0,3.12,7,122,12,122
1,0,223.0,0,3.15,7,122,5,122
0,0,223.0,0,3.02,7,122,6,122
1,0,223.0,0,3.15,7,122,7,122
1,0,223.0,0,3.07,7,122,8,122
1,0,223.0,0,3.13,7,122,11,122
1,0,223.0,0,3.12,7,122,13,122
0,0,260.0,0,3.02,7,122,11,122
0,0,260.0,0,3.07,7,122,13,122
1,0,319.0,0,3.13,7,122,9,122
1,0,319.0,0,3.13,7,122,16,122
0,0,369.0,0,3.07,7,122,18,122
1,0,559.0,0,3.17,7,122,18,122
1,0,79.0,0,3.33,8,123,8,123
1,0,140.0,0,3.12,8,123,7,123
1,0,117.0,1,13.23,8,123,5,123
1,0,144.0,0,3.1,8,123,16,123
1,0,185.0,0,3.12,8,123,20,123
1,0,223.0,0,3.15,8,123,5,123
1,0,223.0,0,3.15,8,123,7,123
1,0,223.0,0,3.07,8,123,8,123
0,0,260.0,0,3.05,8,123,6,123
1,0,260.0,0,3.12,8,123,12,123
1,0,260.0,0,3.13,8,123,14,123
0,0,319.0,0,3.05,8,123,11,123
1,0,340.0,0,3.13,8,123,8,123
1,0,340.0,0,3.13,8,123,19,123
0,0,369.0,0,3.03,8,123,13,123
1,0,369.0,0,3.12,8,123,13,123
1,0,429.0,0,3.13,8,123,11,123
1,0,499.0,0,3.13,8,123,9,123
0,0,499.0,0,3.1,8,123,18,123
1,0,559.0,0,3.13,8,123,16,123
1,0,559.0,0,3.17,8,123,18,123
1,0,95.0,1,8.58,9,124,8,124
0,0,223.0,0,3.05,9,124,6,124
1,0,223.0,0,3.13,9,124,8,124
1,0,95.0,1,8.8,9,124,6,124
1,0,95.0,1,8.2,9,124,7,124
1,0,129.0,1,6.13,9,124,14,124
1,0,133.0,0,3.28,9,124,22,124
1,0,139.0,1,14.23,9,124,21,124
1,0,184.0,0,3.2,9,124,19,124
1,0,223.0,0,3.15,9,124,5,124
1,0,223.0,0,3.12,9,124,7,124
1,0,223.0,0,3.12,9,124,12,124
1,0,223.0,0,3.13,9,124,14,124
1,0,223.0,0,3.12,9,124,16,124
0,0,223.0,0,3.1,9,124,18,124
1,0,223.0,0,3.13,9,124,19,124
1,0,223.0,0,3.12,9,124,20,124
1,0,258.0,0,3.15,9,124,7,124
1,0,258.0,0,3.07,9,124,8,124
1,0,260.0,0,3.13,9,124,9,124
1,0,260.0,0,3.13,9,124,11,124
0,0,260.0,0,3.03,9,124,13,124
1,0,319.0,0,3.17,9,124,18,124
0,0,369.0,0,3.05,9,124,11,124
1,0,369.0,0,3.12,9,124,13,124
1,0,369.0,0,3.13,9,124,16,124
1,0,29.0,0,3.28,10,125,16,125
1,0,51.0,1,5.62,10,125,6,125
1,0,64.0,0,3.35,10,125,9,125
1,0,83.0,0,3.18,10,125,15,125
1,0,90.0,0,3.12,10,125,7,125
1,0,47.0,1,7.92,10,125,15,125
1,0,89.0,1,6.75,10,125,10,125
1,0,90.0,0,3.13,10,125,19,125
1,0,90.0,0,3.12,10,125,20,125
1,0,210.0,0,3.28,10,125,12,125
1,0,223.0,0,3.15,10,125,5,125
0,0,223.0,0,3.05,10,125,6,125
1,0,223.0,0,3.15,10,125,7,125
1,0,223.0,0,3.07,10,125,8,125
1,0,223.0,0,3.13,10,125,10,125
0,0,223.0,0,3.05,10,125,11,125
1,0,223.0,0,3.12,10,125,13,125
0,0,223.0,0,3.07,10,125,15,125
1,0,223.0,0,3.13,10,125,16,125
1,0,223.0,0,3.17,10,125,18,125
1,0,144.0,0,3.18,11,126,14,126
1,0,149.0,0,3.33,11,126,8,126
1,0,260.0,0,3.13,11,126,8,126
0,0,260.0,0,3.05,11,126,11,126
1,0,101.0,1,13.02,11,126,5,126
1,0,101.0,1,20.95,11,126,8,126
1,0,101.0,1,20.6,11,126,13,126
1,0,101.0,1,27.2,11,126,18,126
1,0,260.0,0,3.15,11,126,5,126
0,0,260.0,0,3.05,11,126,6,126
1,0,260.0,0,3.15,11,126,7,126
1,0,260.0,0,3.15,11,126,7,126
1,0,260.0,0,3.07,11,126,8,126
1,0,260.0,0,3.13,11,126,9,126
1,0,260.0,0,3.12,11,126,12,126
0,0,260.0,0,3.03,11,126,13,126
1,0,260.0,0,3.13,11,126,14,126
1,0,260.0,0,3.13,11,126,16,126
1,0,260.0,0,3.12,11,126,16,126
1,0,260.0,0,3.17,11,126,18,126
0,0,260.0,0,3.1,11,126,18,126
1,0,260.0,0,3.13,11,126,19,126
1,0,260.0,0,3.12,11,126,20,126
1,0,319.0,0,3.12,11,126,13,126
1,0,369.0,0,3.13,11,126,11,126
1,0,69.0,0,3.3,12,127,14,127
1,0,97.0,0,3.35,12,127,9,127
1,0,140.0,0,3.1,12,127,20,127
1,0,89.0,1,7.03,12,127,7,127
