Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
4.0,3,125.0,0,3.3,1,4,116,14
4.0,3,184.0,0,3.1,1,4,116,16
4.0,3,186.0,0,3.13,1,4,116,8
4.0,3,165.0,1,7.93,1,4,116,14
4.0,3,186.0,0,3.12,1,4,116,7
4.0,3,186.0,0,3.12,1,4,116,16
4.0,3,186.0,0,3.13,1,4,116,19
4.0,3,186.0,0,3.12,1,4,116,20
4.0,3,221.0,0,3.13,1,4,116,14
4.0,3,292.0,0,3.15,1,4,116,5
4.0,3,292.0,0,3.15,1,4,116,7
4.0,3,369.0,0,3.07,1,4,116,8
4.0,3,369.0,0,3.13,1,4,116,9
4.0,3,509.0,0,3.13,1,4,116,11
4.0,3,559.0,0,3.13,1,4,116,16
4.0,3,849.0,0,3.12,1,4,116,13
4.0,3,849.0,0,3.17,1,4,116,18
4.0,3,163.0,0,3.28,2,4,117,22
4.0,3,292.0,0,3.13,2,4,117,8
4.0,3,169.0,1,6.02,2,4,117,14
4.0,3,205.0,1,8.98,2,4,117,15
4.0,3,224.0,0,3.2,2,4,117,19
4.0,3,292.0,0,3.15,2,4,117,5
4.0,3,292.0,0,3.15,2,4,117,7
4.0,3,292.0,0,3.12,2,4,117,7
4.0,3,292.0,0,3.13,2,4,117,9
4.0,3,292.0,0,3.12,2,4,117,12
4.0,3,292.0,0,3.12,2,4,117,13
4.0,3,292.0,0,3.13,2,4,117,14
4.0,3,292.0,0,3.12,2,4,117,16
4.0,3,292.0,0,3.13,2,4,117,19
4.0,3,292.0,0,3.12,2,4,117,20
4.0,3,369.0,0,3.07,2,4,117,8
4.0,3,369.0,0,3.13,2,4,117,11
4.0,3,369.0,0,3.13,2,4,117,16
4.0,3,459.0,0,3.17,2,4,117,18
4.0,3,89.0,0,3.35,3,4,118,9
4.0,3,89.0,0,3.28,3,4,118,16
4.0,3,114.0,0,3.18,3,4,118,15
4.0,3,136.0,0,3.13,3,4,118,8
4.0,3,71.0,1,7.92,3,4,118,15
4.0,3,88.0,1,5.62,3,4,118,6
4.0,3,136.0,0,3.12,3,4,118,7
4.0,3,136.0,0,3.12,3,4,118,16
4.0,3,136.0,0,3.13,3,4,118,19
4.0,3,136.0,0,3.12,3,4,118,20
4.0,3,273.0,0,3.15,3,4,118,5
4.0,3,273.0,0,3.15,3,4,118,7
4.0,3,273.0,0,3.07,3,4,118,8
4.0,3,273.0,0,3.13,3,4,118,10
4.0,3,273.0,0,3.28,3,4,118,12
4.0,3,273.0,0,3.12,3,4,118,13
4.0,3,273.0,0,3.13,3,4,118,16
4.0,3,273.0,0,3.17,3,4,118,18
4.0,3,292.0,0,3.07,4,4,119,8
4.0,3,292.0,0,3.13,4,4,119,8
4.0,3,145.0,1,17.97,4,4,119,14
4.0,3,231.0,0,3.3,4,4,119,14
4.0,3,275.0,1,8.15,4,4,119,12
4.0,3,292.0,0,3.15,4,4,119,5
4.0,3,292.0,0,3.15,4,4,119,7
4.0,3,292.0,0,3.12,4,4,119,7
4.0,3,292.0,0,3.13,4,4,119,14
4.0,3,292.0,0,3.12,4,4,119,16
4.0,3,292.0,0,3.17,4,4,119,18
4.0,3,292.0,0,3.13,4,4,119,19
4.0,3,292.0,0,3.12,4,4,119,20
4.0,3,310.0,0,3.18,4,4,119,14
4.0,3,369.0,0,3.13,4,4,119,9
4.0,3,369.0,0,3.13,4,4,119,16
4.0,3,459.0,0,3.13,4,4,119,11
4.0,3,459.0,0,3.12,4,4,119,12
4.0,3,459.0,0,3.12,4,4,119,13
4.0,3,115.0,0,3.35,5,4,120,9
4.0,3,115.0,0,3.3,5,4,120,14
4.0,3,186.0,0,3.12,5,4,120,16
4.0,3,186.0,0,3.13,5,4,120,19
4.0,3,186.0,0,3.12,5,4,120,20
4.0,3,221.0,0,3.12,5,4,120,12
4.0,3,221.0,0,3.13,5,4,120,14
4.0,3,292.0,0,3.15,5,4,120,5
4.0,3,292.0,0,3.15,5,4,120,7
4.0,3,292.0,0,3.07,5,4,120,7
4.0,3,292.0,0,3.07,5,4,120,8
4.0,3,292.0,0,3.13,5,4,120,8
4.0,3,292.0,0,3.13,5,4,120,9
4.0,3,292.0,0,3.13,5,4,120,11
4.0,3,292.0,0,3.12,5,4,120,13
4.0,3,292.0,0,3.13,5,4,120,16
4.0,3,292.0,0,3.17,5,4,120,18
4.0,3,89.0,0,3.33,6,4,121,8
4.0,3,136.0,0,3.13,6,4,121,8
4.0,3,136.0,0,3.12,6,4,121,7
4.0,3,136.0,0,3.13,6,4,121,14
4.0,3,136.0,0,3.12,6,4,121,16
4.0,3,136.0,0,3.13,6,4,121,19
4.0,3,136.0,0,3.12,6,4,121,20
4.0,3,221.0,0,3.12,6,4,121,12
4.0,3,273.0,0,3.15,6,4,121,5
4.0,3,273.0,0,3.15,6,4,121,7
4.0,3,273.0,0,3.07,6,4,121,8
4.0,3,273.0,0,3.13,6,4,121,9
4.0,3,273.0,0,3.13,6,4,121,11
4.0,3,273.0,0,3.12,6,4,121,13
4.0,3,273.0,0,3.17,6,4,121,18
4.0,3,439.0,0,3.13,6,4,121,16
4.0,3,83.0,0,3.35,7,5,122,9
