Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
1,0,89.0,0,1.23,1,116,5,116
1,0,89.0,0,1.32,1,116,9,116
1,0,89.0,0,1.3,1,116,22,116
1,0,186.0,0,1.08,1,116,12,116
1,0,176.0,0,1.3,1,116,14,116
1,0,186.0,0,1.18,1,116,7,116
1,0,186.0,0,1.17,1,116,8,116
1,0,186.0,0,1.13,1,116,10,116
1,0,186.0,0,1.08,1,116,14,116
1,0,186.0,0,1.13,1,116,16,116
1,0,186.0,0,1.12,1,116,19,116
1,0,186.0,0,1.1,1,116,21,116
1,0,186.0,0,1.08,1,116,22,116
1,0,289.0,0,1.28,1,116,5,116
1,0,289.0,0,1.17,1,116,13,116
1,0,379.0,0,1.22,1,116,9,116
1,0,379.0,0,1.22,1,116,11,116
0,0,463.0,1,9.28,1,116,14,116
1,0,469.0,0,1.22,1,116,16,116
1,0,289.0,0,1.08,2,117,12,117
1,0,289.0,0,1.17,2,117,13,117
1,0,169.0,1,8.42,2,117,6,117
1,0,169.0,1,6.38,2,117,18,117
1,0,188.0,0,1.23,2,117,5,117
1,0,188.0,0,1.32,2,117,9,117
1,0,188.0,0,1.22,2,117,23,117
1,0,243.0,1,13.5,2,117,19,117
1,0,289.0,0,1.28,2,117,5,117
1,0,289.0,0,1.18,2,117,7,117
1,0,289.0,0,1.17,2,117,8,117
1,0,289.0,0,1.22,2,117,9,117
1,0,289.0,0,1.13,2,117,10,117
1,0,289.0,0,1.22,2,117,11,117
1,0,289.0,0,1.08,2,117,14,117
1,0,289.0,0,1.13,2,117,16,117
1,0,289.0,0,1.12,2,117,19,117
1,0,289.0,0,1.28,2,117,20,117
1,0,289.0,0,1.1,2,117,21,117
1,0,289.0,0,1.08,2,117,22,117
1,0,379.0,0,1.22,2,117,16,117
1,0,105.0,0,1.32,3,118,9,118
1,0,136.0,0,1.08,3,118,12,118
1,0,136.0,0,1.08,3,118,14,118
1,0,89.0,0,1.3,3,118,22,118
1,0,105.0,0,1.23,3,118,5,118
1,0,128.0,0,1.32,3,118,15,118
1,0,136.0,0,1.18,3,118,7,118
1,0,136.0,0,1.17,3,118,8,118
1,0,136.0,0,1.13,3,118,10,118
1,0,136.0,0,1.13,3,118,16,118
1,0,136.0,0,1.12,3,118,19,118
1,0,136.0,0,1.08,3,118,22,118
1,0,289.0,0,1.28,3,118,5,118
1,0,289.0,0,1.22,3,118,9,118
1,0,289.0,0,1.17,3,118,13,118
1,0,289.0,0,1.22,3,118,16,118
1,0,289.0,0,1.22,4,119,9,119
1,0,289.0,0,1.08,4,119,14,119
1,0,139.0,1,5.47,4,119,18,119
1,0,178.0,0,1.22,4,119,6,119
1,0,178.0,0,1.43,4,119,8,119
1,0,178.0,0,1.3,4,119,22,119
1,0,289.0,0,1.28,4,119,5,119
1,0,289.0,0,1.18,4,119,7,119
1,0,289.0,0,1.17,4,119,8,119
1,0,289.0,0,1.13,4,119,10,119
1,0,289.0,0,1.08,4,119,12,119
1,0,289.0,0,1.13,4,119,16,119
1,0,289.0,0,1.12,4,119,19,119
1,0,289.0,0,1.1,4,119,21,119
1,0,289.0,0,1.08,4,119,22,119
1,0,379.0,0,1.22,4,119,11,119
1,0,689.0,0,1.17,4,119,13,119
1,0,763.0,0,1.22,4,119,16,119
1,0,89.0,0,1.43,5,120,19,120
1,0,108.0,0,1.22,5,120,17,120
1,0,186.0,0,1.08,5,120,12,120
1,0,156.0,0,1.32,5,120,9,120
1,0,176.0,0,1.23,5,120,5,120
1,0,186.0,0,1.18,5,120,7,120
1,0,186.0,0,1.13,5,120,10,120
1,0,186.0,0,1.08,5,120,14,120
1,0,186.0,0,1.13,5,120,16,120
1,0,186.0,0,1.12,5,120,19,120
1,0,186.0,0,1.1,5,120,21,120
1,0,186.0,0,1.08,5,120,22,120
1,0,218.0,1,6.5,5,120,10,120
1,0,289.0,0,1.28,5,120,5,120
1,0,289.0,0,1.17,5,120,8,120
1,0,289.0,0,1.22,5,120,11,120
1,0,289.0,0,1.17,5,120,13,120
1,0,289.0,0,1.22,5,120,16,120
1,0,289.0,0,1.28,5,120,20,120
1,0,312.0,0,1.22,5,120,9,120
1,0,89.0,0,1.32,6,121,9,121
1,0,136.0,0,1.08,6,121,12,121
1,0,89.0,0,1.23,6,121,5,121
1,0,89.0,0,1.3,6,121,22,121
1,0,136.0,0,1.18,6,121,7,121
1,0,136.0,0,1.17,6,121,8,121
1,0,136.0,0,1.13,6,121,10,121
1,0,136.0,0,1.08,6,121,14,121
1,0,136.0,0,1.13,6,121,16,121
1,0,136.0,0,1.08,6,121,22,121
1,0,186.0,0,1.12,6,121,19,121
1,0,289.0,0,1.28,6,121,5,121
1,0,289.0,0,1.22,6,121,9,121
1,0,289.0,0,1.22,6,121,11,121
1,0,289.0,0,1.17,6,121,13,121
1,0,289.0,0,1.22,6,121,16,121
1,0,53.0,0,1.23,7,122,5,122
1,0,53.0,0,1.32,7,122,9,122
1,0,53.0,0,1.3,7,122,22,122
1,0,136.0,0,1.08,7,122,12,122
1,0,136.0,0,1.18,7,122,7,122
1,0,136.0,0,1.17,7,122,8,122
1,0,136.0,0,1.08,7,122,22,122
1,0,186.0,0,1.13,7,122,10,122
1,0,186.0,0,1.08,7,122,14,122
1,0,289.0,0,1.28,7,122,5,122
1,0,289.0,0,1.22,7,122,9,122
1,0,289.0,0,1.22,7,122,11,122
1,0,289.0,0,1.17,7,122,13,122
1,0,289.0,0,1.12,7,122,19,122
1,0,289.0,0,1.28,7,122,20,122
1,0,379.0,0,1.22,7,122,16,122
1,0,49.0,0,1.32,8,123,9,123
1,0,49.0,0,1.3,8,123,14,123
1,0,140.0,0,1.08,8,123,14,123
1,0,49.0,0,1.23,8,123,5,123
1,0,49.0,0,1.3,8,123,22,123
1,0,140.0,0,1.18,8,123,7,123
1,0,140.0,0,1.17,8,123,8,123
1,0,140.0,0,1.1,8,123,21,123
1,0,140.0,0,1.08,8,123,22,123
1,0,150.0,0,1.28,8,123,5,123
1,0,150.0,0,1.13,8,123,10,123
1,0,150.0,0,1.28,8,123,20,123
1,0,157.0,0,1.22,8,123,9,123
1,0,157.0,0,1.22,8,123,11,123
1,0,179.0,0,1.08,8,123,12,123
1,0,179.0,0,1.13,8,123,16,123
1,0,179.0,0,1.12,8,123,19,123
1,0,254.0,0,1.17,8,123,13,123
1,0,379.0,0,1.22,8,123,16,123
1,0,59.0,0,1.23,9,124,5,124
1,0,59.0,0,1.22,9,124,23,124
1,0,82.0,0,1.32,9,124,15,124
1,0,150.0,0,1.08,9,124,12,124
1,0,82.0,0,1.32,9,124,9,124
1,0,150.0,0,1.28,9,124,5,124
1,0,150.0,0,1.18,9,124,7,124
1,0,150.0,0,1.08,9,124,14,124
1,0,150.0,0,1.12,9,124,19,124
1,0,150.0,0,1.28,9,124,20,124
1,0,150.0,0,1.1,9,124,21,124
1,0,150.0,0,1.08,9,124,22,124
1,0,179.0,0,1.17,9,124,8,124
1,0,179.0,0,1.13,9,124,10,124
1,0,179.0,0,1.13,9,124,16,124
1,0,216.0,0,1.22,9,124,9,124
1,0,223.0,0,1.22,9,124,11,124
1,0,249.0,0,1.17,9,124,13,124
1,0,442.0,0,1.22,9,124,16,124
1,0,29.0,0,1.3,10,125,22,125
1,0,33.0,0,1.32,10,125,15,125
1,0,90.0,0,1.08,10,125,14,125
1,0,90.0,0,1.18,10,125,7,125
1,0,90.0,0,1.17,10,125,8,125
1,0,90.0,0,1.13,10,125,16,125
1,0,90.0,0,1.12,10,125,19,125
1,0,90.0,0,1.08,10,125,22,125
1,0,97.0,0,1.23,10,125,5,125
1,0,108.0,0,1.32,10,125,9,125
1,0,130.0,0,1.28,10,125,5,125
1,0,130.0,0,1.22,10,125,9,125
1,0,130.0,0,1.13,10,125,10,125
1,0,130.0,0,1.22,10,125,11,125
1,0,130.0,0,1.08,10,125,12,125
1,0,130.0,0,1.17,10,125,13,125
1,0,130.0,0,1.22,10,125,16,125
1,0,59.0,0,1.22,11,126,6,126
1,0,150.0,0,1.13,11,126,16,126
1,0,150.0,0,1.28,11,126,20,126
1,0,118.0,0,1.3,11,126,14,126
1,0,128.0,0,1.3,11,126,22,126
1,0,150.0,0,1.28,11,126,5,126
1,0,150.0,0,1.18,11,126,7,126
1,0,150.0,0,1.17,11,126,8,126
1,0,150.0,0,1.08,11,126,12,126
1,0,150.0,0,1.1,11,126,21,126
1,0,179.0,0,1.13,11,126,10,126
1,0,179.0,0,1.08,11,126,14,126
1,0,184.0,0,1.22,11,126,9,126
1,0,184.0,0,1.22,11,126,11,126
1,0,184.0,0,1.17,11,126,13,126
1,0,201.0,0,1.22,11,126,16,126
0,0,218.0,1,6.8,11,126,6,126
1,0,229.0,0,1.12,11,126,19,126
1,0,229.0,0,1.08,11,126,22,126
1,0,49.0,0,1.43,12,127,19,127
1,0,140.0,0,1.1,12,127,14,127
1,0,82.0,0,1.22,12,127,17,127
1,0,108.0,0,1.32,12,127,9,127
1,0,140.0,0,1.17,12,127,7,127
1,0,140.0,0,1.05,12,127,21,127
1,0,140.0,0,1.08,12,127,22,127
1,0,150.0,0,1.28,12,127,5,127
1,0,150.0,0,1.3,12,127,8,127
1,0,150.0,0,1.22,12,127,9,127
1,0,150.0,0,1.22,12,127,11,127
1,0,150.0,0,1.17,12,127,13,127
1,0,150.0,0,1.22,12,127,16,127
1,0,150.0,0,1.13,12,127,19,127
1,0,150.0,0,1.28,12,127,20,127
1,0,179.0,0,1.03,12,127,12,127
1,0,179.0,0,1.12,12,127,16,127
1,0,223.0,0,1.4,12,127,10,127
0,0,289.0,1,6.8,12,127,6,127
1,0,29.0,0,1.23,13,128,5,128
1,0,29.0,0,1.32,13,128,9,128
1,0,29.0,0,1.3,13,128,22,128
1,0,90.0,0,1.03,13,128,12,128
1,0,90.0,0,1.17,13,128,7,128
1,0,90.0,0,1.12,13,128,16,128
1,0,90.0,0,1.05,13,128,21,128
1,0,90.0,0,1.08,13,128,22,128
1,0,130.0,0,1.28,13,128,5,128
1,0,130.0,0,1.3,13,128,8,128
1,0,130.0,0,1.4,13,128,10,128
1,0,130.0,0,1.22,13,128,11,128
1,0,130.0,0,1.17,13,128,13,128
1,0,130.0,0,1.1,13,128,14,128
1,0,130.0,0,1.13,13,128,19,128
1,0,163.0,0,1.22,13,128,9,128
1,0,184.0,0,1.22,13,128,16,128
1,0,22.0,0,1.23,14,129,5,129
1,0,22.0,0,1.3,14,129,22,129
1,0,37.0,0,1.32,14,129,9,129
1,0,44.0,0,1.32,14,129,15,129
1,0,90.0,0,1.08,14,129,22,129
1,0,90.0,0,1.17,14,129,7,129
1,0,130.0,0,1.05,14,129,21,129
1,0,149.0,0,1.4,14,129,10,129
1,0,165.0,0,1.28,14,129,20,129
1,0,179.0,0,1.3,14,129,8,129
1,0,179.0,0,1.1,14,129,14,129
1,0,179.0,0,1.12,14,129,16,129
1,0,179.0,0,1.13,14,129,19,129
1,0,181.0,0,1.22,14,129,11,129
0,0,184.0,1,6.68,14,129,6,129
1,0,219.0,0,1.28,14,129,5,129
1,0,223.0,0,1.03,14,129,12,129
1,0,223.0,0,1.17,14,129,13,129
1,0,243.0,0,1.22,14,129,9,129
1,0,379.0,0,1.22,14,129,16,129
1,0,39.0,0,1.32,15,130,9,130
1,0,42.0,0,1.3,15,130,14,130
1,0,127.0,0,1.12,15,130,16,130
1,0,68.0,0,1.3,15,130,22,130
1,0,120.0,0,1.17,15,130,7,130
1,0,120.0,0,1.05,15,130,21,130
1,0,120.0,0,1.08,15,130,22,130
1,0,136.0,1,28.92,15,130,12,130
1,0,149.0,0,1.3,15,130,8,130
1,0,149.0,0,1.13,15,130,19,130
1,0,158.0,0,1.28,15,130,5,130
1,0,179.0,0,1.03,15,130,12,130
1,0,179.0,0,1.1,15,130,14,130
1,0,181.0,0,1.22,15,130,11,130
1,0,214.0,0,1.22,15,130,9,130
1,0,219.0,0,1.28,15,130,20,130
1,0,289.0,0,1.4,15,130,10,130
1,0,294.0,0,1.17,15,130,13,130
1,0,442.0,0,1.22,15,130,16,130
1,0,39.0,0,1.23,16,131,5,131
1,0,39.0,0,1.22,16,131,23,131
1,0,42.0,0,1.32,16,131,9,131
1,0,59.0,0,1.32,16,131,15,131
1,0,149.0,0,1.03,16,131,12,131
1,0,120.0,0,1.17,16,131,7,131
1,0,120.0,0,1.28,16,131,20,131
1,0,120.0,0,1.05,16,131,21,131
1,0,120.0,0,1.08,16,131,22,131
1,0,127.0,0,1.3,16,131,8,131
1,0,149.0,0,1.1,16,131,14,131
1,0,149.0,0,1.12,16,131,16,131
1,0,149.0,0,1.13,16,131,19,131
1,0,158.0,0,1.28,16,131,5,131
1,0,179.0,0,1.4,16,131,10,131
1,0,205.0,0,1.22,16,131,11,131
1,0,248.0,0,1.22,16,131,9,131
1,0,272.0,0,1.17,16,131,13,131
1,0,379.0,0,1.22,16,131,16,131
1,0,40.0,0,1.23,17,132,5,132
1,0,51.0,0,1.32,17,132,15,132
1,0,90.0,0,1.03,17,132,12,132
1,0,100.0,0,1.17,17,132,13,132
1,0,48.0,0,1.32,17,132,9,132
1,0,90.0,0,1.17,17,132,7,132
1,0,90.0,0,1.3,17,132,8,132
1,0,90.0,0,1.4,17,132,10,132
1,0,90.0,0,1.1,17,132,14,132
1,0,90.0,0,1.12,17,132,16,132
1,0,90.0,0,1.13,17,132,19,132
1,0,90.0,0,1.05,17,132,21,132
1,0,90.0,0,1.08,17,132,22,132
1,0,100.0,0,1.28,17,132,5,132
1,0,100.0,0,1.22,17,132,9,132
1,0,100.0,0,1.22,17,132,11,132
1,0,157.0,0,1.22,17,132,16,132
1,0,120.0,0,1.28,18,133,5,133
1,0,149.0,0,1.12,18,133,16,133
1,0,82.0,0,1.22,18,133,6,133
1,0,82.0,0,1.43,18,133,8,133
1,0,82.0,0,1.3,18,133,22,133
1,0,120.0,0,1.17,18,133,7,133
1,0,120.0,0,1.3,18,133,8,133
1,0,120.0,0,1.05,18,133,21,133
1,0,120.0,0,1.08,18,133,22,133
1,0,135.0,0,1.4,18,133,10,133
1,0,149.0,0,1.1,18,133,12,133
1,0,158.0,0,1.22,18,133,9,133
1,0,158.0,0,1.28,18,133,20,133
1,0,179.0,0,1.1,18,133,14,133
1,0,193.0,0,1.17,18,133,13,133
1,0,209.0,0,1.22,18,133,11,133
0,0,218.0,1,6.9,18,133,8,133
1,0,229.0,0,1.13,18,133,19,133
1,0,276.0,0,1.22,18,133,16,133
1,0,19.0,0,1.23,19,134,5,134
1,0,39.0,0,1.32,19,134,9,134
1,0,42.0,0,1.22,19,134,17,134
1,0,127.0,0,1.17,19,134,7,134
1,0,42.0,0,1.43,19,134,19,134
1,0,120.0,0,1.28,19,134,5,134
1,0,120.0,0,1.28,19,134,20,134
1,0,120.0,0,1.05,19,134,21,134
1,0,120.0,0,1.08,19,134,22,134
1,0,149.0,0,1.1,19,134,14,134
1,0,149.0,0,1.13,19,134,19,134
1,0,149.0,0,1.22,19,134,11,134
1,0,149.0,0,1.17,19,134,13,134
1,0,153.0,0,1.22,19,134,16,134
1,0,179.0,0,1.3,19,134,8,134
1,0,179.0,0,1.12,19,134,16,134
1,0,184.0,0,1.22,19,134,9,134
1,0,223.0,0,1.4,19,134,10,134
1,0,289.0,0,1.03,19,134,12,134
0,0,338.0,1,6.82,19,134,15,134
1,0,19.0,0,1.23,20,135,5,135
1,0,19.0,0,1.3,20,135,22,135
1,0,29.0,0,1.32,20,135,9,135
1,0,29.0,0,1.3,20,135,14,135
1,0,90.0,0,1.1,20,135,14,135
1,0,90.0,0,1.17,20,135,7,135
1,0,90.0,0,1.13,20,135,19,135
1,0,90.0,0,1.05,20,135,21,135
1,0,90.0,0,1.08,20,135,22,135
1,0,100.0,0,1.28,20,135,5,135
1,0,100.0,0,1.3,20,135,8,135
1,0,100.0,0,1.03,20,135,12,135
1,0,100.0,0,1.12,20,135,16,135
1,0,119.0,0,1.22,20,135,9,135
1,0,119.0,0,1.17,20,135,13,135
0,0,119.0,1,6.82,20,135,15,135
1,0,125.0,0,1.4,20,135,10,135
1,0,162.0,0,1.22,20,135,11,135
1,0,219.0,0,1.22,20,135,16,135
1,0,19.0,0,1.23,21,136,5,136
1,0,19.0,0,1.3,21,136,22,136
1,0,29.0,0,1.32,21,136,9,136
1,0,44.0,0,1.32,21,136,15,136
1,0,100.0,0,1.03,21,136,12,136
1,0,90.0,0,1.17,21,136,7,136
1,0,90.0,0,1.05,21,136,21,136
1,0,90.0,0,1.08,21,136,22,136
1,0,100.0,0,1.3,21,136,8,136
1,0,100.0,0,1.1,21,136,14,136
1,0,100.0,0,1.12,21,136,16,136
0,0,119.0,1,6.9,21,136,8,136
1,0,119.0,1,4.73,21,136,14,136
1,0,125.0,0,1.13,21,136,19,136
1,0,160.0,0,1.22,21,136,11,136
1,0,160.0,0,1.28,21,136,20,136
1,0,184.0,0,1.22,21,136,9,136
1,0,195.0,0,1.17,21,136,13,136
1,0,199.0,0,1.28,21,136,5,136
1,0,267.0,0,1.22,21,136,16,136
1,0,289.0,0,1.4,21,136,10,136
1,0,19.0,0,1.25,22,137,23,137
1,0,39.0,0,1.32,22,137,11,137
1,0,95.0,0,1.28,22,137,20,137
1,0,95.0,0,1.05,22,137,21,137
1,0,39.0,0,1.32,22,137,9,137
1,0,39.0,0,1.5,22,137,21,137
1,0,95.0,0,1.17,22,137,7,137
1,0,95.0,0,1.08,22,137,22,137
1,0,127.0,0,1.3,22,137,8,137
1,0,127.0,0,1.12,22,137,16,137
1,0,127.0,0,1.13,22,137,19,137
1,0,135.0,0,1.28,22,137,5,137
