Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
4.0,2,5.0,89.0,0,1.23,1,4,116,5
4.0,2,5.0,89.0,0,1.32,1,4,116,9
4.0,2,5.0,89.0,0,1.3,1,4,116,22
4.0,2,0.0,186.0,0,1.08,1,4,116,12
4.0,2,5.0,176.0,0,1.3,1,4,116,14
4.0,2,0.0,186.0,0,1.18,1,4,116,7
4.0,2,0.0,186.0,0,1.17,1,4,116,8
4.0,2,0.0,186.0,0,1.13,1,4,116,10
4.0,2,0.0,186.0,0,1.08,1,4,116,14
4.0,2,0.0,186.0,0,1.13,1,4,116,16
4.0,2,0.0,186.0,0,1.12,1,4,116,19
4.0,2,0.0,186.0,0,1.1,1,4,116,21
4.0,2,0.0,186.0,0,1.08,1,4,116,22
4.0,2,6.0,289.0,0,1.28,1,4,116,5
4.0,2,6.0,289.0,0,1.17,1,4,116,13
4.0,2,6.0,379.0,0,1.22,1,4,116,9
4.0,2,6.0,379.0,0,1.22,1,4,116,11
4.0,2,6.0,469.0,0,1.22,1,4,116,16
4.0,2,0.0,289.0,0,1.08,2,4,117,12
4.0,2,6.0,289.0,0,1.17,2,4,117,13
4.0,2,5.0,169.0,1,8.42,2,4,117,6
4.0,2,5.0,169.0,1,6.38,2,4,117,18
4.0,2,5.0,188.0,0,1.23,2,4,117,5
4.0,2,5.0,188.0,0,1.32,2,4,117,9
4.0,2,5.0,188.0,0,1.22,2,4,117,23
4.0,2,7.0,243.0,1,13.5,2,4,117,19
4.0,2,6.0,289.0,0,1.28,2,4,117,5
4.0,2,0.0,289.0,0,1.18,2,4,117,7
4.0,2,0.0,289.0,0,1.17,2,4,117,8
4.0,2,6.0,289.0,0,1.22,2,4,117,9
4.0,2,0.0,289.0,0,1.13,2,4,117,10
4.0,2,6.0,289.0,0,1.22,2,4,117,11
4.0,2,0.0,289.0,0,1.08,2,4,117,14
4.0,2,0.0,289.0,0,1.13,2,4,117,16
4.0,2,0.0,289.0,0,1.12,2,4,117,19
4.0,2,6.0,289.0,0,1.28,2,4,117,20
4.0,2,0.0,289.0,0,1.1,2,4,117,21
4.0,2,0.0,289.0,0,1.08,2,4,117,22
4.0,2,6.0,379.0,0,1.22,2,4,117,16
4.0,2,5.0,105.0,0,1.32,3,4,118,9
4.0,2,0.0,136.0,0,1.08,3,4,118,12
4.0,2,0.0,136.0,0,1.08,3,4,118,14
4.0,2,5.0,89.0,0,1.3,3,4,118,22
4.0,2,5.0,105.0,0,1.23,3,4,118,5
4.0,2,5.0,128.0,0,1.32,3,4,118,15
4.0,2,0.0,136.0,0,1.18,3,4,118,7
4.0,2,0.0,136.0,0,1.17,3,4,118,8
4.0,2,0.0,136.0,0,1.13,3,4,118,10
4.0,2,0.0,136.0,0,1.13,3,4,118,16
4.0,2,0.0,136.0,0,1.12,3,4,118,19
4.0,2,0.0,136.0,0,1.08,3,4,118,22
4.0,2,6.0,289.0,0,1.28,3,4,118,5
4.0,2,6.0,289.0,0,1.22,3,4,118,9
4.0,2,6.0,289.0,0,1.17,3,4,118,13
4.0,2,6.0,289.0,0,1.22,3,4,118,16
4.0,2,6.0,289.0,0,1.22,4,4,119,9
4.0,2,0.0,289.0,0,1.08,4,4,119,14
4.0,2,5.0,139.0,1,5.47,4,4,119,18
4.0,2,5.0,178.0,0,1.22,4,4,119,6
4.0,2,5.0,178.0,0,1.43,4,4,119,8
4.0,2,5.0,178.0,0,1.3,4,4,119,22
4.0,2,6.0,289.0,0,1.28,4,4,119,5
4.0,2,0.0,289.0,0,1.18,4,4,119,7
4.0,2,0.0,289.0,0,1.17,4,4,119,8
4.0,2,0.0,289.0,0,1.13,4,4,119,10
4.0,2,0.0,289.0,0,1.08,4,4,119,12
4.0,2,0.0,289.0,0,1.13,4,4,119,16
4.0,2,0.0,289.0,0,1.12,4,4,119,19
4.0,2,0.0,289.0,0,1.1,4,4,119,21
4.0,2,0.0,289.0,0,1.08,4,4,119,22
4.0,2,6.0,379.0,0,1.22,4,4,119,11
4.0,2,6.0,689.0,0,1.17,4,4,119,13
4.0,2,6.0,763.0,0,1.22,4,4,119,16
4.0,2,5.0,89.0,0,1.43,5,4,120,19
4.0,2,5.0,108.0,0,1.22,5,4,120,17
4.0,2,0.0,186.0,0,1.08,5,4,120,12
4.0,2,5.0,156.0,0,1.32,5,4,120,9
4.0,2,5.0,176.0,0,1.23,5,4,120,5
4.0,2,0.0,186.0,0,1.18,5,4,120,7
4.0,2,0.0,186.0,0,1.13,5,4,120,10
4.0,2,0.0,186.0,0,1.08,5,4,120,14
4.0,2,0.0,186.0,0,1.13,5,4,120,16
4.0,2,0.0,186.0,0,1.12,5,4,120,19
4.0,2,0.0,186.0,0,1.1,5,4,120,21
4.0,2,0.0,186.0,0,1.08,5,4,120,22
4.0,2,7.0,218.0,1,6.5,5,4,120,10
4.0,2,6.0,289.0,0,1.28,5,4,120,5
4.0,2,0.0,289.0,0,1.17,5,4,120,8
4.0,2,6.0,289.0,0,1.22,5,4,120,11
4.0,2,6.0,289.0,0,1.17,5,4,120,13
4.0,2,6.0,289.0,0,1.22,5,4,120,16
4.0,2,6.0,289.0,0,1.28,5,4,120,20
4.0,2,6.0,312.0,0,1.22,5,4,120,9
4.0,2,5.0,89.0,0,1.32,6,4,121,9
4.0,2,0.0,136.0,0,1.08,6,4,121,12
4.0,2,5.0,89.0,0,1.23,6,4,121,5
4.0,2,5.0,89.0,0,1.3,6,4,121,22
4.0,2,0.0,136.0,0,1.18,6,4,121,7
4.0,2,0.0,136.0,0,1.17,6,4,121,8
4.0,2,0.0,136.0,0,1.13,6,4,121,10
4.0,2,0.0,136.0,0,1.08,6,4,121,14
4.0,2,0.0,136.0,0,1.13,6,4,121,16
4.0,2,0.0,136.0,0,1.08,6,4,121,22
4.0,2,0.0,186.0,0,1.12,6,4,121,19
4.0,2,6.0,289.0,0,1.28,6,4,121,5
4.0,2,6.0,289.0,0,1.22,6,4,121,9
4.0,2,6.0,289.0,0,1.22,6,4,121,11
4.0,2,6.0,289.0,0,1.17,6,4,121,13
4.0,2,6.0,289.0,0,1.22,6,4,121,16
4.0,2,5.0,53.0,0,1.23,7,5,122,5
4.0,2,5.0,53.0,0,1.32,7,5,122,9
4.0,2,5.0,53.0,0,1.3,7,5,122,22
4.0,2,0.0,136.0,0,1.08,7,5,122,12
4.0,2,0.0,136.0,0,1.18,7,5,122,7
4.0,2,0.0,136.0,0,1.17,7,5,122,8
4.0,2,0.0,136.0,0,1.08,7,5,122,22
4.0,2,0.0,186.0,0,1.13,7,5,122,10
4.0,2,0.0,186.0,0,1.08,7,5,122,14
4.0,2,6.0,289.0,0,1.28,7,5,122,5
4.0,2,6.0,289.0,0,1.22,7,5,122,9
4.0,2,6.0,289.0,0,1.22,7,5,122,11
4.0,2,6.0,289.0,0,1.17,7,5,122,13
