Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
4.0,0,0,240,0,4.65,1,4,116,8
4.0,0,0,248,1,6.68,1,4,116,15
4.0,0,2,319,0,4.53,1,4,116,7
4.0,0,2,319,0,4.72,1,4,116,12
4.0,0,0,319,0,4.67,1,4,116,16
4.0,0,4,546,1,15.48,1,4,116,7
4.0,0,4,683,1,12.2,1,4,116,17
4.0,0,2,319,0,4.53,2,4,117,7
4.0,0,0,319,0,4.65,2,4,117,8
4.0,0,2,319,0,4.72,2,4,117,12
4.0,0,0,319,0,4.67,2,4,117,12
4.0,0,0,319,0,4.67,2,4,117,16
4.0,0,0,328,1,7.25,2,4,117,13
4.0,0,7,343,1,14.98,2,4,117,19
4.0,0,0,210,0,4.67,3,4,118,16
4.0,0,2,319,0,4.53,3,4,118,7
4.0,0,0,219,1,6.75,3,4,118,7
4.0,0,0,319,0,4.65,3,4,118,8
4.0,0,2,319,0,4.72,3,4,118,12
4.0,0,0,319,0,4.68,3,4,118,12
4.0,0,4,454,1,15.48,3,4,118,7
4.0,0,0,319,0,4.67,4,4,119,16
4.0,0,2,328,1,6.47,4,4,119,5
4.0,0,0,328,1,6.9,4,4,119,7
4.0,0,2,399,0,4.72,4,4,119,12
4.0,0,0,327,1,8.43,4,4,119,7
4.0,0,2,399,0,4.53,4,4,119,7
4.0,0,0,399,0,4.65,4,4,119,8
4.0,0,0,489,0,4.67,4,4,119,12
4.0,0,0,240,0,4.65,5,4,120,8
4.0,0,0,240,0,4.67,5,4,120,12
4.0,0,0,240,0,4.67,5,4,120,16
4.0,0,2,319,0,4.53,5,4,120,7
4.0,0,2,319,0,4.72,5,4,120,12
4.0,0,0,347,1,15.28,5,4,120,19
4.0,0,4,454,1,15.48,5,4,120,7
4.0,0,0,210,0,4.67,6,4,121,16
4.0,0,0,219,1,6.42,6,4,121,8
4.0,0,2,299,0,4.53,6,4,121,7
4.0,0,0,218,1,7.0,6,4,121,8
4.0,0,0,219,1,6.75,6,4,121,7
4.0,0,2,299,0,4.72,6,4,121,12
4.0,0,0,319,0,4.67,6,4,121,12
4.0,0,0,479,0,4.65,6,4,121,8
4.0,0,0,219,1,6.42,7,5,122,8
4.0,0,2,299,0,4.72,7,5,122,12
4.0,0,0,299,0,4.67,7,5,122,12
4.0,0,0,219,1,6.75,7,5,122,7
4.0,0,0,219,1,6.98,7,5,122,13
4.0,0,0,219,1,6.72,7,5,122,14
4.0,0,2,299,0,4.53,7,5,122,7
4.0,0,0,299,0,4.67,7,5,122,16
4.0,0,0,319,0,4.65,7,5,122,8
4.0,0,0,160,0,4.65,8,5,123,8
4.0,0,0,169,1,6.72,8,5,123,14
4.0,0,2,241,0,4.55,8,5,123,7
4.0,0,0,169,1,7.25,8,5,123,13
4.0,0,0,200,0,4.67,8,5,123,16
4.0,0,2,241,0,4.75,8,5,123,12
4.0,0,0,259,0,4.67,8,5,123,12
4.0,0,0,328,1,6.98,8,5,123,13
4.0,0,0,160,0,4.67,9,5,124,16
4.0,0,0,200,0,4.65,9,5,124,8
4.0,0,2,319,0,4.55,9,5,124,7
4.0,0,0,169,1,7.7,9,5,124,7
4.0,0,2,319,0,4.75,9,5,124,12
4.0,0,0,319,0,4.67,9,5,124,12
4.0,0,4,370,1,12.2,9,5,124,17
4.0,0,0,160,0,4.65,10,5,125,8
4.0,0,0,160,0,4.67,10,5,125,16
4.0,0,2,241,0,4.55,10,5,125,7
4.0,0,2,241,0,4.75,10,5,125,12
4.0,0,0,259,0,4.68,10,5,125,12
4.0,0,0,169,1,6.42,11,5,126,8
4.0,0,0,200,0,4.65,11,5,126,8
4.0,0,2,319,0,4.75,11,5,126,12
4.0,0,0,168,1,6.68,11,5,126,15
4.0,0,0,169,1,8.38,11,5,126,5
4.0,0,0,259,0,4.67,11,5,126,12
4.0,0,2,319,0,4.55,11,5,126,7
4.0,0,0,319,0,4.67,11,5,126,16
4.0,0,7,334,1,17.23,11,5,126,17
4.0,0,0,160,0,4.73,12,5,127,16
4.0,0,2,241,0,4.55,12,5,127,7
4.0,0,0,169,1,7.35,12,5,127,7
4.0,0,0,200,0,5.05,12,5,127,8
4.0,0,2,241,0,4.75,12,5,127,12
4.0,0,0,160,0,5.05,13,5,128,8
4.0,0,0,160,0,4.73,13,5,128,16
4.0,0,2,241,0,4.77,13,5,128,7
4.0,0,0,168,1,6.5,13,5,128,13
4.0,0,0,169,1,7.47,13,5,128,10
