Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
1,0,203.0,0,1.43,1,116,15,116
1,0,254.0,0,1.45,1,116,10,116
1,0,254.0,0,1.53,1,116,12,116
1,0,254.0,0,1.38,1,116,14,116
1,0,254.0,0,1.35,1,116,15,116
1,0,165.0,1,13.03,1,116,18,116
1,0,193.0,1,6.43,1,116,6,116
1,0,203.0,0,1.43,1,116,18,116
1,0,243.0,0,1.4,1,116,11,116
1,0,254.0,0,1.37,1,116,6,116
1,0,254.0,0,1.42,1,116,7,116
1,0,254.0,0,1.37,1,116,9,116
1,0,254.0,0,1.42,1,116,16,116
1,0,254.0,0,1.38,1,116,18,116
1,0,254.0,0,1.38,1,116,20,116
1,0,254.0,0,1.22,1,116,20,116
1,0,254.0,0,1.38,1,116,21,116
1,0,254.0,0,1.37,1,116,22,116
1,0,409.0,0,1.48,1,116,6,116
0,0,409.0,0,1.45,1,116,7,116
1,0,409.0,0,1.47,1,116,8,116
0,0,409.0,0,1.43,1,116,16,116
1,0,409.0,0,1.6,1,116,19,116
1,0,99.0,0,1.3,68,183,20,183
1,0,130.0,0,1.27,68,183,15,183
1,0,169.0,0,1.3,68,183,6,183
1,0,130.0,0,1.23,68,183,6,183
1,0,130.0,0,1.4,68,183,7,183
1,0,130.0,0,1.43,68,183,8,183
1,0,130.0,0,1.27,68,183,16,183
1,0,130.0,0,1.25,68,183,17,183
1,0,130.0,0,1.28,68,183,19,183
1,0,130.0,0,1.23,68,183,22,183
1,0,133.0,0,1.3,68,183,17,183
1,0,158.0,0,1.28,68,183,11,183
1,0,158.0,0,1.3,68,183,19,183
1,0,189.0,0,1.25,68,183,9,183
1,0,189.0,0,1.35,68,183,10,183
1,0,189.0,0,1.33,68,183,13,183
1,0,189.0,0,1.28,68,183,18,183
1,0,189.0,0,1.23,68,183,20,183
1,0,209.0,0,1.23,68,183,21,183
0,0,266.0,1,7.05,68,183,14,183
1,0,309.0,0,1.33,68,183,16,183
1,0,88.0,0,1.3,69,184,20,184
1,0,119.0,0,1.28,69,184,18,184
1,0,169.0,0,1.33,69,184,16,184
1,0,119.0,0,1.4,69,184,7,184
1,0,119.0,0,1.23,69,184,22,184
1,0,128.0,1,3.5,69,184,10,184
1,0,128.0,1,3.75,69,184,11,184
1,0,154.0,1,3.38,69,184,18,184
