Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
4.0,1,3.0,203.0,0,1.43,1,4,116,15
4.0,1,0.0,254.0,0,1.45,1,4,116,10
4.0,1,0.0,254.0,0,1.53,1,4,116,12
4.0,1,0.0,254.0,0,1.38,1,4,116,14
4.0,1,0.0,254.0,0,1.35,1,4,116,15
4.0,1,5.0,165.0,1,13.03,1,4,116,18
4.0,1,3.0,193.0,1,6.43,1,4,116,6
4.0,1,3.0,203.0,0,1.43,1,4,116,18
4.0,1,3.0,243.0,0,1.4,1,4,116,11
4.0,1,0.0,254.0,0,1.37,1,4,116,6
4.0,1,0.0,254.0,0,1.42,1,4,116,7
4.0,1,0.0,254.0,0,1.37,1,4,116,9
4.0,1,0.0,254.0,0,1.42,1,4,116,16
4.0,1,0.0,254.0,0,1.38,1,4,116,18
4.0,1,0.0,254.0,0,1.38,1,4,116,20
4.0,1,0.0,254.0,0,1.22,1,4,116,20
4.0,1,0.0,254.0,0,1.38,1,4,116,21
4.0,1,0.0,254.0,0,1.37,1,4,116,22
4.0,1,2.0,409.0,0,1.48,1,4,116,6
4.0,1,0.0,409.0,0,1.47,1,4,116,8
4.0,1,2.0,409.0,0,1.6,1,4,116,19
4.0,1,5.0,99.0,0,1.3,68,7,183,20
4.0,1,0.0,130.0,0,1.27,68,7,183,15
4.0,1,2.0,169.0,0,1.3,68,7,183,6
4.0,1,0.0,130.0,0,1.23,68,7,183,6
4.0,1,0.0,130.0,0,1.4,68,7,183,7
4.0,1,0.0,130.0,0,1.43,68,7,183,8
4.0,1,0.0,130.0,0,1.27,68,7,183,16
4.0,1,0.0,130.0,0,1.25,68,7,183,17
4.0,1,0.0,130.0,0,1.28,68,7,183,19
4.0,1,0.0,130.0,0,1.23,68,7,183,22
4.0,1,3.0,133.0,0,1.3,68,7,183,17
4.0,1,3.0,158.0,0,1.28,68,7,183,11
4.0,1,3.0,158.0,0,1.3,68,7,183,19
4.0,1,0.0,189.0,0,1.25,68,7,183,9
4.0,1,0.0,189.0,0,1.35,68,7,183,10
4.0,1,0.0,189.0,0,1.33,68,7,183,13
4.0,1,0.0,189.0,0,1.28,68,7,183,18
4.0,1,0.0,189.0,0,1.23,68,7,183,20
4.0,1,0.0,209.0,0,1.23,68,7,183,21
4.0,1,2.0,309.0,0,1.33,68,7,183,16
4.0,1,5.0,88.0,0,1.3,69,7,184,20
4.0,1,0.0,119.0,0,1.28,69,7,184,18
4.0,1,2.0,169.0,0,1.33,69,7,184,16
4.0,1,0.0,119.0,0,1.4,69,7,184,7
4.0,1,0.0,119.0,0,1.23,69,7,184,22
4.0,1,0.0,128.0,1,3.5,69,7,184,10
4.0,1,0.0,128.0,1,3.75,69,7,184,11
4.0,1,3.0,154.0,1,3.38,69,7,184,18
4.0,1,3.0,158.0,0,1.27,69,7,184,5
4.0,1,3.0,158.0,0,1.28,69,7,184,11
4.0,1,3.0,158.0,0,1.3,69,7,184,14
4.0,1,0.0,159.0,0,1.23,69,7,184,6
4.0,1,0.0,159.0,0,1.43,69,7,184,8
4.0,1,0.0,159.0,0,1.25,69,7,184,9
4.0,1,0.0,159.0,0,1.35,69,7,184,10
4.0,1,0.0,159.0,0,1.33,69,7,184,13
4.0,1,0.0,159.0,0,1.27,69,7,184,15
4.0,1,0.0,159.0,0,1.27,69,7,184,16
4.0,1,0.0,159.0,0,1.25,69,7,184,17
4.0,1,0.0,159.0,0,1.23,69,7,184,21
4.0,1,0.0,189.0,0,1.23,69,7,184,20
4.0,1,0.0,209.0,0,1.28,69,7,184,19
4.0,1,2.0,219.0,0,1.3,69,7,184,6
4.0,1,5.0,132.0,0,1.3,70,7,185,20
4.0,1,3.0,133.0,0,1.28,70,7,185,11
4.0,1,2.0,169.0,0,1.3,70,7,185,6
4.0,1,0.0,209.0,0,1.33,70,7,185,13
4.0,1,3.0,103.0,0,1.3,70,7,185,22
4.0,1,3.0,133.0,0,1.28,70,7,185,7
4.0,1,0.0,135.0,1,8.08,70,7,185,8
4.0,1,0.0,189.0,0,1.23,70,7,185,6
4.0,1,0.0,209.0,0,1.4,70,7,185,7
4.0,1,0.0,209.0,0,1.25,70,7,185,17
4.0,1,0.0,209.0,0,1.23,70,7,185,22
4.0,1,0.0,259.0,0,1.43,70,7,185,8
4.0,1,0.0,259.0,0,1.35,70,7,185,10
4.0,1,0.0,259.0,0,1.27,70,7,185,15
4.0,1,0.0,259.0,0,1.28,70,7,185,18
4.0,1,0.0,259.0,0,1.28,70,7,185,19
4.0,1,0.0,259.0,0,1.23,70,7,185,21
4.0,1,0.0,319.0,0,1.25,70,7,185,9
4.0,1,0.0,319.0,0,1.27,70,7,185,16
4.0,1,0.0,319.0,0,1.23,70,7,185,20
4.0,1,2.0,369.0,0,1.33,70,7,185,16
4.0,1,3.0,103.0,0,1.28,71,7,186,12
4.0,1,0.0,130.0,0,1.23,71,7,186,18
4.0,1,3.0,103.0,0,1.3,71,7,186,18
4.0,1,0.0,130.0,0,1.23,71,7,186,6
4.0,1,2.0,169.0,0,1.3,71,7,186,6
4.0,1,0.0,189.0,0,1.4,71,7,186,7
4.0,1,0.0,189.0,0,1.35,71,7,186,13
4.0,1,0.0,189.0,0,1.27,71,7,186,15
4.0,1,0.0,189.0,0,1.25,71,7,186,17
4.0,1,0.0,209.0,0,1.43,71,7,186,8
4.0,1,0.0,209.0,0,1.35,71,7,186,10
4.0,1,2.0,259.0,0,1.33,71,7,186,16
4.0,1,0.0,259.0,0,1.27,71,7,186,16
4.0,1,0.0,130.0,0,1.12,72,7,187,21
4.0,1,2.0,169.0,0,1.3,72,7,187,6
4.0,1,0.0,139.0,1,3.6,72,7,187,10
4.0,1,3.0,144.0,1,4.37,72,7,187,17
4.0,1,3.0,158.0,0,1.28,72,7,187,11
4.0,1,3.0,158.0,0,1.3,72,7,187,13
4.0,1,3.0,158.0,0,1.3,72,7,187,19
4.0,1,0.0,189.0,0,1.22,72,7,187,8
4.0,1,0.0,189.0,0,1.08,72,7,187,9
4.0,1,0.0,189.0,0,1.23,72,7,187,10
4.0,1,0.0,189.0,0,1.17,72,7,187,13
4.0,1,0.0,189.0,0,1.13,72,7,187,15
4.0,1,0.0,189.0,0,1.12,72,7,187,16
4.0,1,0.0,189.0,0,1.1,72,7,187,17
4.0,1,0.0,189.0,0,1.13,72,7,187,18
4.0,1,0.0,189.0,0,1.18,72,7,187,19
4.0,1,0.0,189.0,0,1.08,72,7,187,20
4.0,1,0.0,209.0,0,1.17,72,7,187,11
4.0,1,2.0,309.0,0,1.33,72,7,187,16
4.0,1,3.0,103.0,0,1.28,73,7,188,12
4.0,1,0.0,110.0,0,1.13,73,7,188,6
4.0,1,2.0,120.0,0,1.3,73,7,188,6
4.0,1,3.0,103.0,0,1.3,73,7,188,22
4.0,1,0.0,119.0,0,1.28,73,7,188,7
4.0,1,3.0,133.0,0,1.3,73,7,188,17
4.0,1,5.0,147.0,0,1.3,73,7,188,20
4.0,1,0.0,159.0,0,1.22,73,7,188,8
