Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
1,0,148.0,0,2.38,1,116,22,116
1,0,149.0,0,2.4,1,116,6,116
1,0,186.0,0,2.38,1,116,6,116
1,0,186.0,0,2.4,1,116,5,116
1,0,186.0,0,2.5,1,116,7,116
1,0,294.0,0,2.43,1,116,7,116
1,0,294.0,0,2.47,1,116,8,116
1,0,294.0,0,2.47,1,116,17,116
1,0,294.0,0,2.25,1,116,18,116
1,0,350.0,0,2.43,1,116,10,116
1,0,350.0,0,2.38,1,116,13,116
1,0,350.0,0,2.43,1,116,16,116
1,0,359.0,0,2.43,1,116,14,116
1,0,359.0,0,2.47,1,116,16,116
0,0,512.0,2,14.1,1,116,14,116
1,0,519.0,0,2.45,1,116,10,116
1,0,2251.0,0,2.45,1,116,15,116
1,0,2251.0,0,2.38,1,116,20,116
1,0,229.0,0,2.38,2,117,22,117
1,0,294.0,0,2.43,2,117,10,117
1,0,294.0,0,2.45,2,117,10,117
1,0,175.0,1,9.35,2,117,15,117
1,0,235.0,1,11.5,2,117,5,117
1,0,294.0,0,2.4,2,117,7,117
1,0,294.0,0,2.4,2,117,5,117
1,0,294.0,0,2.38,2,117,6,117
1,0,294.0,0,2.43,2,117,7,117
1,0,294.0,0,2.5,2,117,7,117
1,0,294.0,0,2.47,2,117,8,117
1,0,294.0,0,2.43,2,117,14,117
1,0,294.0,0,2.45,2,117,15,117
1,0,294.0,0,2.47,2,117,16,117
1,0,294.0,0,2.43,2,117,16,117
1,0,294.0,0,2.47,2,117,17,117
1,0,294.0,0,2.25,2,117,18,117
1,0,294.0,0,2.38,2,117,20,117
0,0,303.0,1,5.28,2,117,18,117
1,0,2251.0,0,2.38,2,117,13,117
1,0,89.0,0,2.38,3,118,22,118
1,0,136.0,0,2.47,3,118,8,118
1,0,136.0,0,2.38,3,118,13,118
1,0,136.0,0,2.4,3,118,5,118
1,0,136.0,0,2.38,3,118,6,118
1,0,136.0,0,2.5,3,118,7,118
1,0,136.0,0,2.45,3,118,15,118
1,0,136.0,0,2.43,3,118,16,118
1,0,136.0,0,2.25,3,118,18,118
1,0,136.0,0,2.38,3,118,20,118
1,0,149.0,0,2.43,3,118,17,118
1,0,294.0,0,2.43,3,118,7,118
1,0,294.0,0,2.43,3,118,10,118
1,0,294.0,0,2.45,3,118,10,118
1,0,294.0,0,2.43,3,118,14,118
1,0,294.0,0,2.47,3,118,16,118
0,0,303.0,1,5.37,3,118,6,118
1,0,176.0,0,2.38,4,119,22,119
1,0,294.0,0,2.45,4,119,10,119
1,0,294.0,0,2.43,4,119,16,119
1,0,294.0,0,2.4,4,119,5,119
1,0,294.0,0,2.38,4,119,6,119
1,0,294.0,0,2.43,4,119,7,119
1,0,294.0,0,2.5,4,119,7,119
1,0,294.0,0,2.47,4,119,8,119
1,0,294.0,0,2.43,4,119,10,119
1,0,294.0,0,2.45,4,119,15,119
1,0,294.0,0,2.47,4,119,17,119
1,0,294.0,0,2.25,4,119,18,119
1,0,294.0,0,2.38,4,119,20,119
0,0,303.0,1,5.37,4,119,6,119
1,0,384.0,0,2.47,4,119,16,119
1,0,604.0,0,2.43,4,119,14,119
1,0,2251.0,0,2.38,4,119,13,119
1,0,132.0,0,2.4,5,120,6,120
1,0,148.0,0,2.38,5,120,22,120
1,0,186.0,0,2.43,5,120,16,120
1,0,129.0,1,8.03,5,120,9,120
1,0,186.0,0,2.4,5,120,5,120
1,0,186.0,0,2.38,5,120,6,120
1,0,186.0,0,2.5,5,120,7,120
1,0,186.0,0,2.25,5,120,18,120
1,0,186.0,0,2.38,5,120,20,120
1,0,294.0,0,2.43,5,120,7,120
1,0,294.0,0,2.47,5,120,8,120
1,0,294.0,0,2.43,5,120,10,120
1,0,294.0,0,2.45,5,120,10,120
1,0,294.0,0,2.38,5,120,13,120
1,0,294.0,0,2.43,5,120,14,120
1,0,294.0,0,2.47,5,120,16,120
1,0,294.0,0,2.47,5,120,17,120
0,0,303.0,1,5.28,5,120,18,120
1,0,350.0,0,2.45,5,120,15,120
1,0,89.0,0,2.38,6,121,22,121
1,0,136.0,0,2.47,6,121,8,121
1,0,136.0,0,2.4,6,121,5,121
1,0,136.0,0,2.38,6,121,6,121
1,0,136.0,0,2.5,6,121,7,121
1,0,136.0,0,2.25,6,121,18,121
1,0,136.0,0,2.38,6,121,20,121
1,0,186.0,0,2.43,6,121,10,121
1,0,186.0,0,2.45,6,121,15,121
1,0,186.0,0,2.43,6,121,16,121
1,0,216.0,0,2.38,6,121,13,121
1,0,294.0,0,2.43,6,121,7,121
1,0,294.0,0,2.45,6,121,10,121
1,0,294.0,0,2.43,6,121,14,121
1,0,294.0,0,2.47,6,121,16,121
1,0,294.0,0,2.47,6,121,17,121
0,0,303.0,1,5.28,6,121,18,121
1,0,50.0,0,2.38,7,122,22,122
1,0,136.0,0,2.38,7,122,6,122
1,0,136.0,0,2.4,7,122,5,122
1,0,186.0,0,2.5,7,122,7,122
1,0,216.0,0,2.38,7,122,20,122
1,0,294.0,0,2.43,7,122,7,122
1,0,294.0,0,2.47,7,122,8,122
1,0,294.0,0,2.43,7,122,10,122
1,0,294.0,0,2.45,7,122,10,122
1,0,294.0,0,2.38,7,122,13,122
1,0,294.0,0,2.43,7,122,14,122
1,0,294.0,0,2.45,7,122,15,122
1,0,294.0,0,2.47,7,122,16,122
1,0,294.0,0,2.43,7,122,16,122
1,0,294.0,0,2.47,7,122,17,122
0,0,303.0,1,5.37,7,122,6,122
1,0,350.0,0,2.25,7,122,18,122
1,0,78.0,0,2.38,8,123,22,123
1,0,79.0,0,2.4,8,123,6,123
1,0,160.0,0,2.38,8,123,6,123
1,0,153.0,1,6.88,8,123,12,123
1,0,160.0,0,2.4,8,123,5,123
1,0,160.0,0,2.5,8,123,7,123
1,0,216.0,0,2.47,8,123,8,123
1,0,237.0,0,2.43,8,123,7,123
1,0,269.0,0,2.38,8,123,20,123
1,0,291.0,0,2.43,8,123,10,123
1,0,291.0,0,2.38,8,123,13,123
1,0,291.0,0,2.45,8,123,15,123
1,0,291.0,0,2.43,8,123,16,123
1,0,291.0,0,2.25,8,123,18,123
1,0,313.0,0,2.45,8,123,10,123
0,0,349.0,1,5.38,8,123,6,123
1,0,464.0,0,2.43,8,123,14,123
1,0,464.0,0,2.47,8,123,16,123
1,0,496.0,0,2.47,8,123,17,123
1,0,160.0,0,2.4,9,124,5,124
1,0,180.0,0,2.47,9,124,17,124
1,0,105.0,1,19.1,9,124,5,124
1,0,105.0,1,25.45,9,124,23,124
1,0,130.0,1,11.5,9,124,5,124
1,0,160.0,0,2.38,9,124,20,124
0,0,179.0,1,5.13,9,124,18,124
1,0,195.0,0,2.38,9,124,6,124
1,0,195.0,0,2.5,9,124,7,124
1,0,213.0,0,2.43,9,124,7,124
1,0,214.0,0,2.4,9,124,7,124
1,0,235.0,0,2.47,9,124,16,124
1,0,283.0,0,2.43,9,124,14,124
1,0,291.0,0,2.47,9,124,8,124
1,0,291.0,0,2.43,9,124,10,124
1,0,291.0,0,2.38,9,124,13,124
1,0,291.0,0,2.45,9,124,15,124
1,0,291.0,0,2.43,9,124,16,124
1,0,291.0,0,2.25,9,124,18,124
1,0,444.0,0,2.45,9,124,10,124
